state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012963106997485157,0.018215410237060553,0.012995789364245985,0.05781410138491053,0.06851119894598155,0.1161279619542677,0.14067120259524016,0.17848403719377032,0.2895498815477757,0.2767984615832872,0.3956117954041693,0.4984230682586168,0.6084022952048672,0.626815471640422,0.7184377245117889,0.7231022769313558,0.6677621228542461,0.5548142425732144,0.41662326840954067,0.4995075277895033,0.43729165919925445,0.3769922735246911,0.3683751881486176,0.33143365264136454,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08557247989046722,0.0,0.0,0.0,0.09312721177127957,0.22796352583586624,0.19349845201238391,0.3391859537110934,0.2131782945736434,0.4402756508422665,0.1920860545524395,0.43668122270742354,0.4708984742889433,0.4432453266525342,0.4704959811801608,0.5553351844506148,0.41675349031048137,0.5426045016077171,0.24479804161566704,0.2508885636629731,0.2204585537918871,0.49224710804824023,0.26007802340702213,0.1926252063841497,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009868745682423765,0.0,0.03477185797627787,0.024812948541762102,0.04812586765386395,0.051837551837551836,0.07626656982022881,0.08171531096228661,0.11120764552562988,0.11460043787629995,0.13950986654116382,0.17312854397306185,0.20677511590714506,0.21475686454977758,0.27694092550663346,0.32519019611779115,0.3100262488890726,0.34150177994867126,0.25587784978711803,0.24197922316325252,0.2555183371983166,0.2105636456324667,0.22702012438810984,0.21960126332412158,0.20221398387473105,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.019630167641631658,0.0,0.0,0.0,0.022054607207445637,0.0,0.038892009852642496,0.06975628896542704,0.08750054687841799,0.14651038891848694,0.15601976250325042,0.2098589033756028,0.2651447060938343,0.38630850777108977,0.3673505958247469,0.43291995490417134,0.3721424774056353,0.4496807266840543,0.5545633988156782,0.6741462454482826,0.719840269020597,0.630965005302227,0.6324936750632494,0.5215928210880538,0.42140282783476574,0.36415362731152207,0.3267779692234567,0.3523120478137779,0.29543067226890757,0.2276804194839244,M
California,0.0,0.0013814673393491633,0.0,0.0,0.0014362553949343272,0.0020188153591472525,0.0029470372074782204,0.0018509563660173665,0.00648890277460676,0.005468229586104731,0.006926415810698491,0.009784192447132306,0.009611555836274011,0.014761586452762923,0.024027181809444662,0.024273537658859146,0.03338278931750742,0.04001863725106264,0.047134131885252374,0.06742419735459178,0.08232773846557048,0.09413488909557227,0.10854492964470004,0.13699605024374623,0.14309172683978455,0.1714555989121438,0.1851083201670996,0.19307230945481502,0.17765903237801436,0.1676731600256281,0.16872078647134037,0.16238804246627742,0.1578891029758082,0.13345648220105544,0.1214725024614165,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012565023999195837,0.015278838808250572,0.03324468085106383,0.032807570977917984,0.04294990020464364,0.058523738691506746,0.08562662036486454,0.08511813016172444,0.09094422845190187,0.12309207287050715,0.1386001386001386,0.17345452022479707,0.25478297123268634,0.2504638218923933,0.2385496183206107,0.35314891112419067,0.32156822391438566,0.33135966103536313,0.3518373729476153,0.34964041047215666,0.30557237164519013,0.25395359575204896,0.22257551669316375,0.2555666529581106,0.22811787131652136,0.18014477088860503,0.15042117930204574,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016363933889707083,0.0,0.016902170238658643,0.03456141563558444,0.05145974132903359,0.0856775667571041,0.11814657559534797,0.12112494795412393,0.14993656529929644,0.22078665467331754,0.28900487426131216,0.2570578154595472,0.38333641234066135,0.3573611698876193,0.2946768060836502,0.23884231723879548,0.2451451643914632,0.2839796318057188,0.3111609875535605,0.3274013835348788,0.2702106540200728,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07392075694855116,0.11530700490054771,0.1183256914657595,0.16405667412378822,0.1822877107701656,0.22963870177587264,0.31695721077654515,0.4855181650761761,0.5046989209885138,0.48687184837419584,0.5634314794620139,0.5508072174738842,0.5094614264919942,0.39481105470953193,0.30616150019135097,0.48889794255449176,0.5493298176225005,0.3506311360448808,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061705541157595955,0.010024598823266322,0.013874329407411975,0.0217467282823968,0.022078248357454453,0.029112527580289288,0.044787298939776524,0.08162401559925632,0.0990003200762228,0.11631372720069208,0.14456396955652878,0.19474821837481543,0.25825785126455997,0.28661369143942866,0.33236776451283423,0.3554693811601228,0.35717666904784445,0.3339666203770756,0.3013696323795574,0.2740753082305898,0.2740557724578165,0.2918423528591839,0.24780009586427065,0.23479469551823887,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00946329593078275,0.010849075794355768,0.009253873407011792,0.02611375150154071,0.0304576258280667,0.03469855629221141,0.038568247135374545,0.08001700361326783,0.10230746474706635,0.1473513593162897,0.20316994064010768,0.21409223708645306,0.2994261991959631,0.3263397434294431,0.3847425133866596,0.5071578089658757,0.477158384869322,0.48237422239216443,0.4379759790493965,0.3300477231167209,0.3658040915865059,0.3712442976246657,0.3272208903000065,0.3346731761174461,0.26331816716225415,M
