state,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01802358514856584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022527596305474205,0.025950808800207604,0.0,0.029390634184573182,0.04035919685198265,0.01748068384435199,0.02106889528759042,0.03819046627087456,0.02462361052483467,0.05376536793433456,0.09331491918927998,0.03961023528479759,0.06466998100319307,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11837821840781297,0.09493670886075949,0.0,0.0,0.08874689385871495,0.0,0.14727540500736377,0.0,0.0,0.09674922600619196,0.09976057462090981,0.09689922480620156,0.17228177641653905,0.0,0.1139168407062844,0.0,0.28907303912121796,0.0,0.09916699722332406,0.18753907063971662,0.3617363344051447,0.14279885760913913,0.29270332427346857,0.2204585537918871,0.19689884321929607,0.26007802340702213,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020028707814534166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014762689762074649,0.014254490164401787,0.0,0.013095861707700367,0.0,0.012256403971074888,0.0,0.023860179349014774,0.014193025141930252,0.024037498497656344,0.02036701358479806,0.027938535222510476,0.02565873877430179,0.038501520810072,0.05022601707684581,0.028630325240494733,0.04627487274409996,0.0429000429000429,0.05266025059015798,0.060398273319950964,0.04865334491746307,0.03762999452654625,0.03529767707668,0.050826728505853014,0.05330920956981084,0.06817678239675479,0.08046256619449486,0.08832326314310376,0.12607734121488953,0.14280983525126253,0.13842572201598188,0.16896825065709875,0.18466031091643048,0.23272823990956845,0.262492018823752,0.2121989735491512,0.204806470847484,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022036139268400177,0.0,0.0,0.0,0.0,0.0,0.0223254152527237,0.0,0.02695175635612254,0.0,0.0,0.022151337940811627,0.035974458134724344,0.0,0.0,0.0367801597309794,0.0689289501590668,0.06049939500604994,0.0448681996634885,0.05544774050457444,0.11948790896159317,0.12476977006713802,0.1635734507706826,0.10504201680672269,0.10349109976542016,F
California,0.0023787677982804907,0.002281720808641855,0.0019815713861091847,0.0,0.0,0.0015481218186096627,0.001561416767117812,0.0046789317063128145,0.005090953058230958,0.004376957004814653,0.006386421049643779,0.006430133032307847,0.006076745723937016,0.005181007118703781,0.00812768594621504,0.009782232455942329,0.006112494345942731,0.0025608413217355673,0.008215138034856831,0.007761374498574358,0.005901933473405887,0.009101389478793763,0.014059181755621823,0.01082428690645372,0.010169202406492545,0.0075183023673254575,0.011314984709480122,0.008742418213170303,0.010293360782295419,0.006183770413469376,0.007459923632485481,0.013310970902217608,0.012398597187289665,0.013405050352720388,0.01480464596707985,0.016548747395839235,0.013650803199378078,0.018986048859034595,0.019387359441644048,0.021548849188839748,0.031468078411047144,0.039544686869241646,0.031751336898395724,0.043814272711340266,0.035991797218308384,0.03737731111618352,0.03830355279744567,0.04628741095318198,0.043344126870809005,0.04472475757472168,0.05242242326879174,0.04944193130413039,0.05367161275783132,0.062405642982989736,0.08112937343160827,0.09372573173017701,0.09468293011658467,0.12050515762074616,0.11450849952969724,0.1250435891384673,0.15480993381785113,0.16132978560724223,0.16193804852445143,0.16366821384275065,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015266709413453025,0.0,0.015965259595121014,0.0,0.0,0.0,0.0,0.0,0.013331911262798635,0.02275427906859151,0.0,0.025235724609419807,0.013746649254244278,0.011581312394320524,0.011496102821143632,0.0,0.016663492668063228,0.0,0.017066926734121662,0.02439381372883837,0.03437101050770893,0.03675749852970006,0.037695071997587516,0.06111535523300229,0.025572831423895256,0.06813880126182965,0.08084687097344685,0.07559316247652954,0.08086958590014984,0.09892107018795004,0.09776504558579452,0.07833131909941363,0.11624527753560013,0.08788362358056384,0.14823736508083568,0.1507421150278293,0.13358778625954199,0.1618599175985874,0.1569252932702202,0.2471617143788364,0.21501172791243156,0.2558344466869439,0.2594482400761048,0.29146946785178346,0.29484029484029484,0.329005346336878,0.4124871097778195,0.3471881038944024,0.34429736595801574,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01972127267946358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013319126265316995,0.033173914245431674,0.022690529540233147,0.01459342712042496,0.02699946001079978,0.04570105417098288,0.051591268177860895,0.038476337052712584,0.06545573555882833,0.05954349983460139,0.08789128524102495,0.09331582221607797,0.08233558612645374,0.08924746537198343,0.14768321949418498,0.1362655664483894,0.15378109261466302,0.07768419331098209,0.15959970668162016,0.20745016686209072,0.16164788472196565,0.2257017915079701,0.26140684410646386,0.1966936730201845,0.22111132474524128,0.24970622796709752,0.2754539889818405,0.30099804615303377,0.2702106540200728,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07369196757553427,0.08911332244170504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07457121551081282,0.0,0.1837109614206981,0.07923930269413629,0.0,0.08701705534284719,0.20865936358894105,0.27262813522355506,0.2849002849002849,0.2911208151382824,0.2820078962210942,0.19135093761959435,0.2037074760643716,0.21973192704900021,0.11687704534829359,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006421851419764318,0.0,0.0,0.0,0.0,0.0,0.0,0.0054571450400008725,0.0,0.0,0.0,0.0,0.007585622716411495,0.0,0.0,0.005977786545198044,0.0,0.0,0.008722113465004943,0.004611652724103264,0.005353987828601003,0.0,0.0,0.006379381837899908,0.006914726061602526,0.006597031335898845,0.006269024748716592,0.006833728550634512,0.01489921743634132,0.011653229036933452,0.014689033167836893,0.014968267273380433,0.01824595547986863,0.022368258669628535,0.03238716542901427,0.030061047049392615,0.031066754689138287,0.031975394172865074,0.030644765873988723,0.02548242870711423,0.027208005199752104,0.03200762228028256,0.035621078955211945,0.03259775784117805,0.02996126436535622,0.03614104041020081,0.038644542665990385,0.06697587194213285,0.06718201222882704,0.08176333387842223,0.09541903439345018,0.09091597848321843,0.1149616794401866,0.13997925608614628,0.1428720772206154,0.14650954572997024,0.12115406288741123,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006429379693447176,0.0,0.0,0.0,0.0,0.0,0.006770389026553466,0.0,0.00931561296733325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009033151666616482,0.0,0.0,0.0,0.013888695990333468,0.006718533747195013,0.0,0.006344292040451206,0.0,0.007816062007425259,0.00926305760298535,0.013469827586206896,0.008123586834373604,0.0081113965120995,0.01220521026865024,0.01321981915287399,0.009139813025539248,0.01522881291403335,0.013631575686225911,0.012441370043669207,0.017503719540402335,0.024652401143871416,0.018418919914536213,0.019582644880974238,0.026022260861336837,0.035787991935772485,0.04751306609317563,0.04230845508031996,0.061814248184206465,0.06054577693205899,0.06765004338426694,0.0948195418560549,0.06541486404115189,0.09032199792259404,0.10067641969482459,0.12797252640445797,0.11040764572946676,0.09135528248486369,F
