state,1912,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.018260075648884832,0.016121664830588172,0.019530773174483044,0.02394010620701663,0.01069747539580659,0.010630381630700542,0.0,0.0,0.014234296520731235,0.0,0.009883766901241401,0.0,0.014112049674414854,0.012371389100806202,0.010233738589381473,0.0,0.0,0.0,0.012094335819391252,0.0,0.0,0.009966115208291808,0.009970885015754,0.009624083306065097,0.009421341222136384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010021905020974416,0.007209909299341015,0.0,0.0,0.0,0.008571795934111462,0.0,0.010329816276839076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011386668488533626,0.0,0.018868369537017385,0.019400994300957923,0.014699757454002009,0.022711214292924196,0.03862196817549823,0.046667185190946564,0.03903302193655833,0.07537557831262671,0.052558273986282295,0.0922266139657444,0.07465368982774352,0.07177102173226538,0.09499956818378098,0.13161358252171623,0.14859706884997523,0.18237423192390786,0.18585266952016222,0.2768086272022145,0.2507261886561688,0.2808438377636993,0.3161470420071974,0.30066776212285423,0.3265678769576515,0.4582855952504948,0.47136625861826364,0.4874726692713,0.5860176925086783,0.510972035173889,0.47694110989854893,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12797542871768622,0.08032128514056225,0.07796257796257797,0.0,0.0,0.12400110223201985,0.0,0.09493670886075949,0.41792042795051826,0.35940441553996233,0.3194888178913738,0.2311111111111111,0.20250368188512521,0.2980070776680946,0.3229483282674772,0.23219814241486067,0.4389465283320032,0.3875968992248062,0.2679938744257274,0.46100653092585475,0.5126257831782799,0.6404219250329629,0.6552322220080941,0.6861399725544011,0.8925029750099168,0.5417795374036257,0.9244372990353698,0.9587923296613627,0.7735730712941669,0.7495590828924161,1.0091065714988923,0.5201560468140443,0.7980187121629059,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195160031225605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024130442276534866,0.0,0.016316940247364815,0.0,0.0,0.0,0.02457002457002457,0.01687431448097421,0.015710507711240867,0.017639350871887914,0.014939867035183388,0.014762689762074649,0.011878741803668155,0.0,0.03273965426925092,0.027213732468076197,0.024512807942149776,0.03025108399717657,0.041755313860775856,0.04866180048661801,0.0420656223708986,0.022403714943277867,0.09778487327878668,0.17763742228362775,0.18865745196935277,0.14101920179268246,0.15651244464803787,0.15733456732993986,0.18590018590018592,0.17069184674051208,0.14033716447870961,0.1789748045178106,0.21038587848932677,0.18657343597673715,0.22236693721310696,0.21646769946529246,0.26077619266758706,0.28068337044591235,0.34526366501395106,0.2769567823409049,0.35598973424952396,0.37123261813376957,0.4318077516792524,0.44232586103238,0.4144779129818029,0.5226192446851279,0.4762139755230952,0.5107199336323335,M
Arkansas,0.0,0.0325079915479222,0.0,0.0,0.0,0.01740886459385119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020111282429442916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019559519618198178,0.0,0.0,0.0,0.0,0.048520135856380396,0.08373732921992066,0.08210535413335637,0.09155512926712299,0.14000087500546876,0.11543242763274728,0.11268093958568086,0.13841757456688694,0.19773503505302895,0.14823465995867396,0.2643132335812203,0.2254791431792559,0.2082225766436293,0.2832988578109542,0.404173324560579,0.354295837023915,0.48865069356872637,0.47720042417815484,0.5059949400505995,0.4542905215928211,0.6542833379539784,0.608819345661451,0.7486186204028281,0.7046240956275558,0.7943802521008403,0.7589347316130813,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003746511061573909,0.0,0.0,0.0,0.0,0.0,0.0026550048738303756,0.0,0.005039923393164424,0.0074761273660244,0.008800923119047153,0.002972357079163777,0.004855327427097258,0.0028183922011956247,0.0015481218186096627,0.0018737001205413743,0.0,0.0022272919629760437,0.0023568230025925053,0.0,0.0025021894157387717,0.0034540047458025205,0.005079803716384399,0.008277273616566588,0.006927493592068427,0.007255717078250774,0.007393624231371148,0.00735288110391255,0.010230018020570206,0.01061828772525939,0.00887948321407694,0.008380093088867396,0.0059046981715117994,0.0075183023673254575,0.00764525993883792,0.00602925394011745,0.007940592603485038,0.010399977513562133,0.011328032182663136,0.014908287410483721,0.01163949940031275,0.0157988093442776,0.021309717679887662,0.01722883290525729,0.026144758669995303,0.023792643506891455,0.05841063421520963,0.10030476229567073,0.08832216965789703,0.0845816913592113,0.08856951871657755,0.08791121814985046,0.0901189961357644,0.09501255421136727,0.08232405377361457,0.10358219402327917,0.13286533008110735,0.13246504632003556,0.14430258448183533,0.15883930804028096,0.17999264609946744,0.20203038965705264,0.21251297413056902,0.24100902444902658,0.2523754970011456,0.2627012436132266,0.26275611052796594,0.2941166110721695,0.29771141118817523,0.31539590788145705,0.3014977235090917,0.30815655887580395,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02430921319179969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01567840456555141,0.0,0.0,0.0,0.0,0.0,0.0,0.016059097478721696,0.0,0.0,0.011496102821143632,0.0,0.014282993715482764,0.02177015553566677,0.02194319151529928,0.0,0.03437101050770893,0.031856498725740055,0.03518206719774834,0.1145912910618793,0.16878068739770866,0.1640378548895899,0.20969657158737778,0.18288668341095857,0.20455248198273196,0.1978421403759001,0.17734124548120864,0.23051788192113157,0.20566472179375403,0.2705890515506834,0.28720989484411913,0.31307977736549164,0.3745229007633588,0.3286246811850108,0.4733484256019757,0.4400021728502363,0.5305484195241819,0.577048807527218,0.49871717259073484,0.6002539535957521,0.664835958953606,0.6521355972034545,0.7906002937408205,0.6911008483181029,0.7053081962829255,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010737447923377571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015357444521231669,0.0,0.0,0.014181580962645716,0.01751211254450995,0.05399892002159956,0.05484126500517945,0.025795634088930448,0.038476337052712584,0.05891016200294551,0.06615944426066822,0.07774998309782977,0.06221054814405198,0.05145974132903359,0.11780665429101814,0.07384160974709249,0.1362655664483894,0.11533581946099726,0.16354567012838334,0.2070482681275072,0.19392080815369353,0.18012192869019028,0.24451027413363427,0.21387832699619772,0.2013768557111413,0.33166698711786197,0.22522522522522523,0.35196898592124054,0.39076939325130694,0.3860152200286754,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08204567209079722,0.10077742585660812,0.10316875460574797,0.17822664488341008,0.10365763364430625,0.0,0.17286084701815038,0.1520450053215752,0.11827321111768185,0.0,0.2810235172311788,0.14914243102162564,0.24305028102688744,0.15309246785058175,0.3803486529318542,0.20090406830738325,0.33066481030281936,0.2608242044861763,0.38167938931297707,0.4558404558404558,0.38209606986899564,0.5264147396127091,0.3444316877152698,0.5500101853738032,0.6811689738519007,0.6545114539504442,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012822156686754713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005949547834364588,0.00673536741429245,0.005442295342483645,0.0,0.005167851827352406,0.0,0.005273594059823651,0.0,0.0,0.0,0.0,0.0,0.005801338949029436,0.0,0.0,0.0,0.007288718278890657,0.0,0.0,0.0,0.0,0.007173343854237652,0.006705933633610139,0.013245168060805512,0.004845618591669413,0.0,0.007138650438134671,0.005964858462429913,0.004882057624553495,0.007176804567637396,0.01152454343600421,0.011728055708264615,0.011841491192020229,0.012300711391142121,0.017027677070104368,0.01820817037020852,0.01689238814301243,0.04415638845647228,0.10415399586425009,0.08638775762063433,0.07325668370848466,0.08709995683541961,0.08232689992621646,0.09897145815410617,0.12181294434910517,0.09034679268885955,0.12772646885439182,0.16524865456331925,0.19337157147115056,0.1842481964936151,0.2268495730519828,0.2138344890936881,0.22945197207931792,0.2653918925707014,0.30784668894728334,0.2917660019451067,0.30840795045025854,0.32073136853802053,0.39820059980006667,0.3710293534813515,0.40073875317977486,0.3726045237083194,0.38224576430369284,M
