state,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.007129819758156514,0.0,0.0,0.0,0.0,0.01441981859868203,0.018629179026410446,0.026039029612163124,0.049641869370966596,0.08571795934111462,0.11157601115760112,0.19331513318084556,0.25447591513454093,0.2911984875973838,0.4306969459671104,0.5081681515383488,0.6963539039747491,1.0272765717507752,1.195106826765883,1.2511449340323115,1.2900781623863455,1.306879873655118,1.3996267661956812,1.289575441144719,1.2997370349614175,1.233450265927351,1.2034608127387363,1.2372023880883305,1.1767285484578278,1.012308754170022,1.0002153573735972,1.058539033626865,1.146876329995744,1.0270431725754199,0.8279152439309603,0.7686304188444528,0.8259151711334317,0.8946533809850655,0.7829815939096078,0.7475739786749731,0.6544626766574978,0.5511147548450274,0.5016377671392904,0.45755796127267157,0.4340972474839336,0.36749393635005023,0.36337942868678713,0.2806529687419537,0.2929662181431646,0.2472091389315361,0.18454020897229298,0.2154889233437574,0.14229249011857706,0.10783310752896286,0.19234633824247122,0.10939344215102052,0.13161358252171623,0.16025174091663996,0.1458993855391263,0.11263798152737103,0.18165566160145324,0.088671456963767,0.10123440663575207,0.12444085696027983,0.11187637660385273,0.13694781936933773,0.08332465368190813,0.1336710285633882,0.08960894655722428,0.05972154828113919,0.07129842351263567,0.08083747625399135,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16106301590497282,0.11104941699056081,0.15957446808510636,0.18864688732635912,0.3436426116838488,0.30433225921947726,0.48139233475282356,0.4177545691906005,0.5062849162011173,0.6921612735767434,0.6140201262152482,0.6428571428571428,0.9033250048049203,0.6914785438275372,1.2663571127057829,1.0014604631754642,1.2805810397553516,1.148625130525583,0.7314897413024085,0.9588749200937565,0.7990867579908676,0.7704160246533128,0.7967313585291113,0.6079623455579526,0.7145474532795896,0.5061082024432809,0.7533573534228627,0.5458515283842794,0.5562875128092519,0.4242735921830805,0.5306319343945972,0.41180507892930684,0.42150831624515833,0.3877847794474067,0.5630918863578193,0.428380187416332,0.38981288981288986,0.2616431187859759,0.3475006682705159,0.3720033066960595,0.19236460491269608,0.2848101265822785,0.1671681711802073,0.2738319356494951,0.23074192403265886,0.3022222222222222,0.33136966126656847,0.20487986589681506,0.11398176291793312,0.11609907120743033,0.09976057462090981,0.0,0.09571209800918837,0.11525163273146369,0.0,0.0,0.0,0.1176239952950402,0.1388337961126537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028105677346824058,0.049085229808121376,0.06399590426212723,0.09530913310127631,0.2029664324746292,0.18757585788370296,0.26484780321445417,0.2806131397102669,0.28004667444574094,0.3331556503198294,0.3945754169567956,0.5060453742698003,0.5859375,0.6808829031051253,0.8725865676945552,0.8632923368022705,0.9669051175222074,0.8433332094958575,0.9231081355244471,0.833584412975796,0.7549381226515909,0.8283541553503532,0.6559409979440655,0.5941849984978469,0.5751659764674949,0.5842228257436999,0.5466830466830467,0.5343532918975167,0.43727579796287086,0.4535833081342607,0.45566594457309334,0.47240607238638876,0.44426494345718903,0.40198996135566123,0.42343286188231183,0.3809922545530668,0.39016219307921723,0.29646062317233035,0.3062056349790229,0.24533657745336576,0.24438123472617282,0.272917982036294,0.19556974655757337,0.25263988947004834,0.298386786278058,0.19510875864467023,0.2271339135745915,0.24433132808884778,0.2574002574002574,0.16524423461049573,0.23271099426216404,0.23284100781928757,0.24288451012588944,0.2269136383500857,0.2763703362505758,0.31016267386071755,0.28293364694653234,0.24700136599240283,0.24690366742276731,0.22115205754087178,0.19455252918287938,0.21602802072191113,0.1856564729442196,0.1889547367516963,0.1108229713855088,0.11351006219405492,0.09869719699960522,0.09332953101910663,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013283034907815737,0.015939641889378884,0.033208800332088007,0.04942203673704731,0.09349135204993538,0.1539558089807555,0.23075369927024145,0.352020481191633,0.39882390614538155,0.5234844979176307,0.5747463491877309,0.8111239860950173,0.7875878853434289,1.1272727272727272,1.3667512209896642,1.2246474792350783,1.145970317490137,1.3242126056260746,1.4226976676490921,1.4740018570102136,1.1206250246616423,1.2151232537440502,1.0230484455236655,0.9682992486640684,1.0010048697534204,0.7609740467798782,0.9024723191263462,0.9585016525890562,0.7851673339293349,0.7487616634028338,0.6649141796814597,0.7066863399860216,0.7731758489393116,0.6406430305200748,0.6122773536895675,0.47353425097315305,0.4968117983022337,0.40830748694593855,0.4280472890338361,0.3257880262322826,0.2524496170467674,0.26906620793083674,0.21154693697664168,0.22038805583164078,0.22670793913763787,0.20125125782036135,0.1997868939797549,0.19069082083730607,0.14734774066797643,0.19773503505302895,0.1886622944928578,0.18815518322730937,0.1488162344983089,0.16391990076200602,0.21584674880834606,0.24908356048500802,0.1427024899124102,0.1471206389239176,0.1696712619300106,0.14849851501484984,0.06169377453729669,0.16079844746326588,0.09103840682788052,0.10100409957815935,0.08807801195344447,0.11160714285714285,0.08279287981233614,F
California,0.0,0.014840727195632588,0.014517730363598899,0.02373436498706477,0.0320661771540106,0.03821098911216997,0.04195501730103807,0.06553629871764645,0.0872358744258552,0.1102308969855524,0.1688374336710082,0.24127501953987834,0.2861929814267926,0.2860068033950923,0.3460230013044646,0.4293350786488001,0.454528565943797,0.5721031034719664,0.5870499647520477,0.6939605387501073,0.8585569509444126,1.0008940989469501,1.0241773002014776,0.9483297885649944,0.9826643501808171,0.918089858341207,0.8461631074390115,0.7828067759037324,0.7353882662250638,0.689660838026231,0.6119231052033889,0.5087466654075876,0.5214337722225593,0.4813419858964208,0.4829028642459837,0.4822170173401303,0.42916976013482827,0.42660550458715596,0.4431501645986326,0.4108521432247629,0.3980099502487562,0.4086380389794825,0.3860181561643106,0.33476212405682104,0.33249312392729674,0.320094390833681,0.3289346913885306,0.3273879072393217,0.35088140929355077,0.4948747775424782,0.45714344350610037,0.4659391105904628,0.4347169396806217,0.3918783422459893,0.3833042180424348,0.39088765816162824,0.3923191052271171,0.346447059630628,0.40191020242275083,0.41616027694914004,0.39824975216217146,0.39457737944251847,0.40036598395126277,0.39023117342158015,0.3536319769036085,0.32977283775439153,0.3340652866668452,0.28876608935912124,0.2575367368580518,0.24707935166378123,0.20394433270752832,0.18945271621065699,0.1617120836774016,0.1546142171841496,0.12317737968894515,F
Colorado,0.0,0.0,0.020929989186172254,0.0,0.024282790439518507,0.03022365504735039,0.015839325878290622,0.051532328958137565,0.04769854519437157,0.10673590076445982,0.18545056056646717,0.1972919650820248,0.2701023687977744,0.27131888108093444,0.2672581981452281,0.33263488737558927,0.33956730892907677,0.4617170597857633,0.48182334948434075,0.526375689978945,0.7795978916137992,0.837566012983955,0.9362988271625218,1.0444787247718217,1.0079772432131593,0.9688215606834596,0.9770694024609936,0.7428992282814051,0.7248227856184942,0.7800856191533218,0.5801009689254021,0.6570221166599833,0.6090597639893415,0.5820454740946756,0.5546075085324232,0.5814982428640053,0.4545014988879219,0.4313014751428113,0.4582216418081426,0.41924350867440296,0.42765502494654317,0.4598229681572595,0.37611883450771283,0.32413342686437197,0.2657564305741802,0.2610138068985705,0.27987822841991555,0.22054499117820037,0.17591033598874173,0.23172905525846704,0.1406505728314239,0.17917981072555206,0.1237967711780905,0.15850179228949743,0.1379539994767262,0.16563528031470703,0.14096355410044792,0.18351909046148338,0.18554534683566942,0.19658178958810332,0.18529670635104462,0.22031539888682744,0.1765267175572519,0.1643123405925054,0.210948754887837,0.20370470965288717,0.13682564503518374,0.14213024815941327,0.10666205425350977,0.14429181576820962,0.08960832490244255,0.09693907525997297,0.1093715821380582,0.12446365988667257,0.08356732183446985,F
Connecticut,0.0,0.0,0.0,0.016614055490945343,0.020047541312254776,0.01705999431333523,0.02646272724867025,0.02695483839349163,0.04280109380573059,0.045374109533100414,0.1138627953316254,0.13099686466520638,0.215014870187284,0.2211619191939877,0.23365910152995917,0.38255237324157476,0.3970193012460298,0.4608198403887644,0.5511063408190224,0.5806984914238479,0.8668328096218443,1.1109091735199237,1.110793287566743,1.0644257703081232,1.1818050262891322,1.214361140443506,1.1786332179930796,1.0792601141645093,0.9104907277231037,0.8937404059355278,0.8533909227071651,0.7986086462696104,0.7239315049422247,0.5636707338030589,0.6245069681830134,0.6937015786573308,0.7263310806543296,0.5580530150364285,0.5799125576876366,0.5126241051174028,0.48659723407887995,0.5149013572128166,0.4672772422632239,0.4497555108124362,0.409814938914377,0.322506334945865,0.3010122535961641,0.3179166781853869,0.19570581728451086,0.36191699258653903,0.2729945401091978,0.2589726403022363,0.1676716215780479,0.16031807105296908,0.1734576992308951,0.12239497188223619,0.12169562571834223,0.10368424690675329,0.12007272976774504,0.1142367556761388,0.13291489754476649,0.13248041182482304,0.10764676483026411,0.09812740207703001,0.09058361730578442,0.08568593848651573,0.07389617587289858,0.056425447876992524,0.07129277566539924,0.06088137498243807,0.0817150547971544,0.05385820603211908,0.07141399714344011,0.04752600728732112,0.04963052828940112,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056420672534416606,0.08585533376261,0.21037868162692847,0.22689768976897692,0.14418125643666324,0.5971712938711367,0.5751258087706687,0.6054708617147799,0.7132971361652294,0.9591280653950953,1.3390212110439625,1.621756487025948,1.6903572800614675,1.4582526777648728,1.6284987277353689,1.4329454990814452,1.3481675392670156,1.2673506336753169,1.1988011988011988,0.9623361539737847,1.2310286677908937,1.1746415615823114,0.9530069010844562,1.0084840723547304,0.7221350078492936,0.7574632407544928,1.0137149672033392,0.7219684691321645,0.7500750075007501,0.6749816581071166,0.7629192457175759,0.4980788387647645,0.5525606469002696,0.5153975003221235,0.49666868564506356,0.34270857953202555,0.2316508168739332,0.2584313218762114,0.36363636363636365,0.2324627375905921,0.34552260293694215,0.2505526897568165,0.16337442447645925,0.2221235006663705,0.13181019332161686,0.14405070584845864,0.10643150372510264,0.11827321111768185,0.1585471317382531,0.22186067149829905,0.0,0.2126689958985265,0.1837109614206981,0.1901743264659271,0.21764607399966515,0.13922728854855554,0.1738828029907842,0.16357688113413305,0.0,0.12736535662299855,0.1692047377326565,0.09567546880979717,0.0,0.13183915622940012,0.0,F
Florida,0.0,0.0,0.0,0.011586142973004287,0.011402075177682339,0.009066347531233566,0.013311591067922393,0.014048012986607562,0.01873252831493703,0.053010738072583934,0.06850377417019957,0.1689671584959543,0.22226712467165083,0.2383725360007837,0.3249082239756952,0.4454688275177774,0.4305705059203444,0.5674387208370248,0.6721537819353319,0.7964967183900553,1.03853607027234,1.218191010424441,1.2440927301819626,1.2436473807662236,1.3319874226971584,1.368651976032219,1.3086533605603496,1.1182146311543089,1.1625505654830597,1.068809859323127,1.0139449030936698,0.9461454522113101,0.8222860284684463,0.8476501321090827,0.7790059571043778,0.8079552517091362,0.6774174791153839,0.6068934984919896,0.596077311584245,0.5530275917310019,0.4898331149968673,0.5023763197346177,0.451762102691365,0.4251420194245923,0.3434032445685866,0.34100305467666214,0.3213974046982199,0.29497235999737803,0.23943124063574134,0.30235899892228474,0.2577241211531444,0.23062446007651488,0.2220834200846693,0.20040698032928408,0.16698380645411828,0.14845718723115925,0.13407085069870064,0.16216090995436327,0.14359780522091387,0.13249666897419293,0.1344877470758002,0.14456396955652878,0.15051968526405146,0.1370347782220114,0.12156929047009477,0.13897493427992566,0.15307293925555526,0.11705066744700444,0.11075423634954037,0.10943590002609625,0.11829390203265577,0.10540606632992942,0.10018468829494372,0.08682047154368606,0.09579623577144146,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005968225169199184,0.011838522552385463,0.018304332406676505,0.04914173390322507,0.04265062404597288,0.08374356362813332,0.15381388519890932,0.17205618930894692,0.2858588116272777,0.35456367323222143,0.42575774022747287,0.44807304436043915,0.6102395310285179,0.7985289579261393,1.0834339023960298,1.2572138110087343,1.263756368037378,1.2964457147545916,1.36986301369863,1.3608481943372466,1.3055100202324517,1.192398459818656,1.251636386857818,1.103429486087934,1.0520123196179534,1.1159107271418287,1.0361067503924646,0.9999367128662742,1.064118001204094,0.9648299051831208,0.9153593688838035,0.8457197599053992,0.7121252165741638,0.8718050326926888,0.7777669754586742,0.6449792397307211,0.6308232375221051,0.5253073809493598,0.44328912999799075,0.4311860874096267,0.3797853617223994,0.3259698275862069,0.30734236856713465,0.27713938083006623,0.26444622248742183,0.22209296176828303,0.21935551261294198,0.19797456788243356,0.2069521035999752,0.19906192069870732,0.19004038358151107,0.19968444926535844,0.21488739900292247,0.22030475491096016,0.24011449794778988,0.2660240733892421,0.2538198004451224,0.1784887948700998,0.1756086596142229,0.18884516138332685,0.151477271056076,0.1324463441798862,0.12636962371586163,0.13096689698776137,0.10696869592575113,0.09881422924901186,0.09660669001328341,0.07702504209508114,F
