state,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.019273393080851884,0.01677249311129747,0.018969932656739068,0.018218669581653798,0.0481022516434936,0.01650982334489021,0.04850248575239481,0.03674939363500502,0.08075098415261936,0.11329110664812814,0.0985196131808872,0.14051887897160997,0.12475957789676145,0.252279715134155,0.23715415019762848,0.2682002930848564,0.2956966095369334,0.3224227768661657,0.29247462782603606,0.25931645348329013,0.38719452316152747,0.2675152061275062,0.3546610536028373,0.46170310350099375,0.36575011429691073,0.43049809975448156,0.33213299304268784,0.3160334293138563,0.315939311877235,0.2778950330659913,0.22581454532420517,0.20156022544884478,0.17824605878158917,0.2223030596984762,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06496881496881497,0.0,0.09355787222667736,0.2066685037200331,0.1479727730097662,0.12658227848101267,0.2340354396522902,0.11980147184665411,0.12424565140220092,0.3022222222222222,0.22091310751104565,0.2980070776680946,0.17097264437689969,0.348297213622291,0.3591380686352753,0.4069767441860465,0.11485451761102604,0.5186323472915867,0.26580596164799697,0.20719532868713506,0.3854307188282906,0.4116839835326407,0.2776675922253074,0.4375911648260054,0.30144694533762056,0.42839657282741733,0.2299811833577253,0.1763668430335097,0.17228648781688408,0.26007802340702213,0.13758943313153552,F
Arizona,0.0,0.0,0.0,0.0,0.04147022874105116,0.02512036843207034,0.03268374392286637,0.03831803972975698,0.04970870697711411,0.05474452554744526,0.07611874524257842,0.06313774211287398,0.1117541408900419,0.09079246027829863,0.1174296384707196,0.10045203415369162,0.1374255611543747,0.15918556223970384,0.17696267696267698,0.1797712002905393,0.16698346153162916,0.18071242397914858,0.16762452107279693,0.18321175244562476,0.21283692561825948,0.19546710175597304,0.2318010601489663,0.2619711457495182,0.2549330549812313,0.21288469090382983,0.25250434638629027,0.18666498877912707,0.20443072301723061,0.15674654298720261,0.1728838353613937,0.1679003003287062,0.1480457954994078,0.09851450496461256,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.019879134860050888,0.0441430233958024,0.03520713531275672,0.0981508382081583,0.08968609865470852,0.05500317325999577,0.12408540498908904,0.12350580036169555,0.16747465843984133,0.2290307246877836,0.14823211405153247,0.262501640635254,0.26638252530633993,0.31203952500650084,0.29023039828540814,0.3460363113428006,0.39080046716377687,0.39422990771436256,0.3878241262683202,0.3234095339358497,0.3957190394819678,0.45586991258576937,0.49699832693632523,0.39407313997477933,0.376458112407211,0.40699593004069956,0.4038137969713965,0.3160521208760743,0.35277382645803695,0.26142237537876534,0.18244731047499213,0.2232142857142857,0.21388160618186833,F
California,0.0,0.0,0.004117344312918168,0.0059026899401298585,0.01049915177905364,0.011713654393951493,0.01821834688744604,0.021783206823170632,0.02489872276281611,0.030830543093618303,0.0333172145883126,0.03797209771806919,0.0469770632624452,0.0531025212153551,0.06029178048503151,0.056570871493498466,0.0938614081996435,0.10458890905287675,0.0923510455756595,0.10927870349235334,0.13406243479105984,0.14591824062679928,0.14164747343401635,0.15781857131462299,0.15529438290916264,0.17276261053397285,0.20074962340912594,0.26380567260991117,0.23386280924415018,0.2768256433602014,0.2574297459397534,0.23619010893666248,0.18266832067832653,0.2028876263204427,0.17213132501425407,0.16974034315074776,0.15990365092992315,0.14235724849864248,F
Colorado,0.0,0.0,0.030111412225233364,0.0,0.03448672261179446,0.047609979051609214,0.01935124936503713,0.06826770693648665,0.0536663902034444,0.061376804478051654,0.08576749656930013,0.09800718719372753,0.08912655971479501,0.09973404255319149,0.12870662460567822,0.1616937419468937,0.16825574873808188,0.16173917180029967,0.1863396903540454,0.1500579769456381,0.1633767512644913,0.21460666621956945,0.23358542056939338,0.201510168156761,0.21335807050092767,0.2385496183206107,0.22807533843437316,0.2572545791315085,0.2716062795371829,0.2317658885289847,0.2131953722391199,0.23350341606849434,0.12409096156066027,0.19077901430842606,0.1556900299629869,0.16249492203368646,0.1408404572401821,0.1103088648215002,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.018691089690528958,0.015689145726015218,0.012887262230011857,0.033274463129335276,0.034629728289824184,0.052525364221933483,0.05672632385058286,0.05545502305761485,0.056998860022799545,0.07007494972884042,0.09673362783348918,0.08977811978966269,0.11127475045000818,0.1257029440952696,0.1183151916706105,0.13478952097877928,0.13379532745548733,0.14993574182493216,0.15506738046889423,0.1514061849426549,0.18069278382222906,0.21669801292010793,0.2070482681275072,0.24803824298728241,0.2401625715869204,0.23510603282080217,0.22338403041825095,0.19201049032922776,0.1778504133820419,0.15667841754798276,0.1989389920424403,0.19010402914928448,0.11580456600860263,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08843036109064112,0.0,0.1776988005330964,0.13181019332161686,0.18726591760299627,0.13684050478941767,0.14784151389710232,0.12972038051311616,0.1922792486318592,0.11931394481730052,0.24305028102688744,0.26025719534598896,0.15847860538827258,0.3348401138456387,0.2610511660285416,0.3651538862806468,0.2362777171937477,0.41785375118708457,0.4002911208151383,0.18800526414739613,0.1722158438576349,0.2037074760643716,0.17578554163920018,0.0,F
Florida,0.0,0.0,0.0,0.0,0.014353609135274791,0.017670966601873124,0.024189114898295765,0.0369175901868866,0.03416864275317256,0.053920977388663825,0.07720264236968413,0.06169393930491495,0.07858340318524727,0.10795523658922272,0.10644205849685301,0.13494652262089282,0.1464512548560153,0.16465379985243292,0.1553090574110589,0.149393233635695,0.189959923089397,0.22446604289795488,0.19948936677013315,0.21808823850129763,0.2005470754142041,0.20758876024568237,0.24319908442697627,0.2705117986619327,0.21767158381193175,0.21600292539395022,0.21688800144592002,0.1848743791373097,0.18604103004436365,0.2157614128623792,0.1644334634746899,0.17946126772833398,0.1537445850252774,0.147451068785454,F
Georgia,0.0,0.0,0.0,0.008491607461292423,0.01805530478743351,0.022843014740463043,0.030353419378678703,0.02664602656989506,0.03265019087803898,0.03647495603465121,0.07939763659701729,0.07004310344827586,0.05144938328436615,0.09057726105177775,0.10171008557208533,0.1044365713077045,0.16973938476001463,0.14594279042615294,0.1586219716215379,0.16795849558953432,0.20879436880337074,0.1762646681786806,0.2001522630712935,0.22520041613120373,0.22828619755627313,0.2505159435504074,0.24381704968866438,0.31202485621735965,0.31890532585942877,0.3099367152474448,0.2617762548347721,0.28897384184702446,0.2497658445207618,0.2197835282783122,0.21865659902469717,0.187909026112875,0.1811375437749064,0.18629312506717302,F
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045599635202918376,0.0,0.04959825414145422,0.0,0.06391137622496805,0.11613053071652538,0.08459214501510574,0.09272751357795735,0.21700800217008,0.2598902685532775,0.38499928703835734,0.2907866544230181,0.3618272274988693,0.29120559114735,0.41884816753926707,0.36829463570856685,0.39370078740157477,0.3706688154713941,0.3334921391138637,0.4964903269988016,0.35117056856187295,0.41315200550869335,0.2579979360165119,0.356839422259983,0.3147403392201434,0.2156721782890007,0.31751961150541647,0.14432989690721648,0.3098716246126605,0.28116213683223995,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.11733911002798088,0.10117733627667404,0.07252289003716798,0.04389044943820224,0.17513134851138354,0.15458605290278254,0.2079002079002079,0.25681898689337584,0.25882149943922006,0.2894356005788712,0.21398613369853636,0.31831127492042216,0.35959190500083626,0.3002752523146217,0.3412685200599301,0.32954358213873786,0.33707865168539325,0.3330161750713606,0.3990298098740318,0.3516013146831766,0.3637465898757199,0.43010752688172044,0.4286074460038659,0.274822695035461,0.359338061465721,0.28576871785101926,0.21280711936544788,0.2570938868786898,0.23610427939006395,0.25125628140703515,0.14604631754642186,0.14465338822743964,0.07757092198581561,F
Illinois,0.0,0.0036652860755781985,0.005138444372669348,0.0065813047070953775,0.015864382195630494,0.021476231735946028,0.026305790196708857,0.03321906915927483,0.03273504809266108,0.043475162140973564,0.057442483871917985,0.05602031670152375,0.07528631614169037,0.0748929265191172,0.08812619671369401,0.09759137915480945,0.11957875291730923,0.15725769349806354,0.14680368343787534,0.13126026794031467,0.14942980731419583,0.16006717573276652,0.12842504198510987,0.15882543053695924,0.16646981688320145,0.17895524225237425,0.19138091743847055,0.242358960549347,0.1801054435505878,0.2277078542216583,0.21012793424504866,0.1809280544912729,0.18767705382436262,0.15433029093671252,0.17738303413050863,0.15606242496998798,0.123329033355542,0.10233258088788563,F
Indiana,0.0,0.0,0.0,0.015157716035347794,0.02648098820817172,0.034788658897199516,0.04092459264873058,0.058377990000898126,0.07958497907209809,0.10470577676728393,0.09500817693326065,0.11050944855785169,0.1263382950809051,0.15021320584054787,0.1522618248497847,0.18132818738355072,0.23573159799462132,0.2471183348536363,0.23574796399485642,0.2590717442470833,0.26641427419637537,0.24507247888205236,0.3073950465483928,0.27514740039306773,0.2541796441484982,0.26203734032099574,0.2567733408854904,0.3811490054393139,0.2610039254990395,0.23558375957722266,0.2417615925772657,0.21147767240995505,0.18742469543486992,0.17709965261221988,0.14786302720210295,0.14293107272234407,0.09531660569838735,0.12619143509195865,F
Iowa,0.0,0.0,0.0168449423060726,0.020380236993041603,0.025006251562890724,0.0,0.06767862322343614,0.06650410108623366,0.07834780156068821,0.09385417003786531,0.10284993862181083,0.14578742159688082,0.15464642204414453,0.15544228753208256,0.1837241975575489,0.19799021255930369,0.25292914264459737,0.3118073556482212,0.2580403889304413,0.3240541912310155,0.3084223013048636,0.3022229291764425,0.31548293156447177,0.3296971670465646,0.3706803778548368,0.3054947776906246,0.38299337292365954,0.3789089249029902,0.43838749642618885,0.35540872002803225,0.2187961125527909,0.28157477090052735,0.24391483307078612,0.21263354423814956,0.17207076410173686,0.18790570550051247,0.1072066706372841,0.14283939883244318,F
Kansas,0.0,0.0,0.0,0.02347024308466052,0.02367264119039567,0.02453385672227674,0.07329331285774117,0.07295212950739943,0.09160090191657272,0.0922713515907581,0.08587536870402868,0.14623821435443526,0.12896166321466257,0.13145839142731944,0.16735376954161396,0.1505411343477907,0.1952113461615075,0.22909507445589922,0.20010986423919017,0.27876229540838676,0.22687470148065594,0.27674547323475923,0.2830684621294836,0.3144525666680279,0.28951231446746045,0.3010700191220147,0.31071548538797444,0.33567287152883735,0.3522876112190055,0.26255489784227615,0.2561305317080112,0.20370646395389277,0.23405208903939048,0.18231540565177756,0.15625813844471068,0.13387627600825572,0.19246471480228625,0.09777560498655585,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014089798985534474,0.014035744362309347,0.016435397149632554,0.036149804791054126,0.062381475197125454,0.055499495459132187,0.11318327974276526,0.13196708585623348,0.16551153408503155,0.22047890068194637,0.25265680350072933,0.2434586504702596,0.354394223903097,0.35528314167932307,0.421803140392413,0.5103166721836037,0.45764686303877516,0.5334066538355788,0.5208046293744834,0.5537290188613947,0.6026092982614721,0.5689627617068883,0.4742614366169351,0.49906637243252416,0.3869674878208893,0.304672830977433,0.2832658037218975,0.30933214072748955,0.2616267718380257,0.198158774718243,0.17230981304385284,F
Louisiana,0.0,0.0,0.0,0.00878348704435661,0.009315323707498836,0.011865445844127593,0.024073665416173493,0.02025152392717552,0.0352426560524079,0.04436650962330721,0.05319620533735261,0.050857644828702205,0.05288588667996827,0.09871911942545472,0.0842244965672137,0.11450090328490369,0.11277424646298954,0.18125323666494045,0.21640451810408529,0.16898911266864283,0.22766726429323544,0.2310984308131241,0.2692686316520933,0.24918476588937427,0.33511863798210706,0.31400894629262077,0.33913070532964124,0.40326421744514657,0.36646194564147805,0.3833778325460396,0.3214989456217375,0.2840034217279726,0.2511965782952578,0.19068373740125305,0.23942818914826944,0.193042885801885,0.177598385469223,0.17867018334964052,F
Maine,0.0,0.0,0.0,0.0,0.0,0.04642884779076066,0.04612900745752287,0.0595503945213637,0.052552552552552555,0.05450015571473061,0.08213552361396304,0.13164823591363875,0.07356998344675372,0.11690209449585973,0.11942675159235669,0.20224491859642027,0.3367690580671497,0.2518363064008394,0.318945354029343,0.368537432873539,0.291986590245485,0.3385757972913936,0.2170138888888889,0.2683963319167971,0.37267080745341613,0.263097689315946,0.27251331599157685,0.3459764223475141,0.3262199266005165,0.37820423028435357,0.30077341735892293,0.2648227159040753,0.07664009809932557,0.12568735271013354,0.14157621519584712,0.17322016282695307,0.1611170784103115,0.13172751223184043,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012695879280325015,0.014835144457219153,0.021205636843830124,0.02430921319179969,0.018582371523547993,0.05075605371682351,0.03673848680656106,0.03588811878967319,0.0940249389957241,0.09053665602860958,0.12259819000490393,0.10960405535004795,0.09946336047372316,0.16364008272915295,0.16002226396716066,0.21121039805036554,0.19832223944560956,0.1838235294117647,0.18383652690376864,0.29265653435640154,0.25690106790247835,0.24638759849087594,0.24465786939434161,0.23950183618074405,0.2201084820375757,0.2149035620265406,0.19850569325356343,0.17784256559766765,0.140135364799189,0.1417055044715959,F
Massachusetts,0.0,0.0,0.0,0.00719196801012629,0.0,0.01403607270685662,0.019259340780278435,0.022462705302519786,0.027679654136131174,0.019619933852794442,0.04137065251505036,0.035712691397705464,0.06081152986606261,0.07484212988227958,0.0845861661719174,0.08502289077828645,0.09674827410917797,0.10519987977156597,0.1458630228854053,0.13678253287055242,0.15696944328170784,0.16418896007709743,0.14056373455648444,0.16825249477837084,0.20785493704964764,0.16002592825166612,0.17291187820255993,0.2315886984715146,0.19333456085435463,0.20723479702502937,0.20320400737205238,0.1410808225729316,0.143143429716576,0.1268199887813087,0.12111924065651572,0.1283730005905158,0.10331125827814569,0.11139790789294933,F
