state,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007129819758156514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007528873228832572,0.01981979234956015,0.0,0.008143720377217127,0.013015960821957925,0.012334367070764027,0.015032790273784692,0.0,0.017945445844632316,0.025663804165432832,0.04951060669535742,0.0726244921192612,0.12717161701944216,0.08147561389611858,0.05292466289290809,0.07912340854053276,0.09501534863324075,0.1426435062694122,0.107678686798593,0.11406670620979148,0.06943977779271107,0.14475105116834777,0.09121100145002105,0.0804105668944966,0.08806588280097111,0.09467231544815508,0.07468439818830105,0.0886546064454295,0.10670587119415725,0.08426134681514882,0.10765742034496185,0.12264440199061298,0.10913059294288831,0.09064850429967905,0.12112647622892904,0.159637468458726,0.15555728396982188,0.16393869213354498,0.22612673493788016,0.2680471973300397,0.22661396574440054,0.27096524455995796,0.30143829127551464,0.2936350289316867,0.31002310549559825,0.305935141749949,0.33388513229146205,0.26188330705113766,0.2739252040021914,0.29659073536156555,0.31676572398928876,0.2017959842599132,0.27969094150963186,0.1896200575883138,0.21872721591500885,0.24975376389475165,0.17563353525215958,0.19409503191370236,0.21389527053790697,0.22634493351117577,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09160864785635764,0.0,0.08188666885031118,0.09357454772301933,0.0,0.0,0.0602990834539315,0.06863417982155114,0.0,0.0,0.0,0.08032128514056225,0.0,0.0,0.0,0.0,0.0739863865048831,0.0,0.13373453694416582,0.0,0.1597444089456869,0.0,0.12886597938144329,0.16762898118830322,0.13297872340425532,0.23219814241486067,0.23942537909018355,0.2713178294573643,0.1339969372128637,0.23050326546292738,0.13290298082399848,0.15068751177246187,0.0,0.0,0.0,0.16670139612419255,0.20096463022508038,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.28216704288939054,0.0,0.0,0.24549918166939444,0.18256503879507074,0.20084354288009643,0.15734265734265734,0.29560076508433314,0.2150868028883085,0.13029315960912052,0.22468026270307642,0.13110455588331696,0.2922177791448785,0.23484514897989137,0.16162209814869233,0.22698255071641366,0.19115237575095578,0.2069857697283312,0.2188183807439825,0.20587427944002198,0.1959412176347096,0.2,0.14405070584845864,0.1616161616161616,0.19490644490644493,0.1635514018691589,0.156564526951465,0.10168342560162692,0.11779824373527523,0.13373109762370128,0.12422360248447205,0.08540372670807453,0.12481472813792027,0.17110730872647273,0.06295907660020986,0.06563637448535116,0.10470595078820313,0.03385813441679363,0.09885221593717393,0.08255507971724885,0.0468427955780401,0.06693440428380187,0.06826229787960238,0.04972650422675286,0.0624512099921936,0.04045753797491633,0.07618909407539093,0.05963029218843172,0.07667944657442907,0.10994136460554371,0.0729467157399118,0.08151066431191414,0.07672991071428571,0.0823045267489712,0.09081217672839263,0.05518763796909492,0.08254068076409088,0.1263142252108333,0.10820315141678502,0.10712731411737135,0.186149126133269,0.15956002172732212,0.14685246222628331,0.08679106719631471,0.20705975152829817,0.2210572854165351,0.15970515970515972,0.15468121607559693,0.18852609253489042,0.16379397238181637,0.2016882049749757,0.14762689762074652,0.19481136558015777,0.15102385288499978,0.14405447878470404,0.2009629474565627,0.21244433549863134,0.2399919330442674,0.2226950072574712,0.2879156528791565,0.30247185609550903,0.35438603637548627,0.3432448613051287,0.40659232211585905,0.5082200746929504,0.519646099756597,0.6126889601465872,0.7255900046274872,0.7310882310882311,0.795351370982386,0.9308439770486562,1.047784535186794,1.0279830322933772,1.1059938817359733,1.1134230213313425,1.1453402904544208,0.9357263383954595,0.9468385696375443,0.8691812032037257,0.7978008804745468,0.6167729116648729,0.5683844040353195,0.5882598356210105,0.5453920810787598,0.5740629917769355,0.5462671743088893,0.5502368732727991,0.5573846991418868,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023459034660723712,0.0,0.02366143861546782,0.0,0.0,0.019316206297083253,0.030058237835806877,0.0658448256941142,0.04730196848961176,0.08898173939956669,0.06313380420628971,0.077396385588793,0.059710998765972696,0.06830326650327455,0.06183813867202598,0.09612303748798462,0.07204610951008646,0.08813808299669482,0.05053057099545225,0.11135429865990862,0.06571826194526055,0.05824337966917761,0.058279586603465695,0.07958298515777326,0.08746819338422392,0.08026004253782255,0.0977975980909909,0.06674256998154764,0.09376273950264982,0.11423735984768353,0.11980659792049976,0.10586211459573905,0.12780960775672104,0.12531869841407026,0.1307930418101757,0.218751367196045,0.24862369028591727,0.1863569385455491,0.2455795677799607,0.31008448678770445,0.2605336447758512,0.3718304811396828,0.36076662908680945,0.3588516746411483,0.40021584674880833,0.3477770467149168,0.3247711839385887,0.33102143757881464,0.3022269353128314,0.31349686503134966,0.358945597307908,0.31050734682561687,0.2844950213371266,0.2376567048897867,0.21390374331550802,0.31512605042016806,0.20008279287981232,M
California,0.0,0.0293398533007335,0.0,0.0,0.03849912636597862,0.0223463687150838,0.0223669168447736,0.014880583318866101,0.04130183380142079,0.030408423133207896,0.03655772464721796,0.05301963383315384,0.04086945991765561,0.05651961383355737,0.055512721665381654,0.06355258976803305,0.06812504730906063,0.057498057498057496,0.07562726140340471,0.044772432532575804,0.04581069126753444,0.04742669305117177,0.045364953227168915,0.036596523330283626,0.02184200946487077,0.04300570803033857,0.022627398206480964,0.02207915959746206,0.022196150553318326,0.02647178391460959,0.028997893837184457,0.024457020183835266,0.012508476138435915,0.016416421472679285,0.02014098690835851,0.014517730363598899,0.021835615788099588,0.020912724230876475,0.021177174688672515,0.021626297577854673,0.02477591780789073,0.0216193254011902,0.02278105204368083,0.020159693572657695,0.024127501953987832,0.024772968779540133,0.02609068991710426,0.032692538009121544,0.03695225330456486,0.047062903285733745,0.05183903666831136,0.04460581560018216,0.044545839259520874,0.05252348405777583,0.05641338593852006,0.054656130774616694,0.05862272345445122,0.06320828684818612,0.07755167007013516,0.08691137297394916,0.10431990350408926,0.11993273523461576,0.13801431898559474,0.13847926079035303,0.13928562997237895,0.15927431587889085,0.17240996573999393,0.1567775748708942,0.1650035100150242,0.15130583514242485,0.1562691131498471,0.15193719929095975,0.14998897139916184,0.15824830649014812,0.17765669984030236,0.17676969358144984,0.19205174010516035,0.2132839261477476,0.24091196619157212,0.2799685347104309,0.3347917327033912,0.34463283625133684,0.43497280798560367,0.46817440201943505,0.5040181298441669,0.5563717749797471,0.6046680035650623,0.6566487452157641,0.7349022780854596,0.7969070988358822,0.9141400137778452,0.9884055680368493,0.9765176818541088,1.0622842101664787,1.0991798427327302,1.0530563069718806,0.992480043648958,1.000696547833295,0.8684456006201305,0.7601826312829714,0.7065840016173597,0.6438418421451295,0.5998064261079379,0.5794273355852921,0.5492324458526093,0.5206899715570236,0.5260952179450143,0.511889387565478,M
Colorado,0.0,0.0,0.06149305128520477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314821810855056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01891840761060512,0.0,0.0,0.0,0.013095861707700367,0.018007357291693466,0.0,0.0,0.0,0.0,0.02354603249352484,0.0,0.025710245532844837,0.046379321006740463,0.049908989489753974,0.042746786357668466,0.10887316276537834,0.07663324605658088,0.0761059140637387,0.07525634191464677,0.06477682840309695,0.07906064244092413,0.08314935344209652,0.07732508532423209,0.08848886304452254,0.07977951842181608,0.082589644176283,0.07789767910738424,0.08801797419683598,0.08966960200492033,0.09426370847223818,0.06665397067225291,0.06531046660700031,0.09752529562355236,0.1073327804068888,0.10311303152312679,0.16173299353068024,0.09800718719372753,0.10440539852304559,0.16622340425531915,0.18422712933753943,0.26022586594578206,0.28042624789680315,0.3210998263682421,0.3772803607168327,0.4183434508787486,0.5013204422362473,0.4918069434198467,0.5920580957006406,0.6855978134988651,0.6238404452690167,0.5534351145038168,0.5591524426133019,0.540234616176168,0.5296322450975066,0.47190885736624594,0.45197418914693427,0.41511718412176773,0.43287544730462885,0.2919497037144096,0.25850420069326124,0.31249023468016623,0.29805771183387375,0.2707581227436823,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013612232859930126,0.0,0.0,0.01808536291294912,0.016382364384739827,0.022350001015909136,0.03238538609452484,0.05293590683280397,0.025135627657568965,0.03302509907529723,0.04133085348212441,0.030339148336764547,0.03180517061202236,0.052440884820747526,0.07307270734380708,0.10129757368192562,0.10559662090813093,0.1189446366782007,0.1466046975888206,0.17406440382941687,0.12280402524304963,0.12539621721411404,0.12777738340313763,0.18098287623555617,0.1306066334421722,0.14790954509597687,0.18801257739310837,0.17684582833322807,0.1550147263990079,0.12448384746174398,0.16792858615914918,0.16504467588640376,0.13991884706870014,0.17356011855491177,0.17519546060716992,0.18299912366616836,0.1663723156466764,0.11987213638785296,0.18798551405744615,0.19570581728451086,0.16636506917284455,0.17099658006839863,0.18280421668393151,0.22571179827814142,0.2661279979479287,0.2552773686794305,0.23486602712537216,0.2569129876276114,0.26957904195755855,0.2984664997083948,0.29630158503498505,0.3322872438619162,0.3406639161209736,0.38445273153665754,0.4415733093466351,0.32351291894923007,0.35176332641832775,0.4110474782929983,0.2680208774157145,0.24239543726235743,0.24820868262070903,0.2980196116131513,0.18115942028985507,0.2550499897980004,0.22178803400749852,0.22058012573067165,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062375249500998,0.0,0.0,0.0,0.0,0.11780104712041885,0.1659625829812915,0.0,0.1327360212377634,0.08431703204047217,0.0,0.0821557673348669,0.0,0.09419152276295133,0.08911332244170504,0.08944543828264759,0.13260645351407102,0.0,0.0880410858400587,0.07197351374694112,0.08538494378824535,0.09433962264150944,0.0901945625563716,0.08479709267110841,0.08272276057669581,0.0731528895391368,0.1679803592195374,0.0,0.0,0.07198387561186294,0.17686072218128224,0.0742611020347542,0.23693173404412854,0.11716461628588166,0.07202535292422932,0.24327200851452033,0.3252513305736251,0.41798789276448545,0.3549770743972785,0.44742729306487694,0.3645754215403312,0.4286589099816289,0.4120443740095087,0.3683241252302026,0.41768186564566656,0.29560076508433314,0.2544529262086514,0.24691358024691357,0.2547307132459971,0.338409475465313,0.2296211251435132,0.5092686901609289,0.43946385409800043,0.25712949976624594,M
Florida,0.0,0.0,0.04109476452699926,0.0,0.05559416261292564,0.0,0.0,0.035572419517400845,0.027777777777777776,0.03141854741582448,0.02553626149131767,0.0,0.0,0.0,0.024324136493154493,0.0,0.0,0.023248244757520808,0.0,0.023714665148928095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012233247247519369,0.009047668286630131,0.007139457401237505,0.017960979771446534,0.02176918136993458,0.01793324612852863,0.01860426657846866,0.03726090916618365,0.04429819010251867,0.042812342798428785,0.028252271047941934,0.03829239141786282,0.049353588366998095,0.04713412138276628,0.0513096168881939,0.05917365728010024,0.08076574659201292,0.08453549392881453,0.1344688480502017,0.15063351109707357,0.13375050753540804,0.14033402025361263,0.13993195968932537,0.19304783432097256,0.14346687708475306,0.1318833614609994,0.12531966703685213,0.12986257825674025,0.11898064028186423,0.10083343743865222,0.11162806551118837,0.11879673553080172,0.11562629581193583,0.10295258802830427,0.11581455011911307,0.12538049497433185,0.125740605331675,0.14260679546212407,0.1500353238505182,0.15496929992067923,0.15566997964315651,0.1649738474638122,0.1905158583240775,0.23673475682636624,0.23740519208238267,0.2873674808745291,0.31442470936650657,0.3685033096347144,0.4324290932116354,0.40736430007406627,0.4116329097906106,0.4812480462928634,0.4896750145272616,0.495074225465648,0.48489229217019414,0.46775998518625866,0.41273881084339364,0.3597214072505549,0.35889800239265335,0.3050001277933496,0.3510366946990934,0.3107297567477507,0.2985099798463601,0.30229640728996066,0.35270816564622465,0.3287125737255344,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005658348893792791,0.0,0.008249269350428962,0.01529285823520416,0.022530801977967245,0.018091688678221227,0.018116160823198346,0.022823919467602045,0.015430511264273222,0.01627184834637341,0.018343186917074688,0.023924118325874637,0.041026763125145305,0.049481743840825036,0.08259874612395228,0.09599338384062145,0.12886597938144329,0.09898144896069477,0.09024963389299459,0.09689587154375887,0.14235224818378167,0.13550359415021068,0.13448515916714132,0.10836845273931367,0.12723031716700492,0.11291439583270603,0.08232670229167602,0.1130590550024961,0.11322143281723229,0.11110956792266774,0.08599723196409616,0.12009396362868531,0.10912182309576074,0.12306610407876231,0.11593825311014133,0.1032169275761225,0.1454741379310345,0.11643807795935499,0.1378937407056915,0.14917479217239182,0.18375548622494844,0.1906303859612472,0.2309703291961725,0.2738707478778115,0.29734874404369405,0.36257704762261983,0.38457745784439407,0.4039883101254942,0.47120739244844256,0.4778633358172764,0.5058036193589178,0.46887894170897,0.4680372843260395,0.39898287464351445,0.36904092606207384,0.360310013677074,0.30853977905541674,0.32707432020575944,0.33419139231359796,0.31775994966179016,0.31912136331238256,0.30879638414960237,0.3206391287213843,M
