state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013824757375508059,0.04306261303935923,0.12378731611826008,0.19303325436518382,0.2505754494332916,0.38438876574731345,0.5040549673349853,0.6170525648049364,0.7124292921571626,0.7674221148194109,0.8004574042309892,0.8740341922175996,0.7865720907367091,0.7672811859875707,0.5804136766568172,0.5448223950679236,0.6494718375573887,0.5386991998732472,0.5618204599652399,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1490035388340473,0.17097264437689969,0.23219814241486067,0.5187549880287311,0.6007751937984496,0.7656967840735069,0.8259700345754899,1.101196126827416,0.9041250706347712,0.8094045095394103,0.646931974122721,0.6941689805632686,0.625130235465722,0.6430868167202572,0.550795593635251,0.669036169767928,0.5511463844797178,0.5660841742554762,0.3641092327698309,0.6879471656576774,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017385928988138934,0.009543441746831577,0.02036094400740398,0.03753753753753754,0.05629199201016888,0.13856074467518165,0.26238053866203304,0.3284072249589491,0.40340202373348577,0.5066789497927222,0.5088606368027397,0.680063404407629,0.6829962014183866,0.6764759018005901,0.713060372444867,0.7202582995281067,0.7424652362675391,0.6007760023363511,0.6828137078072661,0.6006605049094577,0.6219405491049258,0.4959534149230162,0.474425116013792,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262501640635254,0.0,0.0,0.04911591355599214,0.08987956138774043,0.16171053813673525,0.24191380700654067,0.3246899661781285,0.5449229133439659,0.6205594028239949,0.780148510198327,0.7824033067611456,0.7356031946195881,0.8854718981972428,0.7699923000769993,0.7459338194054963,0.6265594677016911,0.6486486486486486,0.6594973560691582,0.5725070776973891,0.7352941176470588,0.5381537187801849,M
California,0.0011215640884151403,0.0013601710188361016,0.0018509563660173665,0.0014419783943570579,0.004971117805549756,0.004361076621550901,0.007668691377482078,0.0065907811448736075,0.014761586452762923,0.02006976362906554,0.030411673618570653,0.05506733622460626,0.08746930713446548,0.18035155853099563,0.21218791520415653,0.24755295753142126,0.3472280939094163,0.3941147052806256,0.5364195993310322,0.571736547329007,0.640823512409181,0.6430254666202501,0.6749107082687513,0.6107889989120107,0.6434287116430607,0.6731219685735521,0.6358394018346241,0.6262042389210019,0.6042160855749004,0.5941497137937355,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.015343698854337152,0.017665615141955835,0.012632323589601072,0.026823380233607256,0.049948861879504314,0.05521176010490235,0.1114066798535798,0.1521865628217179,0.295084166051908,0.35615994819491664,0.4562931393894474,0.49860853432282004,0.5892175572519084,0.5983912105159899,0.6174109899156205,0.586669563800315,0.639450463531777,0.6481139316069245,0.5534895788290236,0.5713955904421101,0.47694753577106513,0.6110099289113449,0.5656073247711009,0.45527496642756543,0.42452199491910686,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257117982781414,0.025650891368475055,0.019636720667648502,0.026463777704267284,0.07774998309782977,0.11750881316098707,0.25386805722323236,0.31772097672426103,0.3470555658113347,0.39744123547446913,0.5574564607281535,0.6337394717474856,0.6383988267264806,0.6809777216559936,0.7481987807130981,0.6959138571495745,0.6844106463878328,0.6181801152062942,0.6056527590847914,0.5777516647081865,0.5560089777596409,0.5175054126841633,0.5790228300430131,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22176227084565345,0.33150763908907466,0.5028841887294778,0.5816554809843401,0.6076257025672186,0.7654623392529087,0.5388272583201268,0.8873263016909426,0.8353637312913331,0.9041905755520779,0.7633587786259541,0.9686609686609686,0.727802037845706,0.8460236886632826,0.6888633754305395,0.5907516805866775,0.5493298176225005,0.5142589995324919,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0038012407249726314,0.008484511909169443,0.003855614932025509,0.006166368625516433,0.010096695273969943,0.027407480719598636,0.04979774454523168,0.1050184940656829,0.19272337016491076,0.2538278883157291,0.33949069126702,0.42164491120654224,0.5000677695265408,0.6648445558793191,0.7229749857095702,0.7208278217772048,0.784924016293764,0.7548046716986978,0.6977516890021044,0.6869207263176503,0.6947684105298234,0.6754420730421877,0.6699306547722759,0.581516283360314,0.5775949509748676,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010575855322299191,0.007834125450462213,0.012690677428361125,0.02354544891257203,0.036079973126640706,0.07876673793181051,0.1553101272063899,0.2259387509516442,0.2533504681476042,0.3725914623327774,0.4175265725840123,0.5401485408487334,0.6266939908772394,0.6743372529186159,0.7669131744727472,0.7485624365780843,0.7239396767105144,0.7329438175519974,0.7376296497011847,0.7236117665565519,0.7354370504762522,0.6417444408025256,0.7129294593916813,M
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07129616426636247,0.13774104683195593,0.13568521031207598,0.23296447291788003,0.5086013462976814,0.6725380304243395,0.514839491217444,0.6124093473005641,0.9528346831824679,0.9758602978941963,0.8862876254180603,1.2566706834222758,0.8427932576539389,0.9005947323704333,1.084105612869383,0.9166067577282531,0.9152035861038476,0.7835051546391752,0.7525453740593183,0.7497656982193065,M
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04181301220939957,0.06672783384769372,0.1165307141668054,0.1977261492832427,0.4253611556982343,0.39644782746590546,0.4772709490650184,0.5732630130703966,0.6365565322825099,0.6989247311827957,0.7227498109084798,0.8067375886524822,0.7092198581560284,0.6477424271289769,0.5803830528148578,0.666539706722529,0.5509099852434826,0.49246231155778897,0.5528896307114542,0.4784688995215311,0.598404255319149,M
Illinois,0.0,0.0,0.0,0.0,0.0038023391990752707,0.003900673256204021,0.0048068834571105825,0.0057406693620476144,0.01237021581903199,0.013383633489196897,0.022521019618310423,0.04996358586115204,0.09525057893127102,0.2125482169566244,0.2514616206701452,0.34165935638764483,0.42128953658150975,0.45070209159857216,0.6019078595085576,0.680469389234705,0.6407387597830002,0.6683961890088477,0.6884301934105737,0.6657679390757296,0.6338526912181304,0.6607265580728005,0.6038571374655612,0.5762304921968787,0.5457664119756744,0.472535741158766,M
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02321917240235509,0.03132315605526064,0.07281101308904957,0.1191853331931153,0.21031042513991724,0.3319866502722642,0.37877434339824906,0.5548992231410875,0.7042253521126761,0.7533276692155197,0.7484019533886529,0.7830117764971185,0.6876498928200012,0.59460283579814,0.585459240461244,0.6135927529117765,0.4904298072338396,0.5069589504072101,0.4534365065674364,0.40702766757689735,0.48060142300979997,M
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052356020942408384,0.08198961464881116,0.16211941478845393,0.2902930767089514,0.39637599093997733,0.4762292412894823,0.5699709035832436,0.6481443256409197,0.6110680781478613,0.6984706687970783,0.8100638520918708,0.7208289532962907,0.6156820841601791,0.6143449546920596,0.5132374612531124,0.5082460325692355,0.4301769102543421,0.48399954447101695,0.4526503871351995,0.4595702397217737,M
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023903430142225412,0.01974957538412924,0.03531350545397473,0.09159332563418422,0.15124980098710397,0.2886059935162489,0.4043835173278337,0.49005594805406955,0.5627140760071766,0.5573863867529192,0.8691635875041989,0.7105802345350712,0.6503771284043178,0.7160588122971167,0.5928947493240999,0.5713717891389676,0.6523579503012797,0.5368175833080118,0.5677379030157821,0.4016288280247671,0.396593957774408,0.3849914446345637,M
