state,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010036734448079973,0.0,0.0,0.012086539623705733,0.0,0.0,0.0,0.009421341222136384,0.01691017316017316,0.008091269520187717,0.0,0.019268497757847534,0.0184314809694959,0.020653191606542932,0.029945242984257357,0.017162962327297693,0.021807397069085833,0.02314346052593514,0.020043810041948832,0.03172360091710046,0.03869137182408323,0.04339838268693853,0.056733564995390395,0.05285940826035402,0.06900095426851648,0.06935733785877665,0.08432338016292482,0.06555777469469896,0.06421299921691465,0.0700359952440673,0.07484177472625807,0.05638567803777841,0.07516395136892347,0.05846471654356596,0.0638060296698038,0.07896555127825486,0.05903187721369539,0.08832708500991227,0.051730827262145965,0.052053864433631324,0.05752680749229141,0.06713501330711871,0.08039760268966525,0.0713217531347061,0.07896437031896819,0.06387735547748323,0.06047980646461932,0.07122670771775842,0.05846859067309042,0.04966535014071849,0.05236349788165849,0.04733615772407754,0.04577430856702322,0.06469390200071883,0.05690979797021721,0.05237867504725468,0.03893991799711387,0.040095285266161934,0.026676367163817147,0.03674939363500502,0.04542242858584839,0.05149595756733096,0.03629669959295844,0.03382861901168389,0.028590736601341166,0.036790791790397605,0.015810276679841896,0.01658970885060967,0.02870840869290615,0.034545297521374904,0.026322716504343247,0.0,0.025251816727925702,0.01971164676728993,0.02306738560018454,0.0,0.0,0.0,0.01748068384435199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2145922746781116,0.0,0.0,0.0,0.0,0.0,0.0,0.17149717029669012,0.09818360333824251,0.0,0.11109053878911312,0.0,0.15712290502793297,0.15573628655476726,0.0,0.0,0.09609840476648088,0.0,0.0,0.12518255789693303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10993037742762918,0.0,0.0982640026203734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07009345794392523,0.0,0.056490792000903844,0.0,0.0,0.0,0.05434782608695652,0.14821748966378032,0.04073983541106494,0.09793634137810422,0.11337191956560654,0.03490198359606771,0.06207324643078833,0.04393431819429952,0.0670760022702647,0.06557991380925614,0.031236055332440872,0.08532787234950297,0.06215813028344107,0.0663544106167057,0.066203243958954,0.08707325037187534,0.08769160615945842,0.08668111351891981,0.09328358208955223,0.08620975496535031,0.07471810895258796,0.08021763392857142,0.07482229704451926,0.07107039917874206,0.07489750867234311,0.08647118937190472,0.05201173979269606,0.08791506052613782,0.07365002845569281,0.04136647247405977,0.04413362303096143,0.07505792513787814,0.06342424141269151,0.06244659173075659,0.07894903050590539,0.08292383292383293,0.05343532918975167,0.047131523133722604,0.05291805261566374,0.04232962326635293,0.039367172698865735,0.04989071557540626,0.03553502420823524,0.03710494150515104,0.05024073686414068,0.0469828818891204,0.04033477866290209,0.033801920744437594,0.03852392538523926,0.0420656223708986,0.044807429886555734,0.029934144881261223,0.02171124050133228,0.0308012166480576,0.028976548313564887,0.024812948541762102,0.011105969458583989,0.008937508937508937,0.025422189940076268,0.0,0.013900955690703735,0.0,0.013446734124449524,0.017471687923886974,0.0,0.011930936919432087,0.013098557287475908,0.0,0.0,0.0,0.01048679712242287,0.0,0.010736064588164562,0.0,0.0,0.0,0.015554921836517771,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015561780267662622,0.0,0.017034324163188827,0.0,0.0,0.019537246364676658,0.014755356194298531,0.04539722572509458,0.029912563276576164,0.02886627697192755,0.031485383516190756,0.01486951996233055,0.032812539438148366,0.03394876348157627,0.047818925668136655,0.06907178152064183,0.058115400581154,0.054913374152274784,0.05224516732202271,0.04561653599429793,0.08941705846721856,0.09600558577953626,0.10771156589327821,0.08676538639518741,0.10263327664066624,0.07130760317318834,0.09802595997836668,0.11636363636363636,0.08707833263923068,0.09658103148541626,0.13526207026113093,0.09145114679738084,0.12007422770439909,0.1160631383472609,0.08286311802075523,0.077396385588793,0.09553759802555631,0.09241030173972438,0.06956790600602922,0.06007689842999039,0.07204610951008646,0.0697759823723834,0.05053057099545225,0.04607764082478977,0.05025514148755219,0.062126271647122776,0.034967751962079414,0.019895746289443315,0.0715648854961832,0.024078012761346763,0.031295231389117086,0.04711240233991598,0.05299633102323685,0.02115506663845991,0.05134568482307132,0.03969829297340214,0.05288673424416042,0.038892009852642496,0.03051837642237433,0.0262501640635254,0.03551767004084532,0.02166941145878478,0.0223254152527237,0.03145784648570915,0.02245979696343545,0.03135919720455156,0.02254791431792559,0.026581605528973953,0.026980843601043258,0.028198138922831094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.017360680538677117,0.0,0.0,0.0,0.014911772015574516,0.016650520707193025,0.012220457045093485,0.01079414032382421,0.012105255193911056,0.009083339641208084,0.0202020202020202,0.01038021234948692,0.013894892854937318,0.02369518513837988,0.019624838503933144,0.01720739605168476,0.028972247636474536,0.016017473607571896,0.057340944040451425,0.046445712108039876,0.048806563320705605,0.045449260656794666,0.06050693466196478,0.07096852965416196,0.08831701733051625,0.0803175836257464,0.11680915278637184,0.11395558382360736,0.1273813760935129,0.10348183134360239,0.08504507853889767,0.07043712450797597,0.08088235294117647,0.10509784489476229,0.08875302006804398,0.10912858801569687,0.1033184295598707,0.10024807149896355,0.08670539072839047,0.09973909310082894,0.1087593343669786,0.10741205833445548,0.10867815166639833,0.10836232363797615,0.09389056290667715,0.1015008765984797,0.0872024510959227,0.08728108767846499,0.08787848477487391,0.0818573394577398,0.06769849301772941,0.07077859844828929,0.06396075067346908,0.05460494949042172,0.04908279199993171,0.04148644707602699,0.03635591212490094,0.0417069965454016,0.0443692737091196,0.039217717528839825,0.03945627162675066,0.03510015024176459,0.030386472067940394,0.03486238532110092,0.027131642730528524,0.030291890302183662,0.021924276920482336,0.02431382517254527,0.025290844714213456,0.026821455139851118,0.02345883811726068,0.021534030497570692,0.020855955622153557,0.020360520026191032,0.019707038056213124,0.019635915331921536,0.020266179594265955,0.02168388596391484,0.01839926402943882,0.0169897504456328,0.013568290904156986,0.014787327539304994,0.010842273453549418,0.011719743766382629,0.009596170563464556,0.010198618087249176,0.00883100308800237,0.010991798427327303,0.008240321884021731,0.006227093192897556,0.0072491403465089095,0.006569180034948038,0.0043515518303296466,0.006065098726329267,0.0044759058544848575,0.007156781220606078,0.008101415634323234,0.005052072432284186,0.0049698749120714435,0.004068795189056568,0.005967070296350284,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028712530148156654,0.0,0.0,0.035317860746720484,0.024013063106329842,0.05780625270966809,0.057920648711265565,0.05873830128832674,0.09069661980674644,0.0655896161281414,0.052034550941825373,0.03694002283565048,0.060189438337504356,0.06668889629876625,0.08347245409015025,0.07211885186787827,0.09272528028323358,0.08648414907705197,0.0621235448234881,0.07054290908104295,0.08552262340647299,0.08643268727082241,0.09518174568466545,0.09234341195715266,0.1218092737460412,0.0796676719968133,0.0915317362623489,0.10427528675703858,0.05913466276815926,0.0642756138321121,0.07729886834456744,0.07926721860137396,0.1190803334249336,0.09926670722725671,0.10217766140877452,0.08244807356905026,0.0689849800884262,0.0740306610321108,0.07027612661415478,0.051609943515784046,0.058660409556314,0.060678077516244024,0.03142829513586694,0.0412948220881415,0.04353105597177355,0.023162624788641048,0.0436851907203458,0.045982296815725944,0.03808798324128738,0.06289156043637067,0.0536389125929538,0.05610577157632824,0.022095649612098596,0.04900999803960007,0.04272108159726585,0.03310415075120957,0.025572831423895256,0.03785488958990536,0.02273818246128193,0.019507912897168914,0.0,0.02300490004370931,0.01364163426778528,0.011190188442773377,0.015648402745176936,0.0,0.011581044146940288,0.0,0.014312977099236643,0.012262114969589956,0.0,0.0,0.013961800513794257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024207946258359307,0.044787431957555295,0.06632920230406703,0.04512380844943313,0.03819126183929117,0.033228110981890685,0.05727868946358507,0.03411998862667046,0.03440154542327132,0.04655835722512191,0.047556770895256215,0.0544489314397205,0.04598305196084872,0.03650732293948374,0.0663129973474801,0.06757725308705179,0.04673182030599183,0.05667442566541848,0.048863913999511364,0.06912297605831466,0.037153236459709374,0.05579665220086795,0.04984288655325604,0.03180517061202236,0.04528985507246377,0.03897211058336378,0.05788432781824321,0.04559854084669291,0.040549307958477505,0.053027231042764904,0.04351610095735422,0.023878560463926318,0.03134905430352851,0.01774685880599134,0.03828483920367535,0.05155525004296271,0.03615566657901657,0.0291743654575513,0.02842165098212594,0.031002945279801578,0.021253339810541658,0.0294611554665174,0.022764782880883273,0.03637890023786204,0.029371712370831218,0.026148576210025365,0.02061961956801897,0.025595740868719446,0.02663825253063399,0.01935144997650181,0.03970842669540801,0.0,0.02699946001079978,0.01828042166839315,0.03546899687227936,0.03206361421059382,0.0,0.016539861065167055,0.020282604286390372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06888001102080177,0.06512960791976032,0.06165988407941793,0.09027307605506657,0.10731916720326251,0.0,0.05156765676567656,0.07209062821833162,0.07333682556312204,0.0,0.06487187804086927,0.10646225912913873,0.0653950953678474,0.07109847138286526,0.062375249500998,0.06402868485081316,0.09033423667570009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08003841844085162,0.0,0.10396554284865588,0.0,0.07367025195226168,0.075007500750075,0.0,0.0,0.0,0.0,0.06442468754026544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276944380336949,0.0,0.0,0.0,0.0,0.0,0.017742450587275114,0.016362327377446167,0.03544737541724515,0.02006974235468252,0.03953120639940471,0.04390931570797994,0.04915160063255973,0.05710913555805144,0.07337890549569381,0.039907263121888185,0.04533173765616784,0.028287131019335086,0.060874722941966095,0.0576385486613447,0.06388473562593448,0.06333367800641092,0.07258448357924797,0.06398599043577827,0.08707672547973833,0.08333684965610363,0.07958491814122706,0.08901217189699429,0.09492469307682572,0.08134345131701469,0.09236319381057939,0.09747154179092354,0.09991092279172786,0.07318192530482132,0.07696442533229085,0.08702008423544154,0.07421717254401188,0.0658718134510243,0.0530798084408691,0.04737666881278927,0.0513506412859156,0.048042277203939464,0.0680403106746261,0.04276376076730405,0.06336453737909926,0.05141215785767774,0.06316926305922628,0.05911654681836683,0.04796118833067395,0.0526475469812432,0.036641273412069464,0.047193223704017115,0.031099486459762047,0.04532987084828323,0.038116181051859994,0.03134512374358296,0.03690213417342637,0.04824508503196237,0.04078630162926708,0.030846969652457475,0.04265956172913423,0.04029315168470989,0.04010860175243737,0.03238716542901427,0.03545661959671949,0.031066754689138287,0.023600886175209935,0.020685216964942386,0.016988285804742823,0.016627114288737397,0.01712035610340695,0.016720098285099485,0.016298878920589024,0.014267268745407721,0.009788198444429385,0.016101892777495994,0.010046380791319927,0.007653646962777764,0.006024666706831112,0.005963689649590636,0.0050508876935121344,0.008330556481172943,0.007589236775754919,0.006969369620517823,0.005426279471480379,0.007513430256583643,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011153867603591546,0.0,0.021302279343889795,0.0,0.017293694090273082,0.01358757190090131,0.012179711645326797,0.017394879579992726,0.0246561832228371,0.034366791859979866,0.029243111975690076,0.047776506531551355,0.02548549875121056,0.0173093804478184,0.03819664108287477,0.04735409020954185,0.04461681024127398,0.03771342369317273,0.04938493310586334,0.05771515871668648,0.0512712950663031,0.08131422645422834,0.07999341230722175,0.07945072276441081,0.08684010565546188,0.05314073841471515,0.05766042812867885,0.08229606007612386,0.05830745657450472,0.06490666139887966,0.06895775282163866,0.06974549731274701,0.07031616230011979,0.06770389026553465,0.06941060062321859,0.049683269159110664,0.055876624413295446,0.059598814834996426,0.06575076997612209,0.07035800772301852,0.057836899942163095,0.04746535029428517,0.046658639373871165,0.05452727878585926,0.06022101111077655,0.05089287050758154,0.03523918597480398,0.049534376857539135,0.045832696768100444,0.06046680372475511,0.0448702721250033,0.03933461065079748,0.05023106288929073,0.04559369504331401,0.03572893646865778,0.04445043103448276,0.05551117670155296,0.05002027849128025,0.0420401687031286,0.04494738511977156,0.03264218937692589,0.03172669357090281,0.017349278146105707,0.02737101409607226,0.030006376354975432,0.018489300857903557,0.02333063189174587,0.015910898965791568,0.027205090900488504,0.02385866129051499,0.015004126134687039,0.017187809876379984,0.014048692769137833,0.018740359526589687,0.01764783740459138,0.016555793022485776,0.016353716010287973,0.016559032952475575,0.02044989775051125,0.019438864770297413,0.015526075180706264,0.01791280048722817,F
