state,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011316057485572028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011693718134618085,0.0,0.021421430951587567,0.011834039431019384,0.019273393080851884,0.01677249311129747,0.021341174238831452,0.027328004372480702,0.022905834115949333,0.030661100497653245,0.026676367163817147,0.03184947448367102,0.04037549207630968,0.07209434059426335,0.08037126338440798,0.07025943948580499,0.059780631075531526,0.05781410138491053,0.04479578392621871,0.07741864130284513,0.0574168173858123,0.06333304545585398,0.04972068673042613,0.052446024299991255,0.05330939087006538,0.08447848614552828,0.06343531040050748,0.08561382051674056,0.08164065051270329,0.09417145932129284,0.06642659860853756,0.10183299389002036,0.08332465368190813,0.08794146616012383,0.1362055987669809,0.12690829009742077,0.1465578705537511,0.12125621438098702,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06863417982155114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12658227848101267,0.13373453694416582,0.17114495978093444,0.1774937877174299,0.10666666666666667,0.12886597938144329,0.09312721177127957,0.09498480243161095,0.1741486068111455,0.2194732641660016,0.0,0.0,0.09604302727621974,0.0,0.09417969485778867,0.13490075158990172,0.15683199372672024,0.1190003966679889,0.0,0.12057877813504825,0.0,0.0,0.0,0.0,0.0,0.1926252063841497,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026781828529342838,0.017236030197524906,0.0,0.02284371634631074,0.020028707814534166,0.0,0.0,0.0,0.0,0.023565761566861302,0.0,0.0,0.0,0.03326047705027084,0.04219784124727935,0.04147022874105116,0.03558718861209965,0.03268374392286637,0.03226782293032167,0.037778617302606725,0.03852392538523926,0.0420656223708986,0.0325872217356769,0.07583316703252843,0.09276620941478339,0.115504562430216,0.09658849437854962,0.07825622232401894,0.07959278111985192,0.10367510367510367,0.08171418195024514,0.056845433712895035,0.06602953953084274,0.0769704433497537,0.053786936497798095,0.04288505217681348,0.0549246401628354,0.04772374767772835,0.07859134372485545,0.07025714113655981,0.08474050802967985,0.05174269393161685,0.06292078273453722,0.06258083357670324,0.07944687795241777,0.05097856683733404,0.06621420294653203,0.03947887879984208,0.0337023306457885,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01819306480369683,0.0,0.01972931381446553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08542362351479382,0.05439428082990132,0.03979149257888663,0.08349236641221373,0.0441430233958024,0.07432617454915308,0.0863727376231793,0.07337953526294333,0.07615823989845567,0.07701852723460699,0.12791672180318467,0.1366240634640811,0.23767339354392636,0.11335396956881894,0.1268757929737061,0.12875155389806428,0.16035364479500738,0.11609215931416325,0.14830127628977172,0.11229898481717726,0.08959770629871876,0.1262683201803833,0.0708842814105972,0.08993614533681087,0.08929410658896514,0.1427024899124102,0.09457755359394704,0.15906680805938495,0.0934990650093499,0.1346045989904655,0.1386193512614361,0.13655761024182075,0.14259402293387202,0.10066058508965083,0.09847689075630252,0.11039050641644818,M
California,0.001561416767117812,0.0024954302433668344,0.002545476529115479,0.0,0.0039028128636711987,0.005358444193589872,0.002144733784918947,0.005526407593284033,0.004741150135292105,0.0048911162279711646,0.008557492084319822,0.0042680688695592795,0.010268922543571039,0.006944387709250742,0.005901933473405887,0.0072052666707117284,0.007029590877810911,0.006983410907389496,0.004920581809593166,0.003445888585024168,0.0045871559633027525,0.005124865849099832,0.010587456804646718,0.009275655620204064,0.006078456293136318,0.010648776721774085,0.010121303826358912,0.014123178050187552,0.013907394696347738,0.013375015018555,0.013650803199378078,0.019226378591427437,0.020381583002754,0.03104060418868583,0.04416108482894852,0.039544686869241646,0.03787878787878788,0.028549945444163654,0.03515477867834772,0.024823099748915774,0.02658380903106304,0.0265305892048726,0.02096382606823442,0.02649300926400711,0.03015698542882106,0.03097224432270237,0.02876323998624109,0.031202821491494868,0.030218228160760974,0.036486088423533194,0.03672754228721612,0.03615154728622385,0.031012718622626334,0.032405662537292934,0.028147260694154755,0.03975899929657155,0.030922843436829918,0.03452376385745522,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015266709413453025,0.0,0.01915831151414522,0.0,0.0,0.0,0.017569031653538694,0.014336095421051123,0.013331911262798635,0.0,0.0,0.0,0.011455541045203564,0.050957774535010304,0.04138597015611707,0.03218760777100816,0.049990478004189674,0.03386468638881498,0.04388638303059856,0.05854515294921208,0.04664637140331926,0.03920799843168006,0.06031211519614003,0.05856888209829386,0.09206219312602291,0.12870662460567822,0.08084687097344685,0.09022409714940623,0.0880051375972219,0.09201960017483723,0.07502898847281905,0.06266505527953091,0.09389041647106162,0.08788362358056384,0.046324176587761154,0.07421150278293136,0.07395038167938932,0.06621542083578576,0.10804692323523359,0.08963007224727036,0.0642242823634536,0.08812075385883623,0.06342068090749228,0.06637423525337642,0.07804596039890158,0.04112566829210975,0.04687353520202494,0.08188398676754774,0.03342692873378794,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03960758028151849,0.01612227130558153,0.019238168526356292,0.022909507445589918,0.0,0.0,0.0,0.0,0.017849493074396684,0.03322872438619162,0.0,0.038445273153665756,0.03270913402567667,0.03450804468791787,0.03156850365292685,0.050803620912617774,0.04702120656416044,0.04752851711026616,0.0749309230553084,0.052874447221688145,0.02448100274187231,0.04590899816364007,0.07392934466916619,0.03308701885960075,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08643042350907519,0.0,0.0,0.0,0.0,0.0,0.0,0.07654623392529088,0.07923930269413629,0.10045203415369162,0.12182387747998608,0.0,0.0,0.15194681861348527,0.12736535662299855,0.1128031584884377,0.13394565633371602,0.1425952332450601,0.0,0.1402524544179523,M
Florida,0.0,0.0,0.0,0.0,0.0,0.008682601307351682,0.0,0.005801338949029436,0.006548574048001048,0.007685044902619502,0.009436410389487839,0.0,0.00597100480068786,0.007585622716411495,0.0,0.0,0.013151130399435695,0.00782358923921183,0.010188590816004239,0.004845618591669413,0.004611652724103264,0.0,0.017894575387289738,0.008950438978348074,0.007176804567637396,0.012292846331737824,0.017592083562396922,0.014627724413672046,0.020501185651903536,0.01844665015927973,0.011653229036933452,0.02570580804371456,0.032930188001436954,0.0463751368446661,0.08484511909169443,0.0462673791843061,0.0470185607695628,0.04970680750262126,0.06547342616348563,0.06205565089482716,0.05173705222353495,0.05441601039950421,0.04838361507484573,0.05452205962532441,0.04747934294258543,0.060635892167982826,0.06324682071785141,0.06279738183223438,0.05692949115081292,0.06973322788308628,0.06282866708552444,0.08434361075849613,0.07744694463385272,0.09163612129290237,0.06577338538987595,0.09147297626929644,0.0768722925126387,0.08452609038656599,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006510755768529611,0.0,0.007384106449278573,0.0,0.009578849899422077,0.0,0.0,0.0,0.018177311410394116,0.01423960508828555,0.009030704394942805,0.0,0.007527626388847069,0.0,0.01761959298740199,0.015567947012369441,0.024999652782600242,0.022843014740463043,0.02111542217647214,0.01903287612135362,0.03139441430580671,0.022145509021038234,0.027789172808956052,0.030980603448275863,0.03384827847655668,0.05813167500337975,0.0895048753034351,0.05287927661149596,0.05614456572831253,0.06218431939896951,0.06691864427783631,0.059718576209612205,0.06876461248015203,0.06039838280248496,0.06508018369802794,0.07833057952389695,0.056775841879280364,0.07396185000059646,0.08127234989622147,0.060818404177959945,0.07726781023025807,0.12685781833383789,0.12647616806623824,0.12793112790102645,0.12636962371586163,0.14300983004410725,0.13056473179172565,0.1555109181623793,0.14836027394897094,0.13076344355676567,M
