state,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013743500469569599,0.03537819288190759,0.09215472292955014,0.14699757454002008,0.10850913495508226,0.17508625572892528,0.14518679837183376,0.13791667750917275,0.17674273535374538,0.26279136993141144,0.1976284584980237,0.2599054386595515,0.28995492779835214,0.3627256239744365,0.35389429966950364,0.3234171498499461,0.31143907297775036,0.2787790042802433,0.31429312880251437,0.36385873719614736,0.2710469597021749,0.39686543571116273,0.33213299304268784,0.35817121988903716,0.3819046627087456,0.372871816518925,0.31542349188142943,0.3135381284759807,0.3327259763922998,0.3516430217048624,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06693440428380187,0.0,0.13082155939298795,0.14701951349906442,0.31689170570405073,0.39952648712636873,0.39556962025316456,0.4012036108324975,0.41074790347424267,0.3904863329783458,0.4977777777777778,0.4418262150220913,0.428385174147886,0.5889057750759878,0.38699690402476783,0.578611332801277,0.7558139534883721,0.47856049004594176,0.4994237418363427,0.47465350294285175,0.37671877943115467,0.4239737907111196,0.6861399725544011,0.41650138833796113,0.5417795374036257,0.3416398713826367,0.5099959200326397,0.48086974702069835,0.48500881834215165,0.39379768643859214,0.5981794538361509,0.4402861860209136,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013095861707700367,0.010466820180029307,0.03268374392286637,0.024200867197741255,0.06959218976795976,0.09732360097323602,0.19229998798125075,0.2953216969795719,0.24146876870884057,0.23487614724168557,0.2733607977515112,0.24147123594637407,0.2748511223087494,0.24618232299861176,0.26455026455026454,0.2905393136008716,0.3233084042420905,0.3197219808861859,0.37116858237547895,0.2941473089723333,0.31766705316158134,0.32147068801188955,0.3374750728639362,0.34430493441365245,0.38139590902703896,0.31829361552611457,0.2897590860170544,0.32718807021959356,0.3129041678835162,0.2533711242806837,0.28592326617461267,0.23884408919999053,0.2936241610738255,0.19443652295647212,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019559519618198178,0.0,0.061149612719119444,0.08462026655383964,0.08985494844037482,0.12791672180318467,0.15866020273248127,0.1512467049824986,0.17003095435322843,0.20562628516428227,0.18646776771443793,0.14735199791973652,0.28130023218431865,0.31008448678770445,0.4177522235198993,0.38527013708449065,0.4103720405862457,0.29239766081871343,0.2518212069430704,0.30078014851019835,0.41334514319456744,0.4255989911727617,0.3711558854718982,0.43449565504344956,0.3701626472237801,0.4380371499861381,0.26173541963015645,0.3802507278236587,0.34602076124567477,0.3807773109243697,0.3104732992962605,M
California,0.002959827738025647,0.0031425349083252733,0.003280387873062111,0.003445888585024168,0.003975535168195718,0.007838030122152685,0.004705536357620763,0.007589172780166962,0.00939397790757431,0.01943401751723771,0.027580552926828036,0.02728885250375222,0.0423951225420923,0.06324795237587873,0.12331996788590704,0.17520037491438253,0.17473479086507393,0.17085158999722944,0.17267777481019989,0.183168792651279,0.1880013368983957,0.18288925447894935,0.17967997991155504,0.1985847979913262,0.20638182925190873,0.2193007214062341,0.2000062324888311,0.1652252190658508,0.17333220596939206,0.18640176399718125,0.1764343071320974,0.22062601054592332,0.22072444917425404,0.21356077444233187,0.21362625513848643,0.19280825219319386,0.19493708848507982,0.20711445186878522,0.2129087667891193,0.2117931308682754,0.2083223136796963,0.18455295987997664,M
Colorado,0.014336095421051123,0.0,0.0,0.01450536698578474,0.0,0.011455541045203564,0.011581312394320524,0.0,0.020692033567076676,0.028565987430965528,0.07014827894825959,0.08533463367060831,0.07318144118651511,0.18658548561327704,0.33326798666928054,0.40459377277410596,0.4227145403615992,0.3912643207855974,0.4012618296529968,0.4042343548672343,0.3901582579433783,0.37342720548010366,0.365777910694978,0.3387672509833345,0.434179311579607,0.4180359019068696,0.4232290293485048,0.3729096215314773,0.37569573283859,0.3745229007633588,0.36050618010594465,0.3807367771146326,0.4155576076918899,0.34904501284485645,0.3723812501776628,0.3516965032142754,0.39247373888953013,0.332417979476803,0.42300687386170027,0.3843629886566045,0.3897677770135272,0.26741542987030353,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03917727717923604,0.048062802061360176,0.04706743717804565,0.06185885870405691,0.11006168573549362,0.2210974960042621,0.3206811710391728,0.3942479507615509,0.376510419706964,0.3599928001439971,0.38084211809152396,0.4772192306452133,0.47133512889572915,0.4254622811323842,0.42672841548130996,0.574673788114394,0.4492984032625977,0.5557652063535627,0.603312865914608,0.48366254384345575,0.4693591733222302,0.46134327784398904,0.43339602584021586,0.47879912004486047,0.45548840984937317,0.5357472750785147,0.4561057036723562,0.4657794676806083,0.4214864421861097,0.4037685060565276,0.5581668625146886,0.4896959804121608,0.4541374029677351,0.5018197860372781,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07090522335145355,0.0,0.19382349140715854,0.2558922558922559,0.28715985231779023,0.4031097034264325,0.3389830508474576,0.4455666122085252,0.3998223011994669,0.39543057996485065,0.3601267646211466,0.47133951649688305,0.4583086930810171,0.403574517151917,0.5620470344623576,0.4921700223713647,0.5164818471821357,0.4898958971218616,0.4120443740095087,0.3850661309224845,0.41768186564566656,0.24343592418709792,0.3635041802980734,0.3228869895536562,0.41848617176128095,0.2820078962210942,0.5740528128587831,0.42778569973518027,0.4614370468029005,0.21037868162692847,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.004260613187449937,0.0,0.004784536378424931,0.008451331853069755,0.016126076598863844,0.01671739932991091,0.03006840562279185,0.03902175995232251,0.10997734903605946,0.18508181791474485,0.17063824691653692,0.1946235251185987,0.23370973713439466,0.23750587981277135,0.2566750940371215,0.26018407052153314,0.28397195301139694,0.288060799215494,0.28880085868062794,0.3582387351300694,0.3721816544218902,0.34676029921706325,0.3188911093158723,0.2832052845963433,0.28536363157221056,0.2978850163836759,0.3482745340990908,0.3095474993834562,0.29434800196232,0.310111861778713,0.2971605593016306,0.2999000333222259,0.28923424600932635,0.30316757849252535,0.2975409910195075,0.2864495285322514,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012093360744951022,0.018475994404413124,0.016495159305173136,0.017580872011251757,0.06513385006187716,0.0913072820865699,0.1454741379310345,0.19632001516402875,0.22576720292010274,0.19528336429840384,0.2511765639046058,0.24938632683971382,0.22716312596766414,0.20323440114009542,0.2450949898602834,0.26255579310603505,0.2921309535548762,0.30943785456420836,0.29618750382473535,0.2791478892397951,0.27318167177639663,0.25507014428967967,0.28822635023467974,0.29642741742880824,0.27245599619426547,0.2808947453564128,0.28596369766111795,0.29436688818518353,0.25290159418326336,0.32562529495044834,0.26566448519406466,0.3001707868269878,0.22749256618779778,M
