state,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018405613712182217,0.043071474719437196,0.05018935073230825,0.03135989964832113,0.05284562185511109,0.0982272323307919,0.06385545018092378,0.04522302089779597,0.0520697734964853,0.04577430856702322,0.06469390200071883,0.06165228113440197,0.054656008744961404,0.0412305014087088,0.0778320243401967,0.024251242876197406,0.058799029816008035,0.04037549207630968,0.03604717029713168,0.023333592595473282,0.05464623071118166,0.05198315745698394,0.04993036028696818,0.07378129117259552,0.07741864130284513,0.07464186260155599,0.07196936983619771,0.0672691643999883,0.04370502024999272,0.05892090569849331,0.04505519261094841,0.05190161760041521,0.051979819599449625,0.0620468943896545,0.06726532808663774,0.06642659860853756,0.028091860383453897,0.027774884560636044,0.04572956240326439,0.0,0.05225635474599678,0.0,0.036376864314296105,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10285420416559526,0.0844187168355041,0.0,0.0,0.08482792050412022,0.06398771435884311,0.06693440428380187,0.0,0.06541077969649398,0.10692328254477412,0.08266740148801323,0.11837821840781297,0.09493670886075949,0.0,0.0,0.10649627263045794,0.0,0.0,0.11175265412553548,0.17097264437689969,0.19349845201238391,0.09976057462090981,0.15503875968992248,0.2105666156202144,0.1536688436419516,0.13290298082399848,0.15068751177246187,0.0,0.09801999607920014,0.09916699722332406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031579612202362155,0.030712530712530713,0.02812385746829035,0.020947343614987825,0.03275879447636327,0.09959911356788925,0.049208965873582165,0.03326047705027084,0.04886065828632346,0.04801815959490134,0.052334100900146535,0.05719655186501613,0.07461934052636886,0.05169705525619868,0.03852392538523926,0.03405312287167982,0.04684413124503554,0.03192975454001197,0.03947498272969506,0.0365764447695684,0.03284008808870687,0.04771720873415789,0.04072188801480796,0.03753753753753754,0.06537134556019611,0.07105679214111879,0.06950477845351868,0.04447181171319102,0.045382727670017144,0.05400339903746883,0.06138636253493369,0.04601932811780948,0.06175034149810071,0.06222775357809583,0.04547051650373065,0.02069707757264674,0.029363031942784036,0.027118361216571404,0.0343554066821266,0.022164594277101757,0.014188757774256865,0.0,0.015554921836517771,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023189302002009738,0.03604613905799423,0.03791900500530866,0.03305178112376056,0.027208768997551213,0.08063587144338209,0.03865780114427091,0.031063135823561388,0.07382080969772321,0.05570808961044128,0.05566157760814249,0.05618202977647578,0.039119039236396355,0.05103843586824232,0.04891969017529555,0.04231013327691982,0.038509263617303495,0.030876450090423887,0.0,0.02592800656842833,0.02179884030169595,0.0656254101588135,0.04883679630616231,0.10834705729392391,0.0669762457581711,0.11234945173467553,0.07187135028299345,0.07615805035391093,0.09019165727170236,0.053163211057947905,0.040471265401564885,0.10809286587085254,0.08857395925597875,0.12084909625893234,0.0848356309650053,0.0934990650093499,0.056085249579360626,0.0,0.03982930298719772,0.035648505733468006,0.0,0.0,0.0,F
California,0.0015481218186096627,0.0,0.00218350146294598,0.0015909228306971743,0.0020201340022221476,0.0,0.0021433776774359486,0.005719290093117192,0.0,0.002709228648738346,0.0052673559378151,0.004889995476754184,0.0038412619826033514,0.003696812115685574,0.004084933946618083,0.009049631325889028,0.03071718949092895,0.03884773906158662,0.04329714762581488,0.05314228354360619,0.05544747995902525,0.08837920489296636,0.06963788300835655,0.08205279023601206,0.06914579644152122,0.06990224737106766,0.07640497297872906,0.07388551793242006,0.0677433794610691,0.06549934276344418,0.05372675524402601,0.04372884414716029,0.04518198968985448,0.040266054224953024,0.03617128256698101,0.03331914184699109,0.04421315684686045,0.056818181818181816,0.07603896360871311,0.07840073657631516,0.07846382104542342,0.07717880041276366,0.06322182959459002,0.052976155064322114,0.0564044713362732,0.04650376257715397,0.03892841717624059,0.05129938677958462,0.05074398242556236,0.04401350623415185,0.038829231716787614,0.0272929442684817,0.029954139180014046,0.030671919516883188,0.0190207149675415,0.018403978146178106,0.010322047894302229,0.010171987972641421,0.014491456433993546,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04099440719159029,0.04300828626315337,0.03199658703071672,0.04298030490733952,0.033845856300164394,0.10553121200302829,0.0710243544802621,0.10191554907002061,0.05748051410571816,0.06437521554201632,0.06427347171967245,0.09433734065455601,0.06339144215530904,0.07562082255939893,0.049101443582441326,0.051460497941580086,0.03518206719774834,0.03819709702062643,0.03324468085106383,0.020189274447949525,0.05810868851216492,0.043892804018630056,0.07135551697072046,0.07361568013986979,0.07730259418411659,0.07833131909941363,0.08494847204524623,0.07863271583524133,0.08338351785797007,0.06725417439703153,0.05725190839694657,0.05150088287227781,0.09261164848734307,0.0651855070889239,0.0698090025689713,0.06822251911651837,0.04035861512294964,0.057716726307283854,0.037577684636508166,0.026437929616356267,0.02187431642761164,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020467337540508272,0.0,0.01774685880599134,0.08701099819017123,0.06186630005155525,0.07231133315803313,0.1166974618302052,0.1452662161308659,0.23562238412649203,0.17609910128734516,0.14730577733258698,0.125206305844858,0.1986847628375542,0.1548690288643828,0.14904688439714456,0.1881540285581731,0.19452763060226777,0.20777836973894515,0.17139855693473033,0.14181580962645715,0.16052769832467456,0.17999640007199855,0.11882274084455548,0.2095895269725599,0.17955623957932537,0.2061855670103093,0.20178630499503805,0.21972821310256235,0.22119306006774037,0.19554701705032765,0.18920462658860487,0.12922281705741184,0.18925773117831865,0.126869401407097,0.15945702837517375,0.11646465082172282,0.11274465590331018,0.11546277480140403,0.10344665444115297,0.08079847908745247,0.0561981922914813,0.02884060757546626,0.05385820603211908,0.05100999795960009,0.026403337381845065,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0821557673348669,0.08003841844085162,0.0,0.0,0.11926058437686345,0.1620745542949757,0.0,0.0880410858400587,0.18713113574204693,0.18500071154119824,0.12129380053908356,0.14173431258858393,0.13325257419745606,0.18908059560387616,0.21945866861741037,0.18090192531334798,0.0808080808080808,0.1093942294543963,0.08638065073423554,0.08843036109064112,0.17822664488341008,0.14808233377758032,0.17574692442882248,0.12964563526361278,0.21286300745020528,0.192193968066233,0.21620063418852695,0.13311640289897944,0.19388516032811334,0.10633449794926325,0.13778322106552357,0.12678288431061807,0.11719403984597354,0.15663069961712495,0.10432968179447052,0.0,0.0,0.0,0.09400263207369806,0.0,0.1018537380321858,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009718291038520876,0.0,0.0,0.0,0.028101899932799802,0.029888932725990223,0.03576497937925408,0.034641208774414414,0.04942530963502801,0.0820874184890381,0.06335552263844521,0.08436014111150876,0.06753513047299002,0.06618608656821154,0.08989143880083283,0.0820963899578523,0.08010420512248978,0.05877006553545681,0.06385378901289138,0.0517112038513922,0.06830400423044156,0.04116273500179619,0.04333414426468799,0.04242255954584721,0.055520855021167326,0.07168403527162853,0.07300687351947498,0.09668750142747295,0.08350698700661928,0.0949799615446985,0.09447224027691703,0.07294760426669049,0.07051519711541956,0.06590416259194694,0.060635892167982826,0.07604677252979754,0.07648399069310598,0.07534785593489945,0.04592188177666658,0.04475466696503111,0.035782137897543816,0.0286216969299021,0.019993335554815063,0.02361095885790419,0.014809910443600378,0.018087598238267933,0.017844396859386154,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04417828391910466,0.039659588531768986,0.03797228023542813,0.03762793497892836,0.046954045621156584,0.07527626388847068,0.05238971964015746,0.04404898246850498,0.04104276939624671,0.049999305565200484,0.044342322731487076,0.03959141658088526,0.043141185875068204,0.043952180028129395,0.03647495603465121,0.029112466752239677,0.04445043103448276,0.031140416198432146,0.0189265918615655,0.035259496331656245,0.031727565966897575,0.04700475270277328,0.04187923551359172,0.057004771051490176,0.08460131629695063,0.08001700361326783,0.05670052263090425,0.060168471720818295,0.0599718499479836,0.050861691683521996,0.04175265725840123,0.04751306609317563,0.04363059430157996,0.061814248184206465,0.0418054174054693,0.03529567480918276,0.040636946509737815,0.026760626198653048,0.024085866112691746,0.029888312096901053,0.01781895937277263,0.024151672503320853,0.01791280048722817,F
