state,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021926618915363252,0.0,0.0,0.0,0.0,0.011488178664154585,0.0,0.0,0.016661112962345886,0.0,0.03854678616170377,0.05990176111177668,0.08299345537323342,0.22545603607296577,0.2130242572783288,0.38208448312460197,0.3904450103067782,0.4434426831957273,0.39113757948925,0.399093671146815,0.3940784527235488,0.3148663769549038,0.3196964183604512,0.2680471973300397,0.25296442687747034,0.1824867973567064,0.13780036172594953,0.16121138843308286,0.16378579158258022,0.12237405669997961,0.12345332622541456,0.10700608245100247,0.10668665840085349,0.10395963919889925,0.1142969107177846,0.1311673897689436,0.09439569275950076,0.1053444764379521,0.1145713988126237,0.08442380751371886,0.07885587297035736,0.06345414504871039,0.04753228234175711,0.04850248575239481,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878348704435661,0.10285420416559526,0.1567776169802219,0.13726835964310227,0.23923444976076555,0.1454192922927775,0.28154594317890963,0.4016064257028112,0.5457380457380457,0.5232862375719518,0.6014434643143545,0.4133370074400662,0.6066883693400414,0.4746835443037975,0.36776997659645605,0.2567174396714017,0.1952431664891729,0.2488888888888889,0.16568483063328424,0.09312721177127957,0.11398176291793312,0.13544891640866874,0.23942537909018355,0.13565891472868216,0.11485451761102604,0.13446023818670766,0.09493070058857034,0.15068751177246187,0.09635767970707265,0.09801999607920014,0.1190003966679889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015710507711240867,0.015119443604475355,0.027389756231169543,0.017223138055753758,0.03563622541100447,0.04886065828632346,0.08075781386415226,0.1570023027004396,0.1838460595661233,0.29242714530604014,0.28831050046726187,0.3548256285482563,0.3385281038419935,0.31161530784741037,0.25743364597884655,0.20724365933089905,0.19058252800985637,0.11783796314183055,0.15842113299740418,0.1092086996760759,0.10010010010010009,0.05992373343017977,0.0639511129270069,0.041702867072111204,0.04276135741652983,0.03865936060779238,0.031766705316158134,0.03392404245351598,0.037497230318215134,0.028068337044591232,0.04215428468193588,0.0516710414815121,0.04553357065982284,0.03355775079175318,0.02920438900246151,0.03220819376449369,0.03103043198794246,0.03547189443564216,0.02220686932491117,0.015554921836517771,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02319468068656255,0.023297351867671044,0.03885305773564379,0.05968723886832995,0.11927480916030535,0.1765720935832096,0.34815944920392755,0.40830748694593855,0.4198940073379535,0.5542627459276497,0.5262932694364811,0.4278593798244453,0.3305420890260027,0.367313426386068,0.23542747525831625,0.37187732423327646,0.19534718522464925,0.19069082083730607,0.20539382032505804,0.17975912277548087,0.1302668223879256,0.12991667413314217,0.13528748590755355,0.09746588693957114,0.11242018167101357,0.10809286587085254,0.09349473477019979,0.07881462799495587,0.07953340402969247,0.06049939500604994,0.07291082445316882,0.08317161075686166,0.05689900426742533,0.02970708811122334,0.06291286568103177,0.04595588235294117,0.04139643990616807,F
California,0.0017861480645299573,0.0,0.0017270023729012603,0.0016932679054614663,0.006019835357502972,0.0028524973614399408,0.0025608413217355673,0.005750596624399782,0.007761374498574358,0.009443093557449421,0.004171470177780474,0.008509504746823734,0.009078434179606345,0.017386055727229188,0.018169230721036524,0.026911314984709483,0.0394916133077693,0.052643188000882295,0.0460971976276808,0.07156000817828664,0.12432446822671246,0.13992702539941196,0.22956148729033665,0.2110783614397294,0.240296879994378,0.21864422073580142,0.21990170513945134,0.1871625853789483,0.15802489405149148,0.14358963510250924,0.10270633950761374,0.09274732620320855,0.07575629088154318,0.07198359443661677,0.05649395115270487,0.047450669883402845,0.04487620939973131,0.04277753697707294,0.039881949429688125,0.036357487105774924,0.030688095292218862,0.03410074843729614,0.03813678182293817,0.031532064167750576,0.028117719519053102,0.02762989419772222,0.03546294638553387,0.028967923988167457,0.02219083412879842,0.026342949111196112,0.025231672630516563,0.02685404824777335,0.02940913217486926,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015423054381689751,0.0,0.0,0.01599829351535836,0.04045205167749602,0.04835122328594914,0.082589644176283,0.09164432836162852,0.11349686146434114,0.17014232175292576,0.147143349810323,0.2928013711673967,0.3410657700587794,0.5412653907107156,0.4488461726106259,0.4738289305705588,0.5023524799059008,0.434749830372176,0.3081232492997199,0.3145458265139116,0.20946372239747635,0.1616937419468937,0.14630934672876686,0.11892586161786742,0.09662058018357911,0.1068594684309847,0.10071169598496038,0.0827129859387924,0.053192719535604435,0.05790522073470144,0.0463821892393321,0.042938931297709926,0.049048459878359825,0.036015641078411195,0.06246944429355207,0.050262481849659334,0.03695386452144746,0.04035861512294964,0.014429181576820964,0.02890591125885244,0.017625286410904176,0.031249023468016626,0.019652156824211457,0.03342692873378794,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018217148409035707,0.032407271013169134,0.04268396790165614,0.06995942353435007,0.13350778350377826,0.17781031822817248,0.20104129078818497,0.27643400138217,0.3755993606819392,0.4312608851906118,0.43679269364948803,0.27143774443990426,0.24599508009839804,0.23764548168911095,0.1547738045335827,0.20520713094780044,0.15709376534118802,0.13562686073436983,0.1284564938138057,0.11059653003387018,0.06175168959484031,0.07496787091246608,0.0923020121838656,0.0681327832241947,0.08457960093806466,0.06132962629814376,0.07332959496182546,0.09470551095878056,0.0600406428967301,0.028212723938496262,0.057034220532319393,0.0936636538191355,0.04806767929244376,0.063650607128868,0.03570699857172006,0.058087342240059146,0.03308701885960075,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12129380053908356,0.1803891251127432,0.26650514839491213,0.33089104230678323,0.5242623750304803,0.47809794547099105,0.5656565656565656,0.4649254751811842,0.4750935790382954,0.3831982313927782,0.2524877469181643,0.32578113431067673,0.17574692442882248,0.14405070584845864,0.18245400638589024,0.11827321111768185,0.12972038051311616,0.0,0.16405667412378822,0.07595321282090232,0.07654623392529088,0.15847860538827258,0.13393604553825547,0.08701705534284719,0.0869414014953921,0.0,0.0949667616334283,0.0,0.09400263207369806,0.0,0.0,0.0,0.11687704534829359,F
Florida,0.0,0.0,0.0,0.0,0.005489317787585359,0.00825685909080186,0.0,0.0,0.013906974980087741,0.0,0.0061091086810434354,0.0,0.0,0.006113154489602543,0.0,0.007378644358565222,0.024092945228704515,0.022155188574739675,0.020341906768972896,0.04704794105451182,0.08681822721789839,0.12094557449147884,0.19364320890480138,0.21594582220005057,0.2625100214974423,0.2964290136269947,0.2783571785305091,0.27840977128487604,0.23947816567327576,0.24142292977909416,0.19894973049251627,0.1664919528889437,0.1289270319599239,0.10810728506063905,0.1187484677617063,0.09111898749816603,0.07633357014374896,0.07369196757553427,0.06033774598535901,0.05243987130972122,0.05778243841890127,0.07152914247852243,0.048305678332487986,0.03934832476600305,0.05357552873944435,0.04647600030984,0.04600560586827061,0.048825247703950636,0.041652782405864716,0.037102935348135156,0.03223333449489493,0.030748917005055484,0.03568879371877231,F
Georgia,0.0,0.0,0.0,0.0,0.009478544637174851,0.007384106449278573,0.013973419450999877,0.007982374916185064,0.018731056090998875,0.017302834204242654,0.014726094639701552,0.0,0.01423960508828555,0.0,0.010602526430583745,0.0,0.023949586121214846,0.03523918597480398,0.01981375074301565,0.045832696768100444,0.09137205896185217,0.10161796922427217,0.22331907982388244,0.21348201727948565,0.2996157102846349,0.3467030131403089,0.3744612068965517,0.3520220961561895,0.30823306745978096,0.3322529462021454,0.235312780921157,0.23632945108894343,0.19670550013959745,0.1549042691616581,0.15054057752839742,0.12877736519010288,0.12079676560496992,0.11910901544733418,0.08934581726944495,0.10172338336704399,0.09424171209753421,0.09002475680812223,0.0965161631519799,0.07164833312260294,0.0778445703412187,0.07647396208656264,0.05117245116041058,0.06244146113019045,0.061720031913772594,0.07393424571338682,0.06479621590099138,0.06037918125830214,0.0519471214129617,F
