state,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020817611699497775,0.0,0.018395395895198802,0.021080368906455864,0.04976912655182902,0.04306261303935923,0.08060569421654143,0.07019391067824866,0.07866903644998689,0.10100726691170281,0.08447848614552828,0.11822035120094576,0.177342913927534,0.20246881327150415,0.19170618504691755,0.16781456490577912,0.15099374956106468,0.2360865187654064,0.23568312930913182,0.2652424818093838,0.20529282221641598,0.2495444822942248,0.2748474192635706,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08874689385871495,0.0,0.0,0.09312721177127957,0.13297872340425532,0.0,0.0,0.0,0.2105666156202144,0.17287744909719555,0.0,0.1695234507440196,0.23125843129697438,0.17643599294256027,0.15866719555731854,0.2500520941862888,0.20096463022508038,0.1631986944104447,0.2717959439682208,0.1984126984126984,0.17228648781688408,0.15604681404421328,0.1926252063841497,F
Arizona,0.0,0.0,0.0,0.0,0.012018749248828172,0.012220208150878837,0.017960486928756732,0.01973749136484753,0.025025988526546798,0.06761194606498473,0.049625897083524204,0.04997686256362795,0.06435006435006435,0.08716179408026148,0.09770308919403833,0.09383145091225022,0.1282840722495895,0.14119070830672,0.17471687923886972,0.12761901684894109,0.13635356479350957,0.12911435040511968,0.1445289760523516,0.1777483826964016,0.13453100422220382,0.13213364374252815,0.13141975051107682,0.12883277505797475,0.16623445707826318,0.14661716366732092,0.16778523489932887,0.15295673139242477,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02179884030169595,0.0262501640635254,0.03551767004084532,0.03467105833405565,0.05358099660653688,0.0629156929714183,0.11229898481717726,0.17023564196756563,0.15783540022547915,0.1949317738791423,0.1753754834067812,0.2537832503054798,0.21651412262572584,0.27847835224884404,0.2651113467656416,0.2584974150258497,0.2523836231071228,0.12198502911006377,0.21621621621621623,0.19606678153407403,0.2956904687008493,0.2888655462184874,0.25527804608803645,F
California,0.0017712281696128096,0.0016756312940900484,0.0029160666298793645,0.0018135613584481355,0.0034705431862825627,0.0057679135774282315,0.006711009037492171,0.007182949729613249,0.011370818249369977,0.019497727553584424,0.015318627450980392,0.022331145446425036,0.02455254383884603,0.032812143346267975,0.035159231299147886,0.0423360466035201,0.05240956517058605,0.06438086122221083,0.057777401989797354,0.061660339614921233,0.0717598358419623,0.07060032337469546,0.07258943938617582,0.092052057949281,0.07918323337152099,0.07127019322141273,0.08451817822430034,0.07256050524654721,0.0941850646304409,0.09098694069792335,0.10822995202890472,0.09291580890031156,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.015278838808250572,0.015343698854337152,0.027760252365930597,0.027791111897122356,0.048769782242922284,0.04043479295007492,0.07131519013549886,0.07048177705022396,0.08280739447652298,0.1251872219614155,0.11101089294387012,0.12970769444573124,0.10204081632653061,0.11688931297709924,0.14714537963507945,0.13119983535706936,0.1303710141778478,0.14241036524070144,0.1648710878649194,0.204675833837816,0.13563430682211705,0.16765428530134413,0.12631455261147992,0.13749570325927316,0.18669548983000886,0.14373579355528815,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022909507445589918,0.01984783327820046,0.0,0.04838598188981821,0.0377371436412913,0.046408681993431386,0.03322872438619162,0.03406639161209735,0.08073507362269809,0.06132962629814376,0.06470258378984602,0.07666636601425092,0.07389617587289858,0.14576574034889736,0.08079847908745247,0.08898047112817871,0.14900980580657566,0.127301214257736,0.1326259946949602,0.13729735438559434,0.15992059115473695,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13311640289897944,0.11931394481730052,0.07595321282090232,0.16840171463563994,0.20602218700475436,0.16742005692281936,0.13922728854855554,0.0,0.2362777171937477,0.1899335232668566,0.12736535662299855,0.20680579056213572,0.1148105625717566,0.16296598085149724,0.1977587343441002,0.1402524544179523,F
Florida,0.0,0.0,0.0,0.0,0.0,0.003672258291959223,0.0,0.007602481449945263,0.010027150438109343,0.013880213755291831,0.02389467842387618,0.023300066016853714,0.04187253998827569,0.04366879137043393,0.06331997436313233,0.06650845715494959,0.08709050713472231,0.09813970732558393,0.09212409824680755,0.09844415434331329,0.10917605957248161,0.11754381727572076,0.15237010866835224,0.14626969751086394,0.13856733425711557,0.13546095061213015,0.13721578234041298,0.12162612462512495,0.13744951049422796,0.13241802278983866,0.1302307073155291,0.13899845974679742,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01321981915287399,0.0,0.01522881291403335,0.0210669806059855,0.04354479515284223,0.04250903316954853,0.061631002859678534,0.09700631154989071,0.09179364787956673,0.10054055332789232,0.07634771612964797,0.11628197754382455,0.12163680835591989,0.14751127407594725,0.1441566117429976,0.16177184287542098,0.1956593720839228,0.18286427902412916,0.15655812973249633,0.15416076765770018,0.17170997213762715,0.18631290216847518,0.1952495253107871,F
