state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.04147427212652418,0.020095886085034306,0.048939171488614444,0.06434441812172795,0.13694239678331052,0.16273393002441008,0.1971164676728993,0.21337331680170699,0.28741782602048616,0.31350009796878064,0.3094205091985336,0.3566059504247806,0.26687267364281203,0.302051869596917,0.3130716195300408,0.3440983547797412,0.30234033817326716,0.32084290580686053,0.31930803120326584,F
Alaska,0.0,0.11398176291793312,0.09674922600619196,0.17956903431763765,0.25193798449612403,0.2871362940275651,0.24971187091817135,0.284792101765711,0.3955547184027124,0.26980150317980345,0.35287198588512053,0.3768345894486315,0.18753907063971662,0.2411575562700965,0.28559771521827826,0.2717959439682208,0.24250440917107582,0.27073590942653214,0.15604681404421328,0.0,F
Arizona,0.010725010725010725,0.07989831124023969,0.10125592880109427,0.11120764552562988,0.17788724685276408,0.21850942952230476,0.2636636541241125,0.3586255916514547,0.2948645838659644,0.2750697030369941,0.32519019611779115,0.32862782382241695,0.30838645583243646,0.25168313093814887,0.28787183445283493,0.22760456926908873,0.1928319702107853,0.2104665736514768,0.18999210422424004,0.18665906203821325,F
Arkansas,0.0,0.02679049830326844,0.02696386841632213,0.0449195939268709,0.08063793566884687,0.1262683201803833,0.18164097111465533,0.20685313427466498,0.21148604192123321,0.2854049798248204,0.3835645229087852,0.3393425238600212,0.3794962050379496,0.31407739764441955,0.349320765178819,0.34708392603129445,0.27330521062325475,0.20761245674740486,0.3216911764705882,0.3104732992962605,F
California,0.003069067979855754,0.03480940424560603,0.05116668619957295,0.06943111642977297,0.08697154868848604,0.11138458733577182,0.15163045010005355,0.1889591052715328,0.16931762919735735,0.1793374285723291,0.19937461406067297,0.20351873175695578,0.1792573623559539,0.1697401220200796,0.14552121815232358,0.15075677789088449,0.13748854262144822,0.13303972841545098,0.1424078316169799,0.14022615196423166,F
Colorado,0.0,0.07957619989541413,0.16113871357593662,0.2168421523260233,0.2798399592960059,0.3173206096261639,0.39424860853432286,0.3363549618320611,0.3261722581910928,0.27783494546202925,0.33950784942147866,0.27085892996760863,0.19329713749680208,0.21908962495315515,0.1616068336603948,0.15609192079780315,0.1556900299629869,0.15937001968688477,0.17031869247649928,0.13370771493515177,F
Connecticut,0.0,0.040565208572780745,0.06221054814405198,0.06175168959484031,0.10709695844638013,0.1366069780321211,0.14762103031908852,0.2037599477144285,0.2248752964265271,0.2458698184014148,0.16686209073689906,0.20783299464252727,0.17397846428739364,0.12832699619771865,0.09834683651009225,0.07210151893866563,0.10771641206423815,0.11732299530708018,0.08977134709827322,0.12683357229513623,F
Delaware,0.0,0.0,0.11827321111768185,0.11530700490054771,0.17748853719863925,0.22371364653243847,0.37976606410451164,0.2908756889161053,0.3011093502377179,0.26787209107651094,0.3654716324399582,0.33037732568249,0.19992729916394036,0.2279202279202279,0.20014556040756915,0.1692047377326565,0.15308075009567548,0.22407822367080873,0.13183915622940012,0.21037868162692847,F
Florida,0.005329232362144178,0.0383059573424859,0.06409216917243882,0.06121801169944223,0.10421086323812927,0.14975392377089103,0.2154286605156115,0.26537119866458364,0.2477167144782514,0.2930544485504271,0.28632185255261794,0.32400438809092535,0.3132826687552178,0.25388278793971564,0.22981539005480214,0.22325891369543485,0.1981634047002673,0.21256577342579366,0.21343365921156157,0.2019234381456854,F
Georgia,0.0,0.02861515110043918,0.045009564532463145,0.06656148308845282,0.07735946364105209,0.13463068355669788,0.21290940704730138,0.20876328629200616,0.20630673435194677,0.2564950089244397,0.3118809794748599,0.29552105407314505,0.28383605159051134,0.2468318232443334,0.2259786212330702,0.27698746029595506,0.28315243039169424,0.22192703946089545,0.2673935170010523,0.26331816716225415,F
