state,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.01579311025565097,0.0,0.015702592890651068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016371205388465315,0.01655511671357283,0.049983338887037654,0.0710042365861163,0.05541100510744917,0.11021924044566911,0.2181542255524993,0.3279360524697684,0.4214673477334677,0.4056699450458738,0.5553534618649205,0.4532425214983953,0.3103865953366307,0.3784952881198826,0.2825957325451764,0.23419813161934996,0.16634610386234858,0.11300028907050694,0.08168642951251646,0.10783310752896286,0.06602933999368416,0.06621182024930189,0.09944137346085226,0.061187028349989805,0.08136696501220504,0.07321468799279117,0.07496900320059975,0.09172909341079345,0.04571876428711384,0.053812262469310194,0.06642659860853756,0.03160334293138563,0.05554976912127209,0.04572956240326439,0.04301229434746765,0.037325967675711995,0.027727164699358316,0.024251242876197406,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982640026203734,0.0,0.0,0.1285677552069941,0.3014954172696575,0.2516586593456875,0.2848029163818638,0.3514299563742123,0.3583312004095214,0.4149933065595716,0.6237006237006237,0.5756148613291471,0.628174284950548,0.6337834114081015,0.5179047055341817,0.4272151898734177,0.43463724506853896,0.20537395173712134,0.0,0.2311111111111111,0.09204712812960235,0.09312721177127957,0.1899696048632219,0.13544891640866874,0.0,0.09689922480620156,0.0,0.11525163273146369,0.1139168407062844,0.0,0.11562921564848719,0.1176239952950402,0.0,0.0,0.0,0.0,0.0,0.15432098765432098,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.016738642830839277,0.0,0.02376425855513308,0.019580328296837778,0.016690589845445136,0.023006639058699794,0.03473757342259837,0.030712530712530713,0.03937340045560649,0.036657851326228695,0.03023888720895071,0.08216926869350863,0.12794331127131364,0.18055687541575596,0.20876826722338201,0.15496769687445433,0.2595771404647268,0.3023246312865139,0.3609962690329737,0.3797745213051518,0.38929440389294406,0.5408437161972678,0.3319823214322084,0.23348633007383757,0.20724365933089905,0.1944326800908636,0.1023838040412626,0.08970835242021682,0.07403979639055992,0.0429000429000429,0.05810786272017432,0.03730481587408736,0.041702867072111204,0.02223590585659551,0.04034020237334857,0.046061722708429294,0.04523205660468798,0.05113258679756609,0.037424449392788314,0.07828652869502378,0.05373788314077259,0.0558821094461462,0.04194718848969148,0.04380658350369227,0.023619342093962038,0.035463350843362815,0.02364792962376144,0.024674299249901305,0.0337023306457885,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03839803402065814,0.07344982217411473,0.1320183272501359,0.14375631362188204,0.15916597031554652,0.2862595419847328,0.34913118503952806,0.3638070648984861,0.4397157551725491,0.5136567468406034,0.6431140258091813,0.37225621496726713,0.26906620793083674,0.2159541648303217,0.16421070826671275,0.1264332737498365,0.09187557422233888,0.06659563132658498,0.039004940625812605,0.06251116270762637,0.04493978069387022,0.06288743149761927,0.06271839440910312,0.06764374295377677,0.06202374623427254,0.09443295260365141,0.06579565748660589,0.024603877571105204,0.0,0.05832449628844114,0.05499945000549994,0.06169377453729669,0.044358192403659555,0.06258890469416785,0.0,0.03774771940861906,0.0,0.048295846557196084,F
California,0.011052815186568065,0.014223450405876316,0.015802067813445304,0.019559981907016737,0.01877950302606083,0.026699198613284698,0.025735083863693924,0.03541160084043533,0.031096414052545356,0.039957674463346235,0.02898115526566641,0.03083564600678384,0.03759151183662729,0.07339449541284404,0.1052104812550495,0.11028600838173665,0.11889704022261573,0.1279238756237325,0.19886590527913106,0.25910537795478816,0.2697766383484978,0.2817368990098832,0.3062651744079289,0.36139923046489086,0.220382364604237,0.15857865799703721,0.14955927472730446,0.11423705776111234,0.09996018069724973,0.0857843137254902,0.0751909454272033,0.06947253881673479,0.06990413147683178,0.06059965069446628,0.06124614741975908,0.06629101756711965,0.057828826673047784,0.06115949381359037,0.06393353185878929,0.06375357316537975,0.06744852322403941,0.0857277994560719,0.0746458506279624,0.07278118471595121,0.06403988376416797,0.06100303992802322,0.06798144423584278,0.05124244895602532,0.04778725876991773,0.041094831409471344,0.03409754455057305,F
Colorado,0.0,0.0,0.0,0.016010759230202697,0.015965259595121014,0.031710797526557796,0.01881408547866169,0.0246768870107036,0.03220989136482094,0.04014106717894314,0.03199658703071672,0.053093317826713525,0.038680978628759306,0.11011952556837733,0.20619973881366416,0.2849002849002849,0.2345204975513301,0.23221059891941603,0.33803085126642546,0.39911951815389085,0.4583688894306961,0.5147094696784895,0.47628400274968086,0.5195059792197608,0.3191516095795743,0.1858925388337153,0.19946808510638298,0.15141955835962145,0.10863798287056921,0.09266258626155234,0.04757034464714697,0.05291127010053141,0.04547211422595093,0.04252271608253883,0.04023874991616927,0.04625453872661255,0.060221429564089504,0.02782931354359926,0.042938931297709926,0.0539533058661958,0.025725457913150854,0.043457004725949266,0.044677761644141625,0.04832428437420052,0.0374758568998818,0.03174419946900612,0.02312472900708195,0.0,0.031249023468016626,0.03930431364842291,0.0,F
Connecticut,0.0,0.0,0.0,0.015596244424342619,0.0,0.020467337540508272,0.020899369535685674,0.03549371761198268,0.027843519420854796,0.020622100017185084,0.016434393899552983,0.0,0.02210572854165351,0.0744070686715238,0.10930289045421424,0.15909023951919393,0.1195151101246372,0.15950748565831818,0.23764385463672533,0.3660800669403551,0.46136398783442445,0.5477488545905961,0.5247735748534896,0.8293478561357919,0.4254474288793715,0.25100694647130933,0.248995020099598,0.2163183230759856,0.1547738045335827,0.1250480954213159,0.08509245622647685,0.09593119417796891,0.10817388952741533,0.08640353908896108,0.08233558612645374,0.07853776952734542,0.08122577072180173,0.09462886558915933,0.05382338241513206,0.10630468558344919,0.06038907820385628,0.08568593848651573,0.050803620912617774,0.07053180984624066,0.04277566539923955,0.07024774036435161,0.04806767929244376,0.07344300822561692,0.03060599877576005,0.036964672334583094,0.04963052828940112,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07115411982353778,0.1752021563342318,0.3607782502254864,0.3997577225923683,0.590876861262113,0.49987807851743477,0.7623723995348236,0.41750841750841755,0.4375769178175852,0.18715807659084366,0.36845983787767134,0.17822664488341008,0.13327410039982232,0.11716461628588166,0.0,0.0760225026607876,0.0,0.10089362928797925,0.07395355716609969,0.0894854586129754,0.0,0.0,0.12678288431061807,0.0,0.0,0.0869414014953921,0.10905125408942204,0.15194681861348527,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.009282142318447097,0.008731432064001397,0.0,0.009436410389487839,0.015792222937596422,0.027466622083164156,0.010114163621881993,0.0154053533602927,0.021992791251756367,0.022715588871752568,0.019000145295228726,0.013245168060805512,0.01938247436667765,0.053495171599597865,0.06960184177181303,0.08606438638648874,0.09682747622031099,0.13635928678511053,0.238942200573154,0.3364485981308411,0.4409214073264002,0.4851947270950503,0.5377908007974629,0.6212627730315147,0.4759246746379154,0.3322955334690456,0.29953776912784336,0.28153153153153154,0.2220834200846693,0.16109638034161683,0.14057706496835076,0.10810728506063905,0.10112772738416279,0.07876387054926216,0.08767023897697901,0.0692257877224716,0.07269607950043254,0.07440792550703686,0.07561652435066094,0.08282321760671019,0.05957700327673518,0.06446427674430287,0.07313484875543197,0.05766466705109778,0.04089387188290721,0.05640157924421885,0.04915028323892036,0.04300567506261121,0.041816217723106945,0.028940157181228693,0.04226304519328299,F
Georgia,0.01641070525005812,0.009115058075941455,0.012186700247796238,0.0,0.007763010806111042,0.017561224815607138,0.020433879371998774,0.017302834204242654,0.013089861901956934,0.021482277121374866,0.011075248401999874,0.025586995785671283,0.01211717306352428,0.03161603083315769,0.06436451270076489,0.048453880715355474,0.05378018058818534,0.07222121914973403,0.20961825291248437,0.25866392166178376,0.36796893834616995,0.4658931082981716,0.4650556894418029,0.6100385078537496,0.5387931034482759,0.3628535452686876,0.356901446532378,0.3376774840993233,0.22209296176828303,0.20760432443724866,0.11929236782659458,0.12144494702273993,0.11446060440175672,0.08751859770201167,0.06532886303125925,0.09086667157837865,0.08689798665932318,0.09935772328874065,0.09424171209753421,0.093775788341794,0.07800621405433991,0.06462398673803403,0.0836108348109386,0.0720620027354148,0.08277896511242888,0.08622868441788205,0.06473076517785907,0.05505741702060721,0.05021706732326832,0.03277726982593544,0.026869200730842258,F
Hawaii,0.0,0.06413780465457211,0.0,0.051493305870236865,0.06289967501834574,0.052372473028176394,0.10378827192527244,0.051276792123884724,0.0,0.0,0.12056666331759268,0.14232849416453175,0.14516597309590631,0.16609762849497095,0.3032465215840171,0.2831050228310502,0.2270577105014191,0.28849980103462,0.4770713659818907,0.6539719176764763,0.7915315658973869,0.7660738714090287,0.8087535680304472,0.8233310187481401,0.5960332956530675,0.4367277375372816,0.42968296365114383,0.36253776435045315,0.27818254073387205,0.35263800352638003,0.14438348252959862,0.17111079423926995,0.21426385062748698,0.09045680687471733,0.145602795573675,0.08975317875841436,0.12810248198558846,0.0,0.08058017727639001,0.0,0.0,0.08361204013377926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.04561211457763182,0.0,0.04882415168036455,0.07503564192991671,0.05093502146547333,0.09052294408467378,0.0480340355451863,0.07058657443354273,0.15522472306498272,0.23791821561338292,0.4000923289989997,0.3141614306428226,0.2840909090909091,0.3068869031501038,0.4323031640912436,0.4079412564590699,0.5793539325842697,0.39404553415061294,0.46375815870834763,0.4071379071379071,0.2479631597591215,0.18980243292209473,0.20430748276155614,0.15407001626294617,0.10051934997487015,0.05853821709315939,0.08340979230961715,0.0,0.0,0.048154093097913325,0.03964478274659055,0.0,0.05350454788657035,0.04546832373446499,0.0,0.0,0.044326241134751775,0.04728132387706856,0.05715374357020385,0.05803830528148578,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.01125612051553032,0.006636420676673584,0.0032396848434584286,0.005043845427754119,0.004596574020163638,0.006902528626320108,0.008482679909929363,0.013102422406683776,0.013440759850956907,0.006832467887400929,0.007966223213574444,0.007673044594340084,0.00427097940676096,0.022209962959513385,0.05497929113367298,0.06606571336289162,0.06508179099238762,0.06496842232496298,0.12885739041567618,0.1907169789261392,0.20143478107219848,0.21521552894962284,0.23448079253082463,0.33066250331398944,0.2188527039139528,0.16197964988060654,0.13184275605969592,0.11856979194206102,0.07954927544551695,0.06514980331356848,0.05353453395678759,0.04170559188576004,0.04234202191623054,0.04019749202604098,0.04023546493829104,0.04670001526731268,0.04062976130015236,0.03533996112604276,0.038820978478028276,0.03173155107788113,0.04557177035970627,0.049119666422887585,0.04191637117513113,0.04875896816735935,0.057944278889361905,0.03895184135977337,0.0506396267136088,0.04025714249770409,0.020008003201280513,0.024098776632692116,0.030097817908201655,F
Indiana,0.0,0.0,0.0,0.0,0.007208869793393791,0.008758229086078794,0.008882309400444115,0.007568876778686043,0.014389317370783928,0.007316145269380468,0.0070337337872436205,0.008286606082368864,0.007215423689679058,0.06066383568766791,0.06940567617725606,0.12620502995468785,0.10004092583329545,0.13863576179572254,0.2735653631461598,0.41227737779461915,0.4969613507768763,0.6101515062194187,0.5549406168666049,0.6915349271863562,0.5288666466697188,0.36119794619284407,0.27135288797002194,0.2668674994679022,0.1513840830449827,0.10624522726518146,0.08624264035160462,0.10386099113060107,0.0626513368440659,0.07186174501349599,0.05561928598741614,0.07026172492534692,0.0661068429515812,0.06801990477213332,0.03821377879681188,0.03776078542433683,0.0516139278199071,0.0522007850998079,0.04881465288537046,0.0500947444079019,0.040069453719780955,0.03793118836181891,0.054492200803759966,0.02112328960030042,0.03450060376056581,0.028337369261682725,0.0,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.01454503141726786,0.0,0.0,0.013455328310010763,0.0,0.0,0.0,0.08237232289950577,0.14539668605289147,0.17125691344507146,0.23582845663376717,0.2469367341835459,0.3014753046824888,0.4092945309226852,0.380023434778478,0.4575511611144192,0.37541668015146124,0.5540625725755615,0.3356501101881675,0.2600871643469704,0.1771319090481871,0.176519327065096,0.1456909111285442,0.11902547889157523,0.06386415718096096,0.04861630516080778,0.07027681255612385,0.03558718861209965,0.04374279238080089,0.024267917812651675,0.04884402474763921,0.04384391566024951,0.05366800148619082,0.047336259574834325,0.0,0.047650814828933574,0.0,0.035617971810919455,0.03583678902370348,0.050815590223080444,0.025930920029042633,0.0,0.02847056143947159,0.0,0.0,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.027771165595493134,0.0,0.022198379518295164,0.036918078783180125,0.017190991920233798,0.02923406743324888,0.015896229414382908,0.11601301923882569,0.18632742225648935,0.20971230093715185,0.15758591785414922,0.19952654717619206,0.2944062806673209,0.492112243473405,0.5176127284096436,0.5460822998872604,0.49457444452646343,0.593660157562633,0.36944390994804693,0.2970026183125562,0.27088395809265825,0.15919017102738886,0.1301977378143055,0.12350105573483128,0.08294821661334281,0.05885584242329123,0.06371709609334555,0.043782837127845885,0.039535067604965606,0.036394516559505034,0.0530893943725242,0.04077638231936063,0.06102770657878677,0.041988579106483036,0.03923449147739658,0.03161555485298767,0.05251097956845523,0.0616610539297064,0.024842251701694244,0.04481848513520243,0.0,0.0,0.03904724716907458,0.0,0.0,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.010892534257020237,0.0,0.0,0.0,0.0,0.0,0.0,0.023223899503853056,0.04640883977900553,0.07793517627103104,0.08564220077309447,0.10950816550016663,0.1954614797864226,0.3181619468596687,0.42269396956603417,0.5029475063160849,0.5282806226667606,0.7904757314310503,0.5739095718135543,0.4364278506559031,0.4141479099678457,0.3312115095999586,0.27671459604841214,0.21022406809208838,0.15888726818087104,0.1306988544629815,0.12430245166750416,0.08949880668257756,0.09796718099436688,0.07999558645040274,0.06101958173850336,0.09898267803134453,0.0744006613392119,0.06344811674453481,0.0542348368435325,0.07032124021096373,0.05269571517965945,0.06111016805296214,0.07255640396641674,0.05668331739115031,0.021513858510523863,0.0,0.0,0.033026462453040493,0.025846471956577927,F
Louisiana,0.0,0.0,0.009180038923365035,0.0,0.010517901468299045,0.012841641161740469,0.014761392631956307,0.014591845243058451,0.009756287927569319,0.017474710211055667,0.012854178526176617,0.02095520824238191,0.0,0.04177528240090903,0.05640736372493719,0.09207303302468599,0.08959156785243742,0.11178388448998602,0.2887258488737714,0.3310128994723855,0.44958383118329653,0.4851047950743205,0.5577504066930049,0.6627360581611845,0.5871746266586528,0.4278949013197432,0.3603247859029097,0.4236747403078022,0.28498002595353805,0.22811154398195613,0.18384256861729673,0.13987121292093316,0.11358284621990748,0.09391274652095963,0.09700427960057062,0.09554693381203312,0.0953670091675383,0.07181113671045151,0.07702106229819,0.06533710836626117,0.069856793573175,0.054290658613552305,0.0684603272403642,0.04839769073875618,0.04790419161676647,0.04073458026409586,0.027240533914464723,0.049294038942290765,0.049207010106362845,0.05247225025227044,0.029778363891606756,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038529706403637204,0.17613723387961402,0.1974033862273176,0.19821605550049554,0.24012393493415954,0.45655033660914646,0.6150534327669716,0.6773857376805121,0.7807807807807807,0.8097165991902834,0.8706365503080081,0.70212392487274,0.4046349089571455,0.40915733073550903,0.40804140127388533,0.2123571645262413,0.25512807429329526,0.14690451206715635,0.1382096534127153,0.06317784563546383,0.0757002271006813,0.109217999126256,0.16276041666666669,0.10064862446879892,0.0564652738565782,0.057195149851292613,0.0,0.08969759097898514,0.0,0.08404538450763413,0.0,0.0,0.0,0.09426551453260015,0.0,0.0,0.0,0.0,F
Maryland,0.0,0.0,0.010673725557168473,0.0,0.0,0.0,0.0,0.014357089530810314,0.0,0.0,0.0,0.0,0.0,0.04081447553398938,0.06718022214260122,0.09187155481669437,0.06309679047659109,0.08694752096056309,0.14676021792887156,0.23671394477968144,0.30820073893912103,0.40445443993035407,0.45432629900233656,0.5590576986100669,0.3180455392593793,0.24157082980612393,0.21571322829649994,0.21178657100252846,0.11215037121772872,0.0940249389957241,0.09732690523075531,0.06687174000267487,0.0799196236927433,0.06476683937823835,0.07045614673060752,0.08348987685243164,0.07659278171057213,0.06610741314853652,0.0896139705882353,0.0872045063517877,0.07869755545718361,0.07555913761837599,0.09496188691835844,0.07547955545144583,0.08249507690670073,0.06812881586877342,0.07252995218395744,0.04962642331339086,0.06705539358600583,0.08646650168460598,0.03778813452575891,F
Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008742328606647667,0.0,0.0,0.008243207596940121,0.009641651936365098,0.012621880029030324,0.03706220273024893,0.029210995633724864,0.06304413089162414,0.07048128649923766,0.0649772579597141,0.15720401431679415,0.19809607659714962,0.23784040908550363,0.27943269889808614,0.3209260608778519,0.4122799509258467,0.278261387140455,0.15354911291180806,0.13876978249006003,0.14523285135178268,0.11281883584041857,0.06723185149959825,0.05677453828941656,0.05029759409841563,0.04787388650469335,0.05406725268592158,0.04461656523834169,0.04623807057779093,0.046414481318171275,0.057407554042283634,0.02025644661413495,0.04006494738839803,0.04190652639008359,0.03682563063892469,0.04835478597250685,0.04253107131042957,0.03347680535628886,0.04294302891497281,0.026827305319122995,0.01730274866521653,0.028242060129913475,0.031788079470198675,0.024453199293574247,F
Michigan,0.0036437305971345705,0.005653190872923336,0.0038015586390420077,0.00508931752252023,0.007146621881169544,0.0073377665673010775,0.009494692466910997,0.011547455229553787,0.010990017400860884,0.008200156714106092,0.004396454698930782,0.013885634443316235,0.00974581151600528,0.056563625099884184,0.10459078853983787,0.17657120785741875,0.18528058711350923,0.1923112483588824,0.32353906164558344,0.4578215782893285,0.5811917932917863,0.5814555367680044,0.6832732555011567,0.8245251152817049,0.6472143346714971,0.4162036569350439,0.35793811000353776,0.28935246747444227,0.25873500145538436,0.17029452219286945,0.1200867293044977,0.10513501549358124,0.09741450444668562,0.08957790889329478,0.08772878585763902,0.06123548718953608,0.06721026668526574,0.07560648130043147,0.07679974130613455,0.070057046452111,0.04523454109558058,0.05468493664359483,0.04267155545721781,0.05661231884057971,0.0393262109195779,0.05530523610455943,0.04705170646456838,0.03793365059659287,0.027179821700369644,0.024492256678849994,0.01791508250890778,F
