state,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014234296520731235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008758408071748878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011988395233414054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021826118588577664,0.0,0.022711214292924196,0.015448787270199289,0.012963106997485157,0.03903302193655833,0.041586525965587144,0.06569784248285286,0.07114624505928853,0.05806398097713385,0.05454597651652169,0.05181794628206235,0.06141967184346758,0.09032370851665161,0.10381302432591677,0.1267177292182924,0.10091981200080735,0.11924782143403148,0.124093788779309,0.11771432415161605,0.12236478691046394,0.15450523210899642,0.15970558622365724,0.14070634585619812,0.14337431449155882,0.10824530625956477,0.1465578705537511,0.10508871913018876,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08482792050412022,0.08958280010238034,0.08032128514056225,0.18191268191268192,0.18315018315018314,0.12028869286287089,0.13777900248002206,0.10358094110683633,0.12658227848101267,0.10030090270812438,0.13691596782474755,0.24849130280440185,0.2311111111111111,0.23932253313696614,0.2793816353138387,0.1899696048632219,0.19349845201238391,0.13966480446927373,0.23255813953488372,0.1339969372128637,0.21129466000768343,0.20884754129485475,0.2260312676586928,0.11562921564848719,0.1960399921584003,0.09916699722332406,0.22921441967076475,0.14067524115755628,0.1631986944104447,0.14635166213673428,0.13227513227513227,0.14767413241447205,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666944490748458,0.0,0.01657879903179814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016906742408872657,0.0,0.02757764831603985,0.020369364475828353,0.026107104395783703,0.016690589845445136,0.023006639058699794,0.02526368976188972,0.036855036855036855,0.01687431448097421,0.031421015422481734,0.047878238080838624,0.032369711909564,0.034446276111507516,0.05464221229687352,0.06662817039044108,0.07639252662825213,0.07745446933221688,0.08783756179270336,0.05848542906120803,0.08152227944246715,0.09732360097323602,0.09614999399062538,0.12016538015030857,0.13570145679505088,0.1302674430079937,0.14438070303777,0.1545415910056794,0.18705145823789893,0.15178158260064786,0.1894751894751895,0.13619030325040857,0.15632494271046135,0.1372719374456994,0.13341543513957307,0.10085050593337144,0.13500849759367206,0.11631100269776909,0.12101378875423975,0.1309855728747591,0.13449224160427162,0.11574313291858711,0.12625217319314513,0.10067325237525955,0.12307563936751638,0.09447736837584815,0.0908748365361172,0.0969565114574219,0.09869719699960522,0.07777460918258886,M
Arkansas,0.0,0.0,0.0,0.0,0.01600665877004834,0.028355387523629486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021831677764436196,0.0,0.01972931381446553,0.0232189156766379,0.023884399506389077,0.0,0.0,0.0,0.022751403003185195,0.01836210062431142,0.0,0.026878623814460698,0.0,0.027180243845616212,0.0,0.031833194063109305,0.0357824427480916,0.0441430233958024,0.050854751007315256,0.05889050292489498,0.057072971871178144,0.05077215993230379,0.05134568482307132,0.052931057297869524,0.11018069634200088,0.1123546951298561,0.1307930418101757,0.17062606641291508,0.12431184514295864,0.23402964375487562,0.1875334881228791,0.19773503505302895,0.17069445692210944,0.17023564196756563,0.1984216459977452,0.21708311181995393,0.21134994154150552,0.1926872826393458,0.22635567365416792,0.19440941572089115,0.19618239660657474,0.13199868001319986,0.1962983735277622,0.14416412531189354,0.16500711237553342,0.13071118768938267,0.15099087763447624,0.10504201680672269,0.07589347316130812,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015138899402013472,0.0,0.0,0.0,0.0,0.0,0.0,0.007624275693809088,0.0,0.0,0.0,0.0,0.005284797750790078,0.004727104270465998,0.0,0.004755531702412413,0.0,0.0,0.005830285683998516,0.005151452709664125,0.005221560297154249,0.0023236360256529416,0.0032226135395805994,0.003027681660899654,0.005194950508106121,0.00758572821094393,0.0036743632328517465,0.003599945280831732,0.007136303394841472,0.0048894017328039744,0.0036328808745335053,0.004531638931957441,0.005949939091412985,0.005573238546994786,0.0059333837150476855,0.006550504388837941,0.007000060455067567,0.009427292010370021,0.006741222219068435,0.007501821871025821,0.007506568247216315,0.008980412339086554,0.011175568176045678,0.012039670715005944,0.026487475499085165,0.017072275478237118,0.018484060578427868,0.021241656522414033,0.016131951493976095,0.02578727018991566,0.019238880297166704,0.02199774435827691,0.026571141771803097,0.025687533088361983,0.026605504587155965,0.03195504588262248,0.03323285052569664,0.04412963431430419,0.04558842219852238,0.056438516625402654,0.06680060525396882,0.06487086867120044,0.062134650498198774,0.052593279394995925,0.057379647346538366,0.06536968721085329,0.07655521420546624,0.07311216689070629,0.09704861157020422,0.09666479012481291,0.10305258467023172,0.10995969086910558,0.10406930513510876,0.10442821273681807,0.09833150867403964,0.09511498470257516,0.08952120321029834,0.0863159334085393,0.09103463825709535,0.08211906980973381,0.08124873975494906,0.09486918453474702,0.09295389749451473,0.08736577136277214,0.07783543365455893,0.08814091528831719,0.07702059789795111,0.09087674928936496,0.08011143428336354,0.07187203718995626,0.07486583147864086,0.06393289603232448,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052617732175743226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02534292140526499,0.0,0.0,0.0,0.0,0.013513148293289371,0.0,0.0,0.0,0.013095861707700367,0.0,0.0,0.0,0.0,0.015781333838336017,0.0,0.0,0.0,0.018551728402696185,0.023486583289295992,0.024426735061524835,0.03522367030644593,0.022351363433169423,0.031710797526557796,0.0,0.040099941392393354,0.03806623524933384,0.025804971757892023,0.023997440273037542,0.027810785528278512,0.02901073397156948,0.027529881392094332,0.05040438059889568,0.050957774535010304,0.08507116087646288,0.07587078974594781,0.08331746334031613,0.10401296533707459,0.07802023649884189,0.10977216177977264,0.1153883924187371,0.11517349539306018,0.13821526399115422,0.17570664629488159,0.1432078559738134,0.15141955835962145,0.1591672772289735,0.2023945963081275,0.2497443093975216,0.21624606041086752,0.16597321692472092,0.17904301508437404,0.19225180515503096,0.14107634311616826,0.15055357391022375,0.13682745825602968,0.15028625954198474,0.13978811065332547,0.16721547643548054,0.1303710141778478,0.12286384452138949,0.11086159356434237,0.08648274669203494,0.14140597945284544,0.0924989160283278,0.1380647435520827,0.08437236336364488,0.10808686253316302,0.10696617194812141,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010238977740462393,0.0,0.0,0.0,0.0,0.010320343461030383,0.0,0.0,0.0,0.0,0.0,0.0,0.011999616012287606,0.0,0.024953991078948187,0.033473923813349404,0.017056114617090227,0.024382597791633286,0.0,0.0,0.017185083347654236,0.0,0.0,0.0,0.0,0.015180957007529755,0.0147305777332587,0.025610380740993685,0.022387015530992024,0.026701556700755653,0.02091886096802029,0.033506881798030824,0.03839361130307917,0.013319126265316995,0.033173914245431674,0.01701789715517486,0.032105539664934915,0.017999640007199856,0.051794528060447265,0.06771353948344243,0.07374631268436578,0.08509245622647685,0.04631161098246775,0.1047934554796836,0.10022810534319486,0.10978078150193833,0.09638726260174212,0.11076241462063872,0.10598432945985845,0.13455845603783015,0.11039332733665877,0.14234568433766123,0.17588166320916387,0.14779235174579716,0.17868058494380964,0.1711026615969582,0.2013768557111413,0.18746394924053067,0.19584802193497847,0.16323199347072026,0.15842002429107038,0.18749310687107093,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09427609427609428,0.0,0.07198387561186294,0.07369196757553427,0.0,0.11846586702206427,0.26362038664323373,0.11524056467876692,0.12163600425726016,0.14784151389710232,0.1585471317382531,0.13311640289897944,0.22371364653243847,0.2582409235910679,0.21432945499081446,0.22187004754358164,0.2846140967687929,0.2610511660285416,0.22604764388801948,0.27262813522355506,0.2849002849002849,0.1455604075691412,0.338409475465313,0.1722158438576349,0.26481971888368305,0.15381234893430015,0.30388031790556336,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006530754410980375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006018730288658305,0.0,0.0,0.0,0.0,0.0,0.009436410389487839,0.010933077418335987,0.015524612481788436,0.006321352263676246,0.00770267668014635,0.013440039098295558,0.011955573090396089,0.01564717847842366,0.010188590816004239,0.016475103211676,0.014757288717130444,0.017846626095336677,0.016190330112309765,0.01627352541517832,0.017543300054224747,0.026890601350676488,0.04691222283305846,0.029255448827344092,0.036218761318362915,0.04115021958608555,0.049526223406967176,0.05288051940421281,0.07035085618488804,0.07526456635445809,0.11569788967049242,0.12954866171605708,0.1549300117161004,0.15611044231291987,0.16520620322646953,0.17620740377543515,0.15984432552644381,0.17382892210952736,0.1868351905197889,0.16356617887597322,0.18353954958402427,0.18476113025303,0.16639937355529955,0.21496026857957154,0.1950672270314619,0.18878995841518484,0.16352666775684446,0.2104330490641267,0.17425562542616865,0.18243918693768743,0.14166575314742513,0.15332613165139214,0.13203946713935588,0.14932942634959992,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008454208384159228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007384106449278573,0.0,0.0,0.0,0.008651417102121327,0.0,0.009914897132942246,0.0,0.0,0.0,0.010538676944385896,0.01347164219318335,0.0,0.008491607461292423,0.013888695990333468,0.014780774243829028,0.027713991606619682,0.02410830975371458,0.026371308016877634,0.04298834104083892,0.038375524355225024,0.022898706896551723,0.06092690125780203,0.07705826686494524,0.08679260635484615,0.11104648088414151,0.1423199456833969,0.14721185816898907,0.1858851229939897,0.17666745462010278,0.17628746108548066,0.1811951484074549,0.16208649524791865,0.17501988862370724,0.20936091692984635,0.20518448709842893,0.2138087974192903,0.17320023798505982,0.18825248310644693,0.18596202914846688,0.21912731444034295,0.21071009301345534,0.178404174657687,0.1941922955335772,0.17303759635047977,0.15389101276485453,0.16561146859420015,0.08419016228997242,M
