state,1922,1924,1927,1932,1937,1943,1944,1953,1956,1959,1960,1961,1964,1966,1967,1968,1969,1970,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013139568496570574,0.0,0.030414466226117733,0.0,0.014393873967239543,0.02339797022608289,0.02913668016666181,0.04489211862742347,0.07884658706915972,0.07208558000057669,0.13759364011619019,0.124093788779309,0.20515925066424512,0.15732615459916793,0.20717747032797246,0.2708051244662015,0.33417757140847054,0.44446037492383245,0.42924862827068794,0.5070110116454092,0.5739460814033386,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11485451761102604,0.1536688436419516,0.1139168407062844,0.0,0.1927153594141453,0.2940599882376005,0.21816739389131298,0.312565117732861,0.2612540192926045,0.6731946144430845,0.5017771273259461,0.3968253968253968,0.5414718188530643,0.41612483745123535,0.7429829389102918,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014256909509358644,0.0,0.0,0.0,0.0,0.009543441746831577,0.012956964368347987,0.0,0.009079353550027237,0.015987778231751727,0.010425716768027801,0.034209085933223866,0.047063569435573334,0.050826728505853014,0.0662326543140074,0.08010771931618688,0.10665968076944668,0.13047754782503965,0.1777483826964016,0.16350691282390925,0.17198347280773504,0.20234469523134047,0.22975178218672165,0.2460269964758295,0.33343580769503633,0.33310303987366763,0.3240608715941202,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03595182455509617,0.0449195939268709,0.04927873846429532,0.0721533258173619,0.09303561935140882,0.11242018167101357,0.14099069461415548,0.11809861234130499,0.23118957545187052,0.344644750795334,0.2584974150258497,0.3757711721817162,0.4158580537843083,0.3812233285917497,0.5347275860020201,0.5725070776973891,0.6959033613445379,0.7451359183110253,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020374981153142434,0.0,0.0,0.0020424669733090416,0.0023607733893623553,0.0022753473696984407,0.002219870803519235,0.004190046544433698,0.0022962715111434777,0.0037591511836627288,0.0024464831804281344,0.003014626970058725,0.0026468642011616794,0.004216207100092757,0.003039228146568159,0.001597316508266113,0.0020242607652717825,0.0014362553949343272,0.0031403794475623925,0.003400427547090254,0.0039332822777869035,0.005287254112642546,0.0057167854763822195,0.0038480087837213838,0.006082065575244406,0.006041549382800807,0.007241532976827095,0.00706681817924843,0.009765216299541035,0.011698242410408581,0.014578217855744247,0.018627860505548845,0.03229562394295573,0.03247530167846033,0.04114878385614836,0.04546384487736128,0.05396814100511215,0.06303600301312094,0.08507088145257709,0.09606887502343144,0.10479142799380012,0.10191293330211676,0.12916286107665254,0.14617771688018008,0.1659966656321947,0.18006239104505,0.23883827759762058,0.24805963660541894,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012618296529968456,0.0176852530254415,0.0170694237850228,0.026163689555930833,0.013802940026225587,0.034104085669463206,0.03580860301687481,0.035767777703261575,0.07169453502624945,0.09728077083429842,0.09972170686456401,0.13120229007633588,0.16921718658034138,0.23152912121835767,0.1874083328806562,0.28202837037864403,0.2728900764660735,0.2853930640837153,0.3087844857439686,0.39601098424627834,0.3818812055695905,0.4406112308990344,0.4257967311912482,0.4880331595133039,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021419391689276025,0.022152482924127748,0.041636700859230096,0.05382338241513206,0.06132962629814376,0.06901608937583574,0.08568593848651573,0.0831331978570109,0.07993605115907274,0.061787072243346,0.1264459326558329,0.12497596616035378,0.1664708186447317,0.1326259946949602,0.23234936896023659,0.23160913201720526,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07595321282090232,0.0,0.0,0.0,0.10442046641141664,0.10432968179447052,0.1817520901490367,0.17094017094017094,0.10917030567685589,0.20680579056213572,0.21048603138155378,0.3259319617029945,0.35157108327840036,0.46750818139317435,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006456313813744569,0.0,0.0,0.0,0.0,0.0,0.0,0.0034827915270647727,0.0,0.0,0.0,0.004406709950351068,0.005987306909352173,0.0,0.008484511909169443,0.00462673791843061,0.00924955293827465,0.0108733641411984,0.009897145815410617,0.014556263790144644,0.011582922139597378,0.026452227277536766,0.023819625883000975,0.032713235775194645,0.029763170202814743,0.04922207717165664,0.06098800569221387,0.07487380141535638,0.10046380791319925,0.1122534887874072,0.12135400080902667,0.14483246291862972,0.1599447769612176,0.19910029990003333,0.2521313106611912,0.28225946963097187,0.31562858925777537,0.379428227957474,M
