state,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.007165068856311709,0.0,0.0,0.007143163278426218,0.01321294868971592,0.008854128237290636,0.0,0.016770593526550897,0.009397024275646045,0.009772464452660553,0.0,0.019382576825486327,0.018790987842230867,0.02143706273264085,0.019939384271813687,0.017767249037607343,0.019042541036675936,0.04907060278328459,0.023709962495150234,0.03621138395383049,0.10124718118643289,0.10549787805404368,0.0730887297178775,0.12423789255722995,0.1100715465052284,0.15056805219692476,0.20383934771408732,0.1792155871608115,0.170728284765424,0.16318615046236076,0.1689912886180797,0.1420084731722326,0.10841283607979184,0.1317838744459087,0.1304182870150811,0.11842135228074968,0.1168197539913416,0.1485884101040119,0.16005820298290288,0.14209765538868607,0.15645503179570003,0.20083423451259078,0.15555728396982188,0.1431210804340472,0.11956126215106305,0.09197697947599401,0.07905138339920949,0.06359388392733707,0.08038354434013723,0.04606039669516653,0.05849492556520722,0.0757553684333207,0.05892090569849331,0.036607343996395585,0.05478504080043828,0.04280691025837028,0.058781268369146364,0.03699593044765076,0.03146523091983358,0.03160334293138563,0.02430302399055654,0.031658927817644573,0.03942793648517868,0.02612817737299839,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982640026203734,0.26512788521522146,0.0731957253696384,0.1671380817690923,0.0844187168355041,0.17158544955387783,0.21645021645021645,0.08482792050412022,0.07678525723061172,0.12048192771084339,0.18191268191268192,0.23547880690737832,0.33413525795241916,0.19289060347203085,0.32554010062148564,0.3639240506329114,0.3510531594784353,0.2738319356494951,0.23074192403265886,0.3022222222222222,0.14727540500736377,0.1490035388340473,0.17097264437689969,0.09674922600619196,0.23942537909018355,0.09689922480620156,0.1531393568147014,0.0,0.0,0.0,0.0,0.09801999607920014,0.09916699722332406,0.0,0.0,0.0,0.0,0.0,0.0,0.13003901170351106,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01857562135453431,0.0,0.0,0.017236030197524906,0.020369364475828353,0.04895082074209444,0.04005741562906833,0.029579964504042593,0.02842165098212594,0.03992628992628993,0.06749725792389684,0.06284203084496347,0.0680374962201391,0.06224944597993078,0.07627389710405236,0.07839969590420982,0.059965353351396966,0.0502008032128514,0.039773916684111364,0.040854679903582956,0.06050216799435314,0.08748732427972084,0.11759935117599352,0.12419374223789112,0.12423878286726817,0.16363999201756135,0.20724365933089905,0.1482308551187772,0.14874628134296644,0.15269506794930524,0.10550670985654789,0.11261261261261261,0.10532050118031595,0.08882099017639848,0.08514335360556038,0.13683634373289547,0.10421218946448381,0.13024349179624833,0.11469557210474451,0.14146682347326617,0.10291723583016786,0.08631591625348776,0.10540892462228468,0.10141568010596903,0.07969965813041381,0.07718302807793401,0.08374130378768359,0.07092670168672563,0.07094378887128432,0.08636004737465457,0.051849739455059246,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019316206297083253,0.0187863986473793,0.0,0.0327475166466543,0.0,0.01972931381446553,0.08513602414767231,0.07165319851916724,0.10848165856402427,0.06956790600602922,0.1481896827939763,0.13650841801911118,0.19831068674256336,0.17102654798460762,0.14591252927850096,0.18942322560692748,0.16308146307369728,0.21757712331960527,0.19895746289443317,0.19083969465648853,0.14045507444118946,0.15647615694558542,0.11778100584978995,0.22829188748471257,0.17770255976306326,0.2053827392922853,0.29994265802126063,0.23799030409872188,0.23335205911585497,0.14823211405153247,0.131250820317627,0.09767359261232463,0.060674352084597385,0.05358099660653688,0.0808916052489664,0.05390351271224508,0.04479885314935938,0.09019165727170236,0.10632642211589581,0.07644572353628923,0.042297208384246644,0.059049306170652495,0.04728877679697352,0.0848356309650053,0.05499945000549994,0.0448681996634885,0.03881341835320211,0.03982930298719772,0.035648505733468006,0.04403900597672224,0.0,0.048295846557196084,F
California,0.0,0.0018371816164258732,0.0,0.0020389438270975633,0.004237481501763444,0.0019815713861091847,0.002589507961118538,0.0015657734451086803,0.0024769949097754604,0.0018737001205413743,0.0,0.0,0.004040268004444295,0.004612415202520507,0.004286755354871897,0.0067916569855766655,0.005526407593284033,0.010159607432768798,0.006019835357502972,0.010594990199634065,0.01024336528694227,0.031217524532455958,0.028186044231664775,0.03265736521951258,0.026545719313148475,0.025158535773218,0.030727007992513787,0.04592543022286955,0.04510981420395275,0.037003058103975535,0.04310916567183977,0.050878611866774504,0.04047558816089046,0.04172031364834473,0.035939621435987536,0.03289423743566646,0.04691767623452136,0.06505071712807814,0.07979669977171797,0.08074797146750762,0.07474254677417416,0.14291963690955548,0.16700358121350806,0.12640118891160115,0.15021488692691098,0.1311831550802139,0.13370419995138028,0.10713837311496449,0.10585482766491668,0.08604007008978468,0.07676936450771644,0.13173215029363522,0.10882074772957759,0.1175276908768073,0.12644631856516106,0.11475643169768351,0.10999782525789605,0.10904838858013742,0.10075516160994027,0.08929173124873643,0.09261682114280206,0.09337895497362214,0.08911557197755555,0.08191574586632216,0.08639936385601125,0.06672824110052772,0.061375580191031495,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016426295213377573,0.0,0.0,0.0,0.015266709413453025,0.0,0.022351363433169423,0.04756619628983669,0.05017089460976451,0.06477682840309695,0.03513806330707739,0.06021160076841471,0.058660409556314,0.08848886304452254,0.1063726912290881,0.09176627130698112,0.11684651866107636,0.09959928659115651,0.10116570482606396,0.06897344522358892,0.08331746334031613,0.08466171597203745,0.09752529562355236,0.13416597550861104,0.17922026907591082,0.17888649284454028,0.16083230718970673,0.2393684746625923,0.24549918166939444,0.17917981072555206,0.20969657158737778,0.19751761808383525,0.1427110339414409,0.13802940026225585,0.13186913125525773,0.06490309296808558,0.08941944425815394,0.1271999814981845,0.10191318849307454,0.08580705009276438,0.08826335877862596,0.06866784382970374,0.09775674006997324,0.11135857461024498,0.06701664246621244,0.08527814889564797,0.06630343913056011,0.05194505367655546,0.03468709351062292,0.04993831149756184,0.040623730508421614,0.03275359470701909,0.036769621607166736,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018715493309211143,0.0,0.0,0.020899369535685674,0.0,0.024363079493247945,0.04124420003437017,0.032868787799105965,0.0291743654575513,0.015789806101181077,0.04650441791970237,0.03947048821957736,0.026515039919865657,0.03699277218143532,0.016790261648244018,0.04005233505113348,0.031378291452030437,0.04639414402804268,0.025595740868719446,0.07192328183271178,0.06634782849086335,0.08225316958334515,0.12550347323565467,0.13499730005399893,0.1096825300103589,0.1612227130558153,0.10901628831601898,0.08181966944853543,0.0628514720476348,0.07774998309782977,0.05875440658049354,0.04802909190709802,0.046408681993431386,0.07014952925973786,0.049207010106362845,0.038445273153665756,0.020443208766047917,0.0258810335159384,0.036078289889059256,0.050803620912617774,0.06112756853340857,0.04752851711026616,0.0,0.02884060757546626,0.0,0.03570699857172006,0.03168400485821408,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0590876861262113,0.08534503779565959,0.1679803592195374,0.12121212121212122,0.2187884589087926,0.15836452634609846,0.2210759027266028,0.2227833061042626,0.2073152672886125,0.10251903925014645,0.08643042350907519,0.12163600425726016,0.10348905972797162,0.1585471317382531,0.10353498003253957,0.10439970171513796,0.10633449794926325,0.0,0.07923930269413629,0.08371002846140968,0.08701705534284719,0.1564945226917058,0.14540167211922936,0.11396011396011395,0.09097525473071325,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.005442295342483645,0.0,0.007234992558293368,0.0,0.006328312871788382,0.0,0.007606380666753597,0.012764130472620941,0.007222476346389965,0.011163344538023591,0.012216575449569975,0.009282142318447097,0.006548574048001048,0.008782908460136574,0.014154615584231759,0.018221795697226643,0.02507822016288901,0.03539957267658698,0.03979716284742281,0.03909829555867799,0.045431177743505136,0.04694153543527098,0.0764144311200318,0.05911654681836683,0.08577674066832071,0.08923313047668338,0.07583891473660889,0.06265307284843652,0.06379381837899907,0.06223253455442273,0.057907275059556534,0.06686959731964363,0.08473823402786794,0.1057134951435646,0.0910408518510426,0.08739974734862951,0.14893425937013532,0.17637756963873008,0.137294829075651,0.14265775248494383,0.13566010976136153,0.10252029047415634,0.1035393716073726,0.09499877420936505,0.07644728612134269,0.083135571443687,0.09081232367894121,0.07851176586046714,0.0907068044276259,0.08203679528609441,0.07981146423919346,0.05394134080461159,0.06781307034140951,0.07228444353734555,0.08262400055082667,0.07497209845199657,0.07407968617151131,0.06164611796067977,0.07420587069627031,0.0714360386103077,0.08229857198411909,0.10143130846387918,F
Georgia,0.0,0.0,0.0,0.006734309059890455,0.01923838623889549,0.008156796942366405,0.016498538700857924,0.0058818685520016,0.013044148513559985,0.0,0.013285184603678788,0.0072075535160848565,0.006429379693447176,0.01220388625978006,0.009877100647655599,0.030960623715837767,0.013675587708381768,0.01823011615188291,0.029789711716835247,0.03249006837682572,0.021736430257110917,0.06226252434624349,0.05108469842999694,0.08824445444163755,0.07199424046076314,0.10741138560687433,0.09967723561799886,0.13546056592414207,0.1211717306352428,0.14754147722140257,0.13771012019698536,0.1306786479898981,0.1103908969968015,0.09166539353620089,0.09943429945848618,0.08710111647794759,0.08247579652586569,0.12306610407876231,0.14068911613365465,0.12703621855522768,0.1320043103448276,0.18278070377340608,0.1973773151277545,0.14646252322380288,0.1229443181217281,0.1279573823575495,0.10279448716972511,0.08178945411735547,0.06718339823581372,0.06126301839140817,0.05423528251651711,0.08104324762395933,0.08567407135426228,0.06623848219249376,0.08589118064585395,0.0562654730050764,0.06742910028425994,0.07867267950717186,0.054779512462339086,0.05000220597967557,0.030101441859065048,0.0356808349315374,0.024085866112691746,0.026742173981437783,0.03239810795049569,0.029327030896889608,0.026869200730842258,F
