state,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02296672695432492,0.03742407231482281,0.05557017928694686,0.10197838058331635,0.16273393002441008,0.14642937598558234,0.23644070240189152,0.2323803699740101,0.3037032199072562,0.47422056301079607,0.5593818830192637,0.5091649694501018,0.49994792209144884,0.3130716195300408,0.3225922076060074,0.32473591877869434,0.2970767646359819,0.30718240976516714,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17956903431763765,0.1937984496124031,0.11485451761102604,0.0,0.30377824188342506,0.30137502354492374,0.2505299672383889,0.21564399137424034,0.2380007933359778,0.1250260470931444,0.2411575562700965,0.0,0.10453690152623876,0.26455026455026454,0.12306177701206006,0.0,0.1651073197578426,M
Arizona,0.0,0.0,0.0,0.0,0.012956964368347987,0.017875017875017874,0.01452696568004358,0.03730481587408736,0.08166811468288446,0.09578544061302681,0.11261639829226477,0.12706682126463253,0.16315848989548162,0.2181657036696153,0.20957691659961453,0.2188008109681434,0.23355310749643468,0.22973756105637883,0.25378049036263345,0.2440652509491426,0.19324916258696212,0.2216459427710176,0.22229053846335753,0.17765495459928937,0.16073419231068364,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0223254152527237,0.03145784648570915,0.05390351271224508,0.11647701818833438,0.16234498308906425,0.20379230905546694,0.17087867613994062,0.30547983833067016,0.354295837023915,0.3205128205128205,0.3181336161187699,0.5059949400505995,0.4206393718452047,0.3825894094815636,0.3869132290184922,0.3683678925791694,0.32085561497326204,0.17725840336134455,0.24837863943700844,M
California,0.0,0.0018510634359439496,0.0019223111672548026,0.0033422459893048127,0.006784145452078493,0.0083701853996066,0.014266149280986077,0.02458287716850991,0.04515844971042144,0.053542744958058185,0.06922366936724439,0.08737070544798625,0.1031460980655134,0.15804955580068558,0.16420878784918005,0.1753971069331126,0.24301743298610182,0.25102769728418356,0.2551266337056369,0.22322341426176096,0.2116935128794897,0.18981357852724873,0.18961984279903354,0.18350266302645124,0.1922249074038556,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.011502450021854654,0.022736057112975466,0.040284678393984155,0.07153555540652315,0.10407271213487823,0.15750220039838791,0.12755102040816327,0.18129770992366412,0.1961938395134393,0.1749331138094258,0.19012439567602804,0.22897352842622584,0.17908411268086075,0.1931448009455447,0.19623686944476507,0.1792166498048851,0.13218964808178132,0.13437080091247147,0.14739117618158593,0.1103088648215002,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020736849381350658,0.04459844248516245,0.04283878337855205,0.0923020121838656,0.11355463870699117,0.13071392872246357,0.18807752064764086,0.16391321226760988,0.23450888427888517,0.1893589506743026,0.23040391216438616,0.22338403041825095,0.17327775956540065,0.14900980580657566,0.2154328241284763,0.15813099367476025,0.21122669905476052,0.14889158486820336,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08648025367541078,0.0,0.11931394481730052,0.0,0.1837109614206981,0.28526148969889065,0.13393604553825547,0.17403411068569438,0.39993044687880364,0.2362777171937477,0.3418803418803419,0.2911208151382824,0.37601052829479226,0.21048603138155378,0.2851904664901202,0.26367831245880025,0.16362786348761105,M
Florida,0.0,0.0,0.0,0.006937164703705988,0.0,0.008374507997655137,0.014556263790144644,0.029343402753646688,0.057439122088365546,0.08262432728165962,0.09232402096554933,0.13818614737021132,0.1797675861921373,0.2047992289911379,0.23428253991256673,0.2386015437938483,0.3444141133249993,0.34770933565139556,0.33311466471284834,0.3468276216211666,0.2882372542485838,0.27742876658037424,0.25089730633864166,0.2369475369213099,0.21695029865885268,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.009913873226346119,0.012441370043669207,0.0387582361251766,0.05177004240212997,0.057712615732213465,0.08689798665932318,0.12656281418922916,0.15746716451739892,0.17254745054890094,0.1956766047464798,0.21354013009089504,0.3935475500583835,0.3911937291351089,0.48764335811685383,0.4118163031681608,0.35677189179424645,0.3287714330659116,0.3239810795049569,0.3294978177238774,0.30272632823415613,M
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17472335468841002,0.17950635751682872,0.2562049639711769,0.4239854633555421,0.22562449637389204,0.4287756074321105,0.39376819037835986,0.33444816053511706,0.43036667240488896,0.30959752321981426,0.44180118946474084,0.36719706242350064,0.35945363048166784,0.2988419872992156,0.18556701030927836,0.33200531208499334,0.25773195876288657,M
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07414730598121602,0.05617977528089888,0.142721217887726,0.14865816446287458,0.26752273943285176,0.2576538344953016,0.20737327188940094,0.2353138919236911,0.22163120567375888,0.13238770685579196,0.24766622213755002,0.261172373766686,0.22852789944772423,0.1574028529267093,0.20100502512562815,0.1043187982474442,0.14465338822743964,0.16622340425531915,M
Illinois,0.0,0.0,0.0,0.0,0.0,0.010843453890297611,0.01016208525989533,0.026215755669157164,0.058603829366641304,0.07992887228443901,0.0895701555935177,0.12461986291815079,0.16285873898099665,0.1675822541300597,0.19057285786786257,0.18447163612151113,0.2560297266372874,0.2670133971069679,0.2731658861927061,0.22662889518413595,0.22667261481329654,0.23022053365874523,0.20408163265306123,0.18428476248529266,0.18660647103085026,M
Indiana,0.0,0.0,0.0,0.00996049005611076,0.0,0.008242935804015958,0.02201263186413126,0.04206541171521716,0.10428616122640526,0.12822764798875813,0.1983205288547436,0.1879497368703684,0.2147250427630382,0.2794298121400925,0.2818914519394926,0.2965004593669089,0.2801536600377783,0.2461176573083876,0.2671296914652063,0.22535588379668883,0.1725586358785732,0.2276621212476823,0.1774316764829099,0.149415219743418,0.15572560075177874,M
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.019521336821145513,0.055357848952155,0.10736867220742037,0.20223264843876396,0.1668837512211006,0.21921957830124758,0.25595508401106387,0.2151648162492469,0.2647797306551016,0.3478509482512151,0.21024177804475144,0.27985549280008143,0.24061844058772333,0.22358859698155395,0.1348407841510217,0.2043340323708125,0.1366586949094636,0.16081000595592615,0.1676810334119985,M
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.03982318505834097,0.05970386881069893,0.1423262433778762,0.12940272554490678,0.1265977865806346,0.2405806556842277,0.20342568859595592,0.23093718508565672,0.22668817298051352,0.1987263447902082,0.257781172426962,0.2466442157188256,0.20370646395389277,0.2091529306309447,0.1671224551807961,0.17709255690400544,0.15061081050928765,0.15747113029277965,0.1955512099731117,M
Kentucky,0.0,0.0,0.0,0.0,0.0,0.01537633581917429,0.0,0.035257105662833584,0.06803276457942145,0.10482180293501049,0.11371831142175627,0.18146824305746495,0.21769082391843486,0.22206840860587185,0.2621350447437404,0.3164455809493367,0.30300036228304184,0.27839076557460535,0.3385965518432782,0.19839161086902612,0.25099501595611173,0.2534287418008348,0.16009996485610528,0.15687569665194237,0.1464633410872749,M
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.016621879934620606,0.017075044821992656,0.06847360912981455,0.09554693381203312,0.1445886913185258,0.2064570180425481,0.28734780934324733,0.27690488783796396,0.3238814974756295,0.2714532930677615,0.5887588142671322,0.6257130016939192,0.5406330196749358,0.505787704945857,0.4494688095886679,0.3908313087567339,0.33687876149740714,0.3753784056508577,0.3828646786063726,M
