state,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014096419509444602,0.018790987842230867,0.015590591078284255,0.019939384271813687,0.029612081729345572,0.03808508207335187,0.03729365811529629,0.05819718066991421,0.10410772886726265,0.10354825348612452,0.09590716186731243,0.046289528821322416,0.0598182445645922,0.07657151061233279,0.08669069671944153,0.21951929753824787,0.25503756634423175,0.2923429533654521,0.3216422675779864,0.3237016232684343,0.26981609902724196,0.24332658764575502,0.23241883311369357,0.29877643934364034,0.3575413905399558,0.3298440112696704,0.327837920705677,0.2716139202134109,0.25969571502070216,0.3532855556677097,0.375920490241516,0.3188924321381349,0.24200473600666164,0.1689452617351978,0.13927942606364807,0.17391304347826086,0.11059805900406447,0.10335027129446214,0.10651466735757262,0.08189289579129011,0.06992803239998835,0.03086333155635364,0.05068709168731696,0.03460107840027681,0.039749273811343834,0.042453138266605704,0.0,0.02097682061322239,0.035114825479317366,0.02083116342047703,0.017588293232024765,0.0,0.018662983837855997,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09257544899092761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266357112705783,0.1669100771959107,0.2484709480122324,0.13922728854855554,0.17841213202497772,0.17046665246111228,0.1141552511415525,0.0,0.1634320735444331,0.0,0.2748259435690729,0.08726003490401396,0.11464133639043562,0.23393636930754835,0.20494803103498754,0.30856261249678585,0.2894356005788712,0.2859757492564631,0.2734107997265892,0.2060106640814348,0.26874840030714103,0.2677376171352075,0.2468814968814969,0.22239665096807953,0.20048115477145148,0.3306696059520529,0.19236460491269608,0.20569620253164558,0.0,0.08557247989046722,0.1597444089456869,0.0,0.11045655375552282,0.1490035388340473,0.13297872340425532,0.0,0.0,0.13565891472868216,0.09571209800918837,0.0,0.0,0.0,0.0,0.0,0.0,0.1250260470931444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022311468094600623,0.0,0.0,0.0,0.0,0.0,0.017538321231891682,0.0,0.0,0.02321031864451739,0.02717022143730471,0.0732421875,0.03367003367003367,0.07107039917874206,0.06701356039104384,0.10612373241097398,0.10402347958539213,0.15554203016162846,0.13056141408054636,0.1482298596987142,0.13579576317218903,0.1664327905231211,0.17358213439262943,0.16104647341089856,0.13579233247015726,0.15663390663390664,0.17999268779705824,0.25136812337985387,0.2822296139502066,0.2564677174373148,0.2854120020667766,0.24470208115556402,0.268733620574779,0.22044700541295614,0.2156164957086037,0.25329901540221433,0.23394171624483212,0.15509116576859602,0.16626115166261152,0.12219061736308641,0.12831218558422777,0.1396926761125524,0.12829369387150893,0.11165441034920878,0.11011088359154657,0.09352572911894946,0.0906987505784359,0.050050050050050046,0.050844379880152536,0.058621853516422996,0.06776715899218072,0.04276135741652983,0.013446734124449524,0.030178370050350227,0.017769736523270276,0.027270712958701912,0.01684100222675474,0.01806612200654395,0.012401049955562904,0.014487954300852719,0.01048679712242287,0.010430138929450541,0.01932491625869621,0.0,0.0,0.0,0.012962434863764812,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017826900793297084,0.016901027582477014,0.02181818181818182,0.03407413016317722,0.030905930075333207,0.0751455945895172,0.08047700918169515,0.04366335552887239,0.05029402661714639,0.08680898078364835,0.14318331333926707,0.12738346403407508,0.0602675880911246,0.06956790600602922,0.10813841717398269,0.16305172152282724,0.19096584649283876,0.202122283981809,0.3340628959797258,0.20488634606463585,0.2640366545002718,0.2875126272437641,0.2745612987943178,0.2345737913486005,0.2568321361210321,0.3559832570512068,0.3376388834360645,0.28128821850794944,0.29617093293843877,0.2952376877326601,0.3308191081116845,0.30409872190392245,0.28520807225271166,0.22234817107729868,0.20125125782036135,0.1376309714082756,0.1386842333362226,0.0669762457581711,0.0853855833183534,0.08534722846105472,0.06719827972403906,0.04509582863585118,0.06202374623427254,0.053961687202086515,0.028198138922831094,0.04428697962798937,0.0,0.03181336161187699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.003815512346997955,0.0067936167177320185,0.003950045096348183,0.004419805781105962,0.006360311655271108,0.014986044246295635,0.013291244392756271,0.011153452923134119,0.01012821398153903,0.013408304498269897,0.012787570481491988,0.01630931565352945,0.011023089698555241,0.011879819426744714,0.013932782818500017,0.009778803465607949,0.021136761451831302,0.030750407038282634,0.0347601704814127,0.027246944007530065,0.03216518540262693,0.053027892671545236,0.05918232930193488,0.08013198208814518,0.1206323976043825,0.13681894174299472,0.13368840592661435,0.1526670097644714,0.15408737939699343,0.13394133670444114,0.12510238428029455,0.17072275478237117,0.19675255593482108,0.15972091731276705,0.1270883007940068,0.12552332989503065,0.14836136536853556,0.13722402433020361,0.18435779846609063,0.23024800999934214,0.26483180428134556,0.22669994814841612,0.22527755312109404,0.22879950529836693,0.204733459691546,0.1796981071799377,0.18547289261802707,0.18096817976172522,0.15634603392507054,0.12445564822350332,0.11522203378458108,0.11007101743592208,0.11731838021097422,0.10287010148481832,0.10101517607579841,0.08238476431092011,0.07325089126559715,0.06501472724908555,0.047989062957744515,0.052499429354028765,0.045449738020849714,0.03951364349661876,0.0320123289960877,0.027632493533426773,0.02452016572249937,0.021879475347230115,0.021943090298781862,0.021747421039526725,0.022006753117075926,0.017406207321318586,0.023249545117595527,0.016526421616559473,0.01397276333546901,0.012328241182665787,0.012269318764118738,0.012998134385417621,0.006103192783584853,0.009803044058289752,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015839325878290622,0.0,0.014905795373241115,0.020193278523005915,0.016859141869678834,0.01891840761060512,0.01620614212786646,0.029845076918902785,0.02672581981452281,0.03666841278156102,0.023152316517891597,0.058044430373067384,0.037896218498768376,0.04267910999829283,0.06312533535334407,0.14127619496114904,0.21354183777390848,0.1349787890474354,0.1515057819553522,0.17027772884739592,0.16488046166529266,0.12808607384162157,0.15965259595121017,0.1966069446646583,0.11288451287197014,0.1480613220642216,0.1317677374015402,0.15482983054735214,0.14398464163822525,0.2452405632948196,0.30944782903007445,0.3051228520957122,0.2428574701583156,0.25247261019618744,0.2759064677074472,0.2712955512127831,0.20234241096933916,0.19109358747974167,0.2145556503718152,0.1805142215934039,0.17431012471766671,0.18378749264850028,0.16585831678938506,0.16042780748663102,0.1406505728314239,0.09842271293375394,0.10105858871680858,0.1024165427101368,0.07135551697072046,0.05291127010053141,0.03183047995816566,0.03357056532832013,0.03353229159680773,0.03931635791762066,0.025478297123268635,0.011595547309833025,0.016698473282442748,0.0,0.0,0.0,0.0,0.0,0.014413791115339155,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017153078977676494,0.0,0.013612232859930126,0.0,0.012884937508053087,0.012056908608632746,0.018430159932832306,0.01015909137086779,0.038457645987248254,0.01832396774981676,0.039798077124484195,0.05160171730515192,0.08679479231246126,0.1495286596597681,0.13857967195238313,0.22644927536231885,0.23870417732310317,0.28942163909121604,0.31678986272439286,0.32439446366782004,0.2807323996381671,0.4585927562428868,0.47757120927852637,0.3761886516423421,0.3620359196422233,0.323680913267437,0.37119780030933147,0.4009992111490928,0.4765146358066712,0.4736941830354323,0.5518524259804681,0.5252611124605294,0.4684323719176266,0.4183028854362302,0.4309500489715965,0.3845024164908814,0.3791543550453678,0.38404041445435333,0.2815531495559139,0.3169952051145445,0.20457247118016197,0.19854213347704,0.26268168816764925,0.20099598008039837,0.19499116446286027,0.1676716215780479,0.17314351673720663,0.11127475045000818,0.12239497188223619,0.047326076668244205,0.05529826501693509,0.0377371436412913,0.046408681993431386,0.018460402436773122,0.018925773117831862,0.023067163892199455,0.024531850519257502,0.04744856144588708,0.027058717416794442,0.02771106595233697,0.0,0.02376425855513308,0.023415913454783874,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05156765676567656,0.0,0.0,0.0,0.0,0.0,0.0,0.05924872615238773,0.062375249500998,0.0,0.11614401858304298,0.16539440203562342,0.14696876913655849,0.13089005235602094,0.1659625829812915,0.333000333000333,0.38161606105856977,0.32040472175379425,0.29366039039557784,0.26289845547157414,0.2881383063870658,0.25117739403453687,0.37130551017377095,0.4919499105545617,0.574627965227641,0.33003300330033003,0.4988994864269992,0.4894198934791996,0.2988473032588587,0.20215633423180593,0.43808787527380494,0.44821320411871596,0.3545261167572678,0.25603511338697876,0.27135288797002194,0.2558922558922559,0.2187884589087926,0.27353872732507917,0.20633750921149593,0.2673399673251151,0.14808233377758032,0.1611013473930873,0.11524056467876692,0.0,0.07392075694855116,0.07206687806284232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329380986539517,0.0,0.0,0.009492469307682572,0.017124937119371512,0.015212761333507194,0.013924505970131935,0.03731612778968149,0.044653378152094365,0.07452111024237686,0.0730968707577709,0.07858288857601257,0.09551412950398525,0.07313218051853075,0.17249966593374555,0.20062576130311208,0.14286256115908316,0.11682392964888631,0.12706946056570348,0.15303133555706994,0.1318833614609994,0.2598090658081081,0.29461361037350026,0.3523302681214894,0.3033926436207235,0.30505990422141555,0.32465683203280743,0.2926541418136583,0.2781256482555683,0.2594832325453546,0.2841957886084855,0.31230139476399715,0.26109104840826697,0.22286800533135226,0.1990363994241899,0.2275176625553826,0.2257936990633743,0.18357398494384794,0.16424919610428668,0.1179317999630018,0.12193701215486778,0.09364222579196199,0.06971684236332434,0.07413070169342321,0.05290445455507353,0.04615052514831439,0.0487063732652898,0.029763170202814743,0.03638153530078969,0.026352841965771423,0.02817831236061799,0.019255563183363193,0.0187089147979012,0.025820000172133335,0.023002802934135307,0.01936173615846318,0.013328890369876707,0.015178473551509837,0.009582883228212009,0.012661318766787551,0.009391787820729554,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00723667547128849,0.007246464329279338,0.0060062945967373806,0.014144635325583787,0.013559873621977843,0.028220287564730284,0.04503363449576402,0.050599674521012536,0.06510755768529611,0.055517190017738416,0.05464238772466144,0.11178735560799902,0.1133497238098279,0.09024963389299459,0.060559919714849295,0.08181163688723084,0.09419152276295133,0.10758812733371306,0.22275737507525586,0.26657780739753417,0.23937851916533678,0.25745805080305956,0.23786450532992687,0.25050242010812646,0.308329050985403,0.31308367261928755,0.3444453242537018,0.3387851949600944,0.29887482419127986,0.3087344492932977,0.3003877251253821,0.25188577586206895,0.26537050325620437,0.254157090712451,0.2576655501159495,0.19565332346253503,0.1619052593095524,0.13071397751211958,0.11772724456286016,0.11446060440175672,0.088768863383469,0.08628340400354995,0.05894054372651587,0.062419680558105387,0.05441018180097701,0.04891025564555573,0.02750756458025957,0.023798505982679977,0.03793147047667214,0.027389756231169543,0.03529567480918276,0.02558622558020529,0.028247327654133774,0.021075132848605276,0.025169104923706147,0.012959243180198277,0.015526075180706264,0.008956400243614085,F
