state,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024091741351064854,0.01916856355576854,0.06165228113440197,0.07742934572202864,0.08704216964060746,0.08962475530083257,0.12368133866860677,0.09309846387534605,0.16402543656000806,0.17766105360729184,0.1322236913743486,0.16133649067110775,0.1637469459894994,0.11037237537119282,0.12384716732542819,0.09677330162855642,0.10047943042517152,0.05469672107551026,0.052645433008686494,0.05535969231665744,0.047697876041637444,0.081662536607344,0.037484501600299876,0.02446109157621159,0.042453138266605704,0.02354286483032321,0.02097682061322239,0.017557412739658683,0.0,0.021105951878429716,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12118274357731458,0.07678525723061172,0.06693440428380187,0.11694386694386695,0.13082155939298795,0.09355787222667736,0.12400110223201985,0.10358094110683633,0.14240506329113925,0.1671681711802073,0.20537395173712134,0.12424565140220092,0.19555555555555554,0.11045655375552282,0.09312721177127957,0.09498480243161095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031093146182205836,0.01964379256155055,0.03558718861209965,0.07353842382644932,0.06251890692749824,0.08152227944246715,0.08110300081103002,0.10616561836464884,0.0977616652070307,0.09978048293753741,0.10855620250666141,0.10780425826820159,0.0772707955028397,0.08970835242021682,0.053678852383155944,0.06435006435006435,0.05629199201016888,0.04796333469525518,0.036490008688097306,0.027367268746579094,0.026893468248899047,0.020648358455502787,0.030693181267466844,0.039201649878134,0.02058344716603357,0.020073468896159945,0.01033420829630242,0.0,0.012584156546907444,0.012516166715340648,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07223403828404029,0.0665023667018738,0.07852067056652663,0.11414594374235629,0.11000634651999154,0.09841256257755338,0.15438225045211945,0.15425297487880124,0.18581738040706972,0.15259188211187164,0.17062606641291508,0.11987213638785296,0.07800988125162521,0.11162707626361851,0.0404458026244832,0.06737939089030635,0.03135919720455156,0.03607666290868095,0.0,0.0,0.0,0.0,0.031525851197982346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.001745852726847374,0.0026243102984496885,0.004698938979578411,0.008256880733944955,0.01718337372933473,0.01793985736342916,0.031481013014025915,0.03591815082307824,0.0500492505923382,0.07515068091071492,0.07277027334333924,0.06931266066405567,0.07367593018695551,0.05205814779423843,0.0632067196193177,0.07879221721796363,0.07978204878249003,0.06214284392097545,0.05217701739691606,0.060160427807486636,0.050033072709078884,0.0524531618375347,0.056779274138324586,0.04087617947787112,0.03273987604005554,0.03881140772092048,0.031050946341685752,0.031848031340717564,0.0213111772862631,0.024018788029747714,0.021747421039526725,0.014452196076885682,0.012385185978630532,0.015499696745063685,0.012050515762074616,0.012950366018239567,0.009158122021408872,0.0032477608493255484,0.003058384561274735,0.002848156632339598,0.002557315841292979,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.01147078391337264,0.020619973881366417,0.03474393718296157,0.039086749591888355,0.055178756178871136,0.08569796229289658,0.11852640236085243,0.11459222235767402,0.09513587354246963,0.14484925856820188,0.08821799647128013,0.08292915839469253,0.16552075375604786,0.150879705400982,0.14384858044164037,0.106111518152649,0.09510107537369845,0.07135551697072046,0.07821666014861164,0.06593456562762887,0.06490309296808558,0.058122638767800064,0.04394181179028192,0.046324176587761154,0.041743970315398886,0.0357824427480916,0.036786344908769864,0.02315291212183577,0.021728502362974633,0.019546520719311962,0.025583444668694392,0.014413791115339155,0.017315017892185154,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.01620798080975072,0.015789806101181077,0.055805301503642844,0.06376001943162497,0.06776065757299002,0.16219907802629333,0.16230586259969218,0.14952871752423166,0.19349946395418768,0.14949224186813753,0.1612531674729325,0.12253596164091636,0.15757609266580044,0.14181580962645715,0.09923530441888974,0.125997480050399,0.10358905612089453,0.08706026505014026,0.08336539694754393,0.06872852233676977,0.08600727753886868,0.06760868095463457,0.08640353908896108,0.06861298843871144,0.04283878337855205,0.059073287797673985,0.03406639161209735,0.023067163892199455,0.04497505928530542,0.0388215502739076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08636821649632935,0.0,0.1078167115902965,0.07730962504831851,0.14536644457904302,0.22453320727960294,0.10972933430870518,0.18090192531334798,0.10774410774410774,0.1504170654997949,0.1295709761013533,0.14738393515106854,0.1485222040695084,0.19250703391085444,0.14645577035735208,0.0,0.0760225026607876,0.07392075694855116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.004845618591669413,0.0,0.004461656523834169,0.006816981099919901,0.02196925931049073,0.03907371375713693,0.041488356369615155,0.08136338647608575,0.08637322987120638,0.112073148230406,0.10784195477732765,0.09322583229546762,0.10135432885807456,0.12049455155071248,0.1383651623890038,0.1203258052573121,0.10410160316468875,0.0994326940864525,0.08077356219175955,0.07917716652328494,0.061289531747977445,0.06023119512590636,0.04685823117735085,0.04763925176600195,0.034167157365203295,0.03330640475076888,0.02782117405354506,0.02785871864952979,0.018517176694120393,0.01506957118697989,0.0093544573989506,0.009467333396448889,0.014483246291862971,0.010943590002609626,0.008330556481172943,0.0,0.0,0.0,0.004695893910364777,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010278095909317829,0.009906875371507825,0.015277565589366814,0.038967495733731074,0.05410826932720986,0.07486264607732424,0.06781193490054249,0.11072754510519117,0.1032169275761225,0.10641163793103448,0.12997738934997766,0.15411653372989048,0.14103798532662498,0.1216223362064407,0.13840288295816577,0.08756567425569177,0.08302868827064874,0.06096271321397913,0.05876248702849355,0.06039838280248496,0.050345047766398976,0.05140444281255737,0.03311924109624688,0.033402125806720986,0.028757908424816823,0.030409202088979972,0.025287646984448093,0.020181925644019664,0.010294571819344971,0.007525360464766262,0.014867014554807248,0.00752683316021617,0.0,0.0,0.0,0.008956400243614085,F
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04808617041738796,0.05721914934197979,0.06383948928408573,0.11417697431018078,0.07935720662632675,0.06165861679169664,0.13847464848743077,0.1277435837881779,0.12084592145015105,0.1722082395019208,0.10850400108504,0.0,0.14259232853272494,0.21426385062748698,0.0,0.0,0.11967090501121916,0.08006405124099279,0.0,0.08058017727639001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
