state,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013281192355935957,0.009034647874599087,0.007622997057523136,0.020360219263899765,0.013029952603547406,0.021150936335681627,0.022906681702847476,0.0,0.0,0.0,0.0138189714736946,0.020946795140343526,0.025516713447307986,0.01508815795145924,0.015842480479800837,0.011505361498458282,0.011988395233414054,0.012181454952979584,0.02530771885425055,0.021535737359718598,0.027376009490349955,0.0179199426561835,0.0137858143969855,0.02338743626923617,0.018920133386940378,0.026181748940829246,0.02366807886203877,0.03131926375638431,0.02875284533365281,0.04031110689557052,0.04099200655872105,0.03206816776232907,0.040095285266161934,0.036376864314296105,0.03674939363500502,0.06561017462400323,0.04377156393223132,0.03629669959295844,0.05464623071118166,0.059780631075531526,0.06306992878353875,0.05006587615283268,0.06359388392733707,0.04880429477794046,0.06333304545585398,0.05557017928694686,0.06410069636665598,0.050503633455851404,0.05631899076368552,0.0980363888007843,0.07644091117566122,0.052250016328130096,0.05717552887364208,0.08390728245288956,0.059695203314839525,0.027774884560636044,0.03869424511045448,0.046596652209756624,0.037325967675711995,0.051493305870236865,0.024251242876197406,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06059137178865729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02376425855513308,0.016316940247364815,0.0,0.016433313613357,0.015789806101181077,0.0,0.025311471721461313,0.023565761566861302,0.0,0.024899778391972313,0.0,0.011878741803668155,0.013325634078088216,0.01964379256155055,0.02512036843207034,0.01838460595661233,0.01815065039830594,0.029825224186268467,0.020275750202757504,0.044068747245703296,0.026477117660237477,0.037916583516264216,0.03947498272969506,0.023100912486043196,0.036703627863848856,0.04389983203542526,0.044423877834335955,0.032175032175032175,0.02179044852006537,0.04441049508819924,0.026064291920069507,0.034209085933223866,0.03529767707668,0.030178370050350227,0.03553947304654055,0.04772374767772835,0.06549278643737955,0.05219101913001586,0.0516710414815121,0.04553357065982284,0.0482392667631452,0.03963452793191206,0.04079704543502534,0.04211272912649334,0.04729585924752288,0.04194630872483222,0.025924869727529623,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014460897732531236,0.0,0.0,0.016901027582477014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020025632809996797,0.0,0.022034520749173704,0.0,0.0,0.0,0.0,0.0,0.02387489554733198,0.04373409669211196,0.048156025522693525,0.03520713531275672,0.07066860350987397,0.036689767631471665,0.05500317325999577,0.055624491891660605,0.052931057297869524,0.03966505068312032,0.03457067542457111,0.07411605702576624,0.07437546484665529,0.06659563132658498,0.07367599895986826,0.07590641185926059,0.10785547366528853,0.05390351271224508,0.08959770629871876,0.08568207440811726,0.07531454899875953,0.09443295260365141,0.07989472694802144,0.07381163271331562,0.05779739386296763,0.09013785790031813,0.11549884501154989,0.07291082445316882,0.060992514555031886,0.04551920341394026,0.05347275860020201,0.03774771940861906,0.03939075630252101,0.0,F
California,0.0032781971788771705,0.0037974983979303634,0.0023236360256529416,0.003682986902377828,0.004757785467128028,0.007193008395839244,0.004930723337113555,0.0033069269095665726,0.006119906977413944,0.0040778876541951265,0.003911521386243179,0.008586809339806467,0.009063277863914882,0.007515712536521666,0.009288730911657977,0.013740467550636747,0.013412937558096735,0.015909228306971744,0.018854584020740042,0.006386421049643779,0.010359658774273752,0.00965130203213526,0.014506819932370588,0.011175568176045678,0.012039670715005944,0.010594990199634065,0.015791854817369333,0.016841032971456504,0.018790696154443183,0.01416464033617413,0.018961228080820337,0.017019009493647468,0.01885520944995164,0.015745861790698132,0.014410079537373794,0.01529051987767584,0.015073134850293626,0.016469377251672673,0.018832391713747645,0.021274597025977112,0.029816574820967442,0.03238817224434852,0.028964483797842264,0.028936353481110615,0.0281102010559461,0.026144758669995303,0.03725110852089066,0.03504638052912578,0.024627256215816854,0.028559264440278086,0.031031594557113237,0.04567736185383244,0.04296625452983045,0.033201735418439515,0.027676329605112987,0.04230541652255193,0.04290052722490037,0.04051117740212868,0.03788785195820371,0.03889405597361968,0.037223522993339545,0.06286398842353723,0.06839406326923622,0.06799101336171219,0.08167528050772568,0.08288968259316666,0.06403988376416797,0.06475183009119784,0.05811885128971015,0.04655123884033286,0.041288191577208914,0.047198024193056194,0.037081079698748194,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018007357291693466,0.013191915993878952,0.0,0.0,0.015781333838336017,0.0,0.0,0.0,0.0,0.0,0.015266709413453025,0.0,0.015965259595121014,0.0,0.028221128217992535,0.0,0.0,0.022937752673681797,0.01866467576791809,0.027810785528278512,0.01450536698578474,0.02294156782674528,0.02291108209040713,0.032427674704097464,0.029889867334973445,0.022991148407862972,0.054751475909350596,0.029026874047555697,0.039010118249420946,0.034151339220373715,0.029460866149464793,0.03675749852970006,0.04774709119694419,0.03819709702062643,0.05114566284779051,0.03785488958990536,0.05558222379424471,0.08047014070082177,0.04043479295007492,0.03450735006556396,0.03865129709205829,0.03804664070542948,0.04470972212907697,0.041629084853951295,0.05095659424653727,0.032467532467532464,0.028625954198473285,0.05885815185403178,0.04373327845235645,0.048889130316692925,0.047470121746900476,0.04832428437420052,0.03171034045374614,0.03174419946900612,0.03468709351062292,0.032313025086657655,0.04687353520202494,0.03930431364842291,0.026741542987030353,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01607587814484366,0.0,0.0,0.01619269304726242,0.020359964166463067,0.0,0.014448480845442537,0.014465798718743542,0.013002492144327662,0.020446181107728657,0.01906941266209001,0.02435756911460236,0.024118469924268002,0.021599308822117694,0.018923010380622836,0.031192488848685238,0.04686349333868916,0.027289783387344363,0.052248423839214186,0.05324057641797402,0.04872615898649589,0.030933150025777626,0.02300815145937418,0.03889915394340173,0.05052737952377944,0.0,0.036434296818071414,0.0294611554665174,0.02845597860110409,0.05596753882748006,0.04005233505113348,0.023533718589022826,0.05670395381205216,0.058870203998054725,0.06126798082045818,0.04146739280678959,0.07941685339081601,0.06129239390578483,0.056998860022799545,0.05484126500517945,0.04836681391674459,0.04809542131589073,0.05563737522500409,0.03969566655640092,0.06084781285917112,0.041473698762701315,0.05832104017290473,0.046408681993431386,0.036920804873546244,0.03406639161209735,0.02691169120756603,0.040886417532095834,0.04313505585989734,0.027058717416794442,0.050803620912617774,0.03761696525132835,0.0,0.0,0.0,0.02937720329024677,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060960741282614,0.0,0.0,0.06837139340899767,0.08638065073423554,0.0,0.0,0.0,0.10251903925014645,0.0,0.09122700319294512,0.07392075694855116,0.0,0.10353498003253957,0.07457121551081282,0.13671578307762416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008707672547973834,0.006329380986539517,0.006201422192822888,0.008280202036929701,0.00843775049571784,0.011773394269567916,0.01086625809536228,0.01972638345768691,0.007222476346389965,0.007442229692015728,0.012216575449569975,0.005801338949029436,0.007640003056001223,0.01207649913268779,0.0117955129868598,0.007288718278890657,0.016718813441926005,0.027813949960175482,0.019256691700365876,0.013440039098295558,0.022715588871752568,0.019000145295228726,0.014264027142405935,0.018413350648343766,0.018446610896413057,0.006246319133367837,0.015338207474819777,0.02196925931049073,0.02950464100028707,0.032268721620811784,0.028587135788894998,0.027862332216518182,0.038952252738616716,0.026960488694331913,0.04515626251811713,0.03672258291959223,0.04340797509280326,0.037252159104731786,0.047050475132666914,0.03932727230666019,0.057038909786027006,0.05126014523707817,0.03730462653500925,0.0383059573424859,0.027026818325727214,0.04761400909956619,0.045406161839470605,0.03925588293023357,0.04393610839463129,0.03638153530078969,0.046682177196509377,0.05957700327673518,0.04437151516166301,0.0561267443937036,0.06455000043033333,0.04089387188290721,0.04124891616368243,0.04665111629456848,0.041319178001332335,0.045300902533365855,0.032557676828882276,0.03287125737255344,F
Georgia,0.0,0.0,0.0,0.0,0.006181921588506571,0.0,0.0,0.0,0.0,0.0,0.0,0.011652567060523433,0.009427736400490242,0.0058818685520016,0.008300821781356355,0.009648900628384654,0.01086969649391901,0.010811330274127286,0.01671638720296266,0.008135924173186706,0.014110143782365142,0.011258408623941006,0.00820535262502906,0.019532267305588834,0.023019322690281785,0.01919867676812429,0.023289032418333126,0.022350649765318177,0.02554234921499847,0.01557255078381839,0.029452189279403105,0.018177311410394116,0.011075248401999874,0.024081878386514148,0.01514646632940535,0.016560778055463552,0.029936982651518552,0.024961090065486156,0.021229018653231055,0.02222191358453355,0.030905255237097057,0.029033705492649196,0.03933461065079748,0.03265019087803898,0.03647495603465121,0.039698818298508645,0.05253232758620689,0.03384827847655668,0.029741787211031497,0.04068403422883413,0.04098143937390937,0.06006162845354363,0.0507627097134445,0.03841625875209121,0.031103425109173022,0.045009564532463145,0.03944384183019426,0.038065767823374834,0.031821797931583136,0.0461303715269153,0.03698092500029823,0.05251444147140464,0.050241290407879946,0.04636068613815484,0.05333794634490911,0.0558848184478727,0.03311158604497155,0.05054784948634465,0.03462343253699438,0.037753657385559226,0.02915829715544612,0.02587679196784377,0.026869200730842258,F
