state,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.011693718134618085,0.0,0.0,0.0,0.0,0.0,0.011856207910461918,0.0,0.013743500469569599,0.0,0.03152661573905663,0.03184947448367102,0.022711214292924196,0.0643699469591637,0.0751860205854139,0.11449686434723777,0.08837136767687269,0.1261398575670775,0.152832674571805,0.15207233113058866,0.13780036172594953,0.14969628925929124,0.19595800064344418,0.1544244048833076,0.1879857467523358,0.1745888713674251,0.23355727920186847,0.21403455129185142,0.21879694337404482,0.22197558268590456,0.24822571058979825,0.22824636561556289,0.20136791306461133,0.22864781201632195,0.2078927560127603,0.19036243514613116,0.12279172938287253,0.11317246675558788,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06888950124001103,0.08878366380585972,0.18987341772151897,0.13373453694416582,0.0,0.10649627263045794,0.19555555555555554,0.11045655375552282,0.1303780964797914,0.1519756838905775,0.09674922600619196,0.09976057462090981,0.09689922480620156,0.09571209800918837,0.24971187091817135,0.13290298082399848,0.1130156338293464,0.11562921564848719,0.0,0.21816739389131298,0.0,0.22106109324758844,0.10199918400652795,0.12544428183148654,0.1763668430335097,0.0,0.18205461638491546,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01815065039830594,0.019883482790845643,0.032441200324412,0.024037498497656344,0.044807429886555734,0.019956096587507483,0.061186223231027334,0.05582720517460439,0.05988486651470077,0.06489540387845473,0.061082832022211944,0.07865007865007864,0.05447612130016343,0.051516174302311125,0.06602953953084274,0.06670771756978654,0.052106094732241905,0.07624009275877952,0.06946351550005654,0.05113258679756609,0.06549278643737955,0.07025714113655981,0.064072091437075,0.05381240168888153,0.11535476834665156,0.09804330593683507,0.0858885167053165,0.06649378283130528,0.05675503109702746,0.04441373864982234,0.057034713400565165,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020383204239706482,0.03807911994922784,0.03423045654871422,0.07498566450531516,0.10136624063464081,0.09074802298949916,0.1395125779308541,0.18375114844467777,0.1642692239389096,0.19069082083730607,0.16520807287015538,0.20672299119180296,0.1886622944928578,0.17023564196756563,0.15783540022547915,0.16835016835016833,0.17987229067362173,0.24908356048500802,0.1328609388839681,0.17864649012189995,0.24390243902439024,0.21449785502144977,0.179472798653954,0.13307457721097865,0.21052631578947367,0.17824252866734003,0.15099087763447624,0.1838235294117647,0.12418931971850422,F
California,0.0,0.0037922456161640673,0.002219870803519235,0.0,0.0016401939365310555,0.0,0.0015290519877675841,0.00241170157604698,0.0026468642011616794,0.0016864828400371026,0.003591815082307824,0.005324388360887043,0.0063258148914743205,0.008138780571294522,0.009869763978053234,0.010201282641270761,0.012493955470617223,0.02018769752099881,0.022867141905528878,0.0230880527023283,0.03120364077734087,0.03432698512955004,0.032308377896613186,0.028832618171333594,0.029853661258596877,0.031670851403789085,0.02829889348468001,0.021450263612450185,0.022946890696310653,0.027632493533426773,0.02536568867844762,0.0284149030483508,0.03647297441554283,0.031202821491494868,0.04007199821318303,0.04284604879093806,0.040770941438102296,0.047857762597953483,0.052823861390187715,0.05001743565538692,0.048716412739883225,0.036700614735296816,0.04516362659852791,0.03750729900563035,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.012087805821487285,0.0,0.0,0.0,0.0,0.0,0.016663492668063228,0.02418906170629641,0.02194319151529928,0.017075669610186858,0.022095649612098596,0.0563614977455401,0.05779911039630086,0.06620830150241915,0.07927577741407528,0.07318611987381704,0.09347919456304793,0.05364676046721451,0.10703327545608068,0.07361568013986979,0.06820817133892641,0.07161720603374962,0.06035812487425391,0.09713453132588634,0.07875110019919396,0.06493506493506493,0.06202290076335878,0.06621542083578576,0.11319201481786376,0.07876582106578303,0.07260136267173015,0.07675033400608317,0.08071723024589927,0.06926007156874062,0.09538950715421303,0.09400152752482227,0.04374863285522328,0.07533326782614393,0.06685385746757588,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013991884706870015,0.0,0.018304003347017754,0.0,0.0,0.0,0.0,0.019854213347704004,0.023349483392679934,0.041999160016799666,0.05484126500517945,0.03224454261116306,0.04168269847377196,0.042546228113238424,0.04631161098246775,0.054086944763707664,0.03110527407202599,0.05145974132903359,0.03212908753391404,0.03322872438619162,0.030281236988530982,0.03460074583829918,0.06132962629814376,0.04744856144588708,0.036078289889059256,0.07389617587289858,0.08463817181548879,0.04752851711026616,0.1077132018920058,0.09613535858488752,0.1028202115158637,0.07651499693940012,0.04752600728732112,0.08823205029226867,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08638065073423554,0.0,0.0,0.0,0.08787346221441124,0.0,0.10643150372510264,0.13305736250739209,0.0,0.0,0.10439970171513796,0.1822877107701656,0.1224739742804654,0.11093502377179082,0.13393604553825547,0.0,0.12171796209354896,0.16357688113413305,0.2279202279202279,0.1819505094614265,0.09400263207369806,0.0,0.16296598085149724,0.13183915622940012,0.0,F
Florida,0.0,0.0,0.005977786545198044,0.0,0.0,0.005814742310003295,0.004611652724103264,0.0,0.0,0.0,0.005581959108162419,0.0,0.012461059190031152,0.012538049497433184,0.008883847115824866,0.016318190525516686,0.01747984355540018,0.030846969652457475,0.033678601365105976,0.04029315168470989,0.05244970998395656,0.0424117642522806,0.06474687056792254,0.06213350937827657,0.07156397743450754,0.07124908065702378,0.06949753283758427,0.06499690131051891,0.07890251073744073,0.06397254996038064,0.07653386623580935,0.072049707164309,0.08282321760671019,0.07567889605423117,0.06948746713996283,0.08759173746290107,0.09639466730929779,0.09712294572190464,0.09765049540790127,0.10663112295901366,0.0978168295541745,0.08363243544621389,0.06511535365776455,0.07137758743754462,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011974793060607423,0.0,0.008491607461292423,0.0,0.006718533747195013,0.007918283316177053,0.008882008856631688,0.010046212577858147,0.026053540024750865,0.0370522304119414,0.04175646551724138,0.054157245562490686,0.06894687035284575,0.08001193398337379,0.09650467981598011,0.10314931843108581,0.12690677428361125,0.11400954210298035,0.13561093347599437,0.12627683382718827,0.11463366531900207,0.1633144232422211,0.12851110703139343,0.14785375489395927,0.15985303064645043,0.187551576683588,0.15733456732993986,0.18544274455261936,0.1744295002090271,0.19706751768460373,0.15953764185304475,0.1977312935789364,0.16709569615679898,0.19348749410099103,0.16199053975247846,0.14663515448444805,0.13255472360548848,F
