state,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026083657403016217,0.04099200655872105,0.050392835055088535,0.047170923842543455,0.06305323147811326,0.09064850429967905,0.09589179368123549,0.10814151089139502,0.10370485597988126,0.11709906580967498,0.14815199875240423,0.15504690825953277,0.17654808959156784,0.08847844720325158,0.12057531651020585,0.10651466735757262,0.09359188090433156,0.08741004049998544,0.06733817794113521,0.09574228429826537,0.06343531040050748,0.07338327472863476,0.04898439030762197,0.04708572966064642,0.045449777995315174,0.059695203314839525,0.04166232684095406,0.04221190375685943,0.017921789311444853,0.0,0.019805117642398794,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06496881496881497,0.0,0.0,0.11022320198401765,0.1331754957087896,0.09493670886075949,0.0,0.08557247989046722,0.0,0.0,0.0,0.1490035388340473,0.17097264437689969,0.09674922600619196,0.0,0.11627906976744186,0.19142419601837674,0.0,0.15188912094171253,0.0,0.0,0.0,0.0,0.14586372160866848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010466820180029307,0.03472647791804551,0.03831803972975698,0.037778617302606725,0.0364963503649635,0.06810624574335963,0.07128454754679321,0.0658551187387747,0.0710549689134511,0.06930273745812959,0.08886141482826566,0.08016491067338526,0.09440074039796391,0.09473759473759474,0.0835300526602506,0.0763860515517027,0.06602953953084274,0.041050903119868636,0.05714862002891048,0.05876840483489255,0.0549246401628354,0.0562458454773227,0.04116689433206714,0.050183672240399865,0.026868941570386294,0.03725473963076414,0.025168313093814888,0.027118361216571404,0.021472129176329124,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024078012761346763,0.0,0.035334301754936986,0.036689767631471665,0.06346519991537973,0.10269136964614264,0.11027303603722818,0.06170118995152049,0.1123546951298561,0.12207350568949732,0.1618760117250733,0.12875155389806428,0.14735199791973652,0.12502232541525274,0.15279525435915872,0.11679094420986434,0.10303736224352657,0.08117249154453213,0.07974481658692185,0.040471265401564885,0.06109596766613404,0.07873240822753666,0.04203446826397646,0.04772004241781548,0.032999670003299966,0.03365114974761638,0.060992514555031886,0.03982930298719772,0.0,0.031456432840515886,0.0,0.048295846557196084,F
California,0.0016401939365310555,0.0,0.0021406727828746177,0.004521940455088087,0.005881920447025954,0.010962138460241168,0.017130195007929623,0.01703804275483854,0.02909874850078187,0.024176965814727842,0.034768486740869346,0.0321907141124544,0.04095240959813424,0.04133671397156899,0.04399439257911534,0.043097698377679496,0.05130090093901804,0.050803937991734056,0.059324866310160436,0.054838509070967816,0.06166036577710196,0.05392604428212736,0.05488270251574305,0.04826309312801291,0.05269286011745409,0.047573468248270835,0.04171246582678053,0.044895546816394266,0.04092089812475536,0.0330939015818885,0.03580203119046681,0.02711351525051549,0.034368892782532516,0.029954139180014046,0.025219133824992843,0.016907302193370225,0.007217246331834552,0.006499067192708811,0.008137590378113136,0.0063932896032324465,F
Colorado,0.0,0.0,0.013764940696047166,0.0,0.0,0.018393764513829812,0.020692033567076676,0.023804989525804607,0.03870249873007426,0.039010118249420946,0.06586329706786359,0.06383187665717371,0.08576749656930013,0.06533812479581835,0.08403361344537816,0.07671849427168576,0.09337539432176656,0.0884262651272075,0.09997805359799067,0.11416882715315271,0.1104235202098047,0.08412341131800923,0.10071169598496038,0.0693000693000693,0.057818173408265686,0.08801593551674619,0.06957328385899814,0.08587786259541985,0.049048459878359825,0.06945873636550731,0.048889130316692925,0.04188540154138278,0.03126865459507092,0.0374758568998818,0.02597252683827773,0.02601532013296719,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.015180957007529755,0.0294611554665174,0.03699277218143532,0.03637890023786204,0.06675389175188913,0.03399314907303297,0.05154904892004743,0.06654892625867055,0.03995737879595098,0.06634782849086335,0.09359843435346173,0.07296713560212481,0.07199856002879942,0.06702821278410823,0.1096314448779544,0.14107990252661282,0.11782032400589101,0.08269930532583526,0.1183151916706105,0.09331582221607797,0.13036467803355176,0.06782807368270742,0.1070703341332841,0.041636700859230096,0.11533581946099726,0.0735955515577725,0.09489712289177415,0.0631370073058537,0.07851468686495473,0.03761696525132835,0.04752851711026616,0.05151500960052451,0.02884060757546626,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11596443757247778,0.10902483343428225,0.15362798392814936,0.121921482565228,0.07752939656286342,0.20202020202020202,0.16409134418159443,0.10077742585660812,0.17686072218128224,0.1485222040695084,0.0888494002665482,0.13181019332161686,0.17286084701815038,0.12163600425726016,0.07392075694855116,0.14413375612568463,0.10353498003253957,0.10439970171513796,0.13671578307762416,0.16840171463563994,0.0,0.08371002846140968,0.13922728854855554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.006509410166071326,0.012758763675799817,0.01690266370613951,0.031519149715961155,0.047365964768080915,0.05808669268039335,0.058177896656189915,0.07720264236968413,0.07344516583918446,0.09804215064064183,0.11175647731419536,0.09718622732321362,0.10410160316468875,0.13180612937041375,0.0869869131295872,0.1149591552405387,0.09576489335621476,0.08803020826094007,0.07482201429931828,0.07518069419322182,0.06906127552541091,0.06165228113440197,0.04494189654803433,0.053458622273422025,0.052331151526861984,0.04520871356093967,0.05272512352135793,0.031844666878964444,0.03407822656908935,0.031147140776658165,0.02749083638787071,0.006745988245115482,0.011325225633341464,0.009948179031047362,0.01033096660280251,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008062240496634013,0.027713991606619682,0.021570592937534102,0.04018485031143259,0.04559369504331401,0.048961875901494,0.07408405172413793,0.07311228150936244,0.08787346221441124,0.09492941320061297,0.1216223362064407,0.1436256332584739,0.12817584202644736,0.09913873226346118,0.12192542642795826,0.10002125451658476,0.10354008480425994,0.08104324762395933,0.0832262407441405,0.08161527270146553,0.07634771612964797,0.07877166220710695,0.060818404177959945,0.047765555415068627,0.06775360751920888,0.06617939026721767,0.04364709069564432,0.0475744465753832,0.03161269927290792,0.026742173981437783,0.012959243180198277,0.020701433574275018,0.02507792068211944,F
