state,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.00921574048474795,0.011015035523489564,0.011407711613050422,0.008581481163648846,0.010176785298906723,0.020250527960193245,0.017180408607384713,0.02018774603815484,0.014330137712623418,0.013019514806081562,0.015601730373732359,0.010000428589796705,0.022021581149526535,0.016232568435032832,0.010540422520365602,0.024393590584074032,0.01879404855129209,0.03257488150886851,0.029285911849405336,0.03347899633493093,0.05449386474246951,0.04092530158049617,0.05782421438825969,0.057250024676734776,0.047606352591689834,0.06281037156260427,0.0840625943009872,0.07694919090188977,0.05292466289290809,0.07912340854053276,0.09501534863324075,0.08742666513286552,0.10289296738532219,0.11862937445818314,0.17023945523374326,0.18610849435930427,0.19411572103466018,0.19156635054277132,0.2284952634836007,0.191711438782514,0.23850823937554208,0.17012100155744578,0.22052546713459165,0.16852269363029765,0.16950317245802507,0.17689096440953797,0.15520795440766338,0.06369894896734205,0.1236499444836984,0.08754312786446264,0.06481553498742579,0.06245283509849332,0.07277642043977751,0.028907050692455263,0.021080368906455864,0.03870932065142257,0.05454597651652169,0.04606039669516653,0.026322716504343247,0.017482008099997087,0.01964030189949777,0.022527596305474205,0.017300539200138406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12079726192872962,0.0,0.08865248226950355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12202562538133008,0.0,0.0,0.0,0.12182387747998608,0.0,0.0,0.0,0.0,0.0,0.0,0.09160864785635764,0.12216404886561956,0.0,0.10917030567685589,0.0878348704435661,0.07714065312419646,0.10853835021707671,0.08007320979180965,0.056960583276372746,0.08482792050412022,0.1151778858459176,0.0,0.0,0.07849293563579278,0.06682705159048383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029834715675159617,0.029084986330056427,0.06771626883358726,0.09336042616288648,0.05675661730560859,0.042158516020236084,0.062472110664881744,0.03413114893980119,0.020719376761147025,0.023419203747072598,0.022067747986317998,0.03265246888945325,0.0,0.020003333888981498,0.019989339019189766,0.02321031864451739,0.03396277679663089,0.0,0.03367003367003367,0.047380266119161366,0.02759381898454746,0.047166103293766214,0.02600586989634803,0.02028809089064719,0.036825014227846405,0.037919266434554795,0.03734383487235198,0.039160656593675555,0.05340988750542444,0.06244659173075659,0.041053495863070805,0.05835380835380836,0.0562477149365807,0.06807886674871043,0.08819675435943958,0.10706904708548094,0.07135300051669415,0.10453292787227977,0.09327943854661751,0.056748734066701584,0.07954783336822273,0.059239285860195286,0.07058586266007866,0.061638796651621496,0.05474452554744526,0.050078121870117384,0.04073402716959612,0.02394731590500898,0.01973749136484753,0.025025988526546798,0.019317698875709926,0.013360818445564207,0.00925497454881999,0.016087516087516088,0.019974577810059922,0.008882099017639849,0.019113814074717638,0.0,0.013446734124449524,0.00953001159484744,0.0,0.010226517359513217,0.0,0.0,0.0,0.0,0.0,0.010430138929450541,0.012883277505797475,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.012610340479192938,0.01150483202945237,0.0,0.0,0.01486951996233055,0.0,0.015668660068419816,0.018596248870942033,0.015939641889378884,0.022139200221392003,0.013728343538068696,0.013748728242637554,0.0,0.0,0.0232740814010997,0.0,0.02024525682554373,0.0,0.020798050925513265,0.020281233098972416,0.02181818181818182,0.03786014462575247,0.027042688815916555,0.0375727972947586,0.0438965504627428,0.04730196848961176,0.06963788300835655,0.06313380420628971,0.0464378313532758,0.06767246526810239,0.06428542729719958,0.06183813867202598,0.09612303748798462,0.12134081601698772,0.15424164524421594,0.17880048198390797,0.17279115309296164,0.1353023040049482,0.22132484274287487,0.19815059445178335,0.1512076717997692,0.1590330788804071,0.24880613186724987,0.16038806086922505,0.16096737466137961,0.1426824296779454,0.11000634651999154,0.08129733430319627,0.0661638216223369,0.08373732921992066,0.06914135084914222,0.04795744866373109,0.021875136719604497,0.02663825253063399,0.030337176042298693,0.0,0.0,0.02245979696343545,0.035839082519487496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.019077561734989774,0.012907871763690838,0.021066907180523644,0.050512066069782424,0.056712778926167384,0.05338778262742821,0.07594996795860727,0.0836508969235059,0.07872384503832608,0.08693771626297578,0.07672542288895194,0.07282299082506172,0.062096738635194514,0.045719305066562986,0.03941958065721956,0.034551772245148084,0.025430166121734536,0.028484587572303915,0.030062850146086666,0.02322182727914494,0.030291485282085553,0.026202017555351766,0.03118208748166461,0.028955254031850782,0.03689932162016406,0.039295257419659065,0.04217976443673929,0.0417934574242105,0.03691324033905997,0.03988140924345719,0.03830496456790777,0.039693040486901296,0.04477250228996973,0.037581392308886366,0.036591987535116506,0.038301680723257084,0.04291750220137188,0.048534705806357,0.058062865353199364,0.07612281146917026,0.07859327217125382,0.08139492819158557,0.0635247408278803,0.06998903786153976,0.06603413882089,0.059366930223890536,0.06401724670172011,0.056732088099905924,0.053610763426243706,0.04216530158391915,0.0372504968660995,0.03292517333781949,0.02336425368608385,0.026422993648220167,0.016395133289789268,0.017300800505293222,0.013090463458110515,0.015829672721516485,0.012276271919423015,0.010556950467929696,0.009147117085957175,0.0073382480779434845,0.01048191303411721,0.0059822924144532184,0.005918660691637778,0.008240321884021731,0.006227093192897556,0.008825040421836933,0.0045984260244636265,0.008033634148300887,0.0037064492216456637,0.0044759058544848575,0.004771187480404051,0.004579061010704436,0.0057737970654676415,0.0034406826314340765,0.005696313264679196,0.002983535148175142,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.024133603629693984,0.0469906410306614,0.04534830990337322,0.05868544600938967,0.027751760502306867,0.06044731009470078,0.04751797763487186,0.07275152323501774,0.05962318149296446,0.05192557334487235,0.042147854674197086,0.054052593173157484,0.0432163790076439,0.021705510486474754,0.04008872972178421,0.026191723415400735,0.0,0.029022215186533692,0.01624123649947216,0.03414328799863427,0.05365653505034246,0.06391065962528171,0.04927888564013272,0.041779148990872865,0.04328736627295777,0.035229874933943986,0.0671735214191933,0.051234429536648626,0.05428188262341146,0.03805295703186935,0.05017089460976451,0.05243838489774515,0.04392257913384674,0.05734438168420449,0.047994880546075085,0.06826283720577453,0.06043902910743642,0.09864874165500469,0.0710243544802621,0.06717161188705904,0.06437817579840434,0.06207610070123003,0.06665397067225291,0.055634841924481745,0.05851517737413142,0.05122700883056057,0.04419129922419719,0.051460497941580086,0.04272108159726585,0.02291825821237586,0.025572831423895256,0.017665615141955835,0.015158788307521284,0.0,0.011892586161786742,0.0,0.0,0.0,0.011177430532269243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.01598721023181455,0.021181952976064393,0.020671122441948596,0.05236515971373713,0.07896666478650798,0.061106018942865874,0.08860829595170848,0.07732623077583985,0.10235996588001137,0.09261954537034586,0.07596363547256732,0.07846867197717275,0.07486728072961568,0.04598305196084872,0.05798221878623889,0.03416124105779278,0.03890811541375709,0.032509092386776926,0.030361299463617045,0.026467953416401985,0.018851720743176724,0.020640686922060766,0.022731969415168425,0.021670820240546104,0.05225135171975101,0.03098779557589626,0.060893922786505905,0.048236939848536005,0.03839877123932034,0.03784602076124567,0.04990798215789637,0.026779139050679523,0.020467337540508272,0.03134905430352851,0.03904308937318095,0.034804399276068494,0.03437016669530847,0.02300815145937418,0.06807351940095302,0.06000126318448809,0.05270500697566268,0.03947048821957736,0.026515039919865657,0.03983837004154573,0.03917727717923604,0.032041868040906786,0.028763433831027897,0.038661786690035574,0.058870203998054725,0.02663825253063399,0.022115942830287783,0.0,0.0,0.023999520009599807,0.0,0.01612227130558153,0.0,0.016363933889707083,0.0,0.0,0.0,0.01715324710967786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056420672534416606,0.053659583601631256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768344218209758,0.11614401858304298,0.0,0.0,0.0,0.09052504526252263,0.0999000999000999,0.0,0.0,0.0,0.0,0.0,0.0,0.10396554284865588,0.0,0.07367025195226168,0.15001500150015,0.11738811445341159,0.0,0.08538494378824535,0.12129380053908356,0.0,0.09691096305269534,0.0,0.0975371860521824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.015052306766011892,0.0,0.023110166162094704,0.05128862674701885,0.02855456777902572,0.054068667207353344,0.049408992436623465,0.056211354693648116,0.07154980199008287,0.05307027128273967,0.06772529467708004,0.059806986543428024,0.05557853376072795,0.05592574964302713,0.04153476572147011,0.02503455857542477,0.025317523946158067,0.01860426657846866,0.017595429328475617,0.025313251487153528,0.031038948528860872,0.04020515495284044,0.054537648383016744,0.06018730288658305,0.057057094305453915,0.054974589523064894,0.05801338949029436,0.06657716948801065,0.0658718134510243,0.058977564934298995,0.055880173471495036,0.04776803840550288,0.06321352263676246,0.07317542846139033,0.04032011729488667,0.04901784967062396,0.06258871391369464,0.06622584030402755,0.09303587696005272,0.1171359791922229,0.1052950939624864,0.1107759428736984,0.10659159146941798,0.08372938662243629,0.09219634748803368,0.08136338647608575,0.08010420512248978,0.08200474260761415,0.06598224864665442,0.05025455022177552,0.03892593789476777,0.03218177463776793,0.03801240724972631,0.025453535727508327,0.020049197646532645,0.01695751372017019,0.014756708477340686,0.015987697086432537,0.015322382936994361,0.01235511694890387,0.003778889611076681,0.008187996397281586,0.00799656874504758,0.007086469095908273,0.010700451559055793,0.01054113678630857,0.007245851749873198,0.007534785593489945,0.006803241744691345,0.006024666706831112,0.005111733985363401,0.00589270230909749,0.00583138953682106,0.0059027397144760475,0.006098198417953096,0.0,0.0,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.008218727740945701,0.014728625082848515,0.011442956860052637,0.011315488389051637,0.02803404862633162,0.0173093804478184,0.02506654571063657,0.017757783828578195,0.020592373957511068,0.011428310210052342,0.014591002963095987,0.0135800373451027,0.018644107296837496,0.011784670500612804,0.007058242262401921,0.009486653464407262,0.018091688678221227,0.019323904878078238,0.01922014270955962,0.025717518773788705,0.06237541866109808,0.05361854637298753,0.05347744096371978,0.06564282100023248,0.054690348455648734,0.0609335012389812,0.06350331546379573,0.07763010806111043,0.059069574379769466,0.06130163811599633,0.08132332075994048,0.0785391714117416,0.08097165991902834,0.09809505727485601,0.17308850090307046,0.1605525430916967,0.18367408388786846,0.17513134851138354,0.19528382227703872,0.21370545444252598,0.18055304787433507,0.16393222343155828,0.15044738300736402,0.13830556648183628,0.12934498693992366,0.14980785514231745,0.12703621855522768,0.09159482758620689,0.0704044192312379,0.0784101662836285,0.054245378971778835,0.05023531278092115,0.03917062725231107,0.03680296454224727,0.028502385525745088,0.02861515110043918,0.016253453858945027,0.022187161029484273,0.014735135931628968,0.020806560186035127,0.013011130430668419,0.008350531451680247,0.0075020630673435194,0.014543531433859985,0.009834084938396482,0.0,0.0,0.0,0.00892020873288435,0.0,0.011011483404121442,0.0,0.010350716787137509,0.0,F
