state,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.011792730960635864,0.0,0.017149717029669012,0.012617341273846774,0.01802358514856584,0.020740971195976253,0.03122641754924666,0.044185683838436345,0.044674532888339946,0.03689064558629776,0.10230320457875965,0.060287658255102926,0.08060569421654143,0.10236611973911264,0.05827336033332362,0.10381302432591677,0.13516557783284522,0.17588881520140712,0.20486164195077208,0.2873750898047156,0.2724245787508829,0.1992797958256127,0.1896200575883138,0.315939311877235,0.2603067398339665,0.17921789311444855,0.12690829009742077,0.1346747999683118,0.19805181682227882,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06888950124001103,0.0,0.0,0.08358408559010365,0.0,0.0,0.14222222222222222,0.0,0.11175265412553548,0.0,0.19349845201238391,0.11971268954509177,0.11627906976744186,0.0,0.0,0.13290298082399848,0.0,0.1927153594141453,0.1960399921584003,0.15866719555731854,0.0,0.1607717041800643,0.0,0.10453690152623876,0.0,0.12306177701206006,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.010083694665725522,0.033801920744437594,0.030413625304136254,0.03605624774648451,0.07332124890527301,0.027938535222510476,0.05131747754860358,0.05582720517460439,0.057953096627129774,0.07253015727592,0.08144377602961592,0.051837551837551836,0.0726348284002179,0.09059740997992646,0.11815812337098175,0.08552271483305966,0.10421218946448381,0.08735843961943486,0.0823869602442531,0.08010771931618688,0.12350068299620141,0.1144187727081117,0.12607734121488953,0.13039158870767448,0.10696533064871326,0.11473152822395595,0.08803572962294941,0.09309129596382738,0.061484617021779736,0.05428345834978287,0.0751821222098359,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.03140826822661066,0.0,0.0,0.0,0.0,0.04847950639048039,0.0,0.026158608362035138,0.0525003281270508,0.04439708755105665,0.04333882291756956,0.08483657796035006,0.09886751752651447,0.10780702542449017,0.06719827972403906,0.06764374295377677,0.13290802764486975,0.08094253080312977,0.09399379640943697,0.16238559196929436,0.25220680958385877,0.20148462354188762,0.1869981300186998,0.14021312394840157,0.19406709176601053,0.11379800853485066,0.12476977006713802,0.09436929852154766,0.11817226890756302,0.13798813302056023,F
California,0.0014054023666975855,0.0,0.003993291270665282,0.002277293360930755,0.006223773378048751,0.014580333149396822,0.01405510052797305,0.018278194114421494,0.02427330297167714,0.025849812588858732,0.03104060418868583,0.03226139131216598,0.041192382155460054,0.048462566844919786,0.0440969454385102,0.04966310003766583,0.05706459712394431,0.07089015741616811,0.05927046524492814,0.0580754641079467,0.054980115999498626,0.062286857754854714,0.07586779113909663,0.07116677934740064,0.07186104343495787,0.07127560337918622,0.06862062501673674,0.07379203450367276,0.06541708556554793,0.06407023187971154,0.07326497617127098,0.06567694161969442,0.06613756613756613,0.06835575917615035,0.07586703662502504,F
Colorado,0.0,0.0,0.0,0.0,0.019505059124710473,0.0268331951017222,0.03682608268683099,0.03675749852970006,0.06031211519614003,0.05602240896358543,0.08694762684124387,0.07570977917981073,0.09095272984512771,0.09510107537369845,0.09989772375900863,0.12422646023603028,0.10231225700838961,0.06042701759097623,0.09612590257751548,0.06938180808991883,0.08106730902858202,0.08348794063079777,0.10496183206106871,0.09564449676280164,0.15178020168759004,0.13580313976859146,0.1340332849324249,0.13075982830666022,0.09801377958430628,0.08368925314556158,0.06359300476947535,0.0822513365842195,0.09687197275085153,0.052405751531230546,0.08356732183446985,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.013319126265316995,0.022115942830287783,0.036872110502878856,0.032105539664934915,0.047999040019199614,0.03046736944732192,0.04514235965562828,0.028857252789534438,0.06218294878088692,0.03969566655640092,0.07774998309782977,0.05875440658049354,0.08576623554838932,0.07853776952734542,0.08122577072180173,0.05677731935349559,0.1114912921456307,0.05724098454493417,0.06470258378984602,0.11725444213944258,0.10160724182523555,0.09874453378473692,0.07129277566539924,0.08898047112817871,0.07210151893866563,0.08323540932236585,0.0612119975515201,0.03168400485821408,0.07168854086246829,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0742611020347542,0.07404116688879016,0.11716461628588166,0.12964563526361278,0.10643150372510264,0.11827321111768185,0.08648025367541078,0.07395355716609969,0.11931394481730052,0.07595321282090232,0.07654623392529088,0.0,0.1841620626151013,0.2958579881656805,0.0869414014953921,0.1272264631043257,0.1899335232668566,0.32751091703056767,0.18800526414739613,0.19135093761959435,0.18333672845793442,0.10986596352450011,0.0,F
Florida,0.0,0.0,0.0,0.0,0.01044837458119432,0.008200474260761413,0.012770757802578275,0.018936497185016863,0.0279091630188901,0.029188121183091845,0.04713538498966063,0.03548068616561768,0.047809625157116314,0.05164333723870013,0.05359015183876354,0.05633759925695274,0.06205565089482716,0.09111898749816603,0.0710431246882416,0.07964687404628451,0.08505441301550608,0.08928951060844423,0.12697869183412874,0.12498776475194447,0.14572212963633874,0.17748606064665204,0.15562415490981452,0.1428706676191378,0.1346089949479029,0.13384852387807156,0.13995334888370542,0.11215205457504489,0.10541171551033209,0.10762120951769419,0.11645816897704647,F
Georgia,0.0,0.0,0.0,0.007918283316177053,0.0,0.010046212577858147,0.006513385006187716,0.014556233376119838,0.022898706896551723,0.02843255392030761,0.021630390698932,0.027122689485889417,0.04098143937390937,0.06136731602862067,0.04061016777075561,0.06691864427783631,0.08335717929258371,0.10127152019804209,0.09367912434671137,0.09086667157837865,0.10280888562511474,0.10527187348449903,0.13838023548498693,0.17504813823801546,0.2049315792952998,0.20230117587558474,0.21335178537963645,0.21030339573804724,0.22124559766412813,0.2735530678084534,0.2288157280705716,0.19977977033191757,0.19114883690792456,0.1776873048458606,0.17196288467739046,F
