state,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.009421341222136384,0.01691017316017316,0.024273808560563152,0.027258168932501957,0.026275224215246636,0.033791048444075815,0.03304510657046869,0.03564909879078257,0.037186418375811665,0.039253314724354504,0.03182225822316082,0.024338912193795012,0.012977836738813827,0.028660275425246837,0.017359353074775413,0.015601730373732359,0.010000428589796705,0.022021581149526535,0.02361100863277503,0.02710394362379726,0.03201658764159717,0.02975724353954581,0.016287440754434255,0.03253990205489481,0.026430786580208625,0.03570287690023865,0.03897647769571064,0.05583027596107833,0.04343105320304018,0.04189359028068705,0.03729365811529629,0.03664266931068672,0.018105691976915243,0.027612867596299873,0.04076054379360779,0.021926618915363252,0.0299091222822961,0.038285755306166395,0.029657343614545785,0.0179199426561835,0.0137858143969855,0.0,0.02838020008041057,0.035702384919312616,0.028401694634446518,0.02168256721595837,0.0,0.021341174238831452,0.0,0.0,0.011792730960635864,0.014550745725718444,0.01959967660533601,0.012617341273846774,0.0,0.0,0.0,0.015594947237095182,0.026279136993141147,0.015810276679841896,0.02488456327591451,0.020095886085034306,0.023030198347583266,0.014623731391301804,0.03787768421666035,0.05611514828427934,0.033791394458211305,0.025950808800207604,0.02446109157621159,0.029390634184573182,0.03363266404331887,0.0,0.0,0.01735930285039753,0.028141269171239623,0.028674862898311768,0.04479116121085439,0.027727164699358316,0.04850248575239481,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12306177701206006,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.05323868677905945,0.0,0.039004602543100085,0.0,0.04896817068905211,0.0,0.03490198359606771,0.03950115681959258,0.0,0.04643723234095248,0.0,0.0,0.029864755322326037,0.020719376761147025,0.023419203747072598,0.0,0.0,0.04910729944929671,0.0,0.01665778251599147,0.01989455883815776,0.0,0.034877232142857144,0.022446689113355782,0.0,0.03941974140649637,0.019652543039069256,0.01857562135453431,0.0,0.023434099963174988,0.017236030197524906,0.02376425855513308,0.026107104395783703,0.020028707814534166,0.0197199763360284,0.015789806101181077,0.015356265356265357,0.014061928734145175,0.018328925663114348,0.015119443604475355,0.0,0.022144034643111977,0.014254490164401787,0.011104695065073512,0.010913218089750305,0.0,0.010213669975895739,0.012100433598870627,0.0,0.0,0.012018749248828172,0.0,0.0,0.0,0.0,0.009658849437854963,0.0,0.0,0.0,0.009079353550027237,0.014211358428223759,0.019113814074717638,0.011973180076628351,0.026893468248899047,0.00953001159484744,0.02423145889536856,0.022157454278945304,0.026197114574951816,0.02609550956500793,0.018601574933344356,0.01862736981538207,0.029363031942784036,0.041720555717802164,0.05797474877608864,0.04211272912649334,0.03310710147326602,0.04441373864982234,0.03888730459129443,F
Arkansas,0.0,0.029324653235975485,0.017034324163188827,0.04853452692318063,0.02122578933404086,0.039074492729353316,0.03836392610517618,0.05044136191677175,0.06442705936493327,0.05051598470087321,0.07023662476688707,0.049565066541101835,0.06562507887629673,0.0365602068263129,0.05313213963126295,0.05313213963126295,0.035976200359762005,0.030202355783751134,0.030247202133802623,0.05131860299358518,0.04615073985404829,0.037820382276787017,0.06404471485546272,0.0491670522906062,0.05571520731921881,0.07427875330540452,0.05746349378042185,0.06181818181818182,0.09086434710180592,0.05408537763183311,0.08266015404846891,0.08047700918169515,0.058217807371829855,0.07350665428659857,0.031566902103144855,0.01934909639719825,0.047768799012778154,0.024107035236449838,0.05410837133802272,0.040051265619993594,0.01895950250265433,0.03305178112376056,0.027208768997551213,0.0,0.0,0.031063135823561388,0.031082446188515037,0.0,0.0357824427480916,0.02006501063445564,0.0,0.0,0.0,0.02115506663845991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04031896783442344,0.040586245772266064,0.03987240829346093,0.0,0.037597518563774794,0.0,0.04728877679697352,0.0,0.0,0.028042624789680313,0.02772387025228722,0.03413940256045519,0.0,0.0,0.0,0.0,F
California,0.0069723661886722296,0.058132775258690844,0.038762255017821184,0.04807545557217423,0.05231084872653654,0.05200892710191774,0.052406268547399264,0.056712778926167384,0.049172957683157555,0.04414591887594048,0.04136072125662236,0.04419584282853394,0.030709342560553632,0.021579025187517732,0.021240038990643004,0.01579976190126251,0.01727973734799231,0.01359295884731709,0.014016284967371392,0.016513094884243205,0.013918605291012142,0.01659719851815201,0.01702934000470629,0.019673851265684432,0.018403798044830406,0.021000181365202698,0.02188478502407326,0.0319321052482189,0.029650057871197292,0.022519704741648945,0.023487232271457142,0.02472171141973741,0.02671301939891944,0.019152482283953887,0.011523785947810054,0.01601951916797082,0.015522748997148715,0.00786924463120785,0.014410533341423457,0.014429160222875029,0.012220969087931619,0.014433706641473287,0.015349867333289477,0.011314984709480122,0.00964680630418792,0.014410705095213588,0.012086460353599235,0.008565097503964812,0.011979873811995848,0.009615238635040966,0.009814411865384568,0.009421138342687178,0.008841111622434662,0.006246977735308612,0.006729232506999604,0.007208120818047146,0.0076960175674427676,0.008197566644894634,0.007963860550055608,0.0066844919786096255,0.006784145452078493,0.006975154499672168,0.011983565396028304,0.018008386762978185,0.029917472933154204,0.030029264368011465,0.03076607527433084,0.03156619035540148,0.03495033074947149,0.024611844524309385,0.03403944162708531,0.027262097145034355,0.02610931098197788,0.032684143136329946,0.03993885224001873,0.04703027659255422,0.046495081031768117,0.05124244895602532,0.051992537541670485,0.05696313264679195,0.07416215939749639,F
Colorado,0.0,0.0,0.0274830978947947,0.030272452068617558,0.048026126212659684,0.04335468953225107,0.057920648711265565,0.05090652778321651,0.04534830990337322,0.055233360950013806,0.0659104311929788,0.04365639062395057,0.07286089904013685,0.045469702021886084,0.02981159074648223,0.0375018029712967,0.016859141869678834,0.035134185562552364,0.02701023687977744,0.01899232167566541,0.03474356575887966,0.03143006809848088,0.023152316517891597,0.02374544878898211,0.029775600249032294,0.04267910999829283,0.06312533535334407,0.06727437855292812,0.055849403725483755,0.06106183314050649,0.024735637870261576,0.035229874933943986,0.039693444474977864,0.028819366614364857,0.02554441535219363,0.025368638021246236,0.028221128217992535,0.0,0.017569031653538694,0.028672190842102246,0.01599829351535836,0.017697772608904507,0.012087805821487285,0.01147078391337264,0.011455541045203564,0.01853009983091284,0.011496102821143632,0.0,0.0,0.0,0.0,0.0,0.012275360895610331,0.0,0.0,0.012732365673542143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017883888851630787,0.013876361617983765,0.01852967063510446,0.02319109461966605,0.0357824427480916,0.024524229939179912,0.018007820539205598,0.04617306752132109,0.01675416061655311,0.03695386452144746,0.05188964801522097,0.03174419946900612,0.05492123139181962,0.026437929616356267,0.015624511734008313,0.058956470472634366,0.02339885011365156,F
Connecticut,0.0,0.02357934449422306,0.0,0.01598721023181455,0.0,0.0,0.017455053237912375,0.0,0.0,0.013845046242454449,0.0,0.0,0.0,0.012252199269768924,0.0,0.0,0.0,0.0,0.0,0.0,0.01015909137086779,0.0,0.0,0.0,0.01238441215323646,0.016532341392849762,0.0,0.0,0.014302059496567507,0.01217878455730118,0.012059234962134001,0.011999616012287606,0.0,0.018715493309211143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027649132508467546,0.0,0.0,0.03322872438619162,0.030281236988530982,0.023067163892199455,0.020443208766047917,0.0,0.036078289889059256,0.0,0.03761696525132835,0.03326996197718631,0.0561981922914813,0.06729475100942127,0.02937720329024677,0.05611099775556009,0.08977134709827322,0.04963052828940112,F
Florida,0.0,0.028387920939640182,0.032724654754892335,0.02953947951437096,0.0326133313263591,0.044181936564040555,0.032354232626932586,0.05128862674701885,0.022843654223220575,0.023172285946008574,0.03610657139599407,0.032638851112440845,0.024959233252354485,0.02497424530952455,0.024496383181071498,0.008155498165012914,0.016802812532313104,0.008329366968110423,0.007857928650007858,0.01197304975346402,0.013713658804168954,0.01550355548205722,0.024840606110789105,0.013711344555541492,0.020335862829253672,0.02281914200026079,0.017405632462664918,0.016852444808243255,0.02108631746071123,0.019546520719311962,0.023205355796117745,0.01637143512000262,0.025250861822892653,0.02595012857109156,0.017007009317411535,0.01194200960137572,0.01769978633829349,0.020540471147056934,0.010996395625878183,0.019128916944633742,0.01788248968962704,0.010188590816004239,0.01162948462000659,0.007378644358565222,0.007138650438134671,0.009373349012389863,0.013018820332142652,0.011961340946062327,0.008451331853069755,0.009529045262964999,0.016020841024497953,0.010250592825951768,0.008513838535052184,0.008011594962891748,0.008813419900702136,0.008232547000359238,0.0060819851599562096,0.005399234851289646,0.0,0.004624776469137325,0.009320026406741486,0.005329232362144178,0.008427310615346899,0.01235511694890387,0.03023111688861345,0.026052715809532317,0.02689754941516004,0.04110152075626798,0.03923498904987124,0.035388102068321624,0.02898340699949279,0.03767392796744973,0.04592188177666658,0.04389400029262667,0.04004191621867998,0.0513506915507067,0.05998000666444518,0.05312465743028443,0.04442973133080113,0.050645275067150206,0.05916826327059619,F
Georgia,0.0,0.010651139671944898,0.010236113006687593,0.023582310123099658,0.030194604224225128,0.02892681515765114,0.025301643025443965,0.03698427483425566,0.02454770847141419,0.022885913720105275,0.017601870827413657,0.01274274937560528,0.023491302036324973,0.02148561060911706,0.017757783828578195,0.010296186978755534,0.01371397225206281,0.012346233276465834,0.00679001867255135,0.012817823766575776,0.011784670500612804,0.0117637371040032,0.009486653464407262,0.010855013206932735,0.019323904878078238,0.0072075535160848565,0.007715255632136611,0.02440777251956012,0.019754201295311198,0.012665709701933632,0.03282141050011624,0.024740871920412518,0.010832622442485545,0.028059604507258577,0.010868215128555458,0.011175324882659089,0.020433879371998774,0.008651417102121327,0.022907258328424634,0.02313475997686524,0.009493070058857033,0.007525586995785672,0.0,0.0,0.010477943928031494,0.01174639532493466,0.012737411191938634,0.006944347995166734,0.009405947246073017,0.01055771108823607,0.007613150448541447,0.0,0.013026770012375432,0.010586351546268974,0.006734913793103448,0.01083144911249814,0.010815195349466,0.0,0.0,0.0,0.0,0.009913873226346119,0.006220685021834604,0.012502656814573096,0.01972192091509713,0.02333063189174587,0.023254390796156908,0.03075358101794353,0.02385866129051499,0.03500962764760309,0.030409202088979972,0.03512173192284458,0.03459758681831942,0.03382502169213347,0.042142018602691074,0.04460104366442175,0.03612879916903762,0.037753657385559226,0.03563791874554526,0.029327030896889608,0.032243040877010715,F
Hawaii,0.0,0.0,0.14011489421325488,0.0,0.0,0.08516074089844582,0.06545216537580452,0.0,0.06419662509170947,0.08354994430003714,0.05582953382339258,0.07582219694815658,0.05602764030254926,0.05142710208279763,0.0,0.0,0.0,0.0,0.0,0.0,0.0406934158053227,0.0,0.03934839065082238,0.0,0.05645161290322581,0.0,0.0,0.05842827928717499,0.049855419284076184,0.0,0.06721720760514692,0.0,0.04911108928396032,0.0,0.05241639584862145,0.07332146223944694,0.0,0.07178750897343862,0.0708430320817731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06622516556291391,0.0,0.0,0.0,0.05721914934197979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728013977868375,0.08975317875841436,0.08006405124099279,0.12113870381586916,0.0,0.0,0.11984249272384866,0.11705685618729096,0.0,0.12039903680770554,0.0,0.1573701696100717,0.0,0.0,0.18556701030927836,0.15493581230633025,0.0,F
