state,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.04339838268693853,0.032621799872349484,0.04000171435918682,0.05285179475886368,0.04279495314690474,0.04216169008146241,0.01981979234956015,0.026624902114330464,0.042347345961529066,0.04718285797959748,0.038765153650972654,0.050735667174023336,0.15395708689805704,0.09371510607752433,0.11647418813542593,0.25517004989145753,0.1707656976858304,0.1638142863301289,0.15616159330089396,0.12425790418334944,0.1078955571007265,0.11450567655800808,0.2484757851144599,0.2010002153573736,0.1779440616872747,0.14559953408149093,0.11947705810720768,0.10758220683848636,0.11825083366837737,0.09758651877945447,0.10887316276537834,0.10600366194468537,0.09344674733437164,0.06402352271649436,0.09337068160597572,0.07787983599422774,0.056605108611052155,0.08245422577907117,0.08574858514834506,0.09084485717169678,0.06694474483753025,0.09592699178139016,0.1197012672721122,0.10136715704111869,0.07620949728010933,0.07378129117259552,0.06635883540243868,0.06890018086297477,0.048939171488614444,0.04387119417390541,0.03787768421666035,0.05330939087006538,0.05350304122550124,0.04901819440039215,0.05503745604647607,0.016328130102540656,0.04372246325631453,0.027969094150963183,0.02458037783552216,0.027774884560636044,0.0,0.0,0.0,0.0,0.02829311668889697,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285715,0.0,0.0,0.10552975939214859,0.14604631754642186,0.0,0.12182387747998608,0.0,0.10654165778819519,0.0,0.0,0.0,0.13728181996469896,0.2748259435690729,0.2792321116928447,0.0982640026203734,0.20274485339987522,0.13175230566534915,0.0,0.1929570670525808,0.11439029970258523,0.11392116655274549,0.09694619486185167,0.08958280010238034,0.12048192771084339,0.09095634095634096,0.17006802721088435,0.08019246190858059,0.11022320198401765,0.11837821840781297,0.15822784810126583,0.21731862253426948,0.2738319356494951,0.2839900603478878,0.17777777777777778,0.1840942562592047,0.1303780964797914,0.11398176291793312,0.0,0.13966480446927373,0.09689922480620156,0.0,0.09604302727621974,0.0,0.09417969485778867,0.0,0.17643599294256027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15604681404421328,0.0,F
Arizona,0.0,0.0,0.02486325211337643,0.0312256049960968,0.04781345397035566,0.02902441679062511,0.03156897821740503,0.030005000833472247,0.04331023454157783,0.053052156901754036,0.020377666077978536,0.020926339285714284,0.026187803965581742,0.0,0.07489750867234311,0.03930508607813851,0.0482966155217892,0.09467775748968688,0.06025911419102139,0.044813678513564756,0.06789788158609451,0.05547759684104037,0.050071769536335416,0.09859988168014197,0.19895155687488156,0.18734643734643733,0.10687065837950334,0.1440129873530413,0.11591573430097774,0.1269888697990588,0.1427060010333883,0.12116316639741519,0.14880291387198508,0.13314126069495372,0.13816202637638686,0.11847857172039057,0.15528889785217304,0.17099795200127255,0.21492295214922955,0.19830936260566484,0.20163343448950083,0.21153462382757934,0.20526991019441432,0.3445886112501444,0.3071514121237878,0.2328599786226905,0.1813975011568718,0.18053768053768054,0.12892682041038678,0.1350079050681257,0.11989574283231973,0.10262725779967159,0.09412713887114667,0.06829841642974,0.0662326543140074,0.08351655843602461,0.06736400890701896,0.05821305979886385,0.07027261641485646,0.057951817203410874,0.05872606388556807,0.0521506946472527,0.02791376792922786,0.04211272912649334,0.04493106628514674,0.05181602842479273,0.044072278536800354,F
Arkansas,0.0,0.0,0.024906600249066,0.016474012245682436,0.035746693430857644,0.0,0.025959791167902157,0.0,0.0349334808302524,0.034706154558074964,0.023459034660723712,0.0,0.016901027582477014,0.0,0.0643622458637792,0.05022213637241646,0.06763103513056547,0.10608333028496178,0.0654950332933086,0.0386877127824203,0.055242078680503494,0.03482837351495685,0.047768799012778154,0.08839246253364941,0.19324418335008114,0.11214354373598205,0.07962991051114819,0.11751744399559311,0.07385237299335329,0.053757247628921395,0.0889129426318231,0.07377494758095829,0.06605019815059446,0.07162468664199595,0.06758905852417302,0.08026004253782255,0.06259046277823417,0.0863727376231793,0.08968609865470852,0.07615823989845567,0.09841256257755338,0.09262935027127167,0.10136624063464081,0.15988937383864138,0.1264332737498365,0.1268757929737061,0.09323388385721897,0.08234376354338216,0.05358099660653688,0.0404458026244832,0.07187135028299345,0.0,0.05411499436302142,0.04430267588162325,0.04496807266840543,0.028198138922831094,0.024603877571105204,0.0,0.03711558854718982,0.0,0.03365114974761638,0.0,0.0,0.0,0.0,0.0,0.048295846557196084,F
California,0.0,0.009920780728699717,0.03851941450489953,0.03364257314710979,0.02770660981922252,0.031705142177746955,0.032692538009121544,0.037891717371630065,0.03374905564569065,0.037161719057403925,0.03867916877218593,0.029909349217106876,0.042759503047035456,0.037254122789588714,0.10966949116213937,0.07721041625708208,0.07357030108559369,0.12970432155834832,0.09556488630035968,0.07701742875887839,0.06103338483469769,0.055862938637026446,0.05555510167400594,0.08420091755392399,0.18885383168497058,0.16205056865690415,0.13443065996724782,0.1187500410048484,0.11903978748265308,0.10275229357798166,0.11998215340833726,0.10999191235938535,0.10456193608230037,0.11162256101941237,0.12485690706280116,0.11917835255537618,0.11657606288883622,0.11215640884151402,0.1298963322988477,0.13118653244148085,0.15357069899902667,0.16156132868036707,0.17059505607831468,0.3149452217441777,0.31773057435911517,0.2437054367201426,0.189108054476688,0.1743788624918042,0.1449440766948185,0.12863133402127278,0.10640459713018052,0.1056690151817762,0.09286796795770234,0.08314309066824498,0.08439226205360187,0.0972612651081142,0.07658874366094194,0.07258943938617582,0.061256460380794256,0.05964013747557113,0.06369558331382298,0.05111986586147198,0.046847316494129994,0.05124244895602532,0.04014129736673089,0.043129229003999625,0.04219571138133415,F
Colorado,0.0,0.0,0.0,0.024323666927920866,0.018907165815844205,0.016279132864856063,0.018708073870165966,0.01571503404924044,0.028297275744089728,0.015830299192654742,0.02436185474920824,0.017071643999317133,0.022093867373670424,0.01681859463823203,0.08213147606688788,0.03213780691605605,0.052563230474305854,0.09688215606834595,0.08244023083264633,0.07044734061289186,0.05108883070438726,0.034881877279213575,0.025085447304882255,0.061692217526759005,0.18740300430441276,0.15482983054735214,0.11465443686006825,0.11629964857280105,0.0894497630790059,0.07800133061093395,0.11684651866107636,0.10191554907002061,0.10116570482606396,0.11725485688010115,0.08569796229289658,0.08708062214266708,0.09508716323296355,0.119529687271308,0.07856230973190612,0.1127229954910802,0.14072826879099337,0.13750954927425516,0.14576513911620295,0.18675078864353312,0.15411434779313307,0.14630934672876686,0.10227624099136598,0.09892107018795004,0.10231225700838961,0.06937916834519493,0.07153555540652315,0.0670690811535882,0.06717005605225367,0.06029684601113173,0.042938931297709926,0.07112026682362174,0.07460382794813747,0.048889130316692925,0.05584720205517703,0.04832428437420052,0.02017930756147482,0.03463003578437031,0.020234137881196705,0.04112566829210975,0.015624511734008313,0.019652156824211457,0.03342692873378794,F
Connecticut,0.0,0.0,0.024086360550920758,0.0150324270927286,0.01607587814484366,0.01433456883664735,0.0,0.012144519785446818,0.0,0.01466244946691523,0.018576618229854687,0.026865054763380865,0.010835410120273052,0.020446181107728657,0.052440884820747526,0.03410059676044331,0.0337658578939752,0.03119900163194778,0.04595588235294117,0.037430986618422285,0.03682131619468434,0.03070100631076241,0.020899369535685674,0.06743806346276708,0.10789363775581234,0.13404365011170305,0.10846699973704971,0.07455671172485331,0.05684330196425188,0.062005890559603156,0.04554287102258926,0.044191733199776095,0.034147174321324913,0.06716104659297607,0.08277482577234253,0.07060115576706848,0.07732357338007115,0.07166807443241445,0.07725093233883858,0.04976087136814751,0.1049436991235783,0.1488529566283346,0.13199736005279894,0.2132715861312534,0.2224873440170251,0.18596896242144415,0.16036655211912942,0.13231888852133644,0.1656412683388547,0.14170180410589617,0.12350337918968061,0.14279594459517347,0.09968617315857485,0.10219917483629205,0.07304601899196494,0.10630468558344919,0.09058361730578442,0.09921529719491295,0.0831331978570109,0.08463817181548879,0.061787072243346,0.04683182690956775,0.07690828686791001,0.05385820603211908,0.0612119975515201,0.042245339810952104,0.038601522002867546,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08964015879113843,0.0,0.06361323155216285,0.07348438456827924,0.09162303664921466,0.0,0.0,0.0,0.0,0.08637070305752288,0.0821557673348669,0.08003841844085162,0.12558869701726844,0.0,0.0,0.0,0.10501050105010501,0.0880410858400587,0.0,0.0,0.08086253369272238,0.0,0.0,0.0,0.060960741282614,0.0,0.06734006734006734,0.0,0.14396775122372588,0.2800294767870302,0.2524877469181643,0.14808233377758032,0.1611013473930873,0.18726591760299627,0.09122700319294512,0.0,0.14413375612568463,0.13311640289897944,0.07457121551081282,0.13671578307762416,0.07654623392529088,0.12678288431061807,0.0,0.0,0.12171796209354896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11687704534829359,F
Florida,0.0,0.006796248470844094,0.05557853376072795,0.07496430271299381,0.040412204485754694,0.05006911715084954,0.051689944723406045,0.06924921448652224,0.04657613645772957,0.06011897228198962,0.06849974847748605,0.04998478723866649,0.05685839937803873,0.09028095432987457,0.2133439178377842,0.13193901485535575,0.1705593651014654,0.2641258199360423,0.1866368047779022,0.1580598740239213,0.14820393833744336,0.13255630657527048,0.08470612033326169,0.13736440079594325,0.22481519946239842,0.16618246595650563,0.15982475160104165,0.15486658040326443,0.1269552071017386,0.1309709373645327,0.12046472614352258,0.11162806551118837,0.09113174232499857,0.10765206851456094,0.11294052567284125,0.09822246655671614,0.11214588717148569,0.11549001250572326,0.08868581807346024,0.11507563673971784,0.12559123358500546,0.12872709855107173,0.11631796618416251,0.25607799580402324,0.28917111990191313,0.2952148979465993,0.21979728942565338,0.20784006212362297,0.18386859524393234,0.189959923089397,0.17458470003174267,0.1555719315483501,0.14830000218088238,0.11267485862494155,0.11556487683780255,0.12498776475194447,0.11754381727572076,0.12390536309294577,0.11480470444166645,0.10500133403334223,0.11671792599913101,0.09428323694555985,0.07414195268243919,0.08601135012522242,0.06882252500261352,0.06421097374585115,0.07231676621961756,F
Georgia,0.0,0.005720103877086408,0.04914173390322507,0.04489539373260304,0.03168675380523963,0.04078398471183202,0.03771094560196097,0.05411319067841472,0.04387577227288359,0.06271785408450026,0.0712568992379135,0.05886168704802633,0.07458080444398724,0.09491911535384491,0.2652707031084647,0.17309803259309295,0.23248499104249004,0.35548726496171673,0.24779623837185685,0.2008476954203772,0.17699664637933177,0.1516651234075162,0.16687668153798998,0.18341004256497215,0.2765233326788403,0.1999504255143353,0.186697044490855,0.15051173991571343,0.14237678349641028,0.13248622444370842,0.13920696932956125,0.11452735441811294,0.09765348580486286,0.09444313273426758,0.09137205896185217,0.07786311927574102,0.07613150448541448,0.06906771147277475,0.07034455806682732,0.06881128505074832,0.08081896551724138,0.07175835037030016,0.08787346221441124,0.09221714425202404,0.09782666173126751,0.10445500600616284,0.08375847102718344,0.08922485903711506,0.06345098722271296,0.056261955665578935,0.05793314268809782,0.05525675974360864,0.0599718499479836,0.04258188140946028,0.03698092500029823,0.04876340993773288,0.03305348053149997,0.03652660119975836,0.033156020700889445,0.036766327926232044,0.034616658137924805,0.032707432020575945,0.02860196600882145,0.03932672644329086,0.038877729540594826,0.02587679196784377,0.05015584136423888,F
