state,1913,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026676367163817147,0.026949555332337016,0.02018774603815484,0.03604717029713168,0.028518835394467344,0.036430820474121106,0.031189894474190363,0.044674532888339946,0.04743083003952569,0.04147427212652418,0.04019177217006861,0.07196936983619771,0.05849492556520722,0.08741004049998544,0.10381302432591677,0.10982203198918676,0.13552089040108417,0.18957345971563982,0.2612500816406505,0.18834291864258568,0.26570639443415023,0.3265678769576515,0.42009512897962015,0.5593077247783875,0.44446037492383245,0.5188309506923967,0.6298027410282817,0.5294854694636433,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09498480243161095,0.0,0.0,0.0,0.0,0.09604302727621974,0.13290298082399848,0.20719532868713506,0.1927153594141453,0.21564399137424034,0.21816739389131298,0.41675349031048137,0.4622186495176849,0.28559771521827826,0.41814760610495505,0.5291005291005291,0.49224710804824023,0.41612483745123535,0.41276829939460646,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010015624374023476,0.0,0.017960486928756732,0.02565873877430179,0.023100912486043196,0.0,0.0,0.011105969458583989,0.0,0.0,0.014211358428223759,0.012163336229365768,0.011973180076628351,0.02521262648334286,0.03335504058196604,0.04200119541863884,0.054541425917403824,0.05987911902846129,0.09835999759118375,0.09507471632598227,0.14074012749399786,0.1363283625914973,0.18357044515832951,0.171777033410633,0.18618259192765477,0.1986426088395961,0.22947098302408211,0.2333238275477666,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04706687775448205,0.022054607207445637,0.030850594975760245,0.03024934099649972,0.026158608362035138,0.021875136719604497,0.03107796128573966,0.026003293750541737,0.0223254152527237,0.03595182455509617,0.0449195939268709,0.05823850909416719,0.05411499436302142,0.11075668970405812,0.08543933806997031,0.12219193533226808,0.18698946954039958,0.18915510718789408,0.2120890774125133,0.26399736002639973,0.4655075715086932,0.4435819240365955,0.48933143669985774,0.43372348642386077,0.7234979553318653,0.7484243697478992,0.6416448185456051,M
California,0.0,0.001657760807218996,0.0,0.0,0.0,0.0,0.0029470372074782204,0.007403825464069466,0.006008243309821074,0.007208120818047146,0.008465619324187044,0.011370818249369977,0.010160787598346812,0.016154188948306593,0.012437599995477236,0.011439253379462354,0.00941565852545081,0.008861269677021014,0.012418573670365895,0.013314862502797536,0.020795587916908807,0.03466644119387841,0.03352958559705395,0.03914172864107035,0.042864482048922244,0.06207875133025896,0.06293013416169028,0.07177033492822966,0.09605982564625194,0.09849094155976934,0.11976005720303907,0.11186731814343555,0.11354252683732453,0.1017198797264142,0.1133743356306554,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.012275360895610331,0.014702999411880024,0.022617043198552508,0.02291825821237586,0.020458265139116204,0.02523659305993691,0.027791111897122356,0.029261869345753373,0.03567775848536023,0.032206860061193034,0.034104085669463206,0.03357056532832013,0.03353229159680773,0.05550544647193506,0.11117802381062677,0.10435992578849722,0.09780534351145038,0.16921718658034138,0.1414900185223297,0.15753164213156606,0.18708812688484308,0.19613974245999036,0.23638617429156214,0.2828119589056909,0.3699956641133112,0.3143176076611245,0.3749882816161995,0.3799416986014215,0.3910950661853189,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01459342712042496,0.0,0.01828042166839315,0.01612227130558153,0.0,0.0,0.0,0.0,0.027649132508467546,0.02401454595354901,0.021419391689276025,0.04799704633561012,0.05299216472992922,0.06535696436123178,0.06950690980456292,0.08195660613380494,0.13980337332010462,0.09237021984112322,0.04702120656416044,0.10456273764258554,0.1639113941834871,0.1634301095943088,0.14688601645123384,0.1734339930626403,0.23234936896023659,0.15440608801147018,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10633449794926325,0.07654623392529088,0.0,0.0,0.0,0.0,0.0,0.0,0.09097525473071325,0.18800526414739613,0.19135093761959435,0.26481971888368305,0.35157108327840036,0.2805049088359046,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005098287703658385,0.010282323217485826,0.010477787091366304,0.011403722174917894,0.005399234851289646,0.012337967782481628,0.006166368625516433,0.0163100462117976,0.011419783633166097,0.008427310615346899,0.013127311758210362,0.013604002599876052,0.009676723014969146,0.027624510210164367,0.034723698569950535,0.033528081551708146,0.04743511553838856,0.051526056887987184,0.06278987994574954,0.07653646962777763,0.09983733399891556,0.12012574865603995,0.1447921138806812,0.1749416861046318,0.17792543996492086,0.20124054779245218,0.21252927929964818,0.17844396859386152,M
Georgia,0.0,0.0,0.0,0.0,0.006344292040451206,0.0,0.0,0.0,0.008081896551724138,0.027078622781245343,0.014870893605515748,0.01491747921723918,0.014541801068161388,0.01436256332584739,0.017766948399705575,0.018588512299398972,0.016173781056769972,0.018753985221859643,0.023419781086677843,0.018418919914536213,0.03426962854170491,0.06032433199673539,0.059646653226287476,0.0775213183625497,0.10048258081575989,0.10957980359927509,0.14127347950813765,0.17353706781181524,0.19716444417687606,0.2571993517981654,0.3161269927290792,0.29573698285354727,0.3110218363247586,0.30707126468507945,0.3063088883316018,M
