state,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006884397202180976,0.008555783709787816,0.007151234303040705,0.008722958827634334,0.01591112911158041,0.027202313628359127,0.01441981859868203,0.014330137712623418,0.011572902049850276,0.01843840862350188,0.01142906124548195,0.02495779196946341,0.032465136870065664,0.01355197181189863,0.01981979234956015,0.02975724353954581,0.016287440754434255,0.021150936335681627,0.010572314632083451,0.018790987842230867,0.00974411942392766,0.013957568990269582,0.011844832691738229,0.013329778725673154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011693718134618085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1954652071931196,0.2921129503407984,0.12027904738994466,0.12079726192872962,0.12955765315565426,0.12411347517730498,0.0,0.18000327278677794,0.1432151808091658,0.12960562858729863,0.10443864229765012,0.08729050279329609,0.13843225471534867,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.08701705534284719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07678525723061172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062407364068960136,0.0,0.04197271773347324,0.03580165881019154,0.058169972660112854,0.03385813441679363,0.06590147729144928,0.08771477219957691,0.051527075135844105,0.10263275323516288,0.14505738299415502,0.12431626056688214,0.1209992193598751,0.13608444591562766,0.1487501360519537,0.12276824862324177,0.12002000333388899,0.113272921108742,0.1326303922543851,0.0950957750305665,0.10811941964285715,0.06359895248784138,0.06317368815888183,0.08672343109429202,0.06681864633283548,0.044581491250882344,0.06762696963549063,0.050215928492517825,0.03447206039504981,0.01697447039652363,0.02937049244525667,0.03004306172180125,0.032866627226714,0.02526368976188972,0.02457002457002457,0.02249908597463228,0.018328925663114348,0.025199072674125595,0.027389756231169543,0.012302241468395541,0.01663023852513542,0.031093146182205836,0.02182643617950061,0.018840276324052753,0.016341871961433184,0.022184128264596148,0.011930089674507387,0.01824817518248175,0.014021874123632866,0.014256909509358644,0.015964877270005985,0.0,0.017325684364532398,0.0,0.0,0.0,0.008937508937508937,0.01452696568004358,0.0,0.0,0.008552271483305967,0.0,0.0,0.0,0.0,0.0,0.010036734448079973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01770642743315824,0.0,0.0,0.038488369295903394,0.026641478359853716,0.03717379990582637,0.022716373457179636,0.0652860836184159,0.06375856755751554,0.05313213963126295,0.05534800055348,0.027456687076137392,0.060494404267605245,0.05702066999287242,0.06634168854019441,0.0465481628021994,0.0349334808302524,0.03181397501156872,0.049850448654037885,0.04456725198324271,0.030421849648458628,0.04363636363636364,0.0,0.019316206297083253,0.02254367837685516,0.01829022935947617,0.0,0.0,0.0,0.0232189156766379,0.0,0.020089196030374866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
California,0.0072806698216235895,0.0,0.011909156950779456,0.009296488251562972,0.01162655505173817,0.009454208540931996,0.01526204938799182,0.03057127522979409,0.04805888200556956,0.06377148341310031,0.08003392166216144,0.07820841841035535,0.09208933614981131,0.09898689469281531,0.09069355247105403,0.10380622837370243,0.12268075430681377,0.1528524234505202,0.16938814503446553,0.1652374883901765,0.17636864104393923,0.22002307797617882,0.2519898279335513,0.22722932358815168,0.19854007283978065,0.1730800193205603,0.162699627133676,0.16345068094052764,0.13554662517539925,0.1215447291336992,0.09331270755868411,0.08930740322649787,0.07578059373380279,0.06873469444147016,0.053168612231490046,0.035742772435173896,0.039527463437096316,0.03499816473038609,0.030806767630713116,0.02410111028504669,0.03541160084043533,0.020857350888902372,0.020718794166179527,0.020601062176799013,0.023618792686047198,0.023807957496530616,0.02385321100917431,0.01929361260837584,0.01941033747518565,0.019675633133766197,0.01934054275088828,0.02049889518941512,0.020748672844035768,0.02154383092401491,0.019066589503057386,0.019042394263705423,0.0166586072941563,0.01586176233792764,0.014167685745816803,0.01410936554031174,0.012164131150488812,0.010160787598346812,0.009748217468805704,0.009893545450947802,0.010602234839501694,0.007418397626112759,0.008289574859148689,0.009313930252774423,0.008782143352909015,0.012249455896261351,0.0070460246329021176,0.0076720238230547156,0.007709734429301735,0.0056732402711808854,0.006897639036695439,0.007698899392121683,0.007749848372531842,0.005164506755174836,0.007497580326349224,0.006692473784875714,0.0046912101156924586,0.0034406826314340765,0.005289433745773539,0.006819508910114611,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053093927985326764,0.03915886752555116,0.0767432936826316,0.06904170118751726,0.10753807194643909,0.1074618846128014,0.1457217980802737,0.16672224074691563,0.1669449081803005,0.16443098225876243,0.20792941639270562,0.21621037269262994,0.26740134510979663,0.31201671324307456,0.2645856161637758,0.20167627029858567,0.19550845059552904,0.21898580549839058,0.1840673469940178,0.19347863199226087,0.17359467222169617,0.1110027246123314,0.08870199415223891,0.08998585936495694,0.07111495887700203,0.06165228113440197,0.07633354706726513,0.04803227769060809,0.04789577878536305,0.04122403678452513,0.021949766391771975,0.027761497887041547,0.023425375538051595,0.031539409926312476,0.021331058020477817,0.02022602583874801,0.02175805047867711,0.029824038174768867,0.027493298508488556,0.016213837352048732,0.018393764513829812,0.011495574203931486,0.016663492668063228,0.0,0.02194319151529928,0.019515050983070693,0.0,0.0,0.02010403839871334,0.015278838808250572,0.017900981996726677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014319672365896267,0.0,0.0,0.012252199269768924,0.021400546902865296,0.015880938336585146,0.02846569883290635,0.03650732293948374,0.03215175628968732,0.04914709315421949,0.04063636548347116,0.02833721283270924,0.028503949833048294,0.03770344148635345,0.0350891677675033,0.033064682785699524,0.026004984288655324,0.020446181107728657,0.02145308924485126,0.014614541468761417,0.0,0.0,0.01351643598615917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021253339810541658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01751211254450995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08250825082508251,0.0,0.0,0.05135051864023827,0.0,0.053231129564569366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011626825411589619,0.0,0.012822156686754713,0.015229102815480382,0.02896535743251072,0.013302421040629396,0.02538577308745399,0.02163133548537389,0.029656916305060406,0.03746505662987406,0.032621992660051655,0.03489814910557336,0.046406473108043786,0.05276037807862419,0.06421908504130702,0.06118401620321532,0.06408136265916985,0.0569263890038917,0.054845378222165966,0.04388265136838951,0.04563828400052158,0.03713201592035183,0.03851987384741315,0.03224966199873482,0.017103205629397968,0.024365623585923632,0.02073715115200332,0.01207649913268779,0.021231923376347637,0.02065136845685686,0.010747808641238147,0.01643551588555824,0.008986456126837409,0.0061091086810434354,0.011955573090396089,0.01005890045041521,0.007132013571202967,0.010660360901672708,0.014757288717130444,0.022308282619170845,0.007669103737409888,0.017087201685937234,0.016745877324487256,0.014597755018938665,0.008796041781198461,0.01044837458119432,0.010250592825951768,0.011351784713402912,0.013109882666550134,0.01762683980140427,0.011974613818704346,0.009122977739934314,0.008484511909169443,0.003855614932025509,0.006166368625516433,0.008543357539513028,0.009135826906532878,0.0038305957342485903,0.006949753283758427,0.009825112988799371,0.007443633088437805,0.0043617647700259525,0.008503762915089927,0.011413814996326177,0.0,0.008050946388747997,0.005023190395659963,0.005952836526604927,0.0,0.0,0.0,0.009163612129290236,0.0,0.0,0.008139419207220569,0.0,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007906763445451239,0.01506766752506712,0.0,0.0,0.008800935413706829,0.008919924562923696,0.0086546902239092,0.02148561060911706,0.014206227062862556,0.017160311631259223,0.01942812735708898,0.03142677561282212,0.018106716460136934,0.026800904239203897,0.022390873951164326,0.02235110049760608,0.023716633661018154,0.027740589306605883,0.03623232164639669,0.013213848112822238,0.025717518773788705,0.01220388625978006,0.01269912940412863,0.008443806467955756,0.01230802893754359,0.01823011615188291,0.0,0.011814570318845717,0.010868215128555458,0.0,0.00851411640499949,0.0,0.013089861901956934,0.008262414277451871,0.009493070058857033,0.0,0.0,0.009033151666616482,0.008981094795455566,0.0,0.008491607461292423,0.0,0.009405947246073017,0.011877424974265579,0.007613150448541447,0.006278882861161341,0.0,0.00926305760298535,0.0,0.0,0.0,0.0,0.006609909576436995,0.0,0.0,0.0,0.0,0.006251328407286548,0.0,0.0,0.006119576525304448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050289162685441285,0.05014625992478061,0.06647831145088914,0.0,0.0,0.08250825082508251,0.05697078212745178,0.05616625210623445,0.07082710317148029,0.06157161548526129,0.04838709677419355,0.04959907415061585,0.08833141948591114,0.0,0.05982650314089141,0.05159958720330237,0.04801229114653351,0.10995052226498077,0.0,0.082389289392379,0.0,0.0,0.0,0.06153215054866168,0.0,0.0,0.06028333165879634,0.0,0.0774218523178167,0.0,0.0,0.0,0.0,0.05968961400716276,0.04868075163080518,0.04808617041738796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06370779358674877,0.08585533376261,0.11449507671170141,0.09549274255156609,0.2191380569758948,0.13931000573629435,0.12948126567937202,0.2650602409638554,0.22933965994464214,0.18709073900841908,0.23862674159033176,0.25936379586543595,0.2652519893899204,0.37626401191502706,0.3882288997592981,0.4864652805021577,0.47865359376206285,0.39862435516648426,0.3599712023038157,0.33123550844650546,0.21814215597164155,0.31158714703018503,0.273511466442247,0.1964850998799258,0.16592920353982302,0.06605019815059446,0.1589319771137953,0.09724788485850433,0.11943863839952225,0.0500600720865038,0.15675516802194572,0.10034665207079,0.06933009792876332,0.0,0.0,0.05093502146547333,0.06963303391128751,0.0,0.0,0.04233401538135892,0.06691449814126393,0.03847041624990383,0.040277106492669565,0.04304407713498623,0.0,0.0,0.0,0.0,0.043782837127845885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
