state,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018324667292759465,0.028302554305526077,0.014550745725718444,0.012249797878335009,0.03028161905723226,0.02574797878366548,0.012963106997485157,0.018215410237060553,0.03378905234703956,0.04730244658765406,0.07905138339920949,0.0691237868775403,0.06315849912439354,0.08924201859688516,0.09944137346085226,0.08158270446665307,0.06733817794113521,0.10700608245100247,0.08073584960064589,0.088671456963767,0.11103128469727647,0.12444085696027983,0.10838023983498234,0.1615281972048599,0.15623372565357774,0.16884761502743773,0.1612961038030037,0.13064088686499198,0.1267527529113523,0.149549331069884,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06541077969649398,0.0,0.0,0.0,0.0,0.13373453694416582,0.0,0.0,0.10666666666666667,0.11045655375552282,0.20487986589681506,0.13297872340425532,0.13544891640866874,0.23942537909018355,0.11627906976744186,0.24885145482388973,0.28812908182865926,0.1708752610594266,0.1695234507440196,0.2119868953555598,0.25485198980592044,0.19833399444664812,0.22921441967076475,0.18086816720257234,0.24479804161566704,0.2508885636629731,0.1984126984126984,0.14767413241447205,0.18205461638491546,0.1651073197578426,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023565761566861302,0.020159258139300473,0.012449889195986157,0.027064931230470192,0.03326047705027084,0.02443032914316173,0.026191723415400735,0.029307096504082062,0.03472647791804551,0.05848542906120803,0.0894756725588054,0.10746147607461477,0.07611874524257842,0.12016538015030857,0.11973657952504489,0.1539524326458107,0.14053055095676278,0.1815863694316733,0.1488776912505726,0.20175844516427582,0.20556270556270553,0.21427274378064284,0.20428827740571653,0.2311033883579496,0.248015873015873,0.23699868894342285,0.20171857875760416,0.24554545013973475,0.2522540948679927,0.25822870081023935,0.1927053014031355,0.18601574933344356,0.15729778955211524,0.30201975712577867,0.289957862238725,0.29631538263334195,0.2593257530420906,0.20810178068910068,0.2590801421239637,0.2177689057112488,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024459845087647775,0.025386079966151893,0.021394035342946385,0.0,0.02644336712208021,0.03457067542457111,0.04795744866373109,0.0656254101588135,0.05327650506126798,0.04767270520932652,0.08483657796035006,0.07639762717957936,0.06737939089030635,0.06271839440910312,0.08117249154453213,0.0708842814105972,0.1259106034715352,0.1268916251527399,0.07873240822753666,0.13135771332492646,0.10074231177094381,0.13199868001319986,0.179472798653954,0.26060438037149986,0.21621621621621623,0.1841839462895847,0.15728216420257943,0.15099789915966388,0.19318338622878434,F
California,0.0020201340022221476,0.003548011694246544,0.0,0.003932011939018069,0.002072402847481512,0.0037251893920152257,0.003762397098439358,0.0057049947228798815,0.0021340344347796397,0.0045183259191712575,0.006535894314588933,0.007082320168087065,0.010997512286875797,0.013689203288368618,0.012570139633301093,0.04264504234980744,0.04667612719714555,0.04862385321100917,0.04943988230896309,0.040291155062127784,0.04384855384096467,0.047798769941481044,0.04898437292016079,0.05743839921458682,0.07516403233489646,0.09107100397930938,0.10223952158251363,0.09671247012440741,0.09613189295713719,0.12278660979707896,0.13237150216001559,0.14358963510250924,0.15131335045105657,0.1634915329768271,0.16705958175743288,0.1780059428316337,0.19915544396256563,0.21267047224850433,0.20123734152206557,0.22408630297261387,0.2219145614694789,0.23449169978298243,0.22703507535632286,0.21616909226772943,0.19982412955159337,0.17999553295757623,0.21021342688053987,0.21632185457241054,0.2575367368580518,0.30842319069754764,0.30045684939468337,0.2836377808410979,0.24275927455118207,0.2705748800722618,0.28258340046287417,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020619973881366417,0.01389757487318463,0.013795323385372359,0.0,0.0,0.02418906170629641,0.019505059124710473,0.036590720593257554,0.05155651576156339,0.053910997843560085,0.04020807679742668,0.0789406671759613,0.07671849427168576,0.07318611987381704,0.09347919456304793,0.09753956448584457,0.09514068929429394,0.10812303020543376,0.14323715981174545,0.1521865628217179,0.16766145798403864,0.1457017969888295,0.1088618149812387,0.15769944341372913,0.15982824427480916,0.15205022562291545,0.1594978390615353,0.14123526535933512,0.12007148441863062,0.14781545808578983,0.18737928449940902,0.1991227057601293,0.1849978320566556,0.19387815051994595,0.16874472672728977,0.1342897382987783,0.14707848642866694,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01774685880599134,0.0,0.0,0.0,0.0,0.0,0.024802356223841266,0.015180957007529755,0.026515039919865657,0.014227989300552045,0.02518539247236603,0.0,0.028763433831027897,0.0360843342440332,0.033274463129335276,0.05061267980820459,0.03593840709921765,0.06523527242817029,0.04378028136127488,0.0749985000299994,0.10054231917616234,0.11285589913907071,0.10260356547390022,0.11127475045000818,0.18193847171683758,0.2028260428639037,0.19700006912283127,0.22299221242581221,0.18206482935884621,0.19568026582979509,0.2119686589197169,0.19607089308369538,0.20034344590726963,0.2415563128154251,0.24803824298728241,0.21245150563458343,0.17868058494380964,0.2946768060836502,0.24820868262070903,0.31724668333012884,0.27418723070896983,0.2652519893899204,0.2904367112002957,0.21506562258740486,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060960741282614,0.0,0.06734006734006734,0.0,0.0,0.0,0.0742611020347542,0.0888494002665482,0.11716461628588166,0.12964563526361278,0.10643150372510264,0.16262566528681255,0.17296050735082155,0.13311640289897944,0.2982848620432513,0.2126689958985265,0.2449479485609308,0.1901743264659271,0.13393604553825547,0.19143752175426382,0.12171796209354896,0.21810250817884408,0.3798670465337132,0.309315866084425,0.18800526414739613,0.1722158438576349,0.2037074760643716,0.2856515051637003,0.18700327255726976,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007173343854237652,0.0,0.010188590816004239,0.01550597949334212,0.009223305448206529,0.007138650438134671,0.011077594287369838,0.010577791519865905,0.012758763675799817,0.012292846331737824,0.02125710097122961,0.02089674916238864,0.0321185241879822,0.03902175995232251,0.04369960888850045,0.042598196186726986,0.06885402945755,0.07374407006446904,0.07404664938911515,0.09947486524625813,0.10482826663377938,0.10019028387247098,0.14008267923350412,0.1608850208384408,0.13436189681932956,0.19499070393155676,0.1756697408871322,0.2028220618062068,0.2055076037813399,0.22399611930290125,0.18823458546979588,0.17309534735808194,0.20260201262495187,0.19389238972370335,0.19967466799783112,0.25132692094703396,0.3064205200730695,0.2740753082305898,0.2630935415595038,0.23086036867965293,0.2414694364808769,0.24794319846726023,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944347995166734,0.008062240496634013,0.0,0.01015086726472193,0.018836648583484026,0.03517227903341366,0.022495997035821568,0.029633620689655173,0.04467972758905482,0.03650128430444775,0.03932789975453966,0.04759134895034636,0.054838878153235494,0.07868220005583898,0.07931098581076895,0.09953096034935366,0.07001487816160934,0.1047727048614535,0.10928559149291485,0.1077045468453583,0.13247696438498752,0.12883677096878096,0.10877991447648104,0.12956964368347987,0.11379441143001642,0.13694878115584772,0.14118269923673105,0.18512386743325004,0.23489882996595451,0.237847927862831,0.22652194431335534,0.20410808008812284,0.2380664861041627,0.20599720560312398,F
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09536524890329964,0.09119927040583675,0.07611798287345385,0.059517904969745065,0.11304079745144385,0.13847464848743077,0.13935663685983046,0.09667673716012085,0.1722082395019208,0.17631900176319001,0.14438348252959862,0.1853700270925424,0.16835016835016833,0.22614201718679333,0.3057658707047175,0.2842183994016455,0.2722177742193755,0.21199273167777105,0.30620467365028203,0.28585040495474034,0.2396849854476973,0.23411371237458192,0.24100533654673784,0.3439972480220158,0.3908241291418862,0.3846826368246197,0.3235082674335011,0.3548748599178185,0.24742268041237112,0.199203187250996,0.23430178069353325,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05135667208764872,0.050259674987435075,0.08362602441879914,0.12511468846442572,0.1082070917263193,0.07414730598121602,0.0882825040128411,0.13479226133840785,0.08606525311008528,0.1299396162959566,0.18187329493785995,0.1382488479262673,0.10084881082443903,0.23936170212765956,0.1607565011820331,0.1143074871404077,0.15476881408396206,0.23804989525804607,0.2164289227742253,0.20100502512562815,0.13561443772167744,0.11127183709803048,0.09973404255319149,F
Illinois,0.0,0.0,0.0,0.0,0.0037520401718434395,0.0,0.0,0.0,0.0038304783501363652,0.0,0.0,0.0038536536490246403,0.0,0.006073304788800826,0.006517818992924546,0.009765693120069197,0.0213548970338048,0.015045458779025196,0.015394201517428437,0.008074698299908976,0.011700097257058449,0.012842595110748497,0.028881828886272245,0.02411364101364978,0.04382089974202212,0.048754326946516505,0.0548784833582781,0.059651810174684065,0.05527337914550343,0.08365146237965597,0.07021211861167237,0.09453537465650812,0.12547463034189787,0.11463066658969645,0.10539611372742558,0.15848124916588818,0.13210710837863932,0.17215012889413203,0.19505453654867178,0.20296545096947435,0.215153054157625,0.19157978926223182,0.18558321418764737,0.18344802966900026,0.18228708143882508,0.17464770283693362,0.16426686001064902,0.15672525482365507,0.20694385317629252,0.24787535410764872,0.27128371453718997,0.23902678358011803,0.23609443777511005,0.20696596402194406,0.22272385252069227,F
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007788525943579918,0.0,0.007578628268283441,0.010478100769391971,0.014737959087425574,0.028420139408262778,0.012460088778132544,0.03473154097532482,0.03401415636793599,0.048455872851789636,0.04420504592413104,0.05822464732499334,0.054782695308609186,0.0663404925781574,0.08572653236176596,0.08635724808236112,0.12093805868124935,0.12514339347168632,0.10714913051115406,0.10720028586742897,0.08412988221816489,0.13829748516941442,0.12649863117152838,0.12109421526978204,0.1169297586235697,0.10187405819555576,0.1328599742992181,0.14914741106807355,0.15841849256994958,0.1430420271098699,0.1455159950242918,0.13553808620222282,0.12365397496007008,0.12082158679017317,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01880347237456517,0.016181753454804364,0.01658869977771142,0.016952025767079167,0.021088148460565163,0.03253443227415682,0.03242191721603804,0.0373566438791139,0.052073647015064166,0.045080581539501854,0.052356020942408384,0.06637254519189474,0.09094503756425465,0.05964926233745576,0.09302701828183142,0.08954737870400521,0.1275459364661804,0.13210584981216197,0.06885274119975902,0.10043369093814197,0.10006671114076052,0.115132402262602,0.14247188724367782,0.1587057799621154,0.16769144773616546,0.17114407219168137,0.17207076410173686,0.12527047033367497,0.17272185824895772,0.08073531238355484,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05167195689082454,0.029869693462270842,0.03848374061958822,0.042987221071554185,0.02390152571405808,0.07347238662802563,0.03254943445357637,0.0796781004740847,0.09084804676699451,0.09024562504904653,0.06769941459917965,0.12338799554211113,0.11465169605440026,0.11727122002507177,0.10209498917793114,0.15495025281357036,0.15053500956100735,0.1301645952300974,0.1656567417934522,0.13549523508423286,0.1336643116287951,0.0664042119242992,0.2086749142942316,0.1942134355858772,0.21776562341740102,0.10938069691129747,0.15618898867629832,0.1691356584626152,0.15888535810315327,F
Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187863986473793,0.018714325816412466,0.018783311028151485,0.0,0.019962072063080146,0.012613521695257316,0.02572347266881029,0.03363866894374579,0.02586117720078618,0.030764497769573913,0.039070639716607625,0.023064503728761437,0.052894660284044326,0.04881753091776958,0.04898359049718344,0.07172018095553348,0.055472347035003054,0.0577398955182843,0.08266740148801323,0.07498413797081387,0.0843653017566061,0.08310692024932076,0.08563053716694662,0.0950602614157189,0.1209273399440279,0.2054770255429199,0.16135393882892896,0.10435301132975551,0.10152680698192042,0.12797754200553194,0.15077108641337125,F
Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012160589267411358,0.0,0.0,0.01384302015148219,0.0,0.03442759067619838,0.029023363807865334,0.038028436819977605,0.026598102668676304,0.03236395580008322,0.03605855909997836,0.03948764777018189,0.040836119547739975,0.04071143227907687,0.03588271478367849,0.02330398757120663,0.07653330518315211,0.041554699836551516,0.08252938330629785,0.10271041369472184,0.09265157218136545,0.07690887836091799,0.08976392088806438,0.07109636519832924,0.08711614448834822,0.09208395516463977,0.07804282175698143,0.065037310878346,0.0933384035676012,0.12660393498716851,0.1561492243457008,0.1430128030509398,0.09858807788458153,0.10598432945985845,0.13723511604439959,0.11485940358191178,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07785736530675802,0.0,0.0,0.04598123965422108,0.0,0.08957006369426752,0.05056122964910507,0.051025614858659044,0.05246589716684155,0.08505209440782478,0.08423712751395178,0.09732886341516167,0.08737439930100481,0.15190972222222224,0.16774770744799822,0.13551665725578768,0.06863417982155114,0.09909575126966431,0.0,0.09514747859181732,0.09805294859223981,0.11458034947006589,0.13241135795203765,0.2299202942979767,0.14139827179890022,0.12584552461853074,0.0,0.08950948800572861,0.0,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010052069721155585,0.023283338830788335,0.025992833404504187,0.02539175856065003,0.024107109742981123,0.038555703352418404,0.030386516489749615,0.039229450994156874,0.05498572485989214,0.04322174918418949,0.06280420788192809,0.05148984754527749,0.07242932482288766,0.07355891400294236,0.10503721971046262,0.09946336047372316,0.15227618809518398,0.1229156520327466,0.13925960311013114,0.17780614570985684,0.14476102941176472,0.1508402272030922,0.13280212483399734,0.12089462018940156,0.15399224905679748,0.1639728273600375,0.19692373197083402,0.2489322118282106,0.265943158007844,0.3087866339499876,0.2507288629737609,0.26536271206654943,0.25192089683839275,F
