state,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1926,1927,1928,1929,1930,1933,1936,1937,1938,1940,1942,1943,1946,1950,1951,1952,1954,1957,1966,1970,1971,1972,1975,1976,1982,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010167354657665169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01916856355576854,0.0,0.0,0.0,0.018868369537017385,0.0,0.0,0.04289896033107903,0.03604717029713168,0.05185242798994063,0.07286164094824221,0.05458231532983313,0.06569784248285286,0.0922266139657444,0.10783310752896286,0.07464186260155599,0.13242364049860378,0.16086104530431986,0.18938842108330176,0.4657557307595185,0.6730119396260419,0.7554568784060437,0.7063140192631095,0.6008751877734961,0.6726532808663774,0.5104359682550782,0.5232108996418289,0.5173072249418463,0.45026030673983397,0.5376536793433456,0.45537680564368627,0.3921413293194962,0.3718523907683602,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09976057462090981,0.0,0.11485451761102604,0.36496350364963503,0.4176950825897095,0.32021096251648146,0.32761611100404703,0.33326798666928054,0.33716779055930185,0.41675349031048137,0.522508038585209,0.346797225622195,0.35542546518921175,0.5731922398589064,0.3691853310361802,0.3901170351105332,0.1926252063841497,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013095861707700367,0.014653548252041031,0.0,0.0,0.0,0.010137875101378752,0.024037498497656344,0.01018350679239903,0.015964877270005985,0.027632487910786537,0.034651368729064796,0.03863539775141985,0.022904260192395786,0.03701989819527996,0.044687544687544684,0.03450154349010351,0.04796333469525518,0.07645525629887055,0.08039135194307609,0.0890846135744781,0.21283692561825948,0.32147068801188955,0.31020435990523426,0.3293351546565371,0.34325631812433505,0.31829361552611457,0.2835499627452604,0.25168313093814887,0.2440652509491426,0.2555183371983166,0.3036549415962941,0.3074230851088987,0.22206869324911171,0.21517641873849583,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05134568482307132,0.03528737153191302,0.05729396209784046,0.07778401970528499,0.07847582508610543,0.056875355470971695,0.06659563132658498,0.12134870416919477,0.14734774066797643,0.14830127628977172,0.1751864163147965,0.17919541259743751,0.2615558060879369,0.5227715754031543,0.8633869952333842,0.7848482000187987,0.8709772660171243,0.9142496847414879,0.7423117709437964,0.6874931250687494,0.6057206954570948,0.4546714721375104,0.43243243243243246,0.5763175093577327,0.4089336269267065,0.3742121848739496,0.37946736580654067,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002301866813986143,0.0,0.0019980578877331233,0.0,0.0,0.0,0.0,0.0,0.002444997738377092,0.0,0.0019673111578019627,0.0,0.0,0.010222858311183807,0.008252801959374917,0.010121303826358912,0.011011291361163175,0.009421138342687178,0.009067806792240679,0.008097934101325978,0.012497146084427835,0.013422018074984342,0.014365899459226499,0.012164131150488812,0.011808482884565215,0.01643270944741533,0.016677690903026295,0.02455254383884603,0.022255192878338277,0.024868724577446065,0.02540162796211206,0.03456198351789999,0.039027336227623374,0.10005354978721007,0.18299197563137914,0.17168985517560403,0.17776152849700105,0.205943794095621,0.19648930187719252,0.18262686164835906,0.17215022517249454,0.1676731600256281,0.16026713537465523,0.15841855698376842,0.15368382420405544,0.14444222921150818,0.13042310790594192,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018392918726290376,0.014282993715482764,0.012094530853148206,0.0,0.0,0.014730433074732397,0.0,0.025130047998391674,0.035650623885918005,0.030687397708674305,0.04037854889589905,0.02273818246128193,0.058523738691506746,0.07135551697072046,0.0598127401136442,0.06366095991633132,0.07385524372230429,0.09389041647106162,0.09944725826221698,0.14360494742205956,0.40816326530612246,0.5844465648854962,0.39484010202079656,0.5530973451327433,0.48617524037155735,0.4104769351055512,0.40933511469911027,0.37187581077575027,0.3780445573127092,0.32952738835091777,0.2966923212502203,0.3249898440673729,0.3111591497166814,0.2874715871105763,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01523368472366096,0.0,0.0,0.0,0.0,0.0,0.04838598188981821,0.027445195375484583,0.0,0.022152482924127748,0.1703319580604868,0.30756218522932605,0.2698503557118325,0.29331837984730186,0.34274375394606293,0.3186772584518751,0.2915314806977947,0.28517110266159695,0.2575750480026226,0.2835993078254182,0.3133568350959655,0.21934299122628037,0.3115593811057718,0.2095511194441381,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19747835333434605,0.5358236374770361,0.3011093502377179,0.4352921479993303,0.5221023320570832,0.39993044687880364,0.4725554343874954,0.41785375118708457,0.4002911208151383,0.4512126339537508,0.4018369690011481,0.2851904664901202,0.37354427598330037,0.2805049088359046,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006548574048001048,0.005489317787585359,0.0,0.0,0.0,0.004611652724103264,0.0,0.009569072756849862,0.010756240540270596,0.011728055708264615,0.01044837458119432,0.010250592825951768,0.008513838535052184,0.00873992177770009,0.00954787155909398,0.01796192072805652,0.017485707334874104,0.01465506602492904,0.025447058551368355,0.026207066658444845,0.028736748087452912,0.032736713081742815,0.040604314783035056,0.04324290932116354,0.05517178832171954,0.05880470139865866,0.09305098176055365,0.21401136669642984,0.3709489873806008,0.32225761032429057,0.37356391243790704,0.36585570048390065,0.3308076298356167,0.30209400201396003,0.3092599061144858,0.27695700852758204,0.27740753082305897,0.24707181947735457,0.23957208070530023,0.23333001727365632,0.23009880160787408,F
