state,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009814120556656918,0.0,0.0,0.0,0.0,0.012181454952979584,0.011503508570113886,0.0,0.0,0.011199964160114689,0.0,0.0,0.011825083366837736,0.0,0.016567655203427137,0.0,0.0,0.0,0.0,0.0,0.0,0.014550745725718444,0.0,0.0,0.0,0.0,0.013011007312186108,0.012995789364245985,0.0,0.023715415019762844,0.0,0.0,0.0,0.014623731391301804,0.0,0.01964030189949777,0.01407974769092138,0.0,0.015288182235132243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020209369063497837,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10247401551749377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07761966364812418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027458948871437204,0.025798462411640265,0.0,0.0,0.0,0.0,0.0,0.022067747986317998,0.0,0.0,0.0,0.01665778251599147,0.0,0.020377666077978536,0.0,0.026187803965581742,0.03553519958937103,0.035477767265846734,0.047166103293766214,0.03715124270906862,0.02366943937242172,0.030129557095510694,0.037919266434554795,0.03734383487235198,0.04242404464314852,0.04339553359815736,0.0197199763360284,0.02210572854165351,0.05528255528255529,0.050622943442922626,0.06284203084496347,0.07559721802237677,0.052289534623141856,0.04674851757990306,0.05226646393613989,0.04886065828632346,0.05456609044875153,0.05652082897215825,0.05515381786983699,0.04840173439548251,0.06362714493070606,0.06285482562854826,0.06810624574335963,0.09165156113159127,0.04789463181001796,0.047369979275634064,0.0616024332961152,0.052157786964416794,0.05153458543289052,0.053678852383155944,0.03932503932503932,0.047212638460141634,0.04263407528467127,0.05734144222415291,0.03934044882320744,0.03529767707668,0.025413364252926507,0.030693181267466844,0.023861873838864175,0.013098557287475908,0.014051428227311962,0.018601574933344356,0.012418246543588045,0.0,0.027118361216571404,0.0,0.011082297138550879,0.02837751554851373,0.0,0.015554921836517771,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025470290725175565,0.0,0.0,0.0,0.0,0.0,0.0,0.020025632809996797,0.0,0.0,0.0,0.0,0.019328900572135457,0.019414459889725868,0.023311834641386277,0.0,0.0,0.0,0.0,0.019630167641631658,0.0,0.0,0.0,0.0,0.0,0.02160667214035694,0.0,0.0,0.0,0.0,0.0,0.0,0.02245979696343545,0.035839082519487496,0.0,0.0,0.022484036334202716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010592098294672173,0.015138899402013472,0.010878010878010878,0.011863099827985052,0.0,0.0,0.0,0.0,0.009149130832570906,0.0,0.0,0.0,0.0,0.005284797750790078,0.0,0.0,0.0033968083588660093,0.003950045096348183,0.005051206606978242,0.0068903376265437005,0.008429649888541295,0.010443120594308498,0.010688725718003531,0.01335082752111963,0.009948096885813149,0.007193008395839244,0.006827155389849537,0.005511544849277621,0.009719852258245674,0.006456655452475618,0.00586728207936477,0.007596023646751874,0.007768523883355614,0.01189987818282597,0.01455234509493083,0.013428184197213184,0.017156082923146986,0.02290928876203931,0.028618565031480424,0.027674491215123047,0.02750668019376134,0.04253722006755911,0.04282965884795126,0.03691324033905997,0.05568347705690249,0.048084955521416145,0.06316741926947733,0.07557926992068284,0.09436197416687772,0.10308710466882284,0.0959438140889509,0.10581384163441687,0.10859203960990667,0.10759672223643724,0.10713580873438777,0.1238532110091743,0.13294504937958976,0.1273435776781119,0.1413834780897771,0.15555322241071576,0.1296488565875995,0.11917835255537618,0.13022048914071235,0.14333589049945492,0.13964422460050643,0.1293355760754635,0.12545212030906405,0.09817957665960766,0.1049223728361364,0.10339511477915492,0.0807370690247017,0.06935160427807487,0.06812412724795487,0.071425582076643,0.061915087879479566,0.06374397219276405,0.05503686058457613,0.05070979548937786,0.04443988650736677,0.04537639863588963,0.03921256620672411,0.03113546596448778,0.03561534170241333,0.02430596612930774,0.02610931098197788,0.021901745400633464,0.023412430623459254,0.01397276333546901,0.016555066731008344,0.020569152045728473,0.017203413157170385,0.018309578350754557,0.016622552968404362,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014226369999430945,0.0,0.0,0.016426295213377573,0.022496464841239235,0.030919547337826977,0.023486583289295992,0.015266709413453025,0.016010759230202697,0.015965259595121014,0.022197558268590455,0.03135680913110282,0.0185076652580277,0.03220989136482094,0.037273848094732914,0.0399957337883959,0.027810785528278512,0.04109853979305676,0.04588313565349056,0.036657731344651404,0.023162624788641048,0.04138597015611707,0.022991148407862972,0.016663492668063228,0.01935124936503713,0.03657198585883213,0.04146948333902522,0.03928115486595306,0.051460497941580086,0.045234086397105015,0.025464731347084286,0.03324468085106383,0.032807570977917984,0.025264647179202144,0.026823380233607256,0.019028137858858787,0.032206860061193034,0.04092490280335584,0.04252271608253883,0.04470972212907697,0.016189088554314394,0.011581044146940288,0.016233766233766232,0.0,0.0,0.02829800370446594,0.013580313976859146,0.013961800513794257,0.0,0.0,0.0,0.0,0.0,0.0249992187744133,0.016376797353509547,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01668573607932876,0.01948605529168189,0.0168829289469876,0.01679946241720265,0.043252595155709346,0.04366948438815933,0.033473923813349404,0.03070100631076241,0.03483228255947612,0.042592461134379214,0.05220659891410274,0.05499226671249356,0.06573757559821193,0.08103990404875361,0.08210699172614161,0.05890559603162301,0.06679621083313092,0.07070677311964176,0.10813271868419555,0.09514481600671611,0.061413580411738,0.07321601338807102,0.07732357338007115,0.040953185389951116,0.055940330314331384,0.0718768141984353,0.045381059080466295,0.0350242250890199,0.047999040019199614,0.04570105417098288,0.03546899687227936,0.04168269847377196,0.029455081001472753,0.03307972213033411,0.040565208572780745,0.04492984032625976,0.03430649421935572,0.017849493074396684,0.02584456341148237,0.018925773117831862,0.030756218522932605,0.03679777577888625,0.03019453910192814,0.0,0.0,0.0,0.028517110266159697,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0742611020347542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006530754410980375,0.0,0.0,0.006210151527697276,0.012656625743576764,0.007492159989725037,0.01086625809536228,0.020886758955197902,0.020463682981438237,0.02356706069138314,0.04397967161845191,0.03712856927378839,0.04038287329600646,0.055991041433370664,0.034206987661893416,0.06073931899075548,0.07404045952852946,0.08344184988052644,0.09243212016175621,0.07697476938114729,0.08368901163277262,0.09053010405373688,0.08864074009923688,0.10369623786172542,0.0959223766613479,0.09726411221958489,0.0886207542989587,0.09682747622031099,0.11323402762272335,0.09065974169656646,0.09968847352024922,0.11284244547689865,0.09772231827407353,0.09578068351933706,0.08375758370295919,0.08519639237345397,0.08681595018560652,0.07070307748449094,0.06787609527335554,0.06323208488521834,0.07939199605352408,0.054366820705992,0.07004133961675206,0.0635878891885266,0.04092632489324407,0.04836978702178152,0.04763925176600195,0.037075000545220595,0.04535340221381295,0.047081986859845486,0.03689397875207999,0.02656812308286839,0.03097634077323644,0.017008104361728362,0.016352666775684446,0.022150847269908073,0.01767810692729247,0.017494168610463177,0.015178473551509837,0.015681081646165104,0.017183218326354537,0.01596603929524024,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007055071891182571,0.0,0.009572911395867238,0.007812906922235532,0.009478544637174851,0.0,0.007763010806111042,0.014368274849133113,0.0,0.008651417102121327,0.013089861901956934,0.018177311410394116,0.009493070058857033,0.022576760987357013,0.019690406228226952,0.018066303333232964,0.010477943928031494,0.013214694740551494,0.01839848283280025,0.00833321759420008,0.01074965399551202,0.02243513606250165,0.021570592937534102,0.0,0.02084283201980069,0.021172703092537947,0.018857758620689655,0.023016829364058546,0.014870893605515748,0.02441042053730048,0.018507746814023583,0.01436256332584739,0.02411228711388614,0.029741619679038354,0.019906192069870734,0.0387582361251766,0.029582881372645697,0.02333063189174587,0.019582644880974238,0.027205090900488504,0.031016259677669484,0.021255845357473307,0.02115422754015998,0.021073039153706747,0.014415661174299758,0.014706531170492816,0.016555793022485776,0.00892020873288435,0.00752683316021617,0.014157621519584709,0.008099526987623923,0.0,0.0,F
