state,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,gender
Alabama,0.0,0.0,0.0,0.007143163278426218,0.0,0.0,0.02258661968649772,0.02744278940708329,0.03288958496476116,0.058634786715963325,0.08948473065096074,0.1004369890047928,0.10898772948493902,0.12667355251105958,0.1335938746211517,0.16582765768433522,0.16567010701908064,0.15702592890651068,0.12717161701944216,0.11995020934706348,0.10124718118643289,0.08871412472726402,0.08527018467085709,0.07822385827677442,0.0646072120791558,0.04790801660811242,0.05823981363259638,0.05054798612228017,0.03975864165770148,0.037840266773880755,0.038082543913933446,0.033135310406854274,0.03854678616170377,0.04073319755600815,0.04031110689557052,0.013664002186240351,0.013743500469569599,0.0,0.014550745725718444,0.0,0.0,0.01287398939183274,0.0,0.013011007312186108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1043187982474442,0.095565749235474,0.12182387747998608,0.0,0.12784998934583422,0.2968036529680365,0.13207131851199647,0.0,0.0,0.09160864785635764,0.0,0.08188666885031118,0.0,0.0,0.0,0.0,0.0,0.0,0.07270964614638875,0.0,0.0,0.06496881496881497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.020003333888981498,0.0,0.029841838257236648,0.0,0.04534040178571429,0.08604564160119717,0.05132862162909148,0.06701356039104384,0.10219322380316014,0.1560352193780882,0.14539798471630486,0.12051822838204278,0.09996897514564446,0.10524171645844649,0.05874098489051334,0.08679106719631471,0.06901991717609939,0.05684330196425188,0.06449631449631449,0.04499817194926456,0.03927626927810217,0.03275879447636327,0.04481960110555016,0.014762689762074649,0.028508980328803574,0.022209390130147024,0.028374367033350792,0.037680552648105506,0.020427339951791478,0.020167389331451045,0.011930089674507387,0.016220600162206,0.012018749248828172,0.012220208150878837,0.013969267611255238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02911123402521033,0.026029615918556223,0.029323793325904637,0.050509552247675074,0.05746349378042185,0.07636363636363637,0.0643622458637792,0.07340158392891637,0.06763103513056547,0.13900574313201886,0.1382672925080959,0.10832559579077684,0.07497139249496902,0.09674548198599126,0.03184586600851877,0.0602675880911246,0.06956790600602922,0.024030759371996155,0.05308660700743213,0.03672420124862284,0.03886966999650173,0.030718427216526515,0.042523581258698005,0.03494602780150656,0.03885305773564379,0.031833194063109305,0.047709923664122134,0.0441430233958024,0.04303094316003599,0.02355620116995799,0.0,0.02115506663845991,0.021394035342946385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.002879956224665385,0.0040778876541951265,0.01173456415872954,0.01849466627035239,0.019744998203528853,0.03100231421315187,0.04272816219362669,0.04278281941902805,0.0545875365736495,0.07636429587346436,0.0831621830914784,0.10076353211660184,0.09252246974265178,0.10366213293774909,0.10569254522155715,0.1158195247335643,0.09744608484957937,0.08231492385869543,0.08536137739118559,0.061202778359683394,0.06290798277791848,0.049576241176609456,0.038301680723257084,0.041437588332359054,0.03212369017399168,0.027227219346415518,0.028193633877470467,0.024159021406727828,0.021705314184422817,0.02382177781045511,0.02051887455378475,0.022932357833196106,0.024492186460080397,0.013157694974266587,0.012926298554408945,0.011215640884151402,0.009294501962046696,0.006246977735308612,0.004806594647856859,0.005965341366659707,0.002821873108062348,0.004231002139300457,0.0035700064534732044,0.0016711229946524064,0.0019787090901895606,0.0016740370799213202,0.0014266149280986076,0.0,0.00141120155345067,0.0,0.0014243553367745759,0.0014092049265804233,0.0,F
Colorado,0.0,0.0,0.0,0.0,0.016279132864856063,0.01603549188871369,0.0392875851231011,0.03601471458338693,0.05012928077674001,0.04601683674850445,0.08535821999658566,0.08206293595934729,0.10427528675703858,0.09855777128026544,0.09962720143977374,0.12058623461752518,0.12917620809112795,0.11297364965955237,0.09926670722725671,0.10217766140877452,0.05707943554780402,0.06271361826220564,0.06477682840309695,0.04099440719159029,0.04300828626315337,0.04532849829351536,0.04045205167749602,0.03142829513586694,0.03211819495744339,0.03207551492656998,0.030111412225233364,0.027590646770744718,0.020692033567076676,0.01904399162064369,0.01693234319440749,0.019505059124710473,0.017075669610186858,0.0,0.012252499509900018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01832396774981676,0.033514170210091954,0.01238441215323646,0.033064682785699524,0.04767580452920143,0.09541551183606706,0.07866132723112128,0.03653635367190354,0.0795909507500844,0.10319669770567341,0.07028546712802769,0.062384977697370475,0.05021088572002411,0.044345898004434586,0.07663102163084747,0.03194434585078441,0.03132395934846165,0.02749613335624678,0.03944254535892716,0.02269117313365101,0.0,0.03410323980778174,0.0,0.0,0.017073587160662457,0.0,0.0,0.013074288105012682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053231129564569366,0.0,0.07109847138286526,0.14970059880239522,0.0,0.10323912762937153,0.10178117048346055,0.0,0.0,0.09052504526252263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.007857928650007858,0.008707672547973834,0.01687834929743871,0.019637836943939144,0.026910656620021525,0.026367970299118252,0.042812342798428785,0.060851045334028776,0.07774515833323663,0.09028095432987457,0.0905471279195247,0.09406763096168883,0.12994999245825936,0.1462514870720234,0.10429703796412182,0.10733916818042417,0.08260547382742744,0.0680694547278416,0.0644777930894977,0.05777007510109763,0.04032011729488667,0.05260452159774278,0.042470913012864216,0.03566006785601483,0.027135464113348707,0.0313592385239022,0.03837024610497386,0.025563679124699625,0.03173337455959772,0.02711237281107461,0.023817389767742034,0.02199010445299615,0.017413957635323864,0.015717575666459375,0.012061271257990593,0.010924902222125112,0.011751226534269514,0.010477787091366304,0.006842233304950735,0.006941873380229545,0.006940106877645916,0.003853980390947771,0.003883344336142286,0.0038065945443886986,0.004596714881098308,0.005405363665145443,0.0,0.005210543161906463,0.0,0.0,0.0,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.011784670500612804,0.02117472678720576,0.029645792076272694,0.04221394024918286,0.028985857317117353,0.05285539245128895,0.09901244727908651,0.08407121645626263,0.10723709274597507,0.10132567761546905,0.13812343585465586,0.1575602895984166,0.14624040297355487,0.1314370947971586,0.09781393615699913,0.08620964909479868,0.05789599155399652,0.06575076997612209,0.052359447607827736,0.04626951995373048,0.049047528637428006,0.03461770018061409,0.01514646632940535,0.04667128361085182,0.02544643525379077,0.03670748539042081,0.02689009029409267,0.030555131178733628,0.03762378898429207,0.02243513606250165,0.022839451345624342,0.0238597548724131,0.02084283201980069,0.01720282126268708,0.006734913793103448,0.01083144911249814,0.00675949709341625,0.006780672371472354,0.0,0.007834125450462213,0.007614406457016675,0.0,0.0,0.006251328407286548,0.0,0.0,0.0,0.0,0.0,F
