state,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011693718134618085,0.018920133386940378,0.026181748940829246,0.016567655203427137,0.0168642189457454,0.011980352222355337,0.0,0.015941335883947073,0.018324667292759465,0.018868369537017385,0.038801988601915846,0.058799029816008035,0.07822751589785001,0.12101550028322777,0.0985196131808872,0.13271227458429832,0.1559494723709518,0.11037237537119282,0.13965744400527008,0.12718776785467414,0.10335027129446214,0.10939344215102052,0.07604340323476938,0.052446024299991255,0.04489211862742347,0.06758278891642261,0.05478504080043828,0.06115272894052897,0.03265626020508131,0.06053879527797396,0.045449777995315174,0.04564927312311258,0.07638093254174912,0.07738849022090896,0.0501810100720456,0.04479116121085439,0.05941535292719639,0.06062810719049351,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12658227848101267,0.0,0.10268697586856067,0.08874689385871495,0.2488888888888889,0.1840942562592047,0.0,0.13297872340425532,0.15479876160990713,0.11971268954509177,0.0,0.1531393568147014,0.11525163273146369,0.1139168407062844,0.15068751177246187,0.11562921564848719,0.0,0.0,0.14586372160866848,0.12057877813504825,0.0,0.20907380305247752,0.0,0.12306177701206006,0.13003901170351106,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01309208975936739,0.0,0.012449889195986157,0.022144034643111977,0.014254490164401787,0.011104695065073512,0.028374367033350792,0.014653548252041031,0.0,0.01815065039830594,0.019883482790845643,0.024330900243309004,0.03004687312207043,0.04684413124503554,0.059868289762522446,0.08881871114181387,0.10780425826820159,0.09079318471583665,0.0744388456252863,0.12216566404442389,0.1018876018876019,0.08171418195024514,0.08171531096228661,0.05734144222415291,0.07012862616310893,0.033616835311123805,0.03335504058196604,0.04846291779073712,0.0562458454773227,0.04678056174098538,0.032117550233855915,0.049604199822251616,0.03932444738802881,0.04404454791417605,0.03337644457424173,0.04079704543502534,0.04211272912649334,0.03310710147326602,0.03947887879984208,0.0337023306457885,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023854961832061067,0.0,0.023471423541837812,0.0,0.03261312678353037,0.03807911994922784,0.08129733430319627,0.11468395747871732,0.14543851917144116,0.13396136727021304,0.14387234599119325,0.1618760117250733,0.1509500976735926,0.13435035104446563,0.14734774066797643,0.11234945173467553,0.0898391878537418,0.13887644476301406,0.10372040586245773,0.04430267588162325,0.053961687202086515,0.042297208384246644,0.07381163271331562,0.04203446826397646,0.04772004241781548,0.06599934000659993,0.056085249579360626,0.044358192403659555,0.03413940256045519,0.02970708811122334,0.06291286568103177,0.052521008403361345,0.04139643990616807,F
California,0.0023705750676460526,0.00263367796890755,0.0020374981153142434,0.0,0.0032860552139427324,0.005718907525265317,0.004721546778724711,0.005309143862629695,0.0055496770087980875,0.006634240362020022,0.00918508604457391,0.006891777170048336,0.007033639143730886,0.01567606024430537,0.014410705095213588,0.01939455266042668,0.015472434200710627,0.016505603918749834,0.01543498833519734,0.016995688840056204,0.014580333149396822,0.015188576377003136,0.02521928048698662,0.03172352467585528,0.06537019914297929,0.08773460026884755,0.0825045417163589,0.0810116849057381,0.08411319073083778,0.09413001814758908,0.07505266241647253,0.07446929924674732,0.06145719292127476,0.06209286835182948,0.06289147820470327,0.05554985813420846,0.05242242326879174,0.04830533518219636,0.045072293586687066,0.042864482048922244,0.05879416131278494,0.04619339635273009,0.048183839881393624,0.04957926484967843,0.05486865602464659,0.05530096759081511,0.052325035905800496,0.04511117227880233,0.04272234948509397,0.04432680791574497,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016922928150082197,0.02294156782674528,0.05040438059889568,0.048641512056146204,0.06437817579840434,0.04368318197493965,0.04284898114644829,0.04354031107133354,0.0268194562964769,0.02927257647460604,0.02700579397034273,0.04900999803960007,0.08795516799437086,0.12223071046600457,0.1201923076923077,0.12618296529968456,0.16422020666481393,0.12680143383159795,0.1379539994767262,0.13802940026225585,0.13186913125525773,0.12085403518195247,0.11400979142914627,0.09944725826221698,0.11349423264001483,0.11827458256029684,0.08110687022900763,0.056405728860113795,0.07203128215682239,0.06246944429355207,0.0698090025689713,0.05400949430057705,0.07206895557669578,0.0808034168301974,0.0924989160283278,0.0705011456436167,0.06249804693603325,0.052405751531230546,0.05014039310068191,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013350778350377826,0.018304003347017754,0.0,0.020476592694975558,0.02397442727757059,0.033173914245431674,0.045381059080466295,0.04669896678535987,0.12299754004919902,0.08835537139723355,0.09028471931125656,0.09298448121072207,0.13091147111765666,0.11577902745616936,0.12169562571834223,0.10714038847031175,0.06518233901677588,0.0571183778380694,0.08491785120915636,0.09084371096559295,0.08457960093806466,0.06950690980456292,0.07332959496182546,0.07215657977811851,0.06927766488084242,0.06582968918982461,0.07604562737642585,0.08898047112817871,0.09613535858488752,0.06854680767724246,0.08161599673536013,0.03168400485821408,0.05514503143266791,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06734006734006734,0.0,0.1151742009789807,0.1915991156963891,0.10396554284865588,0.10365763364430625,0.21968365553602814,0.20167098818784213,0.19765850691804773,0.13305736250739209,0.14413375612568463,0.16269782576541933,0.16405667412378822,0.12152514051344372,0.0,0.09508716323296355,0.10045203415369162,0.0,0.0869414014953921,0.09087604507451835,0.0,0.1455604075691412,0.09400263207369806,0.15308075009567548,0.1018537380321858,0.0,0.16362786348761105,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007173343854237652,0.0,0.0,0.006783866028337177,0.012912627627489138,0.02052362000963718,0.023007311212229667,0.012205144061383738,0.011163918216324838,0.013061149227471439,0.008796041781198461,0.013234607802846136,0.02870165991266495,0.02199408288221814,0.029861399407141973,0.033050324627633014,0.10103580409531793,0.13608441795402018,0.11724052819943231,0.11643957094717035,0.12486896466670779,0.12193701215486778,0.12485630105594932,0.12564354008335377,0.09729654597261797,0.08011245975482564,0.07443633088437805,0.06397254996038064,0.05385716512890287,0.05350225779527896,0.04291748548711346,0.052331151526861984,0.052743499154429614,0.038268234813888816,0.04045133360300889,0.05622907383899742,0.06313609616890169,0.05914695101632789,0.04300567506261121,0.050527929748754224,0.03979271612418945,0.036627972500845256,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01053582179409994,0.0,0.013549727499924724,0.014968491325759276,0.01761959298740199,0.012737411191938634,0.0208330439855002,0.01074965399551202,0.011877424974265579,0.03172146020225603,0.0238597548724131,0.026053540024750865,0.023819290979105186,0.045797413793103446,0.09206731745623419,0.11896714884412599,0.1030662200463798,0.13219819152873988,0.12142894448216432,0.14594279042615294,0.09789949811016792,0.11819301541485748,0.08501806633909706,0.07888768366038852,0.0871828875954714,0.057524019337861824,0.06268999207503874,0.06203251935533897,0.05376478531596189,0.07271765716929993,0.061814248184206465,0.08937709928065851,0.057355471564921975,0.0632130279040366,0.06244146113019045,0.06924686507398876,0.06764196948246029,0.05183697272079311,0.04485310607759588,0.042990721169347615,F
