state,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05557017928694686,0.13402872876664432,0.0757554501837771,0.16050912367650372,0.2450909720019607,0.25378382510319525,0.274312585722683,0.3464164396461844,0.38807118134461416,0.3616827024369689,0.4791167586709718,0.37638947516533,0.37635757554034194,0.33966630584897917,0.4159074704903747,0.35568489551756194,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1531393568147014,0.1920860545524395,0.15188912094171253,0.1695234507440196,0.2119868953555598,0.1960399921584003,0.2380007933359778,0.16670139612419255,0.2612540192926045,0.22439820481436148,0.167259042441982,0.3306878306878307,0.24612355402412012,0.15604681404421328,0.24766097963676387,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01452696568004358,0.023093457445863608,0.06602953953084274,0.05644499178981937,0.062191145325579046,0.06353341063231627,0.11954186388381824,0.10396959315505105,0.12911435040511968,0.1445289760523516,0.13641154951119194,0.15108866628032122,0.13213364374252815,0.17105427844298887,0.171777033410633,0.13520402509032073,0.1442523707049448,0.16778523489932887,0.1555492183651777,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04941155331955799,0.06719827972403906,0.11273957158962795,0.13733829523303206,0.21584674880834606,0.19738697245981768,0.37889971459502014,0.2994955863808323,0.31283138918345704,0.3519964800351996,0.3309029725182277,0.46021624618796786,0.2844950213371266,0.33866080446794605,0.3586033343818811,0.29543067226890757,0.3035738926452325,M
California,0.0,0.0,0.0,0.001242779451387439,0.0,0.0,0.0013730794051820016,0.001392602495543672,0.002826727271699372,0.003069067979855754,0.007703720611732481,0.012863133402127275,0.015805457398647506,0.024929955324386875,0.03304504381317016,0.04678560356247006,0.054840762883317046,0.07650428779845568,0.09108702435395977,0.09393927449975695,0.11715716466272126,0.11624772558797762,0.13565437743592568,0.15710838774759056,0.12574806006319103,0.10825869497751828,0.12959904578401688,0.14078031354135728,0.14960297671563927,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012192445560730571,0.01427110339414409,0.013802940026225587,0.01364163426778528,0.017904301508437404,0.04023874991616927,0.07400726196258008,0.03242692361143281,0.057977736549165125,0.12166030534351145,0.08583480478712968,0.11319201481786376,0.12493888858710414,0.11727912431587179,0.13644503823303675,0.16143446049179855,0.1616068336603948,0.15031073854603266,0.11456436167087715,0.14374550795287647,0.11463758147456683,0.113651557694879,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04799704633561012,0.02649608236496461,0.11533581946099726,0.10221604383023959,0.14665918992365093,0.13980337332010462,0.18012192869019028,0.1504678610053134,0.22338403041825095,0.21074322109305485,0.2835993078254182,0.22522522522522523,0.21424199143032036,0.23234936896023659,0.21506562258740486,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07654623392529088,0.14263074484944532,0.0,0.15663069961712495,0.12171796209354896,0.2544529262086514,0.2279202279202279,0.38209606986899564,0.39481105470953193,0.24875621890547264,0.26481971888368305,0.26367831245880025,0.3740065451145395,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008494142902371412,0.021917559744244752,0.0379625287510328,0.06397254996038064,0.06873875023031024,0.10700451559055792,0.10992899791436081,0.15377307602508675,0.15990489426184218,0.22025495148438232,0.23754400158362668,0.2922207928299411,0.31231322238216697,0.28990336554481844,0.28333150629485027,0.2970693800745723,0.3092979298743816,0.3089898193020023,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006220685021834604,0.0,0.030815501429839267,0.03560991183477001,0.06486751116822716,0.0733354624274038,0.14434490080761567,0.18380054514991623,0.2155086930653798,0.2570910776752223,0.33588490536118437,0.33530891068723623,0.3852984557960326,0.40735619880171864,0.3718255581146788,0.3791096429133239,0.3256009849024817,0.3881518795176566,0.3940816107190198,M
