state,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00974411942392766,0.0,0.0,0.009521270518337968,0.0,0.010777255679613743,0.0,0.011505361498458282,0.011988395233414054,0.0,0.04141263085240998,0.0670000717857912,0.05018935073230825,0.0537598279685505,0.02297635732830917,0.030403667150007016,0.04257030012061585,0.07854524682248774,0.07810466024472794,0.08913944299893997,0.0958428177788427,0.06876600588067912,0.10248001639680263,0.16950317245802507,0.17217387202528361,0.20128531587243845,0.3086949065340422,0.31291006359140006,0.3553221072145837,0.33963340333411113,0.32527518280465273,0.3248947341061496,0.2864425932252385,0.3188405797101449,0.35944369176320956,0.28995492779835214,0.3339378760399574,0.21935597086952707,0.2767984615832872,0.23848938020818722,0.15769317413831943,0.1672385456013379,0.19568873260969272,0.15348442296388218,0.08744492651262906,0.09439569275950076,0.0948100287941569,0.07638093254174912,0.07035317292809906,0.03942793648517868,0.055988951513567996,0.05545432939871663,0.06871185481589265,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10853835021707671,0.09151223976206818,0.18227386648439278,0.06059137178865729,0.1791656002047607,0.14725568942436412,0.12993762993762994,0.13082155939298795,0.13365410318096765,0.2204464039680353,0.17756732761171945,0.2689873417721519,0.3009027081243731,0.308060927605682,0.24849130280440185,0.17777777777777778,0.23932253313696614,0.3911342894393742,0.34194528875379937,0.30959752321981426,0.27932960893854747,0.23255813953488372,0.36370597243491576,0.42258932001536686,0.1708752610594266,0.18835938971557734,0.17344382347273077,0.0,0.1388337961126537,0.1250260470931444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017438616071428572,0.0,0.01974177754965057,0.031535793125197095,0.023583051646883107,0.0,0.030432136335970784,0.026781828529342838,0.024130442276534866,0.0,0.0,0.02670494375271222,0.026293301781371195,0.041053495863070805,0.033783783783783786,0.059060100683409736,0.01309208975936739,0.03527870174377583,0.052289534623141856,0.06397165563565682,0.06414520573980803,0.11993070670279393,0.12222804260520342,0.15072221059242202,0.15116231564325694,0.11697085812241606,0.11333585190782018,0.137875101378751,0.19229998798125075,0.17515631682926333,0.20953901416882856,0.175663673147143,0.1944326800908636,0.19510875864467023,0.20422965338219573,0.2036094400740398,0.19305019305019305,0.2088251316506265,0.1652070417281012,0.1911381407471764,0.17104542966611933,0.1613608094933943,0.1381851681252879,0.16315848989548162,0.15510217995261713,0.13847046275331673,0.15255836361081557,0.11574313291858711,0.1531583740375859,0.0650181421590218,0.08135508364971422,0.06656360044662028,0.06206086397588492,0.04493106628514674,0.07649032767469405,0.06999714826432997,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187863986473793,0.0219482752313714,0.01819306480369683,0.0,0.0,0.01934909639719825,0.0,0.024107035236449838,0.03864883667001623,0.06007689842999039,0.01895950250265433,0.040396621373485125,0.0,0.0,0.06958404205968764,0.09707229944862934,0.10490325588623825,0.09549958218932791,0.11927480916030535,0.14446807656808058,0.16821186871650431,0.18844960935966393,0.2364451691805952,0.22847471969536706,0.2652860382525352,0.3616955582021084,0.3305420890260027,0.33706408538956834,0.3182630684047609,0.41562759767248547,0.24418398153081156,0.3033717604229869,0.3527415609930345,0.28761459644076937,0.23807384781241578,0.2777528895260281,0.23449830890642617,0.18607123870281764,0.19336271247414336,0.24438387066453615,0.1328609388839681,0.1366120218579235,0.10604453870625664,0.0989990100098999,0.11217049915872125,0.11644025505960633,0.051209103840682786,0.04753134097795734,0.05033029254482541,0.05908613445378151,0.04139643990616807,M
California,0.0039961157754662465,0.0018964320527359824,0.002204617939711048,0.0,0.003058415740646345,0.002933641039682385,0.0052841903629578255,0.00582639291251671,0.006263093780434721,0.006502111638160584,0.009368500602706872,0.014036795118938444,0.015591043740832306,0.016834450018517896,0.021288070165479265,0.023219924838889447,0.02323461600328859,0.027286637491839915,0.02709228648738346,0.027465498818607312,0.024449977383770923,0.035851778504297944,0.038200391862084265,0.032679471572944666,0.030296591830150228,0.0443692737091196,0.05475681315347447,0.053073922896160176,0.05511051626744347,0.047302652394422676,0.05565749235474007,0.08440955516164429,0.0876406146606867,0.073924164488293,0.09007167052556543,0.11500678859516011,0.10829795094204037,0.11130979310741036,0.11260503447688007,0.13601710188361016,0.1307237933499765,0.13001838522452805,0.15112198128871257,0.143658994592265,0.13142550395202043,0.14334948990100096,0.14789438502673796,0.14868585449138697,0.1593125287725123,0.1711937913718329,0.16236132827573985,0.17329555076374228,0.15099620668066144,0.14984218142868538,0.1490938812322088,0.15429292355254484,0.12661756158891696,0.1345818664330132,0.13006976469197115,0.11983504271215488,0.09805242940898982,0.10156863285177176,0.06918221846585874,0.07819627264433729,0.06567694161969442,0.0657552680674068,0.06591448206271641,0.06734265048738178,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013095861707700367,0.0,0.013191915993878952,0.0,0.017071643999317133,0.0,0.026909751421171246,0.0,0.04499292968247847,0.030919547337826977,0.04110152075626798,0.03358676070959665,0.03202151846040539,0.060667986461459864,0.10147455208498495,0.0721206610015365,0.03393071963971745,0.05270709496061609,0.06021160076841471,0.08532423208191127,0.06826283720577453,0.03142829513586694,0.04817729243616509,0.09622654477970995,0.07875292428137957,0.11266180764720758,0.0781699045867341,0.16187392877547135,0.1935124936503713,0.23162257710593687,0.20490803532224228,0.2921535893155259,0.22299549108018035,0.2186314175860076,0.24446142093200915,0.27107201309328965,0.23722397476340695,0.2349612187665799,0.24628740032675753,0.259258378326951,0.2553543904851734,0.21599254257326697,0.1812810527729287,0.16766145798403864,0.17345452022479707,0.14823736508083568,0.1461038961038961,0.19799618320610687,0.14714537963507945,0.1234821979831241,0.13851920256396327,0.0977326035965598,0.10517638363796583,0.08071723024589927,0.054830889991919665,0.0664835958953606,0.06168850243816462,0.03437392581481829,0.03930431364842291,0.06351116459419709,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018923010380622836,0.0,0.02343174666934458,0.03070100631076241,0.027865826047580897,0.0,0.034804399276068494,0.03780718336483932,0.05259006047856955,0.03241596161950144,0.02526368976188972,0.04340412339172221,0.048579062424095217,0.06481454202633827,0.054066359342097775,0.08115293129984609,0.0934554484526448,0.0993645895980964,0.12371771740811383,0.15357444521231667,0.17314864144912093,0.14651812125065655,0.17301528774427774,0.1838771817173545,0.18599628007439853,0.18280421668393151,0.24505852384483925,0.25650891368475054,0.19309441989854362,0.185246443929871,0.26367385572307483,0.22119306006774037,0.22642286184774776,0.17492503212908753,0.1661436219309581,0.14762103031908852,0.13455845603783015,0.20852072941368877,0.15097269550964068,0.12176422837557499,0.11084426380934788,0.108148775097569,0.06653992395437262,0.08898047112817871,0.043260911363199386,0.063650607128868,0.05100999795960009,0.036964672334583094,0.07168854086246829,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09419152276295133,0.0,0.0,0.0,0.09000900090009001,0.07336757153338225,0.10076291924571758,0.09961576775295289,0.0,0.12884937508053088,0.07268322228952151,0.08272276057669581,0.1463057790782736,0.1679803592195374,0.10774410774410774,0.16409134418159443,0.14396775122372588,0.16212232866617537,0.17822664488341008,0.10365763364430625,0.1611013473930873,0.07202535292422932,0.2280675079823628,0.08870490833826139,0.0,0.14790711433219939,0.1342281879194631,0.0911438553850828,0.10716472749540723,0.17432646592709986,0.0,0.10442046641141664,0.0,0.0,0.0,0.0,0.0,0.0,0.1425952332450601,0.0,0.0,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005351542849803598,0.00543312904768114,0.00812262848257696,0.01324120663504827,0.007442229692015728,0.010994917904612978,0.015083481267476535,0.01637143512000262,0.017565816920273147,0.0235910259737196,0.017007009317411535,0.017913014402063582,0.022756868149234482,0.02182425059374799,0.029323721669008495,0.04901784967062396,0.05029450225207604,0.04482979959041865,0.04264144360669083,0.053495171599597865,0.08477147395284922,0.1107759428736984,0.09926850503258772,0.11562629581193583,0.10295258802830427,0.12754260582737767,0.13095296141763546,0.14965865525889582,0.16389139179975454,0.23306458073866906,0.24090014395252504,0.2552089570111364,0.2584843692981389,0.28538812785388123,0.2513860935680632,0.26207066658444844,0.2780474544677876,0.27559744501374184,0.25281931846040695,0.24015258569431894,0.23504693380896954,0.21660972287354013,0.23262745440138416,0.19912978159502245,0.20330857962206003,0.1694111269228163,0.16343421169158434,0.13144014868643572,0.10885186791506152,0.11016533406776889,0.09712294572190464,0.07155424232475524,0.07247584138620461,0.07251937363499143,0.07492072342056662,0.05878469427437078,0.05728990570645028,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008443806467955756,0.009572911395867238,0.006510755768529611,0.009478544637174851,0.0,0.00931561296733325,0.012771799865896102,0.010216939685999387,0.010381700522545593,0.011453629164212317,0.03635462282078823,0.05221188532371369,0.03913305237808549,0.04241010572233498,0.034627081388696516,0.06286766356818896,0.07341497078084162,0.09199241416400125,0.09583200233330093,0.09943429945848618,0.11349539419853774,0.13957442488992652,0.17204139039582078,0.19670422718686903,0.2156969127552303,0.2330280172413793,0.30869629970619694,0.281195079086116,0.23596739852723797,0.3331394426524245,0.3159763931686426,0.2906165131094698,0.26767457711134524,0.24136257884718265,0.2450520735656327,0.26378069223942413,0.23085046292885386,0.2043938559451686,0.2022639366949363,0.21830675080821213,0.2013053589737178,0.17981093409135981,0.14048692769137833,0.13262408280355778,0.1294174743003368,0.11288040697149393,0.08176858005143986,0.07225759833807524,0.07393424571338682,0.07937536447871445,0.06382942018734797,0.06627736180274424,M
