state,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.01608345012981642,0.0,0.0,0.0,0.0,0.024091741351064854,0.014376422666826405,0.016598691074646683,0.015941335883947073,0.054974001878278396,0.030661100497653245,0.06790348005335273,0.07104882769434304,0.10346219844554355,0.07724393635099645,0.1062974773793783,0.0832704467979911,0.11696210427821385,0.1813260452526739,0.16073781291172595,0.16589708850609672,0.1693796112881463,0.14393873967239543,0.17840952297388202,0.1719064129833047,0.16834544485283803,0.1520612750619509,0.14705458320117643,0.14982418590429597,0.1665469270459147,0.15134698819493492,0.27969094150963186,0.2949645340262659,0.3853765232788251,0.5663430420711975,0.4874726692713,0.4703071927139711,0.45155668224669254,0.4041873812699568,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11045655375552282,0.18625442354255914,0.0,0.0,0.11971268954509177,0.0,0.0,0.09604302727621974,0.0,0.13185157280090412,0.11562921564848719,0.0,0.0,0.0,0.2612540192926045,0.2039983680130559,0.12544428183148654,0.1763668430335097,0.0,0.0,0.1926252063841497,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.013325634078088216,0.010913218089750305,0.014653548252041031,0.0,0.026217606130886355,0.04573201041894498,0.03446877534468775,0.050078121870117384,0.04684413124503554,0.04589902215126721,0.055264975821573074,0.0731528895391368,0.06954371595255573,0.08970835242021682,0.10735770476631189,0.10903760903760903,0.11258398402033776,0.09592666939051037,0.07471763683753258,0.05644499178981937,0.09076545534003429,0.08418176908781906,0.051693778976786266,0.07158562151659253,0.05800789655882188,0.07025714113655981,0.08060682471115888,0.10555509562049839,0.14052308144046646,0.1251616671534065,0.1417160525637722,0.13298756566261055,0.13242840589306407,0.12337149624950651,0.1166619137738833,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.019426528867821896,0.0,0.019879134860050888,0.032104017015129015,0.0,0.05103843586824232,0.057072971871178144,0.04231013327691982,0.04278807068589277,0.11909487892020643,0.11899515204936094,0.10803336070178472,0.1656711862928892,0.11812573828586428,0.21310602024507191,0.16035364479500738,0.19199857117342384,0.17975912277548087,0.24705776659778994,0.2015948391721172,0.1984216459977452,0.1594896331738437,0.1978595197409839,0.155089764075571,0.12794016336974706,0.15237494745691468,0.1696712619300106,0.24199758002419977,0.24677509814918677,0.24397005822012754,0.36415362731152207,0.21389103440080803,0.34602076124567477,0.31512605042016806,0.19318338622878434,F
California,0.0,0.0,0.004698938979578411,0.0045871559633027525,0.0036175523640704704,0.005881920447025954,0.00871349467352503,0.00939397790757431,0.01464206799243937,0.011892531995971721,0.01005378776454029,0.014356020331713796,0.014961881207197119,0.018509563660173665,0.019226378591427437,0.024855589027748783,0.024627256215816854,0.02935257734139692,0.03075697867607684,0.05041221033868093,0.06501472724908555,0.06361340903701017,0.06277105683633874,0.06202888773914709,0.0564480621380268,0.05382603990492622,0.05412550279743388,0.05073137735689524,0.05370416676138302,0.04329312410300205,0.0463314622146439,0.04795501425512068,0.059248051843719035,0.08255273266392614,0.09330542204349203,0.11075970936652263,0.12574806006319103,0.11980628910845355,0.11430712297764321,0.13060832556871585,0.13340664305411706,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.011496102821143632,0.013794689044717784,0.0,0.026607967876926052,0.0,0.03903010196614139,0.02700579397034273,0.051460497941580086,0.037695071997587516,0.05602240896358543,0.06904664484451718,0.07823343848580441,0.07326747681968622,0.07803165158867566,0.13557548224436888,0.14263038027099773,0.11595389127617489,0.13875833669038987,0.08941944425815394,0.09019635051689448,0.09033214434613425,0.08580705009276438,0.11211832061068702,0.09319207376888367,0.08232146532208273,0.08691400945189853,0.1284485647269072,0.11086159356434237,0.14702066937645938,0.1529493247143022,0.19656019656019655,0.1410022912872334,0.12812099621886816,0.1408404572401821,0.15042117930204574,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01751211254450995,0.023999520009599807,0.01828042166839315,0.029020088350046755,0.06092086700012825,0.10800196367206677,0.08931524975190208,0.09465215333648841,0.08985968065251952,0.06518233901677588,0.09281736398686277,0.1070703341332841,0.11733979333055755,0.08842412825343124,0.08586147681740126,0.09489712289177415,0.10372508343104536,0.0831331978570109,0.1833827056002257,0.2566539923954373,0.332505971057931,0.30763314747164006,0.28887583235409325,0.3111609875535605,0.25875270634208164,0.28123966030660635,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10396554284865588,0.10365763364430625,0.23432923257176333,0.14405070584845864,0.09122700319294512,0.20697811945594324,0.12972038051311616,0.07395355716609969,0.19388516032811334,0.0911438553850828,0.09185548071034905,0.09508716323296355,0.10045203415369162,0.10442046641141664,0.0869414014953921,0.19992729916394036,0.24691358024691357,0.32751091703056767,0.37601052829479226,0.4592422502870264,0.387044204522306,0.4834102395078005,0.5376344086021506,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.00406838135379458,0.0,0.009987937644536983,0.003665017408832692,0.01044837458119432,0.025968168492411146,0.016318190525516686,0.02039315081463354,0.03892593789476777,0.037420668183451085,0.031170173944775573,0.045507836603727016,0.050122994116331615,0.09172473330455695,0.12815036309269542,0.1393213603246264,0.13790144643294927,0.11660141620528028,0.10807624287679307,0.10123341000275415,0.11485980561068343,0.12543050299757644,0.10201097152966522,0.09788198444429387,0.10224701913709956,0.1021382047117526,0.1445688870746911,0.2031173346874489,0.23769563031939817,0.30557870545748417,0.31322892369210265,0.3305534240106587,0.29968289368226647,0.30025413075524765,0.3183816071227319,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.007341497078084163,0.0,0.0,0.009405947246073017,0.007918283316177053,0.0,0.03641752059473578,0.023448186022275778,0.02646587886567243,0.04040948275862069,0.031140416198432146,0.0459645802352305,0.04339630317742307,0.07006504151023214,0.11490050660677913,0.1497499936546613,0.14003345932213893,0.12690197444542592,0.1162747083755298,0.14668178680603491,0.11174144748151969,0.15176549782755033,0.15258507505056598,0.14911663306571868,0.12628472830028256,0.12428108679843988,0.15453562046051614,0.24650780608052586,0.35589805432592614,0.40335932091147164,0.46385085410998617,0.5178461214228726,0.5222589271669026,0.48435171385991055,0.4537064191695275,0.49260201339877474,F
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08137800081378001,0.11550678602367889,0.14259232853272494,0.16835016835016833,0.10553294135383687,0.0,0.07479431563201197,0.11208967173738991,0.09085402786190189,0.08058017727639001,0.07940289026520565,0.0,0.15050167224080266,0.0860733344809778,0.24079807361541108,0.23789294817332202,0.19234131841230984,0.4493170381020848,0.24280911468061261,0.4536082474226804,0.35413899955732625,0.23430178069353325,F
Idaho,0.0,0.0,0.0,0.04233401538135892,0.0,0.04616449949988459,0.0,0.04304407713498623,0.06318259770737432,0.05518763796909492,0.07252289003716798,0.04389044943820224,0.07005253940455342,0.10305736860185502,0.11261261261261261,0.07970244420828905,0.06901906651712536,0.0,0.04279722673970727,0.12564918746858772,0.1254390366281987,0.058386854616732,0.049941734642916596,0.07414730598121602,0.08025682182985554,0.11100539169045354,0.14083405054377593,0.0,0.03789026977872083,0.09216589861751152,0.08404067568703252,0.044326241134751775,0.0,0.17146123071061153,0.04836525440123815,0.12378594553418396,0.05902606984751599,0.07035175879396985,0.13561443772167744,0.13352620451763658,0.12189716312056738,F
