state,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01819410510994438,0.0,0.023715415019762844,0.05253407802693063,0.0574168173858123,0.06333304545585398,0.11698985113041444,0.13402872876664432,0.13748211329648438,0.1971164676728993,0.17588881520140712,0.23543800642103654,0.27757821174319114,0.3363266404331887,0.4999475579484669,0.5653486902170096,0.5242509460820053,0.6472491909385114,0.6093408365891251,0.6793326116979583,0.6179196704428425,0.6466998100319308,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13966480446927373,0.0,0.0,0.0,0.13290298082399848,0.1130156338293464,0.17344382347273077,0.3724759851009606,0.4760015866719556,0.35424046676390913,0.42202572347266887,0.6527947776417788,0.334518084883964,0.48500881834215165,0.41841004184100417,0.2860858257477243,0.49532195927352773,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010725010725010725,0.027238060650081716,0.04263407528467127,0.059079061685490875,0.046182266009852216,0.060510303560022856,0.06671008116393208,0.10015669676752337,0.10567401271496993,0.18525102449430214,0.19471264829275148,0.22735258251865326,0.30010762480337777,0.3418695861909855,0.3650548625307689,0.3843511122562913,0.38123102156615024,0.31688225695840333,0.43426766679826295,0.39146553288569724,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030337176042298693,0.0446508305054474,0.09437353945712745,0.10780702542449017,0.12543678881820625,0.17587373167981962,0.16391990076200602,0.23383397787570823,0.2960804586897265,0.2657218777679362,0.39407313997477933,0.3181336161187699,0.5279947200527995,0.5832865956253506,0.6487385639035209,0.6827880512091039,0.6000831798467114,0.5913809374016986,0.6565126050420168,0.614047191941493,M
California,0.0,0.0,0.0,0.001242779451387439,0.0012826695945737947,0.002644376337062785,0.0021969270482912026,0.0025066844919786097,0.0065014727249085545,0.00753316685964594,0.008274366582971924,0.0134348282199996,0.015805457398647506,0.018414171546422126,0.021650201118973554,0.02339280178123503,0.03267713850560342,0.04210701111387871,0.07028514335962985,0.08211475043685047,0.1027635701470155,0.1610620661769661,0.2007271625511286,0.2095914500320351,0.21204574834185158,0.24394292601600787,0.25652200507691836,0.26528544632648826,0.27619011085964174,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.015158788307521284,0.021946402009315028,0.021406655091216135,0.032206860061193034,0.04547211422595093,0.0537129045253122,0.05588715266134621,0.05550544647193506,0.0764348913698059,0.08812615955473099,0.08587786259541985,0.10300176574455562,0.17750565960074088,0.22814927481123365,0.2736512900703675,0.3297421757298388,0.4266482170140391,0.4271037746739005,0.4306980777569013,0.39069384877504254,0.41873691447142275,0.4257967311912482,0.42786468779248565,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018460402436773122,0.0,0.019222636576832878,0.04497505928530542,0.08195660613380494,0.054117434833588884,0.12931830777757253,0.16927634363097757,0.2709125475285171,0.3044068749121903,0.31724668333012884,0.3133568350959655,0.3672719853091206,0.3643660558694619,0.4907907797507444,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12152514051344372,0.07654623392529088,0.11093502377179082,0.08371002846140968,0.20884093282283328,0.3129890453834116,0.38167938931297707,0.43684710351377015,0.363901018922853,0.41361158112427143,0.4592422502870264,0.5703809329802404,0.5713030103274006,0.42075736325385693,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004624776469137325,0.009320026406741486,0.009135826906532878,0.014556263790144644,0.014671701376823344,0.025696449355321435,0.03126325897143878,0.023989706235142738,0.029763170202814743,0.04208844279895278,0.058729190666576316,0.08131455852635477,0.12390536309294577,0.12500956705870347,0.18762533458416888,0.2624023445819879,0.26517160390938704,0.3182272575808064,0.3482616431540868,0.3571801930515385,0.36898700406066576,0.33998271911040984,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006345338714180563,0.014870809839519177,0.01368550704803613,0.03125664203643274,0.03944384183019426,0.036837839829072426,0.057524019337861824,0.050861691683521996,0.053681987903658725,0.098777163720023,0.11634825147087988,0.14048692769137833,0.15424757456500743,0.23089253937673718,0.2558622558020529,0.31072060419547154,0.37784702464285175,0.44045933616485766,0.37581805222575,0.4450808218469129,0.4424461720345359,M
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09085402786190189,0.09669621273166801,0.19056693663649357,0.1027221366204417,0.18394648829431437,0.24100533654673784,0.48159614723082217,0.4248088360237893,0.3846826368246197,0.6290438533429188,0.6723944714232349,0.6391752577319587,0.619743249225321,0.8200562324273665,M
Idaho,0.0,0.0,0.0,0.0,0.05176429988784401,0.0,0.0,0.05863628748534093,0.10035122930255895,0.116773709233464,0.1498252039287498,0.1977261492832427,0.15248796147672553,0.21408182683158894,0.17995462013926922,0.26752273943285176,0.2576538344953016,0.28417818740399386,0.3277586351794268,0.4078014184397163,0.557919621749409,0.5143836921318345,0.6674405107370864,0.7427156732051038,0.6591244466305952,0.6030150753768844,0.5007302315877321,0.40057861355290975,0.6538120567375887,M
