state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011834039431019384,0.0,0.011980352222355337,0.0,0.0,0.022905834115949333,0.011792730960635864,0.026676367163817147,0.048999191513340035,0.04037549207630968,0.07724393635099645,0.10889009877887532,0.09367925264773999,0.1611477881166502,0.22600057814101387,0.24242424242424243,0.28755495341056764,0.25550483736686475,0.26196850620375967,0.251528179930391,0.18938842108330176,0.2665469543503269,0.20556431628745214,0.2047230472016378,0.19568873260969272,0.199203187250996,0.20852251706857702,0.14683774429255672,0.1615281972048599,0.1770648890740548,0.18291824961305755,0.14337431449155882,0.14930387070284798,0.10694763526895348,0.11317246675558788,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057195149851292613,0.0,0.0,0.0,0.0,0.06496881496881497,0.0,0.09355787222667736,0.2066685037200331,0.2219591595146493,0.11075949367088608,0.1671681711802073,0.3251754235837755,0.21299254526091588,0.3022222222222222,0.3681885125184094,0.2607561929595828,0.34194528875379937,0.2708978328173375,0.39904229848363926,0.3875968992248062,0.19142419601837674,0.28812908182865926,0.284792101765711,0.13185157280090412,0.09635767970707265,0.25485198980592044,0.25783419278064257,0.1250260470931444,0.1607717041800643,0.28559771521827826,0.167259042441982,0.0,0.22151119862170812,0.20806241872561768,0.24766097963676387,F
Arizona,0.0,0.0,0.0,0.015356265356265357,0.019686700227803246,0.0,0.0,0.012449889195986157,0.0,0.0,0.022209390130147024,0.015278505325650428,0.0,0.03472647791804551,0.03831803972975698,0.03976696558169129,0.04866180048661801,0.10215936861503946,0.10998187335790953,0.13370584713630015,0.13618869041744794,0.1597813113617988,0.10431557392883359,0.17559932814170104,0.16844053678852383,0.20556270556270553,0.19974577810059924,0.1705363011386851,0.21546481320590793,0.18814997263273125,0.18153091068006857,0.18107022030210135,0.1260035862559165,0.1295358865538341,0.1684100222675474,0.15657305739004757,0.10954260794080566,0.15729778955211524,0.18247026993015794,0.16688222287120866,0.17821867216353174,0.14185340337345126,0.13715799181781635,0.11843663639952626,0.10369947891011849,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357824427480916,0.05216902764958465,0.027383327465477447,0.05103843586824232,0.024459845087647775,0.08462026655383964,0.07273972016601771,0.08821842882978255,0.17188188629352139,0.20310271811935526,0.2136286349566203,0.1793761211007569,0.16870893269401527,0.22536187917136172,0.31255581353813183,0.2516627718856732,0.23807384781241578,0.2956724307857719,0.2254791431792559,0.2303739145844409,0.18886590520730281,0.2537832503054798,0.21651412262572584,0.18915510718789408,0.2067868504772004,0.18149818501814982,0.20751542344363433,0.24397005822012754,0.21052631578947367,0.19606678153407403,0.20132117017930165,0.11160714285714285,0.1172899130674762,F
California,0.0,0.005508471241845495,0.0072052666707117284,0.006659612410557705,0.004190046544433698,0.0068888145334304336,0.005638726775494094,0.006422018348623854,0.003014626970058725,0.012352032938754504,0.00955673609354358,0.017406488475799453,0.029017916566834383,0.025556292161556256,0.026091973007973612,0.026917538121963364,0.03309749479167847,0.0673285378138817,0.07065694132349584,0.07406965530269137,0.07644710783659815,0.09440423523314144,0.0928201677903033,0.09107620320855615,0.09554338178343877,0.10239526805518742,0.10956402647797306,0.10719277835106063,0.09257482190636396,0.08612166384788195,0.08688567554324914,0.09244384318367577,0.0886544975108545,0.08510360696959991,0.08037090384172921,0.08047245542811346,0.09305626221781861,0.0997371790551924,0.11912795581936621,0.12848126286516623,0.11870335081595346,0.1060935210779679,0.10474967122365968,0.10863683154781038,0.10783348464118726,F
Colorado,0.0,0.0246768870107036,0.0,0.014336095421051123,0.0,0.0,0.019340489314379653,0.018353254261396224,0.03207551492656998,0.02779514974636926,0.04828363184880326,0.027589378089435568,0.03808798324128738,0.05805374809511139,0.0804583688894307,0.08781772942381812,0.08592752626927232,0.23279749068810038,0.19098836478777675,0.20117137764196585,0.20713993453355156,0.23470031545741324,0.24506707763826077,0.2243409983174425,0.25212282662987895,0.22544802042835124,0.28874792533478844,0.19918535428136608,0.2168421523260233,0.18039270103378896,0.18529670635104462,0.17857142857142858,0.1383587786259542,0.1667647635864234,0.17750565960074088,0.13580313976859146,0.16474924606277225,0.1989823474231786,0.19891031739168036,0.1529493247143022,0.19656019656019655,0.18212795957934316,0.16249492203368646,0.15066653565228785,0.13036502206177294,F
Connecticut,0.0,0.01774685880599134,0.0,0.017185083347654236,0.0,0.0,0.0,0.0,0.0,0.026515039919865657,0.0,0.0,0.026701556700755653,0.04706743717804565,0.030929429352028456,0.035834037216207225,0.06393180607352157,0.09952174273629502,0.1049436991235783,0.1488529566283346,0.14399712005759885,0.24373895557857536,0.19669170992809465,0.23727074515839425,0.21927671412207494,0.2183261660602051,0.27381515786627003,0.2937720329024677,0.26416000548903906,0.23204340996715694,0.20675650729185896,0.23846474128468145,0.23451616623736113,0.21669801292010793,0.18548074019755856,0.2705871741679444,0.2032144836504711,0.21159542953872196,0.3041825095057034,0.3793377979674987,0.28840607575466254,0.2154328241284763,0.24994899000204038,0.23234936896023659,0.2702106540200728,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06460783046905284,0.10774410774410774,0.20511418022699304,0.24474517708033403,0.20633750921149593,0.20793108569731175,0.23693173404412854,0.17574692442882248,0.5041774704696053,0.48654401702904065,0.29568302779420463,0.2594407610262323,0.2514420943647389,0.3877703206562267,0.3493847789761507,0.26025719534598896,0.2377179080824089,0.1841620626151013,0.40027845457709715,0.24343592418709792,0.30897855325336243,0.24691358024691357,0.3457059679767103,0.3008084226358338,0.28702640642939153,0.387044204522306,0.15381234893430015,0.18700327255726976,F
Florida,0.0,0.00770267668014635,0.0,0.0,0.0,0.0,0.005814742310003295,0.005533983268923917,0.004461656523834169,0.007669103737409888,0.02196925931049073,0.011163918216324838,0.02458569266347565,0.02125710097122961,0.021593307467801595,0.0321185241879822,0.04185970613067323,0.07793096918449247,0.07197626252240077,0.09355167045862771,0.1132769736041844,0.14886461804270024,0.1357176456072979,0.14876364309058396,0.19805056114325656,0.20631742430586747,0.23060186320176512,0.2347472220291735,0.19876959354263343,0.22703080919735302,0.19918725783118515,0.1870827841319784,0.1690671346330815,0.1829640170766416,0.16021383313608514,0.15655610066473552,0.1496713183832096,0.17385466782569778,0.17550286683081012,0.16499566465472973,0.16744418527157612,0.1838281796793969,0.12457748196675611,0.15012706537762383,0.13618092340057852,F
Georgia,0.0,0.0,0.0098173964264677,0.0,0.007910891715714196,0.0,0.00908787979764321,0.0,0.0,0.010278095909317829,0.0,0.006944347995166734,0.029561548487658056,0.03299284715073772,0.02664602656989506,0.027627084589109903,0.028658894027225948,0.08072093054030091,0.08890086206896552,0.09477517973435871,0.14735703663647423,0.1586677334924531,0.14673999259690126,0.1945474486864783,0.19036016142541687,0.2701530454179317,0.25504808589521877,0.2500531362914619,0.24652401143871414,0.23207839092315627,0.2007221100299859,0.18688714618596453,0.2075703532274804,0.2138087974192903,0.18509949097639983,0.20370604515249857,0.18884516138332685,0.17941968028001234,0.1896390837121098,0.2155717110447051,0.18214936247723132,0.14786849142677364,0.15389101276485453,0.12593372091017302,0.13255472360548848,F
