state,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012249797878335009,0.04037549207630968,0.030897574540398577,0.05444504938943766,0.08066824533555388,0.13255705151530905,0.16818647675610332,0.11857707509881424,0.12442281637957255,0.09760858955588092,0.08636324380343725,0.040946447895645055,0.06992803239998835,0.06733817794113521,0.05068709168731696,0.07785242640062282,0.07949854762268767,0.06531252041016262,0.0504489960649783,0.05244205153305598,0.059695203314839525,0.052077908551192584,0.03517658646404953,0.021506147173733826,0.022395580605427196,0.035649211756317835,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1740506329113924,0.21731862253426948,0.1882594557590279,0.1952431664891729,0.14222222222222222,0.20250368188512521,0.18625442354255914,0.0,0.15479876160990713,0.11971268954509177,0.0,0.0,0.0,0.09493070058857034,0.0,0.09635767970707265,0.27445598902176044,0.1388337961126537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015906786232676516,0.02230332522303325,0.02604062337246104,0.04073402716959612,0.05388146078627021,0.06908121977696635,0.10010395410618719,0.14295097168025345,0.1336081844556421,0.15363257751041184,0.1018876018876019,0.11621572544034864,0.10658518821167817,0.07819287576020852,0.09407498631636563,0.08572293004336572,0.08100509855620325,0.05977093194190912,0.07499446063643027,0.08794745607305253,0.1144187727081117,0.08680734968894033,0.08278831029058696,0.06711550158350636,0.04589261128958238,0.04079704543502534,0.037679810271072985,0.03310710147326602,0.0320765890248717,0.044072278536800354,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02567284241153566,0.08821842882978255,0.12340237990304098,0.08642668856142777,0.1656711862928892,0.14875092969331058,0.17314864144912093,0.14735199791973652,0.120557242364708,0.08987956138774043,0.05839547210493217,0.08063793566884687,0.0721533258173619,0.057593478646110224,0.05845849446892706,0.023498449102359244,0.07381163271331562,0.05779739386296763,0.0848356309650053,0.02749972500274997,0.028042624789680313,0.0,0.0,0.0,0.031456432840515886,0.0,0.0,F
California,0.0,0.0017645761341077864,0.0014054023666975855,0.0,0.0021297553443548173,0.005313684508838429,0.008617532369605963,0.008748199889638094,0.011334758490300847,0.014113542290882419,0.023071654309712926,0.04821984271383263,0.05105024986403702,0.06108509338615035,0.0755193672850101,0.09525401069518716,0.09639139996494858,0.08649191579593489,0.0835996347865784,0.07574956336808285,0.0795917676146178,0.061191708523495064,0.07577570391640742,0.07496970209407852,0.061092041553954216,0.0699806663582773,0.06839406326923622,0.061750292328511557,0.06293013416169028,0.06065098726329267,0.06059687926071808,0.047711874804040516,0.05353979027900571,0.03716881860894794,0.04281738385784629,0.04028107237166003,0.0358024217781017,F
Colorado,0.0,0.0,0.0,0.0,0.016663492668063228,0.012094530853148206,0.014628794343532855,0.02439381372883837,0.022095649612098596,0.03920799843168006,0.08795516799437086,0.12987012987012986,0.1304214402618658,0.11356466876971609,0.20717010686945755,0.18288668341095857,0.19028137858858787,0.17253675032781982,0.16824682263601845,0.10518777136206973,0.11624527753560013,0.09713453132588634,0.10191318849307454,0.09972170686456401,0.059637404580152674,0.06866784382970374,0.07460382794813747,0.07061763267966756,0.061431922260694743,0.05400949430057705,0.05188964801522097,0.03174419946900612,0.037577684636508166,0.04406321602726044,0.03437392581481829,0.049130392060528646,0.036769621607166736,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013319126265316995,0.016586957122715837,0.02836316192529143,0.04961765220944487,0.08099838003239936,0.08835537139723355,0.11285589913907071,0.10260356547390022,0.12763868433971526,0.09593119417796891,0.14535866405246434,0.1451579456694546,0.08576623554838932,0.10709695844638013,0.11076241462063872,0.10219917483629205,0.10380223751489755,0.14310246136233543,0.07332959496182546,0.09470551095878056,0.10160724182523555,0.0752339305026567,0.07604562737642585,0.0749309230553084,0.07690828686791001,0.07344300822561692,0.0612119975515201,0.06336800971642816,0.0661740377192015,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10316875460574797,0.19307886529036092,0.11846586702206427,0.0,0.14405070584845864,0.24327200851452033,0.11827321111768185,0.10089362928797925,0.1183256914657595,0.10439970171513796,0.19747835333434605,0.13778322106552357,0.07923930269413629,0.11719403984597354,0.0,0.12171796209354896,0.10905125408942204,0.15194681861348527,0.0,0.0,0.0,0.1018537380321858,0.10986596352450011,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0069655830541295455,0.003416864275317256,0.004256919267526092,0.006554941333275067,0.023502453068539028,0.03891749491078913,0.037252159104731786,0.05553498704183636,0.08251015954534588,0.11484861565024358,0.12271368102209623,0.09973277706298392,0.11338563373375828,0.10656288368429588,0.085402905210333,0.0833686905905034,0.11267892322567043,0.10062786116189747,0.08132343184882403,0.1001407994699314,0.11673872263684595,0.10381260151030591,0.08078849571820973,0.08176333387842223,0.06389667481704252,0.06145246693773097,0.05914695101632789,0.05312465743028443,0.054012614559013135,0.04341023577184303,0.04789811788572073,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00753465943339361,0.0,0.0,0.014816810344827586,0.04467972758905482,0.0567797755846965,0.058313782394662256,0.08064089683253133,0.10445500600616284,0.11421609685525014,0.09913873226346118,0.10450750836682135,0.09752072315367015,0.09614436446109852,0.09086667157837865,0.10036105501499296,0.08752942289722389,0.09543464516205996,0.08502338142989323,0.07007337872677993,0.054789901799637546,0.07496143810635875,0.07353265585246409,0.06170795581108335,0.0416276407534603,0.05268783212151319,0.04876514078968067,0.04373744573316918,0.0379526282195042,0.028660480779565078,F
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06391137622496805,0.06967831842991523,0.09667673716012085,0.09272751357795735,0.27126000271260003,0.23101357204735778,0.14259232853272494,0.15304560759106214,0.15076134479119555,0.17472335468841002,0.23934181002243832,0.1921537229783827,0.24227740763173833,0.3706688154713941,0.2540892488486581,0.2739256976545112,0.28428093645484953,0.24100533654673784,0.1719986240110079,0.22090059473237042,0.24479804161566704,0.17972681524083392,0.16809861785580874,0.16494845360824742,0.11066843736166444,0.25773195876288657,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.045326806273229985,0.04389044943820224,0.09632224168126095,0.04294057025077293,0.12127512127512127,0.19482819695359546,0.2329393494952981,0.25538435345194516,0.25678336043824357,0.1926620874518345,0.21742766348887776,0.25022937692885144,0.1914433161311803,0.1400560224089636,0.15248796147672553,0.10307643514113542,0.0625929113527893,0.04586104104563173,0.04546832373446499,0.1228878648233487,0.050424405412219514,0.07978723404255318,0.05673758865248227,0.0,0.0,0.0,0.0,0.05025125628140704,0.0,0.0,0.0,F
