state,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007129819758156514,0.0,0.0,0.0,0.008590204303692357,0.0,0.0,0.011572902049850276,0.007091695624423799,0.007143163278426218,0.0,0.013281192355935957,0.021080845040731204,0.013721394703541645,0.01096319498825372,0.013029952603547406,0.01789694613019215,0.014096419509444602,0.009395493921115433,0.015590591078284255,0.017945445844632316,0.02171552660152009,0.02285104924401112,0.02159106522464522,0.023709962495150234,0.020368903474029646,0.0368171567950665,0.031169827606876546,0.05603469278370608,0.08282526170481996,0.09571438826541599,0.17338139343888306,0.17247944806576618,0.25044229487856995,0.41863510921932734,0.39968781779911544,0.5045937068596182,0.615370050413008,0.6360219716681121,0.6493350904516593,0.7042587498814379,0.7173601147776184,0.7169526078292141,0.7688860586334583,0.6499333090820905,0.6271896513707523,0.7545170081760372,0.5278335650651423,0.5651914650903528,0.6583569699966171,0.6783802048136404,0.5755131001497911,0.6086956521739131,0.6248790333729644,0.6287141503746447,0.4318162190171863,0.47965838963469914,0.434136534483261,0.42366936954630907,0.3350979950439288,0.2912257432023298,0.27518728023238037,0.24492195153810983,0.21524904987724078,0.21326434290109428,0.26336119109488026,0.2430302399055654,0.28141269171239625,0.14337431449155882,0.14557127393527677,0.11090865879743327,0.12125621438098702,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13175230566534915,0.20570840833119053,0.27737578388808487,0.3660489590482727,0.2734107997265892,0.24236548715462916,0.3455336575377528,0.4016064257028112,0.36382536382536385,0.4578754578754579,0.40096230954290296,0.3306696059520529,0.3551346552234389,0.39556962025316456,0.2841858910063524,0.2738319356494951,0.3372381966631168,0.4088888888888889,0.4786450662739323,0.4097597317936301,0.17097264437689969,0.38699690402476783,0.3192338387869114,0.25193798449612403,0.36370597243491576,0.32654629273914715,0.2278336814125688,0.18835938971557734,0.2505299672383889,0.15683199372672024,0.15866719555731854,0.14586372160866848,0.12057877813504825,0.12239902080783352,0.14635166213673428,0.13227513227513227,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029007127465605836,0.0195160031225605,0.0,0.02539636469179697,0.028061313971026694,0.02667111185197533,0.0,0.0,0.030566499116967804,0.027901785714285712,0.018705574261129815,0.0,0.0,0.0,0.01857562135453431,0.04395753026306891,0.0,0.03447206039504981,0.020369364475828353,0.02937049244525667,0.020028707814534166,0.029579964504042593,0.02842165098212594,0.06756756756756757,0.11530781561999044,0.1309208975936739,0.1537143433121661,0.20666816065337015,0.22636124301847796,0.37061674427444646,0.3331408519522054,0.3972411384669111,0.3893657106970902,0.4494014789394125,0.4517495210245034,0.4414133179567733,0.45012165450121655,0.41664997395937664,0.3706796472433247,0.3951307124326482,0.34935359715780123,0.34651368729064796,0.3689680485260596,0.33974652618720413,0.42387783433595555,0.38967538967538967,0.3341202106410024,0.39614161618673727,0.3058210251954822,0.248015873015873,0.27061552425454666,0.25095697199764927,0.22939114420948903,0.15510217995261713,0.1478265751015138,0.1425216291627356,0.13847839117045244,0.1283218809504098,0.09228381467732126,0.12098961158162626,0.10521343296401271,0.05319502626504422,0.05675503109702746,0.05921831819976313,0.05962720037331812,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01150483202945237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013748728242637554,0.0,0.0,0.0,0.0,0.014460897732531236,0.0,0.014855750661080906,0.016901027582477014,0.0,0.0,0.0,0.0,0.0,0.029108903685914927,0.0,0.0,0.0386981927943965,0.04378806576171331,0.0,0.0657030223390276,0.056071771867991026,0.07962991051114819,0.15791406536907823,0.21378318498075952,0.24574741773221212,0.336322869955157,0.39217208977246254,0.501204444789805,0.5411642990728582,0.5446882951653944,0.6982623700790561,0.8058522082697649,0.7459463703820031,0.7908683245006116,0.6304209858261053,0.6888879380428736,0.6395836090159235,0.7933010136624064,0.6265934920703513,0.6844835854732528,0.6125038281489259,0.6393180607352157,0.6760856375140851,0.5447401321664583,0.5662412367427647,0.44470397987602195,0.5241465818475047,0.4419391206313416,0.354421407052986,0.33276373774620016,0.2772816994078391,0.26080110225371517,0.15237494745691468,0.2226935312831389,0.14849851501484984,0.21873247335950646,0.13307457721097865,0.15362731152204837,0.11882835244489336,0.09436929852154766,0.12473739495798318,0.05519525320822409,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.009502632229127467,0.0,0.0,0.009082102203923468,0.0,0.0,0.007565784496194411,0.007569449701006736,0.00777000777000777,0.007414437392490658,0.0,0.0,0.0,0.012514469855770736,0.0,0.0,0.0,0.01548190403601329,0.009296488251562972,0.0,0.009454208540931996,0.004578614816397546,0.0074729783895052205,0.0032917042469568195,0.035358446248847694,0.023851168707266657,0.021542438604049977,0.024683739586547362,0.03020726833348824,0.027622401767833715,0.023356401384083045,0.02797281042826373,0.022377898222284594,0.03490645071209159,0.037079436392566834,0.030584157406463454,0.04563441617283709,0.044915618085141516,0.04758220878555314,0.039144336127717005,0.04025116728385123,0.03684943570398036,0.03462409462671483,0.039454886201289924,0.02996532103296185,0.0319321052482189,0.027863909806667333,0.03324337366624368,0.029013639864741175,0.026076325744106583,0.023326862010324016,0.0293399728605251,0.03201051652169459,0.0365573642551129,0.05392112809535869,0.07475782399647458,0.07015654389903525,0.10988360477420214,0.1483974817820268,0.21584952204748692,0.2737915112101021,0.3207951070336391,0.37170350540824076,0.4117344312918168,0.4261179975827079,0.4788165798184199,0.4597609349625962,0.5235244404184147,0.5366807659071269,0.49236663481424653,0.44364244731037517,0.42248079054346394,0.42081736141986803,0.3827760710273312,0.3712045806696561,0.33557135717326747,0.37842068406815965,0.3495432263814617,0.3954591453107421,0.3911666643416151,0.33639580004565167,0.34587536481275566,0.305384016166725,0.28556130644297695,0.26008728449503754,0.23533722273893068,0.21140687867972993,0.1992669821727218,0.1534926673369495,0.14682117378108864,0.131550759178427,0.12130197452658534,0.11052044456074149,0.11246370489523835,0.08805886559046992,0.08877212988156499,0.07837110438266508,0.06713512061943337,0.07416215939749639,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017441657655143543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01620614212786646,0.0,0.03207098377742738,0.020953378732320588,0.012862398065495332,0.0,0.013534363749560132,0.0,0.01893760060600322,0.026909751421171246,0.016426295213377573,0.0,0.018551728402696185,0.03229405202278199,0.024426735061524835,0.0,0.02873746727121783,0.015855398763278898,0.01881408547866169,0.030846108763379503,0.06441978272964188,0.07454769618946583,0.1679820819112628,0.2098450180770106,0.2345034329368533,0.3028286953130377,0.41010836941828765,0.4678850207305492,0.4115604809969421,0.5035061501321991,0.5617977528089888,0.6168210735105585,0.6192856272095575,0.7074205981363126,0.5376608072277326,0.5415604783375809,0.5729650943633303,0.5449452508276038,0.4270662847790508,0.46435331230283916,0.48255476112276086,0.5218366699992685,0.5351663772804034,0.5544180910533943,0.511561285041948,0.46774987690792713,0.42474236022623124,0.3792872175582229,0.40533654514291007,0.3177179962894249,0.26240458015267176,0.262409260349225,0.210948754887837,0.14666739095007875,0.17033396626828995,0.1336024332698485,0.1556689440456629,0.13274847050675284,0.11851423616129497,0.0734386933787674,0.08437236336364488,0.07860862729684583,0.08356732183446985,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04538313841857218,0.0479440464775227,0.05601385069762705,0.04430414797585424,0.03150327920497179,0.03696332101222633,0.03969409087300537,0.05881055649489083,0.08560218761146118,0.08394210263623576,0.08320742735772624,0.09663703131039815,0.08439836026042923,0.09010300411606906,0.09752727716033079,0.09108389839085113,0.09772782799902273,0.1026371462684066,0.1155878467635403,0.11365984707584212,0.1040199371546213,0.09314371393520833,0.1168001525553013,0.07063695043234686,0.11094496165163283,0.08159738888355572,0.12975778546712802,0.10917371097039832,0.14059048001606747,0.14668258570697595,0.20551046710090912,0.23780790800028395,0.2331894751496589,0.3746348169788623,0.4371548777281094,0.337126000842815,0.5052737952377945,0.6634630289877539,0.683143065338839,0.701175500103114,0.751237835069148,0.864698474884567,0.7423032762810071,0.8733624454148471,0.8763338316408062,0.8318615782333819,0.727224294086308,0.6911232134464932,0.7175879967098733,0.6100052536337633,0.6479870402591948,0.5179452806044726,0.6061974010898655,0.5579068872643325,0.5563737522500409,0.6053589149851141,0.5442498816848084,0.5564387917329093,0.5248893615561425,0.4212480365557618,0.42458925604578174,0.4087966993451682,0.32294029449079237,0.2821162809714613,0.22430229047146616,0.2390186705150176,0.14779235174579716,0.14106361969248132,0.15684410646387834,0.12176274996487614,0.10574889444337629,0.09792401096748923,0.08161599673536013,0.06864867719279717,0.0661740377192015,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053659583601631256,0.0,0.06188118811881188,0.0,0.10476689366160294,0.0,0.0,0.06387735547748323,0.07629427792915532,0.0,0.0,0.08964015879113843,0.0,0.10178117048346055,0.07348438456827924,0.0,0.12070006035003018,0.14985014985014986,0.14932802389248384,0.1011804384485666,0.10364484366902746,0.36148537627341437,0.3201536737634065,0.5808477237048666,0.5792365958710828,0.7901013714967203,0.9724473257698543,0.9750975097509751,1.1298606016140866,1.281128544695552,1.124235093211897,1.091644204851752,1.069449813168406,1.2840702604482133,1.039943275821319,0.9387954157522557,0.8528233621914976,0.9966329966329966,0.8751538356351704,0.7054419809962569,0.6927044952100221,0.8614287836031487,0.5479046349770472,0.5711775043936731,0.864304235090752,0.5777710202219857,0.48787699586043765,0.33150763908907466,0.3697677858304984,0.41759880686055184,0.3038128512836093,0.3061849357011635,0.1901743264659271,0.21764607399966515,0.15663069961712495,0.12171796209354896,0.10905125408942204,0.11396011396011395,0.09097525473071325,0.18800526414739613,0.0,0.16296598085149724,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014959182801213831,0.0,0.009655119144170238,0.009501729314735282,0.0,0.0,0.010926232322916993,0.015850600881869792,0.012233247247519369,0.03231310102367904,0.01546882436934793,0.029186592128600614,0.0261230176439215,0.026372420777247985,0.0330742516950554,0.022770555601556677,0.030586845546977177,0.044952959938350225,0.028252271047941934,0.031330138432796854,0.05055733442472976,0.033490033614070776,0.04153635652853792,0.04292990822281783,0.03274287024000524,0.025250861822892653,0.03302743636320744,0.046161882432974165,0.05732164608660346,0.061949252184027206,0.09499967905513833,0.11973853014845134,0.16259579402938681,0.19223676416349067,0.2822239656033174,0.34791541488186384,0.40582543972108726,0.4800742419645566,0.4933790071067028,0.5825922098633838,0.590890242735479,0.6077275905252887,0.7080813633864761,0.706310121688736,0.6594548051362303,0.6080299687116434,0.6256327339203648,0.5317430006756955,0.5493354089330619,0.5002432794063982,0.4381093422189313,0.500458818176911,0.45399889005364746,0.5126014523707817,0.5123676256747189,0.47805834763422406,0.4332012880209419,0.422479858518373,0.34761766523004545,0.3104122594668469,0.2699944725541052,0.24967720304463514,0.24018733105945952,0.17631572591358113,0.18836963983724864,0.16667942274493797,0.15836266772241778,0.1414246402617208,0.1565775184988762,0.14745084971676106,0.1357630134329491,0.15419730285395686,0.11666500863682816,0.12115406288741123,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011069468823631735,0.0,0.0,0.0,0.00628638243836202,0.0,0.0,0.005968225169199184,0.005919261276192731,0.0,0.006856986126031405,0.012346233276465834,0.015843376902619815,0.011652567060523433,0.018855472800980485,0.01882197936640512,0.01778747524576362,0.02171002641386547,0.020531648932958127,0.016817624870864665,0.028289270651167573,0.021695797795164548,0.026809273186493766,0.028146021559852512,0.0355565280417926,0.03646023230376582,0.02166524488497109,0.029536425797114293,0.035709849708110794,0.054280149430058426,0.06300446139699621,0.10035643838460741,0.09817396426467702,0.1404610427166818,0.2056831846085691,0.2904876580373269,0.3423101390445609,0.49832886694167594,0.5283877437993025,0.5990661615716677,0.5703529678168077,0.6263801891640394,0.6691659612206232,0.8380183176287381,0.8222202484424764,0.7471870604781997,0.7086562886732235,0.6814963807910651,0.6330818965517241,0.6295779796639543,0.5488711639853995,0.5397415207691995,0.5816720427264556,0.49877265367942764,0.5571207391050534,0.5750046471280749,0.5088520347860707,0.5388645087081004,0.4770239621339118,0.3892531741938653,0.3683985068233278,0.35484901174550226,0.3089696637121691,0.286328740403611,0.2829377933496397,0.2584959469521361,0.2508325044328158,0.23089253937673718,0.24231660696547364,0.21408500958922438,0.2032244953258366,0.17146452729274814,0.17332987753515194,0.13110907930374177,0.11464192311826031,F
