state,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022813341241958295,0.013439956992137625,0.011488178664154585,0.0140324617615417,0.0,0.023801589946208405,0.011834039431019384,0.026500915486171343,0.045525338444950283,0.054538556388124826,0.0819840131174421,0.1786655061044048,0.17924951060166514,0.18673457014672,0.26704559374770315,0.434036539820329,0.47891240537617796,0.49778330870343,0.4970204793255094,0.4678484171128554,0.528210653562137,0.5691699604743082,0.41474272126524175,0.5253638790801826,0.44045254339753004,0.35681904594776404,0.37586317414993736,0.30021604332089447,0.34636179319666593,0.25374124160202993,0.23849564286806296,0.23185944745607734,0.16480005381226248,0.14334160752368633,0.14748226701313294,0.1180432593827032,0.10552975939214859,0.10394637800638015,0.08958232242170878,0.10694763526895348,0.04446061193969524,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779787897691828,0.0878348704435661,0.06428387760349705,0.0723589001447178,0.09151223976206818,0.0683526999316473,0.1817741153659719,0.1791656002047607,0.09370816599732262,0.18191268191268192,0.20931449502878074,0.18711574445335472,0.2617801047120419,0.2959455460195324,0.25316455696202533,0.3510531594784353,0.308060927605682,0.21299254526091588,0.4622222222222222,0.5154639175257731,0.33525796237660643,0.3609422492401216,0.29024767801857587,0.3192338387869114,0.25193798449612403,0.2679938744257274,0.24971187091817135,0.2278336814125688,0.1695234507440196,0.15417228753131623,0.17643599294256027,0.1190003966679889,0.1250260470931444,0.12057877813504825,0.0,0.12544428183148654,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023366825783623195,0.0,0.0,0.0214987714987715,0.047810557696093596,0.04451310518184912,0.05039814534825119,0.049799556783944626,0.07135300051669415,0.09502993442934524,0.0777328654555146,0.13750654793085385,0.1402553904123927,0.1715896555950484,0.2278914994453968,0.2823454556300081,0.3669910786699108,0.36256560233964985,0.4643679097333958,0.5188585112751946,0.4835685384387644,0.45624302159935315,0.504191940656029,0.5229806077263705,0.46274872744099954,0.4862004862004862,0.4848374795714545,0.4192350736326009,0.38053866203301473,0.3780103995621237,0.37650855548458667,0.3780237932622818,0.36024102224447924,0.36815462494247586,0.3405624894743736,0.31314611478009513,0.23975363247421616,0.20490106796920274,0.18037291050567336,0.15853811172764823,0.16104096882246843,0.13520402509032073,0.11114526923167876,0.11596920647453611,0.09851450496461256,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03033520400424693,0.0,0.027208768997551213,0.0,0.0,0.019414459889725868,0.0,0.02387489554733198,0.027830788804071246,0.06420803403025803,0.08606188632007199,0.13741117349142162,0.1916021198532409,0.24116775967844298,0.2995164948012494,0.38816108685104317,0.4892022917584839,0.44509744609135304,0.43597680603391903,0.4200026250164064,0.47948854555141185,0.4550576406344804,0.482228969458832,0.45838576307747614,0.4536878986613961,0.4031896783442344,0.3697857948139797,0.27024632287790185,0.34625415954672184,0.2537832503054798,0.24603877571105207,0.22068095838587645,0.14316012725344643,0.17049829501704983,0.17386427369601795,0.09980593290823399,0.1934566145092461,0.15447685817836138,0.05033029254482541,0.08534663865546219,0.1172899130674762,F
California,0.0017872781540991224,0.002072402847481512,0.0016932679054614663,0.001881198549219679,0.0028524973614399408,0.0034144550956474234,0.002464541410457049,0.003676440551956275,0.01101694248369099,0.011376736848492204,0.015539095624634647,0.04399548871655382,0.04100484841327639,0.04166392561892858,0.05168195718654434,0.06240277828021561,0.08087640614660686,0.07336200354161397,0.09255831173639394,0.1056891089636078,0.1452407099082504,0.17235064739211928,0.2121999255281445,0.2180807533533883,0.2313695457521708,0.26964995974476985,0.3203885425676818,0.34478158702143596,0.34297561091704326,0.34107292424720925,0.3709893048128342,0.3838695634967747,0.40483796716097264,0.4020200867381876,0.41733721704679605,0.3660656829651038,0.346469720019604,0.3868549094679748,0.3940136974718863,0.3787706576345161,0.36650891363911325,0.3753793979431352,0.3468527058452564,0.2798382561658142,0.24799514792101895,0.2134662792138932,0.18948430279318945,0.18668479505179622,0.17862684671290516,0.15100773771294002,0.12369137374731967,0.13255420444035274,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02159227613436565,0.03220989136482094,0.028672190842102246,0.07199232081911262,0.06573458397593103,0.05318634561454405,0.07111886026291037,0.061859921644099244,0.10191554907002061,0.10576414595452141,0.11495574203931487,0.1832984193486955,0.14271546406714886,0.22674631232475922,0.2732107137629897,0.3559854659726996,0.3112134875514605,0.3266906239790918,0.4074357015533486,0.4807692307692308,0.39873817034700315,0.41686667845683534,0.4023507035041089,0.39483386057131986,0.30136419057259195,0.33422003956073937,0.32003938946331856,0.250374443922831,0.2867781401049978,0.24551813591513408,0.25510204081632654,0.2695610687022901,0.31636256621542086,0.2958427660012348,0.2607420283556956,0.19825756729587848,0.14781545808578983,0.15278618582259507,0.13852014313748123,0.1329671917907212,0.13512719581693203,0.10624667979125652,0.10481150306246109,0.08022462896109105,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017402199638034247,0.0,0.016434393899552983,0.03241596161950144,0.015789806101181077,0.03410323980778174,0.018217148409035707,0.06186842647968653,0.0313015764612145,0.05596753882748006,0.0774345144321914,0.08890515911408624,0.12114026496211146,0.1433361488648289,0.22642514651038892,0.24051087827937964,0.3091584649856766,0.4115346447959839,0.5399892002159957,0.5270854914386691,0.44819914229516655,0.5739386943696294,0.5694648993618066,0.5425074429374793,0.5374890135893449,0.45966682795327296,0.5180280627122714,0.43552763101527914,0.39505261214694487,0.4201521632158674,0.407519895428857,0.2984708479842996,0.4097830306690247,0.3156850365292685,0.3371513024200998,0.21159542953872196,0.30893536121673004,0.21074322109305485,0.23553162853297444,0.2056404230317274,0.15302999387880023,0.16898135924380842,0.14889158486820336,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07197351374694112,0.0,0.0,0.11596443757247778,0.10902483343428225,0.08272276057669581,0.2682272616435016,0.2067450575009691,0.2828282828282828,0.45125119649938467,0.48949035416066805,0.604274134119381,0.7871676815683946,0.5034799348437732,0.4833040421792618,0.6194180351483722,0.5473620191576707,0.517445298639858,0.5188815220524646,0.5176749001626979,0.5219985085756897,0.5316724897463163,0.4898958971218616,0.6339144215530903,0.3515821195379206,0.3654716324399582,0.3825421665797253,0.30897855325336243,0.2279202279202279,0.21834061135371177,0.18800526414739613,0.1722158438576349,0.0,0.1977587343441002,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006321352263676246,0.006418897233455292,0.00855275215346081,0.005977786545198044,0.027941390140042245,0.012226308979205087,0.01453685577500824,0.020291271986054363,0.019631288704870346,0.02385943384971965,0.02685131693504422,0.04944020924372429,0.04840308243121768,0.05644126809602345,0.09891127936863955,0.1640094852152283,0.19368982667243717,0.25782769244215265,0.2886395017479949,0.38318764219853907,0.4538681425617322,0.5052141182278169,0.522821384782659,0.548036011592773,0.6026950409692827,0.6159069972820914,0.5807183133120863,0.6092617045428221,0.5638103299726408,0.5404077622205846,0.5379509883032008,0.5236900661876214,0.4872272276556737,0.5112451341359656,0.43797148354789106,0.367530097282454,0.3359100611441352,0.32791400218609335,0.2785895022023054,0.2550698285223628,0.19993335554815062,0.2006931502921856,0.1899153221591107,0.17364094308737213,0.16529546564484016,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009914897132942246,0.01423960508828555,0.015051173991571343,0.01211717306352428,0.013549727499924724,0.020955887856062987,0.013214694740551494,0.028305358204308073,0.023610783183566894,0.0550919767269991,0.05278855544118036,0.06978721244496326,0.1506931886678722,0.211033674200482,0.283184903862695,0.3609913793103448,0.4115950662749292,0.49073948898201974,0.46244185573441465,0.49706520014806194,0.44915652582650023,0.4543262519353283,0.46595204163826753,0.41180934844545086,0.46759936486503384,0.3993688985307169,0.3892531741938653,0.3488158619423536,0.3583975018629573,0.3268636596800554,0.33009077496311484,0.2935149071197197,0.28237872465967045,0.22055961596678633,0.20295013015280086,0.14448692092351223,0.15015684700355322,0.16408496289271252,0.13843007708038382,0.10043413464653664,0.11040764572946676,0.08956400243614086,F
