state,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013721394703541645,0.009397024275646045,0.014658696678990831,0.034166897157639556,0.037003101212292076,0.04885656838980025,0.037027653810925105,0.07178178337852927,0.06712071858651664,0.10854248390905281,0.13739768779319686,0.12286071474759669,0.16068801629512278,0.13346219338211607,0.14146306375428586,0.22170248014422841,0.22776946968825493,0.3397860783422268,0.2851667655244787,0.29343906099500483,0.2182753946189371,0.18476074652696572,0.13717096705531776,0.14995001666111296,0.15857612837565974,0.12286788089043077,0.07667425422307415,0.07825097220904866,0.05237867504725468,0.05955516870146826,0.03537819288190759,0.024251242876197406,0.05144915108900703,0.02018774603815484,0.015448787270199289,0.028518835394467344,0.013011007312186108,0.012995789364245985,0.013139568496570574,0.013175230566534914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08701705534284719,0.0,0.0,0.1141552511415525,0.0,0.0,0.0,0.18321729571271528,0.13961605584642234,0.1801506714706846,0.0,0.10247401551749377,0.1285677552069941,0.0964785335262904,0.057195149851292613,0.0,0.0,0.10238034297414896,0.0,0.07796257796257797,0.13082155939298795,0.06682705159048383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017538321231891682,0.020003333888981498,0.026652452025586353,0.01657879903179814,0.02717022143730471,0.0244140625,0.03367003367003367,0.031586844079440915,0.03941974140649637,0.047166103293766214,0.0482966155217892,0.04395753026306891,0.04017274279401426,0.06204970871108966,0.05771319934818034,0.06853114903893222,0.05340988750542444,0.0755932426214422,0.11052864270826755,0.171990171990172,0.08999634389852912,0.1073551360268126,0.0932365688942647,0.06722940165832524,0.059050759048298596,0.0760239475434762,0.07329098742948519,0.08294045748210233,0.052334100900146535,0.03268374392286637,0.0463849954623374,0.041755313860775856,0.024330900243309004,0.024037498497656344,0.018330312226318254,0.013969267611255238,0.01578999309187802,0.011550456243021598,0.0,0.011452130096197893,0.014807959278111986,0.0,0.0,0.010658518821167818,0.008688097306689836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014661896662952319,0.020798050925513265,0.020281233098972416,0.02909090909090909,0.04921818801347821,0.057948618891249755,0.07890287431899305,0.08413505505359037,0.12007422770439909,0.11219436706901888,0.15783451051572425,0.15866259045702566,0.15126786354046415,0.15669572903692394,0.2512174383551055,0.3804870233899391,0.27301683603822235,0.2130003672420125,0.17102654798460762,0.16511154628883,0.10437606308953146,0.12036965131630038,0.12432978475406015,0.09549958218932791,0.08746819338422392,0.06822103615714917,0.07041427062551343,0.035334301754936986,0.028536485935589072,0.05500317325999577,0.0,0.022054607207445637,0.0,0.03024934099649972,0.02179884030169595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.007493022123147818,0.0037974983979303634,0.004182544846175295,0.008747093893147342,0.009515570934256055,0.01718329783450486,0.010620019495321502,0.011390526021840415,0.01043984131441202,0.01733102253032929,0.013038404620810599,0.020145975758776708,0.017155490242410313,0.017849817274238955,0.024150700370310738,0.024358101567037865,0.0327525219441897,0.028636610952549137,0.03265883303592472,0.035480116942465445,0.03893802780675307,0.043609586960018584,0.052500872136198314,0.048427462096197936,0.059445874155341846,0.06519993969005579,0.05761892973905027,0.06695337498408317,0.05310414130603508,0.06570819267058554,0.12590255445664705,0.1442916022287503,0.11522627997192669,0.08791439499806457,0.07800238706100163,0.07125382262996942,0.0569764497341099,0.047937651643261525,0.04722151952103887,0.04558842219852238,0.038069376780342355,0.031376041861712625,0.033752001780956685,0.026693225304280338,0.03037715275400627,0.026376128215747474,0.02018769752099881,0.022370030124973902,0.0230880527023283,0.020890573062796004,0.019223111672548022,0.01893939393939394,0.014698981812836734,0.012555278099409903,0.010556950467929696,0.013720675628935763,0.011007372116915225,0.009348733246645079,0.00883100308800237,0.010428116456695133,0.008808619944988749,0.007709734429301735,0.0059884202862464896,0.0055838030297058324,0.004016817074150443,0.008760698160253386,0.005508807205519824,0.006134383903376638,0.003170119161256917,0.0032477608493255484,0.0042052787717527604,0.004475674707962226,0.002983535148175142,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.02728182121313165,0.03279274982113046,0.0,0.022478855826238445,0.035134185562552364,0.02701023687977744,0.024418699297284095,0.03474356575887966,0.026191723415400735,0.012862398065495332,0.03957574798163686,0.05143058224832851,0.03983383599840665,0.03471893444433923,0.04036462713175687,0.07556095798153684,0.07713073659853452,0.05565518520808855,0.09394633315718397,0.09465359836340875,0.0736494924589324,0.0862124018136535,0.08561915332170604,0.05957793734909536,0.08945371541380055,0.1317677374015402,0.11468876336840898,0.09865614334470989,0.11377139534295756,0.08461464075041099,0.06882470348023584,0.04811327238985497,0.050957774535010304,0.0436851907203458,0.03678583745258075,0.047609979051609214,0.03386468638881498,0.02438132390588809,0.02195443235595453,0.03682608268683099,0.02940599882376005,0.0,0.0,0.017900981996726677,0.0,0.0,0.0,0.0,0.016103430030596517,0.01591523997908283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015169574168382273,0.0,0.011918382913806255,0.014614541468761417,0.03135401090154841,0.021599308822117694,0.024329584775086503,0.053027231042764904,0.026779139050679523,0.044345898004434586,0.01741614127973806,0.05678994817917229,0.14617847695948769,0.19934696683278913,0.1939258480147252,0.10048948102045446,0.05052737952377944,0.07750736319950395,0.048579062424095217,0.04713784874642784,0.05691195720220818,0.047572408003358053,0.042722490721209046,0.0496822947990482,0.04639414402804268,0.035834037216207225,0.034629728289824184,0.013822464268929864,0.031199478117820572,0.01459342712042496,0.0,0.024373895557857534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09052504526252263,0.0,0.0,0.0,0.0,0.18074268813670719,0.09604610212902193,0.12558869701726844,0.19307886529036092,0.0,0.08840430234271401,0.10501050105010501,0.07336757153338225,0.0,0.08538494378824535,0.08086253369272238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007857928650007858,0.005442295342483645,0.0,0.00930213328923433,0.012420303055394552,0.00843775049571784,0.010703085699607196,0.018472638762115877,0.010443379477598951,0.01324120663504827,0.01860557423003932,0.023211493354182957,0.026686159165535406,0.04147430230400664,0.07136113123860967,0.0530798084408691,0.052235814332049706,0.07045785664811675,0.056892170373086214,0.07317542846139033,0.09652391716048628,0.1602046794113076,0.1542364735730332,0.12022537162885003,0.08915938208671718,0.08762140175796201,0.07763282351471454,0.06987405627417898,0.05939836776540086,0.05900928200057414,0.0491713853269513,0.05204324720542423,0.035524473576060686,0.046469354144314676,0.027669975238919595,0.03277470666637534,0.03819148623637592,0.029188121183091845,0.02280744434983579,0.024682216463038382,0.019278074660127546,0.01464512548560153,0.008543357539513028,0.011419783633166097,0.008427310615346899,0.010038532520984394,0.009069335066584035,0.008932359706125366,0.007269607950043255,0.004251881457544964,0.007133634372703861,0.01054113678630857,0.006440757110998398,0.007534785593489945,0.0042520260904320905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007921688451309907,0.00699154023631406,0.0,0.0058818685520016,0.0059291584152545386,0.006030562892740408,0.012077440548798899,0.013213848112822238,0.020574015019030965,0.020339810432966766,0.02539825880825726,0.03799712910580089,0.06154014468771796,0.0820355226834731,0.09207729076112714,0.11666888189860146,0.13197118370388772,0.13570037357514608,0.1549569185709907,0.14361352389521403,0.20452909221807708,0.27100718830042136,0.23732675147142587,0.23780854906682725,0.18024294931992366,0.15657462888801904,0.14369751672728906,0.14536164214606642,0.09057714625378584,0.09999861113040097,0.07793499146746215,0.06862512207353445,0.05075433632360965,0.05148683946152301,0.03777763303588875,0.042345406185075894,0.030980603448275863,0.027078622781245343,0.016222793024199,0.021698151588711537,0.017185764898736185,0.015668250900924427,0.010152541942688902,0.012392341532932647,0.012441370043669207,0.013752922496030405,0.009860960457548565,0.009823423954419312,0.011015237745548008,0.00827981027406172,0.007157598387154496,0.0,0.0,0.0,0.0,0.0,0.007525360464766262,0.007433507277403624,0.0,0.0,0.0,0.0,0.0,F
