state,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1940,1942,1943,1944,1945,1946,1947,1948,1950,1951,1958,1959,1960,1962,1963,1965,1968,1969,1970,1971,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01711596063329054,0.0,0.0,0.0,0.0,0.0,0.009883766901241401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011980352222355337,0.0,0.0,0.04581166823189867,0.0778320243401967,0.06062810719049351,0.07839870642134404,0.1514080952861613,0.22658221329625627,0.18666874076378626,0.20817611699497773,0.20793262982793576,0.2496518014348409,0.24242424242424243,0.284790001935466,0.3129216547526771,0.37999827273512393,0.34804480711298297,0.4428775385332595,0.47978451783058834,0.5040549673349853,0.5507338312044059,0.5442592875707079,0.45392201685063027,0.46749403020213226,0.3705904975002622,0.2774071212866072,0.295108148456758,0.3412128887012804,0.250905050360228,0.2724795640326975,0.30499881169294146,0.22634493351117577,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12028869286287089,0.0,0.0,0.11075949367088608,0.13373453694416582,0.20537395173712134,0.08874689385871495,0.2311111111111111,0.14727540500736377,0.20487986589681506,0.28495440729483285,0.2515479876160991,0.3391859537110934,0.3682170542635659,0.5934150076569679,0.5186323472915867,0.4556673628251376,0.43322659634582783,0.4432453266525342,0.3724759851009606,0.29750099166997224,0.37507814127943323,0.20096463022508038,0.24479804161566704,0.2508885636629731,0.24250440917107582,0.39379768643859214,0.18205461638491546,0.1651073197578426,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02584852762809934,0.0527169505271695,0.0821281198669925,0.054990936678954765,0.1117541408900419,0.1421099378269022,0.154006083240288,0.13329212224239848,0.1240647427088105,0.15733456732993986,0.201987701987702,0.14708552751044127,0.23448741406569198,0.2380538662033015,0.21038587848932677,0.25044542306787243,0.2795470067821916,0.2988546597095456,0.2965690034258833,0.31062292996014296,0.2609550956500793,0.26455573238534197,0.2235284377845848,0.22232009899536484,0.21486086194668114,0.1889547367516963,0.19726488906620562,0.18918343699009152,0.17518752467429927,0.1503642444196718,M
Arkansas,0.0,0.0,0.0,0.0325079915479222,0.04326756663205261,0.02463357556349304,0.0,0.0,0.0,0.0,0.01575299306868305,0.01918281220026856,0.0,0.0,0.0,0.015453084435653356,0.0,0.0,0.0,0.0,0.0,0.0,0.01635858007524947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027383327465477447,0.04711240233991598,0.15083571137382798,0.15231647979691135,0.1668734756749818,0.2117242291914781,0.18069634200088144,0.23767339354392636,0.252866547499673,0.26687666797917486,0.35073699165334754,0.2773684666724452,0.48669405250937664,0.4314218946611541,0.5570029646931992,0.5286264671624405,0.6133032694475761,0.6158071947545631,0.7015019336271248,0.7942475796597425,0.6889085719909458,0.48339638503572935,0.6415694591728526,0.5444945550544494,0.5552439708356702,0.42140282783476574,0.42674253200568996,0.3148951339789674,0.3774771940861906,0.31512605042016806,0.2897750793431765,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002650129856362962,0.0,0.0,0.0027622401767833714,0.0,0.0,0.0016184424756990861,0.0,0.0,0.0,0.0,0.0017872781540991224,0.0024178033220617645,0.0016932679054614663,0.00263367796890755,0.0,0.0,0.0,0.0035411600840435323,0.0,0.0036997846725320585,0.001745852726847374,0.0036084266603683217,0.0015663129931928037,0.0030581039755351682,0.00241170157604698,0.002058672156459084,0.003654046153413722,0.001657760807218996,0.003460852434576578,0.005060651913179456,0.006702525176360194,0.015701897237811964,0.023576297659825763,0.03030941049353438,0.03148319494346243,0.04871695449438761,0.04489343581008281,0.05341640200866827,0.04393854096582405,0.04957664884135472,0.06020929088719662,0.07226260061660367,0.07047477744807121,0.095473034584678,0.1154362870722648,0.11105161917226883,0.13075581991590607,0.1344381499957724,0.16366984155850062,0.18444056980867995,0.16357842781904885,0.13302589570769777,0.14728329271884957,0.13107352247456028,0.1005357315007368,0.10701091920334801,0.10461393232147825,0.1021240355954589,0.11583631525828057,0.1139262652935839,0.1236035989958273,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268194562964769,0.04878762745767674,0.05401158794068546,0.0588119976475201,0.09298117759404921,0.07130124777183601,0.09973404255319149,0.12113564668769716,0.08084687097344685,0.13411690116803626,0.1474680684061556,0.16103430030596516,0.1841620626151013,0.25066022111812364,0.2570809022421926,0.2890908670413284,0.3011071478204475,0.29916512059369205,0.3435114503816794,0.37031587208161665,0.3344309528709611,0.301482970286273,0.2624818496593321,0.23309360698143777,0.24791720718383348,0.23086690522913542,0.27749674808498337,0.2467540097526585,0.21249335958251303,0.22599980347843174,0.19721887952934883,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025526845732762288,0.026268168816764928,0.02699946001079978,0.04570105417098288,0.04514235965562828,0.03206361421059382,0.049091801669121256,0.056235527621567985,0.07436954905009803,0.08640353908896108,0.13722597687742288,0.09995716121662145,0.16983570241831272,0.10976948408342481,0.15378109261466302,0.20852072941368877,0.18548074019755856,0.16235230450076665,0.1893589506743026,0.16457422297456153,0.12832699619771865,0.11707956727391937,0.13458950201884254,0.1664708186447317,0.1224239951030402,0.14257802186196333,0.132348075438403,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060960741282614,0.0,0.0,0.0,0.0,0.0,0.0,0.0888494002665482,0.0,0.14405070584845864,0.13684050478941767,0.16262566528681255,0.23061400980109542,0.13311640289897944,0.14914243102162564,0.2126689958985265,0.3368034292712799,0.31695721077654515,0.23438807969194708,0.2610511660285416,0.2608242044861763,0.2362777171937477,0.2279202279202279,0.20014556040756915,0.1504042113179169,0.2296211251435132,0.26481971888368305,0.17578554163920018,0.11687704534829359,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004875908137890682,0.011617338536078669,0.019865623248455096,0.023306458073866904,0.030846969652457475,0.04715004191114837,0.03801240724972631,0.04396519807478712,0.05397860904835713,0.04778935684775236,0.06058017164381965,0.0669960639812411,0.0972971316499142,0.1320453123914101,0.13906313768762185,0.15780502147488146,0.20209510101120245,0.2466091245376079,0.24468365898374245,0.28837538493972725,0.24716405413456352,0.23190395659963497,0.22535738279290085,0.18246133454974223,0.16868722151699225,0.1793065131196808,0.17994001999333556,0.156844226698935,0.15942433006934523,0.16007524440867119,0.13430256583643263,M
