state,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.007622997057523136,0.014095536413469067,0.0,0.013015960821957925,0.0,0.01127459270533852,0.00974411942392766,0.0,0.01579311025565097,0.0,0.009814120556656918,0.025865413631072982,0.020368903474029646,0.032215012195683186,0.04795358093365622,0.048725819811918335,0.06672034970666053,0.035892895599531,0.05931468722909157,0.06943977779271107,0.055143257587942,0.05379110341924318,0.05439538348745358,0.06664445184938354,0.06390381292750467,0.0674568757829816,0.06708997244518988,0.052167314806032435,0.12069868597845643,0.07787983599422774,0.09434184768508691,0.10913059294288831,0.07349878727001004,0.09841526193600483,0.10041711725629539,0.1244458271758575,0.12230346873454943,0.14035452513385663,0.13402359866501984,0.21080368906455862,0.19907650620731607,0.16650877041885567,0.18136281198721824,0.17548477669562165,0.22143876926662975,0.24690665245082913,0.2337238116692949,0.28545889680228365,0.24155327931508946,0.2808438377636993,0.25560824672922344,0.28668321504737265,0.2563382259990168,0.2360865187654064,0.29548332629801605,0.2688268396716728,0.3844574670598335,0.3842192822625366,0.34355927407946324,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11005943209333038,0.14300306435137897,0.0,0.14657383657017223,0.12216404886561956,0.0,0.09357454772301933,0.10247401551749377,0.15428130624839292,0.120598166907863,0.0,0.10252904989747096,0.09694619486185167,0.07678525723061172,0.09370816599732262,0.07796257796257797,0.0,0.0,0.0,0.11837821840781297,0.0,0.1170177198261451,0.11980147184665411,0.0,0.08888888888888889,0.1840942562592047,0.1490035388340473,0.1899696048632219,0.15479876160990713,0.19952114924181963,0.29069767441860467,0.17228177641653905,0.09604302727621974,0.18986140117714068,0.3390469014880392,0.2505299672383889,0.2940599882376005,0.31733439111463707,0.10418837257762034,0.12057877813504825,0.30599755201958384,0.2508885636629731,0.37477954144620806,0.3691853310361802,0.3641092327698309,0.13758943313153552,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017236030197524906,0.020369364475828353,0.02284371634631074,0.04673365156724639,0.08216656806678499,0.047369418303543236,0.03992628992628993,0.03374862896194842,0.047131523133722604,0.04031851627860095,0.04232962326635293,0.04674851757990306,0.01900598688586905,0.07107004841647048,0.028374367033350792,0.04396064475612309,0.038811945908403804,0.03630130079661188,0.033801920744437594,0.03852392538523926,0.054084371619726776,0.04277072852807593,0.039912193175014966,0.04342248100266456,0.0596773572556116,0.05408955685198779,0.06871278057718735,0.08329477093937991,0.051837551837551836,0.1107681133103323,0.08526815056934255,0.07471763683753258,0.08723316912972086,0.0874037718089219,0.08735843961943486,0.12438815566289195,0.13294472567367183,0.15344024251043206,0.1886906076239035,0.21081784924456937,0.1283218809504098,0.18037291050567336,0.15019400058408777,0.15889375590483554,0.1462863222288716,0.20810178068910068,0.16038294512435847,0.21517641873849583,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03095017022593624,0.027621039340251747,0.08126620486823265,0.03980733251064846,0.08437462332757444,0.042513720337017856,0.052066645305991664,0.06825420900955559,0.12118986412045538,0.07385237299335329,0.07679606804131628,0.0889129426318231,0.10095519142657451,0.07770611547128758,0.08356213441566193,0.13915394402035625,0.1043380552991693,0.10170950201463051,0.0863727376231793,0.06930289441500204,0.11423735984768353,0.06846091309742844,0.11468395747871732,0.11458792419568092,0.16853204269478417,0.1307930418101757,0.11375071094194339,0.11987213638785296,0.13435035104446563,0.13841757456688694,0.15279525435915872,0.15721857874404815,0.19263506854224532,0.13979706877113868,0.13733829523303206,0.15289144707257846,0.22558511138264875,0.20175179608306268,0.20491803278688525,0.2067868504772004,0.2749972500274997,0.20751542344363433,0.17743276961463822,0.1991465149359886,0.17230111104509535,0.27681660899653976,0.17725840336134455,0.33117151924934457,M
California,0.0022658194659787205,0.0018789281341304166,0.0015481218186096627,0.0028105501808120617,0.002807359023787689,0.0028636610952549138,0.004040268004444295,0.0039028128636711987,0.0032150665161539234,0.007506568247216315,0.005181007118703781,0.011175568176045678,0.015425828103601366,0.022412479268456676,0.028169254539091245,0.036968121156855736,0.049019207359417,0.04524815662944514,0.05005764213336569,0.05623672702248729,0.05097889962394332,0.03969269326405154,0.045423076802591306,0.03761467889908257,0.03677844903471644,0.03999705903977649,0.03035669112066785,0.031221161869291088,0.02928413598487874,0.027327520331169062,0.02393758991557212,0.02714185093964639,0.026523334867303985,0.0333172145883126,0.028118578689962627,0.031815153955518434,0.0343755451345777,0.037021268718878994,0.041192382155460054,0.05041221033868093,0.04918505452756908,0.05552222981739046,0.06134444190824013,0.05859871883191315,0.07422920171150524,0.0762063407075008,0.08232773846557048,0.09075279727177926,0.10257780000454639,0.1129772622139985,0.1273327260865043,0.12809901068148674,0.13690651527729428,0.1428667699979783,0.14288468689317044,0.14109082977766266,0.15357466158977953,0.1346016440887144,0.15024314157262134,0.1668206027513193,0.1662255296840436,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017614937466971993,0.015266709413453025,0.025617214768324313,0.04789577878536305,0.04122403678452513,0.05957793734909536,0.04626916314506925,0.06149161078738544,0.06881325802104539,0.058660409556314,0.04045205167749602,0.0725268349289237,0.055059762784188664,0.06644213806218068,0.048641512056146204,0.04138597015611707,0.06437521554201632,0.06189297276709198,0.060472654265741034,0.06826770693648665,0.05122700883056057,0.07365216537366198,0.0563614977455401,0.05779911039630086,0.08912655971479501,0.06393207855973813,0.10094637223974764,0.07832040625552664,0.08290862981296789,0.07611255143543515,0.07821666014861164,0.10003865129709205,0.1074258090506244,0.07600652761943084,0.136450889243507,0.11812665029879094,0.1507421150278293,0.18368320610687022,0.17902687855601335,0.18779584276600123,0.2091368352436308,0.20663464760415506,0.23309360698143777,0.221972383176223,0.18180768786794413,0.2283566989449342,0.17037776863874038,0.18749414080809976,0.3177098686580852,0.19721887952934883,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03070100631076241,0.020899369535685674,0.03904308937318095,0.0,0.0,0.0,0.0,0.0,0.0,0.021253339810541658,0.0,0.0,0.0,0.0,0.026148576210025365,0.0,0.012797870434359723,0.0,0.0,0.022690529540233147,0.0,0.020999580008399833,0.0,0.0,0.03206361421059382,0.019636720667648502,0.0,0.027043472381853832,0.038017557199142876,0.027445195375484583,0.04997858060831072,0.04799704633561012,0.049207010106362845,0.05382338241513206,0.04497505928530542,0.07332959496182546,0.0631370073058537,0.09237021984112322,0.09874453378473692,0.09505703422053231,0.07961410574626517,0.09613535858488752,0.1419898159028594,0.13772699449092024,0.1637006917674394,0.11029006286533583,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07367025195226168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06734006734006734,0.0,0.0,0.0,0.0,0.0,0.0,0.08643042350907519,0.0,0.08870490833826139,0.07206687806284232,0.0,0.1342281879194631,0.07595321282090232,0.1224739742804654,0.17432646592709986,0.11719403984597354,0.19143752175426382,0.12171796209354896,0.14540167211922936,0.17094017094017094,0.12736535662299855,0.13160368490317728,0.2296211251435132,0.2037074760643716,0.1977587343441002,0.23375409069658717,M
Florida,0.0,0.0,0.0,0.0,0.0,0.006519754857217368,0.0069622529850659675,0.008426222404121627,0.0,0.008551602814698984,0.005801338949029436,0.008731432064001397,0.009880772017653647,0.010615961688173818,0.019436582077041752,0.0298550240034393,0.03287103177111648,0.04493228063418705,0.04642922597593011,0.04901784967062396,0.03800029059045745,0.03667892693761526,0.03682670129668753,0.03504856070318481,0.032123926971606015,0.028120047037169593,0.0463795474332582,0.03030206373002456,0.03611023609947986,0.035184167124793844,0.03134512374358296,0.0321185241879822,0.034055354140208736,0.037144667555225386,0.03819148623637592,0.029188121183091845,0.04181364797469894,0.05784894483524621,0.060918715926003036,0.06320527841154344,0.0706768669177896,0.06471210725460788,0.07507967639127237,0.09343557192608551,0.08993757274362502,0.0759250575020656,0.10177451130060555,0.11125756480575989,0.1333989627695622,0.1279995181194612,0.17792591519133075,0.16911407665388545,0.16838023318111078,0.22979800153198668,0.19083806878690035,0.1809901423508515,0.19493502165944684,0.19900665323090674,0.19514234937449906,0.20438986009242763,0.18407904128629926,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010940470166705414,0.007812906922235532,0.00812446683186416,0.01624503418841286,0.027946838901999754,0.035122449631214275,0.03746211218199775,0.03460566840848531,0.04417828391910466,0.028092208543336362,0.044300993607999495,0.040638169777242626,0.04846869225409712,0.06172653638854596,0.05238971964015746,0.04404898246850498,0.059441252229046955,0.03333287037680032,0.0577793902258771,0.0448702721250033,0.0520231947316999,0.06027727546714888,0.06122581905816453,0.05293175773134486,0.07677801724137931,0.06905048809217564,0.0784101662836285,0.07051899266331249,0.09386071598540532,0.12142894448216432,0.1319830452549557,0.13755499101555238,0.15427298854149818,0.1550329445007064,0.17379942806429347,0.17190991920233797,0.1676763967933419,0.16914469559868944,0.22904314838894388,0.2375653304658781,0.2816156541283797,0.22056447647546396,0.2825469590162753,0.2956012765269056,0.3326209325426688,0.27206636635297266,0.2995679597766036,0.29573698285354727,0.3434199442752543,0.3674504459433816,0.3367606491598897,M
