state,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009624083306065097,0.0,0.0,0.0,0.0,0.0,0.00921574048474795,0.012391914963925759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008571795934111462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014096419509444602,0.015032790273784692,0.0,0.029909076407720527,0.057250024676734776,0.07617016414670374,0.06673601978526704,0.05819718066991421,0.083738825393233,0.08053753048920796,0.07193037140048433,0.09014276665204891,0.08742666513286552,0.1005001076786868,0.11406670620979148,0.11647962726519276,0.09650070077889851,0.11693718134618084,0.11825083366837737,0.08568572380635027,0.09940593122056283,0.09395779126915293,0.08386246555648735,0.07350848904486389,0.08653868051285556,0.08475158622901253,0.06603929337956084,0.09215472292955014,0.048999191513340035,0.07065711113354194,0.05922035120243061,0.09592699178139016,0.08847484972286555,0.09356968342257108,0.0709536698814811,0.057971014492753624,0.06359388392733707,0.06602933999368416,0.048939171488614444,0.052645433008686494,0.046618688266658895,0.06172666311270728,0.05913494030186978,0.04613477120036908,0.033634000917290935,0.03265626020508131,0.03363266404331887,0.03496136768870398,0.03160334293138563,0.02083116342047703,0.04572956240326439,0.035843578622889706,0.09331491918927998,0.051493305870236865,0.036376864314296105,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10442046641141664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11392116655274549,0.06059137178865729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029084986330056427,0.0,0.0,0.0,0.0,0.0,0.021331968087375742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02759381898454746,0.0,0.022290745625441172,0.02028809089064719,0.04352047136018212,0.03102485435554483,0.04752851711026616,0.026107104395783703,0.023366825783623195,0.032866627226714,0.05052737952377944,0.03992628992628993,0.03937340045560649,0.03927626927810217,0.022679165406713032,0.027389756231169543,0.04182762099254484,0.02375748360733631,0.028872207169191134,0.01746114894360049,0.02512036843207034,0.01838460595661233,0.03025108399717657,0.011930089674507387,0.010137875101378752,0.018028123873242256,0.0,0.015964877270005985,0.0,0.017325684364532398,0.015454159100567941,0.009543441746831577,0.02036094400740398,0.02323752323752324,0.025422189940076268,0.010658518821167818,0.013900955690703735,0.02223590585659551,0.008404208827780951,0.0238250289871186,0.012923444744196566,0.010226517359513217,0.014969779757115323,0.010036734448079973,0.012401049955562904,0.014487954300852719,0.0,0.0,0.012883277505797475,0.01551521599397123,0.01182396481188072,0.017272009474930912,0.023332382754776657,F
Arkansas,0.0,0.0,0.0,0.0,0.02463357556349304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015561780267662622,0.0,0.014195270135990687,0.0,0.0,0.0,0.023608569910877647,0.0,0.0,0.0,0.012109762890842597,0.0,0.015144248971453089,0.0,0.013283034907815737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0174667404151262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04508735675371032,0.06950287156600943,0.058217807371829855,0.0773754255648406,0.06707966696918281,0.061917108471034404,0.07563393177023207,0.07232110570934952,0.0657030223390276,0.08410765780198655,0.08721371151220991,0.06610356224752112,0.08551327399230381,0.08447567484544792,0.08504716251739601,0.09318940747068417,0.10101795011267385,0.04774979109466396,0.0715648854961832,0.07223403828404029,0.06259046277823417,0.06281653645322131,0.040766408479412965,0.0676962132430717,0.038509263617303495,0.061752900180847774,0.06170118995152049,0.05185601313685666,0.0828355931464446,0.03500021875136719,0.07103534008169064,0.039004940625812605,0.0669762457581711,0.049433758763257236,0.06737939089030635,0.04031896783442344,0.06764374295377677,0.04430267588162325,0.035974458134724344,0.04699689820471849,0.04920775514221041,0.031525851197982346,0.03181336161187699,0.03849961500384996,0.0,0.044358192403659555,0.028449502133712664,0.04753134097795734,0.04403900597672224,0.07878151260504201,0.05519525320822409,F
California,0.0,0.0,0.0,0.0,0.0,0.013966480446927373,0.0,0.014880583318866101,0.010325458450355197,0.015204211566603948,0.010967317394165389,0.0,0.0,0.007637785653183429,0.01079414032382421,0.007565784496194411,0.0,0.009324009324009324,0.01779464974197758,0.0,0.007898395046126628,0.016354032086610952,0.020336013515627444,0.012198841110094541,0.017473607571896612,0.01563843928375948,0.01548190403601329,0.020917098566016687,0.008455676401264123,0.02079925879005039,0.01755135679619059,0.019022126809649653,0.014483498686610006,0.017047822298551566,0.016960831080722955,0.015454358128992375,0.009493745994825909,0.017659633794962357,0.015192320972308543,0.01643598615916955,0.009590677861118993,0.009482160263679913,0.009185908082129367,0.010799835842495194,0.008155775308390253,0.007171122541445829,0.0052841903629578255,0.010034343349334335,0.005949939091412985,0.008050233456770247,0.009993067309553997,0.006550504388837941,0.009863721550322481,0.013130871014443957,0.008160426896767053,0.012145806838803709,0.012868402709513681,0.03384924650886471,0.031833436622675564,0.03198037533673454,0.039527463437096316,0.03926623359994537,0.03203903833594164,0.03717289891422456,0.037772374229797685,0.03868090528487349,0.03958769599609303,0.03771041889990328,0.03411603387984595,0.038531299632542974,0.03149847094801223,0.02924188160956963,0.02411587383280641,0.02698372544059364,0.0254189990440246,0.02076511460745947,0.026315389948533174,0.020346951428236303,0.017047774143910132,0.013601710188361016,0.015039020473891105,0.008411540633749505,0.011433570952764439,0.011287492432249392,0.011370818249369977,0.010435403479383213,0.014204545454545454,0.013002945449817109,0.008928197759580375,0.012268888381648026,0.010290506721701821,0.010442891495534958,0.01048191303411721,0.009115874155357286,0.01268284433922381,0.011650110249823828,0.010675016902110096,0.010400940497164956,0.007554557040190243,0.006694695123584072,0.010782397735696475,0.0068860090068997805,0.010564772278037543,0.012328241182665787,0.014073630347077377,0.01223353824509894,0.014240783161697988,0.011507921285818406,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0274830978947947,0.0,0.028815675727595812,0.0,0.024133603629693984,0.01957943376277558,0.020929989186172254,0.0,0.02081382037673015,0.02014910336490026,0.02534292140526499,0.02425050774500591,0.014905795373241115,0.0,0.0,0.01891840761060512,0.0,0.0,0.0,0.0,0.012862398065495332,0.0,0.0,0.0,0.0,0.02354603249352484,0.0,0.0,0.03710345680539237,0.029358229111619984,0.042746786357668466,0.03522367030644593,0.044702726866338846,0.03805295703186935,0.05644225643598507,0.05243838489774515,0.05563526690287254,0.028672190842102246,0.06665955631399317,0.04298030490733952,0.06043902910743642,0.050471449218839615,0.036657731344651404,0.048641512056146204,0.045984411284574526,0.05058052649729854,0.049990478004189674,0.04595921724196318,0.0536389125929538,0.034151339220373715,0.03437101050770893,0.024504999019800036,0.027643052798230847,0.025464731347084286,0.03580196399345335,0.02523659305993691,0.027791111897122356,0.019507912897168914,0.019028137858858787,0.018403920034967446,0.02728326853557056,0.02461841457410143,0.03129680549035387,0.02775272323596753,0.025478297123268635,0.032467532467532464,0.03816793893129771,0.0,0.03344309528709611,0.013580313976859146,0.022338880822070813,0.017055629779129593,0.04035861512294964,0.017315017892185154,0.01734354675531146,0.04112566829210975,0.02812412112121496,0.026202875765615273,0.036769621607166736,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027561496589264795,0.0,0.022561904224716565,0.012730420613097057,0.016614055490945343,0.014319672365896267,0.028433323855558714,0.023816454523803224,0.012252199269768924,0.0,0.0,0.0,0.0150324270927286,0.0,0.0,0.016254546193388463,0.01619269304726242,0.014251974916524147,0.010473178190653736,0.0,0.014465798718743542,0.019503738216491495,0.022717979008587397,0.02383676582761251,0.029229082937522834,0.05788432781824321,0.06959777287126812,0.10002162629757785,0.08421971989145013,0.14059048001606747,0.09892546477912331,0.10101361942248074,0.0780861787463619,0.10093275790059864,0.13404365011170305,0.13476202997633446,0.12642225031605564,0.07579106928566917,0.10541001395132536,0.11233908185572018,0.10606015967946263,0.0939047293836435,0.06995942353435007,0.08277482577234253,0.06275658290406087,0.06959121604206403,0.0639893521717986,0.045285029302077784,0.0718768141984353,0.06523527242817029,0.06421107932986983,0.06599868002639947,0.08226189750776917,0.0548157224389772,0.038476337052712584,0.052364588447062675,0.04300363876943434,0.06760868095463457,0.038017557199142876,0.04116779306322687,0.04283878337855205,0.05168912682296474,0.049207010106362845,0.030756218522932605,0.04497505928530542,0.02156752792994867,0.03156850365292685,0.023092554960280804,0.0,0.0,0.0,0.0,0.03916960438699569,0.0,0.0,0.04411602514613434,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07543753771876886,0.0999000999000999,0.1327360212377634,0.15177065767284992,0.0,0.0821557673348669,0.0,0.10989010989010989,0.08911332244170504,0.08944543828264759,0.13260645351407102,0.09000900090009001,0.07336757153338225,0.14394702749388225,0.14230823964707556,0.1078167115902965,0.10307950006442469,0.06056935190793458,0.0,0.060960741282614,0.11629409484429512,0.09427609427609428,0.1093942294543963,0.0,0.07369196757553427,0.0742611020347542,0.0,0.0,0.07202535292422932,0.0760225026607876,0.0,0.0,0.0,0.0,0.07595321282090232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02171269758554803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01903637851935048,0.0,0.0,0.0,0.009983693300941794,0.014048012986607562,0.0,0.006796248470844094,0.009047668286630131,0.005949547834364588,0.00673536741429245,0.008707672547973834,0.005274484155449597,0.00826856292376385,0.0,0.005273594059823651,0.008562468559685756,0.006519754857217368,0.012764130472620941,0.019259936923706575,0.017365202614703364,0.018324863174354965,0.03132723032475895,0.051297163376008204,0.057088904990887736,0.05190025714218312,0.06438367813020081,0.06687525376770402,0.06953487490043869,0.04493228063418705,0.05986926507422567,0.09564458472316871,0.06258871391369464,0.06520698122242713,0.06008567053670072,0.053495171599597865,0.04818589045740903,0.05794433934931915,0.04393851862098146,0.06379381837899907,0.041488356369615155,0.04324720542422576,0.03761414849229955,0.03006840562279185,0.030507921417270323,0.028404745777525293,0.03011251799406563,0.033678601365105976,0.02584843692981389,0.02699617425644823,0.02313368959215305,0.026207066658444845,0.027183410352996,0.017510334904188015,0.01915297867124295,0.015443896186129836,0.018894448055383407,0.020097809338782073,0.01744705908010381,0.024093994926088127,0.015693995619948494,0.018823458546979588,0.013686608860871596,0.008371983992766606,0.012756078271296272,0.012049333413662223,0.015335201956090205,0.007576331540268203,0.009996667777407531,0.019394716204707015,0.01742342405129456,0.016278838414441138,0.016905218077313197,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009093719877052908,0.008875949726620747,0.0,0.0,0.009058381267267539,0.009134783733995098,0.0,0.0,0.0,0.0,0.0,0.00637137468780264,0.006181921588506571,0.005968225169199184,0.008286965786669823,0.00686412465250369,0.0,0.012346233276465834,0.0,0.0,0.008249269350428962,0.0058818685520016,0.008300821781356355,0.010855013206932735,0.008454208384159228,0.0060062945967373806,0.015430511264273222,0.017627835708571196,0.009877100647655599,0.023924118325874637,0.03829164558346895,0.05989895307047242,0.0988476797876806,0.09747020513047716,0.07141969941622159,0.09738497397745777,0.0817355174879951,0.09170502128248607,0.1063551279534001,0.11732628273981659,0.11866337573571294,0.11137868753762793,0.10299597103995638,0.087320466110626,0.08981094795455566,0.08516136610577629,0.09906875371507827,0.1069429591255677,0.07256016446970613,0.06862512207353445,0.08501351334204617,0.06781193490054249,0.08597668208167784,0.07278116688059919,0.078125,0.06092690125780203,0.07976206570231176,0.07865579950907932,0.06213315001850774,0.058755940878466605,0.0710677935988223,0.06691864427783631,0.04603306916157607,0.045009564532463145,0.04190908194458141,0.04666126378349174,0.05874793464292271,0.04731320156606697,0.042945590322926976,0.037510315336717594,0.03305348053149997,0.023882777707534313,0.02450662399630959,0.013235878053443536,0.021071009301345537,0.026760626198653048,0.021075132848605276,0.028315243039169418,0.02915829715544612,0.02587679196784377,0.030451760828287894,F
