state,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007158503586410297,0.0,0.010031096398836392,0.01591274031854413,0.02978512162257996,0.02000085717959341,0.011744843279747487,0.020659632553678153,0.030115492915330288,0.0396395846991203,0.042286609240407204,0.04397609003697249,0.039047882465873776,0.03347899633493093,0.043219272037130996,0.06236236431313702,0.045860583825171476,0.051327608330865665,0.051414860799025026,0.052996251005947355,0.03017631590291848,0.02715853796537286,0.0368171567950665,0.01918143237346249,0.026799200896555082,0.03220982399631888,0.014357158239812401,0.031938677738741615,0.02687991398427525,0.0137858143969855,0.016371205388465315,0.018920133386940378,0.014280953967725043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10289830217801406,0.11454753722794961,0.0,0.09257544899092761,0.0,0.12220670391061453,0.08652015919709292,0.10233668770254137,0.10714285714285715,0.0,0.12202562538133008,0.0,0.12518255789693303,0.2102446483180428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982640026203734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04071898086207899,0.0,0.03295073864572464,0.03611784737629637,0.02342139778902005,0.05800981704596163,0.07252869149707751,0.06215813028344107,0.0663544106167057,0.07355915995439333,0.09070130247070349,0.09119927040583675,0.11335222537089515,0.11660447761194029,0.11936735302894659,0.13245482950686047,0.08719308035714286,0.08978675645342313,0.09081217672839263,0.12220119836013876,0.09433220658753243,0.09287810677267154,0.09129640900791236,0.09373639985269995,0.08273294494811954,0.07129277566539924,0.06853114903893222,0.06342424141269151,0.07230657989877079,0.05052737952377944,0.03992628992628993,0.04499817194926456,0.034039433374355214,0.04031851627860095,0.014939867035183388,0.022144034643111977,0.01663023852513542,0.015546573091102918,0.0,0.014653548252041031,0.012256403971074888,0.0,0.0,0.0,0.0,0.0,0.01197365795250449,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017668290466695272,0.0,0.0,0.0,0.030441400304414005,0.03294802449136487,0.030247202133802623,0.037063435495367066,0.0,0.037820382276787017,0.04366685103781549,0.034706154558074964,0.06157996598439975,0.06536530290875597,0.04732287723093564,0.07636363636363637,0.10222239048953168,0.10817075526366622,0.09768927296637234,0.07316091743790468,0.08732671105774478,0.07350665428659857,0.0591879414433966,0.0386981927943965,0.03184586600851877,0.0,0.03478395300301461,0.028035885933995513,0.01895950250265433,0.0,0.031095735997201383,0.023038820412394884,0.02706046080098964,0.023297351867671044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0081344272201176,0.005284797750790078,0.014181312811397995,0.01526204938799182,0.022418935168515664,0.013825157837218643,0.018310623950296128,0.026501298563629618,0.02435232190023041,0.023259677687323475,0.019518542615484708,0.03176576203300877,0.03416955017301038,0.03876232302202259,0.04892794696058835,0.05842237540234277,0.05831911354947405,0.07951880925680498,0.08246790922662703,0.07827206975131279,0.09645917155166553,0.12275663809652054,0.12818448658088008,0.16582246066791162,0.15877174923421483,0.14572853129186117,0.13130871014443957,0.1422752689392864,0.13253218638812284,0.1311862165108756,0.11432755708606344,0.08364743452979644,0.09105000978223245,0.07742492838194125,0.06743548813903662,0.06448883357362611,0.04493427341279892,0.04878931671348867,0.03564710879194224,0.02848834197849685,0.020601062176799013,0.024602909047965832,0.017229442925120842,0.01712538226299694,0.019595075305381713,0.01764576134107786,0.014054023666975855,0.012156912586272635,0.009583899049596677,0.007844010465428156,0.007181276974671635,0.004037630718294505,0.004080513056508305,0.003239173640530391,0.003364616253499802,0.0017398912319424148,0.0033349409458918655,0.0015866258022376712,0.0013730794051820016,0.001392602495543672,0.002261381817359497,0.0016740370799213202,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02741120726788581,0.0,0.02416459541563104,0.0416276407534603,0.02014910336490026,0.028510786580923115,0.02728182121313165,0.0506797042690198,0.03461704889658157,0.06462671050043553,0.08107888975973622,0.09183480539124328,0.11938030767561114,0.09354036935082984,0.09690937663698272,0.10547166413706173,0.07915149596327371,0.13534363749560133,0.13941842599442328,0.09784426979768329,0.1110027246123314,0.1544071750057492,0.1285512276642242,0.1298620988188733,0.09688215606834595,0.116026991542243,0.06724518876685133,0.07982629797560509,0.08879023307436182,0.0721206610015365,0.03393071963971745,0.020497203595795144,0.025804971757892023,0.03466296928327645,0.025282532298435013,0.033845856300164394,0.025235724609419807,0.01603775746328499,0.020846362309776944,0.011496102821143632,0.020692033567076676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025769875016106173,0.022104332449160033,0.016382364384739827,0.030477274112603366,0.04250581924906386,0.04275592474957244,0.06283906914392241,0.053665785997357995,0.08266170696424882,0.05851121464947449,0.07042573492662092,0.07389397406559878,0.08768724881256851,0.07235540977280401,0.08879715849092829,0.06758217993079585,0.05926572881250195,0.08703220191470844,0.07163568139177895,0.06618133686300463,0.03549371761198268,0.03828483920367535,0.04468121670390102,0.02300815145937418,0.025932769295601153,0.0,0.01860176716788095,0.0,0.02356892437321392,0.019919185020772865,0.022387015530992024,0.013350778350377826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06179196704428424,0.05238344683080147,0.0,0.0,0.11710848504205258,0.0653950953678474,0.0,0.0,0.12805736970162632,0.0645244547683572,0.07633587786259542,0.0612369871402327,0.09162303664921466,0.07543753771876886,0.08325008325008325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010685130572295594,0.0,0.013517166801838336,0.0,0.01087961703748028,0.0,0.012487122654762275,0.01873252831493703,0.012233247247519369,0.029728052941784714,0.044026653974297954,0.040412204485754694,0.04680373994535936,0.03375669859487742,0.054779229369935505,0.06210151527697276,0.07804919208539003,0.10274962271622909,0.10322945190594168,0.11603754975109946,0.1324120663504827,0.12279678991825951,0.08673768569194683,0.10558436887233573,0.1167829038560187,0.08673122104384867,0.07549128311590271,0.07774632830816701,0.058515847046741024,0.061949252184027206,0.053918736761024454,0.048872869448347483,0.035866719271188265,0.02905904574564394,0.020377181632008478,0.03198108270501812,0.01660194980677175,0.024985276533471348,0.017894575387289738,0.014646172873660485,0.019138145513699724,0.010756240540270596,0.010995052226498075,0.004875908137890682,0.008200474260761413,0.004256919267526092,0.005098287703658385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007103113531431278,0.010296186978755534,0.010285479189047108,0.02244769686630152,0.02489673513268828,0.018644107296837496,0.014141604600735363,0.0235274742080064,0.03794661385762905,0.047038390563375186,0.0712568992379135,0.04684909785455157,0.06815142475054006,0.06373140602329587,0.10159303523302904,0.07880886036758704,0.05743746837520343,0.07161831345382572,0.059579423433670495,0.04873510256523858,0.037262451869333,0.03671892461445129,0.03235364233899806,0.027684534726788248,0.031088422017147718,0.013219862843922995,0.018986140117714066,0.013546056592414209,0.01817575959528642,0.015055252777694138,0.017962189590911132,0.010278095909317829,0.007076339551077018,0.015277565589366814,0.009405947246073017,0.01055771108823607,0.0,0.0,0.0,0.006616469716418108,0.0,0.008123586834373604,0.0,0.0,0.0,0.0,0.0,0.0,F
