state,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.01655511671357283,0.0,0.016567655203427137,0.012045870675532427,0.0,0.016598691074646683,0.0,0.0206152507043544,0.03773673907403477,0.04607736146477507,0.06124898939167503,0.04289896033107903,0.09269272362119574,0.08037126338440798,0.15613208774623333,0.11956126215106305,0.15241899456021865,0.12384716732542819,0.14654242818038543,0.18373381563459937,0.25045340702996804,0.2076569857564856,0.23600710934996066,0.30021604332089447,0.3322820455057445,0.34889420720279113,0.3730316465372267,0.4637188949121547,0.4439511653718091,0.4475055064154109,0.5899290680525318,0.5728569940631184,0.47136625861826364,0.45162909064841034,0.4852375797842559,0.35649211756317833,0.3516430217048624,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13544891640866874,0.17956903431763765,0.0,0.11485451761102604,0.2689204763734153,0.284792101765711,0.28253908457336596,0.46251686259394875,0.33326798666928054,0.33716779055930185,0.29172744321733696,0.40192926045016075,0.36719706242350064,0.4599623667154506,0.26455026455026454,0.2953482648289441,0.31209362808842656,0.2201430930104568,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01602499899843756,0.0,0.015964877270005985,0.027632487910786537,0.023100912486043196,0.03863539775141985,0.04199114368605894,0.053678852383155944,0.07507507507507508,0.08534592337025604,0.06572753273053487,0.11642050390964379,0.11288998357963874,0.1428715500722762,0.17789354977048555,0.16315848989548162,0.22327896234937192,0.2339028087049269,0.27902121765662324,0.3265609821631565,0.3290835334050832,0.30201975712577867,0.2983019733822854,0.2426350596925191,0.30808786045171443,0.26958639771088044,0.2541452822739834,0.25665621030254326,F
Arkansas,0.01836210062431142,0.0,0.0,0.0,0.023297351867671044,0.0,0.0,0.0,0.0,0.0,0.02355620116995799,0.04484304932735426,0.04231013327691982,0.08985494844037482,0.10586211459573905,0.11899515204936094,0.13396136727021304,0.18311025853424598,0.1662510390689942,0.19090747646954362,0.1863569385455491,0.20539382032505804,0.22020492539996406,0.2515497259904771,0.39422990771436256,0.3968432919954904,0.4873294346978557,0.4631711484845759,0.5498637089952063,0.4182659187087885,0.47288776796973514,0.5408271474019088,0.5004949950500495,0.5720695457094784,0.5212087607429997,0.4779516358463727,0.5169033331352861,0.5033029254482542,0.31512605042016806,0.41396439906168064,F
California,0.0,0.0015663129931928037,0.0,0.0,0.0,0.0014054023666975855,0.0,0.0,0.002277293360930755,0.002633134890712933,0.0031403794475623925,0.0020402565282541525,0.004396021369291246,0.005527583845035389,0.006462453147214683,0.005643746216124696,0.009255317179719749,0.013456178170783616,0.018103832442067737,0.025157872718124412,0.020925463499016504,0.027961652590732706,0.03458753648127557,0.05531910089526627,0.06997385187640408,0.09828051823744574,0.10738141540542825,0.11337546316291969,0.13788563498558873,0.1544382073821463,0.20035999106591515,0.24469110676699782,0.23316935103443628,0.23171420308217763,0.2290169990593945,0.23317987608356436,0.2143522160554862,0.20300027525461053,0.19692968715033793,0.17943832819739067,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025130047998391674,0.0,0.020458265139116204,0.03028391167192429,0.05052929435840429,0.0512082713550684,0.0737340342030778,0.04600980008741862,0.0727553827615215,0.10071169598496038,0.1251872219614155,0.10638543907120887,0.16908324454532822,0.22263450834879409,0.23616412213740456,0.23052776142829115,0.27268985387939904,0.3911130425335434,0.3909304143862392,0.32689957076665055,0.3257516792066649,0.37227288468198083,0.332417979476803,0.34663063274778216,0.32186494172057123,0.29150699289246995,0.26407273699692474,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027445195375484583,0.02498929030415536,0.05168912682296474,0.060562473977061965,0.03460074583829918,0.07768419331098209,0.11215114523573308,0.16235230450076665,0.17550341769813413,0.23510603282080217,0.24239543726235743,0.32313960567601746,0.19707748509901943,0.1664708186447317,0.21424199143032036,0.2006653641020225,0.18749310687107093,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07322788517867604,0.0,0.0,0.0,0.0,0.1183256914657595,0.0,0.12152514051344372,0.16840171463563994,0.14263074484944532,0.13393604553825547,0.19143752175426382,0.19127108328986264,0.34532897128316975,0.3228869895536562,0.2547307132459971,0.41361158112427143,0.3827018752391887,0.22407822367080873,0.37354427598330037,0.5142589995324919,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005675892356701456,0.00873992177770009,0.00807896824231029,0.007484133636690217,0.011403722174917894,0.01388374676045909,0.01850695167372244,0.02774865881482395,0.0326200924235952,0.027407480719598636,0.027580289286589853,0.029343402753646688,0.042323563644058836,0.06029342801634621,0.09014313858053635,0.07511657241662768,0.07989670497428325,0.09411729273489794,0.13445080469209156,0.14567252147413895,0.18113631145240705,0.18762533458416888,0.22406433969176243,0.24833531159767996,0.2299233588803732,0.22430410915008978,0.20995225981809948,0.18901540158989988,0.21601111987677976,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009405947246073017,0.0,0.008882008856631688,0.011301989150090416,0.013026770012375432,0.014556233376119838,0.025592672413793104,0.01489324252968494,0.048668379072597,0.04068403422883413,0.04362540320448416,0.04961612785292735,0.0609152516561334,0.06320094181795649,0.06096271321397913,0.06501381543578011,0.09737698451829208,0.1043738795157052,0.13952634477694142,0.15613356516802102,0.16701062903360492,0.1762984820825727,0.24591789515435977,0.200896306598671,0.3257939425391746,0.34413282938953194,0.37175280695945334,0.3746487667811427,0.35677189179424645,0.3759635047978606,0.2786237283742629,0.33812341504649196,0.3439257693547809,F
