state,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014096419509444602,0.015032790273784692,0.011692943308713191,0.0,0.02171552660152009,0.009521270518337968,0.019628241113313835,0.03879812044660948,0.052053864433631324,0.04602144599383313,0.031169827606876546,0.03654436485893875,0.05291613942252387,0.0454643344260726,0.09125336496783318,0.07615975628877988,0.0666314362520966,0.14967959212311147,0.19156635054277132,0.17375160660732136,0.24378121227899932,0.1975522790787318,0.14376422666826405,0.14701697808972777,0.1525813577463506,0.09391391987539226,0.068397839571688,0.055777858615254035,0.03674939363500502,0.027758150802462904,0.04634636181059787,0.0492598065904436,0.023419813161934998,0.03378905234703956,0.0,0.021080368906455864,0.0,0.0,0.028787747934479087,0.014623731391301804,0.014568340083330905,0.0,0.01971164676728993,0.0,0.0,0.016328130102540656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11464133639043562,0.09357454772301933,0.0878348704435661,0.11571097968629468,0.20501688374336707,0.14870738961336077,0.2506265664160401,0.16965584100824044,0.12797542871768622,0.1606425702811245,0.15592515592515593,0.10465724751439037,0.09355787222667736,0.2204464039680353,0.1479727730097662,0.14240506329113925,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017438616071428572,0.0,0.0,0.0,0.0,0.0,0.0,0.026781828529342838,0.0,0.0,0.019580328296837778,0.016690589845445136,0.0197199763360284,0.031579612202362155,0.052211302211302206,0.0562477149365807,0.04189468722997565,0.10583610523132748,0.14939867035183388,0.18945451861329135,0.18530837213722323,0.24208235241860257,0.24227344159245678,0.18630939920452166,0.1756751235854067,0.16940607038418876,0.17099795200127255,0.13584752635847525,0.10816874323945355,0.09572496384855089,0.0698463380562762,0.0671074706404816,0.0635275093366188,0.036703627863848856,0.05344327378225683,0.044423877834335955,0.025025025025025023,0.03631741420010895,0.03908123567761534,0.036490008688097306,0.034209085933223866,0.023531784717786667,0.030178370050350227,0.032308611860491415,0.023861873838864175,0.01684100222675474,0.030110203344239916,0.028935783229646777,0.01862736981538207,0.01048679712242287,0.016688222287120864,0.0,0.01994813484939158,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019316206297083253,0.0,0.025606321103266633,0.01819306480369683,0.05416279789538842,0.01972931381446553,0.05030765063271546,0.03980733251064846,0.06830326650327455,0.11981139367705032,0.0881127843639859,0.08721371151220991,0.0697759823723834,0.15936564698565708,0.21886879391775138,0.21261790629349,0.2640366545002718,0.26420079260237783,0.3024153435995384,0.1630089058524173,0.1765720935832096,0.12518092555646834,0.15311530760472697,0.08968609865470852,0.13962343981383543,0.1283642120576783,0.0661638216223369,0.08814455707360071,0.06482001642107083,0.02179884030169595,0.021875136719604497,0.05327650506126798,0.030337176042298693,0.0223254152527237,0.03145784648570915,0.0,0.035839082519487496,0.02705749718151071,0.0,0.0,0.028198138922831094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.002397669465279748,0.0,0.0,0.0,0.0,0.002933641039682385,0.0,0.0016184424756990861,0.0025052375121738884,0.002167370546053528,0.004371966947929874,0.0034312165846293974,0.004136399359812653,0.004040268004444295,0.004967216371945162,0.004286755354871897,0.009293846401315437,0.004490206169543277,0.011852875338230264,0.007524794196878716,0.012632488314948308,0.011523785947810054,0.012322707052285246,0.013480282023839673,0.013377715873053345,0.018961228080820337,0.027378406576737235,0.03317120181010011,0.03411603387984595,0.06547188311545919,0.09785932721712538,0.1172689891352844,0.12322623336519373,0.18972931950417404,0.1602502113645029,0.14083007214546228,0.13157694974266584,0.12256046036772926,0.09802470132748324,0.09294501962046695,0.08768905784007275,0.08435573606988789,0.07928932899851861,0.058489733512565034,0.05685409124684988,0.058218566779716874,0.05431149732620321,0.05116376361775863,0.04743105059777074,0.04764893859849349,0.043162958749360415,0.04177156598213983,0.04419401171141311,0.04358527330530202,0.035793805135142756,0.040633311359141645,0.04032784163019369,0.03277872156682289,0.03120360516600318,0.023766167688723458,0.017858346249747286,0.021346627921389322,0.013291165123982714,0.017259537655732106,0.017321391196402924,0.015291922806373674,0.010171987972641421,0.014491456433993546,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029358229111619984,0.015266709413453025,0.016010759230202697,0.01915831151414522,0.0,0.021949766391771975,0.03393071963971745,0.04685075107610319,0.06594603893683516,0.047994880546075085,0.030339038758122012,0.0725268349289237,0.09864874165500469,0.11455541045203566,0.12507817385866166,0.1977329685236705,0.17703184274054487,0.10950295181870119,0.12094530853148207,0.09752529562355236,0.0926964921695858,0.06383187665717371,0.06861399725544011,0.05277310079662253,0.048382989559460146,0.07416121112929623,0.045425867507886436,0.03284404133296279,0.0341388475700456,0.04043479295007492,0.027605880052451175,0.02728326853557056,0.029094489951210778,0.011177430532269243,0.01850181549064502,0.016213461805716405,0.01391465677179963,0.0,0.019619383951343928,0.0,0.0,0.0,0.0,0.02017930756147482,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05684330196425188,0.0961091303673849,0.09715812484819043,0.07070677311964176,0.17358146946673497,0.12033020847908213,0.09078529278256922,0.107209162461104,0.10825300273209959,0.09470424121426195,0.07991475759190196,0.052525364221933483,0.05672632385058286,0.06421107932986983,0.056998860022799545,0.06398147583937602,0.03869345113339567,0.04488905989483134,0.03600065455735559,0.05292755540853457,0.040565208572780745,0.051842123453376646,0.03430649421935572,0.03212908753391404,0.022152482924127748,0.018925773117831862,0.030756218522932605,0.0,0.0,0.0,0.0,0.028212723938496262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11926058437686345,0.10313835273316635,0.09000900090009001,0.0,0.21592054124082338,0.128077415682368,0.09433962264150944,0.0,0.08479709267110841,0.0,0.060960741282614,0.06460783046905284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005442295342483645,0.0,0.0,0.005175126273081063,0.0,0.007492159989725037,0.006519754857217368,0.0,0.006018730288658305,0.008682601307351682,0.007329945269741987,0.006961606738835323,0.015280006112002446,0.017565816920273147,0.015334166882917739,0.02429572759630219,0.02866082304330173,0.01896405679102874,0.042364721740804925,0.03176736514142587,0.04662673505254475,0.03241201256244901,0.034641208774414414,0.11726396991839978,0.14849521771612512,0.1525886531151286,0.15252995211070777,0.2351524422493267,0.21370929156964688,0.18208778628886652,0.17298882169690305,0.17274645974241276,0.13530782530256333,0.13480244347165957,0.10852069540644277,0.11898116865947884,0.08157705663992337,0.08894903296435956,0.06016290262865605,0.06554545384443365,0.0554973176296479,0.05669682730767737,0.03882726435276473,0.04366879137043393,0.03552096122809863,0.04459089741070484,0.02977453235375122,0.03852892213522925,0.03401505166035971,0.028534537490815443,0.022588150256375505,0.02254264988849439,0.016743967985533213,0.02466175132450613,0.013770666758471111,0.011927379299181272,0.013469033849365692,0.010829723425524825,0.009275733837033789,0.009582883228212009,0.009948179031047362,0.011270145384875464,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058818685520016,0.0,0.006030562892740408,0.007246464329279338,0.00961007135477981,0.006429379693447176,0.006779936810988921,0.0,0.011258408623941006,0.006837793854190884,0.009115058075941455,0.009478544637174851,0.01919867676812429,0.027946838901999754,0.020754174782081164,0.02383952593399857,0.029414818147212512,0.06708554224752929,0.056184417086672725,0.04588317195114233,0.054184226369656835,0.0605858653176214,0.08581494083285658,0.10926998667804273,0.10571755792441195,0.1570947380339098,0.14166469910140136,0.13437067494390026,0.1068968247683902,0.08755123015822665,0.061533052039381156,0.0690418810655898,0.044991994071643136,0.036368534482758626,0.025724691642183075,0.02838988779234825,0.020342017114417067,0.025117656390460576,0.013056875750770355,0.01395974517119724,0.014870809839519177,0.012441370043669207,0.011252391133115786,0.007395720343161424,0.009823423954419312,0.015910898965791568,0.01655962054812344,0.014315196774308992,0.01125309460101528,0.006610696106299992,0.009834084938396482,0.010090962822009832,0.007353265585246408,0.0,0.013380313099326524,0.0,0.007865345288658171,0.0,0.0,0.0,F
