state,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.010072116353088112,0.009966115208291808,0.013959239022055597,0.011548899967278117,0.01130560946656366,0.0,0.016182539040375435,0.013629084466250978,0.017516816143497756,0.013823610727121925,0.009638156083053368,0.007129819758156514,0.010011728024256986,0.0072691323563619445,0.0,0.012885306455538535,0.011535854878945623,0.0,0.0,0.011346712999078079,0.007143163278426218,0.011744843279747487,0.02803807275142035,0.028609718269563777,0.050311780579652694,0.04541895066562255,0.076550971545841,0.07809576493174755,0.08457851705666761,0.08643854407426199,0.08379942704577786,0.10368479821343116,0.12831902082716415,0.1466275659824047,0.10795532612322609,0.10777255679613744,0.07694919090188977,0.10124718118643289,0.07672572949384995,0.0730887297178775,0.07822385827677442,0.0646072120791558,0.07300269197426655,0.08511972761687163,0.08501252211474393,0.07951728331540296,0.05203036681408604,0.04522302089779597,0.07573785235852405,0.057820179242555655,0.08386246555648735,0.04742483164184767,0.07287467832661519,0.08704216964060746,0.06132220099530649,0.08245422577907117,0.08574858514834506,0.0731805793883113,0.08496832998609609,0.05444504938943766,0.09367925264773999,0.07537557831262671,0.06306992878353875,0.05006587615283268,0.035944369176320955,0.04306261303935923,0.05469672107551026,0.032172209060863974,0.02913668016666181,0.01964030189949777,0.02534354584365848,0.020183962400161473,0.0,0.02285938214355692,0.026906131234655097,0.0,0.02458037783552216,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10443864229765012,0.0,0.08652015919709292,0.18761726078799248,0.17857142857142858,0.09609840476648088,0.14236322961155176,0.10552975939214859,0.2086375964948884,0.286697247706422,0.13922728854855554,0.12488849241748438,0.0,0.228310502283105,0.11005943209333038,0.18386108273748722,0.09805844283192783,0.09160864785635764,0.17452006980802792,0.08188666885031118,0.0,0.0,0.15428130624839292,0.1567776169802219,0.08007320979180965,0.0,0.08482792050412022,0.06398771435884311,0.09370816599732262,0.0,0.06541077969649398,0.12028869286287089,0.0,0.0739863865048831,0.11075949367088608,0.10030090270812438,0.08557247989046722,0.10649627263045794,0.08888888888888889,0.0,0.09312721177127957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.09345794392523366,0.13419816595839856,0.06778895040108462,0.0642535874919683,0.12344409011418578,0.0,0.12422360248447205,0.0936110461034402,0.07333170373991689,0.0,0.08353720389044691,0.03490198359606771,0.05643022402798939,0.027458948871437204,0.061916309787936635,0.02342139778902005,0.0,0.04693032979222663,0.04143875352229405,0.0741608118657299,0.07355915995439333,0.05442078148242209,0.09119927040583675,0.11335222537089515,0.1765724946695096,0.1094200736098677,0.10528460806955578,0.13253348214285715,0.1646090534979424,0.17372764243692504,0.14191106906338694,0.1532898357047402,0.2043318348998774,0.13525393927098125,0.17742961400689633,0.12754662346168433,0.12900597501357958,0.13053552197891852,0.120172246887205,0.13475317162952738,0.12631844880944862,0.13206388206388206,0.11812020136681947,0.11521038988243303,0.08315693982461445,0.09959911356788925,0.07627389710405236,0.10690867623301341,0.09327943854661751,0.06766195215645189,0.05652082897215825,0.07762389181680761,0.05646869012806292,0.07953393116338257,0.09935117599351176,0.06610312086855495,0.04277072852807593,0.05388146078627021,0.055264975821573074,0.034651368729064796,0.03863539775141985,0.059169338830355786,0.04812586765386395,0.04647504647504648,0.02905393136008716,0.028422716856447518,0.024326672458731536,0.010262725779967159,0.021850942952230477,0.0238250289871186,0.02423145889536856,0.020453034719026434,0.018712224696394157,0.016058775116927958,0.01033420829630242,0.0,0.01048679712242287,0.010430138929450541,0.0,0.013298756566261056,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.035438144329896906,0.06493305711016975,0.04668534080298786,0.026392187912377938,0.03690770235357579,0.03774907649580716,0.05306447333510214,0.027910351949538083,0.03836392610517618,0.0403530895334174,0.04601932811780948,0.03127180005292151,0.024219525781685194,0.01486951996233055,0.032812539438148366,0.01305721672368318,0.018596248870942033,0.018596248870942033,0.024906600249066,0.027456687076137392,0.03299694778233013,0.037063435495367066,0.04326631861317027,0.06400372385302418,0.09315594888067305,0.10122628412771864,0.09970089730807577,0.13667290608194432,0.1081665765278529,0.14909090909090908,0.13251050619013366,0.15066640911724938,0.12399023107270338,0.1755862018509712,0.15282174435105336,0.1431445372949551,0.12626760841257942,0.11222475910374985,0.08757613152342662,0.09241030173972438,0.08502744067403571,0.10012816404998397,0.06067040800849386,0.025706940874035987,0.08551327399230381,0.06143685443305303,0.07344982217411473,0.07765783955890347,0.06216489237703007,0.05172894035255263,0.04373409669211196,0.07223403828404029,0.05867855885459453,0.039260335283263316,0.03261312678353037,0.05500317325999577,0.05990329896024988,0.03528737153191302,0.07933010136624064,0.05617734756492805,0.06539652090508785,0.03937524609528809,0.03551767004084532,0.030337176042298693,0.0,0.04493978069387022,0.031443715748809636,0.02239942657467969,0.02705749718151071,0.03101187311713627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.016017473607571896,0.21893814997263275,0.23461039193035527,0.19290213121993166,0.14057562017101605,0.11912302761574314,0.09767711608314764,0.11820893088853714,0.0803175836257464,0.06440288423897259,0.060422960725075525,0.04074330779461626,0.041297795077492705,0.03624872200018589,0.034067628846994914,0.03330449826989619,0.025974752540530603,0.03641149541253086,0.044092358794220965,0.0388794090329827,0.04927447582152445,0.061280501717809806,0.056144522606426904,0.07962736980439504,0.10271473799912942,0.11394176584967118,0.13240814185159047,0.14379916777401383,0.1616377595988329,0.17070132318777145,0.16462774261303967,0.17361359187231185,0.17765544851745277,0.19515126813784242,0.20048292000663764,0.1821000195644649,0.16218484997901375,0.12334719033026317,0.12569161193330952,0.11396965711064452,0.10348056690038324,0.09859838602026576,0.0884248536735162,0.08484844252478238,0.07249657199467266,0.08489416423104995,0.07553516819571865,0.07265250997841527,0.07117123740901404,0.062399865081372796,0.06382379107793133,0.061230466150201,0.057185366618927855,0.04811455573029996,0.047778630166484974,0.052593279394995925,0.05761101689229054,0.05383386005599683,0.05517940764160229,0.04540650364791233,0.04336777192782968,0.04421315684686045,0.039549910873440286,0.037030127259261775,0.03487577249836084,0.025679068705774934,0.02572626680425455,0.02455490703004166,0.020680531121366388,0.02421404072516779,0.01691045911896508,0.017617239889977498,0.014233355869480126,0.01859562088887068,0.01412373707513828,0.010376777441555312,0.00977154794797493,0.009640412609659694,0.006134383903376638,0.004931296473066315,0.008660695598201462,0.008410557543505521,0.00651007230249051,0.004688412375703794,F
Colorado,0.0,0.0,0.10152284263959391,0.16689686924493555,0.16079016882967728,0.15444015444015444,0.11542901115813775,0.10090817356205853,0.12967054077418114,0.11561250541933618,0.053093927985326764,0.07440184829854721,0.06278996755851676,0.0655896161281414,0.0832552815069206,0.06044731009470078,0.0665251686888206,0.06365758283064052,0.02981159074648223,0.066349343718448,0.059006996543875916,0.043242074538525986,0.08373173432731006,0.06240334264861492,0.08017745944356842,0.10738606600314302,0.14920381755974585,0.11608886074613477,0.15970549224480957,0.1564900699937404,0.1799072057570306,0.13118503817820984,0.12155458457899407,0.1253374469726186,0.23189660503370232,0.15853443720274793,0.16793380354798326,0.1312882256876621,0.13091512867999233,0.16489614713810052,0.1034774701326393,0.1048767697954903,0.10248601797897573,0.07741491527367607,0.04532849829351536,0.08848886304452254,0.04835122328594914,0.055059762784188664,0.0526954888079364,0.06253908692933083,0.08277194031223414,0.057477871019657435,0.033326985336126456,0.03628359255944462,0.0536389125929538,0.031711957847489876,0.06383187665717371,0.051460497941580086,0.09549418239388838,0.04074357015533486,0.03835924713584288,0.058044164037854895,0.04294990020464364,0.03901582579433783,0.02854220678828818,0.027605880052451175,0.018188845690380376,0.01342822613132805,0.020119374958084635,0.016189088554314394,0.01852967063510446,0.020871985157699443,0.016698473282442748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01445295562942622,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.03713921901528013,0.08586725931912315,0.04547291835084882,0.06602216458382458,0.028563267637817767,0.019184652278177457,0.024207946258359307,0.031006683662922897,0.017455053237912375,0.025382142252806137,0.0,0.0,0.014319672365896267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01607587814484366,0.012286773288554872,0.02031818274173558,0.02833721283270924,0.040719928332926134,0.04189271276261494,0.03302509907529723,0.05373010952676173,0.06501246072163831,0.056794947521468485,0.04767353165522502,0.08525149190110827,0.10612126766677923,0.1223960833253336,0.09461505190311419,0.09981596431579275,0.07699002477070362,0.09551424185570527,0.06269810860705702,0.0780861787463619,0.0626479186969233,0.07217735006014779,0.06573757559821193,0.03889915394340173,0.06000126318448809,0.04650441791970237,0.07894097643915472,0.044191733199776095,0.05691195720220818,0.06156429271022807,0.05073295773143574,0.06275658290406087,0.08763338316408062,0.061429778084926674,0.08524240809802877,0.11334420700522488,0.11912528008622401,0.07588582102620979,0.08099838003239936,0.057888001949911644,0.08061135652790764,0.07695267410542517,0.06218294878088692,0.03307972213033411,0.043945642620512475,0.04492984032625976,0.020583896531613435,0.03926888476367271,0.0,0.018925773117831862,0.019222636576832878,0.04497505928530542,0.02156752792994867,0.022548931180662035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05135051864023827,0.07568385771434749,0.06387735547748323,0.05449591280653951,0.15404668799620808,0.07485029940119761,0.14086310667178897,0.15485869144405728,0.13994910941475827,0.14696876913655849,0.10471204188481677,0.1659625829812915,0.1332001332001332,0.1327360212377634,0.13490725126475547,0.08637070305752288,0.1643115346697338,0.0,0.09419152276295133,0.0,0.0,0.1620745542949757,0.0,0.16140865737344093,0.1151576219951058,0.09961576775295289,0.06738544474393532,0.10307950006442469,0.0,0.15362798392814936,0.0,0.0,0.0,0.08204567209079722,0.0,0.0,0.0,0.0,0.07322788517867604,0.0,0.0,0.08870490833826139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.03763328454944596,0.07107881851208339,0.03058337793409282,0.04258188140946028,0.04908698213233851,0.04726316722299353,0.04766563809237099,0.027904380987815086,0.023110166162094704,0.025644313373509427,0.015229102815480382,0.015448190630672383,0.017103112766523508,0.019945964568713847,0.01663948883490299,0.01716979365029813,0.008645782299201706,0.008155498165012914,0.01421776445041878,0.01903855306996668,0.015715857300015717,0.030476853917908414,0.03059200810160766,0.05271208863899454,0.048646186966962,0.07066616040163692,0.08027314274705398,0.09779632285826052,0.09515079079590155,0.10954089125358114,0.09674898599620446,0.12338741204065676,0.11718704677039461,0.13970291302402235,0.11966712776936082,0.1002618603883083,0.10082726952465408,0.09792447873128089,0.09102747259693793,0.0770267668014635,0.10018938236911236,0.10042681395932714,0.0760005811809149,0.08864074009923688,0.07268427887504118,0.07378644358565223,0.0794174861242482,0.07157830154915895,0.06997615928526676,0.061401550189786616,0.05070799111841853,0.06303829943192231,0.07453173867918615,0.06833728550634512,0.07946249299382038,0.07428933511045077,0.08593084403184582,0.08756436354927553,0.07906580707943073,0.06016290262865605,0.061689838912408146,0.05164333723870013,0.04660013203370743,0.05100836689480857,0.029112527580289288,0.03706535084671161,0.032498450655259456,0.036473802133345244,0.028351471005168688,0.02551128874526978,0.02996126436535622,0.029364595333288158,0.02817831236061799,0.021767158381193176,0.0187089147979012,0.013770666758471111,0.019594980277226372,0.020203550774048538,0.018327224258580473,0.007589236775754919,0.012196396835906191,0.009043799119133967,0.008452609038656599,F
Georgia,0.0,0.0,0.009490187146490529,0.020448757273251166,0.02182492770492698,0.0,0.025590282516718986,0.00786077004103322,0.019626492745746335,0.018269567467990196,0.017394879579992726,0.010958303654594269,0.009819083388565677,0.00890007755781872,0.011315488389051637,0.007645649625363168,0.006181921588506571,0.00716187020303902,0.005919261276192731,0.0,0.00799981714703664,0.006734309059890455,0.0,0.019809364002889837,0.020033939851041765,0.02705659533920736,0.03201745544237451,0.0530689534561156,0.05193299435983527,0.0708742762415011,0.054006789424956285,0.0610194312989003,0.06772869015535268,0.08865996791353542,0.09436155518783419,0.09505703422053231,0.08666097953988436,0.05464238772466144,0.0931561296733325,0.07663079919537662,0.08854681061199468,0.06748105339654635,0.07526670593625237,0.07436172849706683,0.06645149041199924,0.061709813365442505,0.06361515858350246,0.06172653638854596,0.07633930576137232,0.08516136610577629,0.06510232386990857,0.06805461035263399,0.06315421722363311,0.055427983213239364,0.05582976995597061,0.06278882861161342,0.05210708004950173,0.06351810927761384,0.07139008620689655,0.06228083239686429,0.070298769771529,0.06509445476613461,0.05023531278092115,0.048310440277850315,0.0304576258280667,0.050808600285023854,0.036079973126640706,0.036257704762261984,0.04067646188738783,0.02701441587465311,0.018358729575913346,0.02247377074388181,0.03698092500029823,0.042511690714946614,0.02115422754015998,0.016858431322965398,0.028831322348599517,0.022059796755739224,0.02558622558020529,0.013380313099326524,0.01505366632043234,0.015730690577316343,0.011339337782673492,0.0,0.0,F
