state,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028910089621277828,0.01916856355576854,0.06639476429858673,0.09792534900138916,0.13285383787250613,0.14151277152763037,0.15763307869528315,0.26214567459636917,0.25487029373170483,0.29867655389051956,0.21000233335925952,0.3695126076660855,0.3222955762333004,0.38893122749848896,0.3188405797101449,0.30690961373627895,0.3387592225762926,0.35696807438754063,0.2720014038782136,0.30010780571661666,0.2974102859066805,0.2872268528947961,0.23644070240189152,0.24461091576211588,0.16001567500489844,0.1849796522382538,0.1817991119812607,0.1615281972048599,0.13887442280318024,0.07387083157450401,0.057349725796623535,0.055988951513567996,0.051493305870236865,0.04446061193969524,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12531328320802004,0.07270964614638875,0.12797542871768622,0.22757697456492637,0.2208939708939709,0.2616431187859759,0.20048115477145148,0.2617801047120419,0.23675643681562594,0.20569620253164558,0.21731862253426948,0.17114495978093444,0.12424565140220092,0.12444444444444445,0.312960235640648,0.20487986589681506,0.1519756838905775,0.46439628482972134,0.17956903431763765,0.23255813953488372,0.24885145482388973,0.23050326546292738,0.284792101765711,0.18835938971557734,0.13490075158990172,0.15683199372672024,0.1388337961126537,0.14586372160866848,0.0,0.12239902080783352,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01900598688586905,0.019988451117132322,0.03273965426925092,0.052334100900146535,0.06332475385055358,0.07058586266007866,0.1173125484659893,0.09529602595296026,0.13621249148671927,0.11812867879182876,0.13370584713630015,0.12631994473502417,0.18095714780733838,0.1274968125796855,0.12024736601007789,0.14622859787135586,0.15193765193765194,0.1452696568004358,0.13678432487165365,0.17723718505647262,0.17104542966611933,0.1428715500722762,0.14612684445432741,0.14377332277918678,0.13124030611375298,0.10853090323908611,0.1124114258184957,0.1302110245334105,0.08692772580511632,0.0964785335262904,0.05423672243314281,0.06656360044662028,0.037679810271072985,0.026012722586137585,0.0320765890248717,0.031109843673035542,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031833194063109305,0.031806615776081425,0.07624704041093142,0.07823807847279271,0.10992893879313728,0.13452914798206278,0.22847471969536706,0.27384365238971375,0.277888050813815,0.26884089907448216,0.2981720755369258,0.23978724331865545,0.37625235157719733,0.2974604865920796,0.33804281875704256,0.3839971423468477,0.37300017975912275,0.2605336447758512,0.2463936923214766,0.2705749718151071,0.24366471734892786,0.19336271247414336,0.2208854215621769,0.1771479185119575,0.21542664985287935,0.1643690349946978,0.10999890001099988,0.1346045989904655,0.10535070695869143,0.07396870554765292,0.06535559384469133,0.06291286568103177,0.08534663865546219,0.05519525320822409,F
California,0.0,0.0,0.0027933643629557982,0.0019682327238372665,0.0037591511836627288,0.0033639143730886853,0.0120585078802349,0.016175281229321374,0.03710262248081626,0.04724618300574138,0.052711444772781724,0.07363248533676109,0.07971217441885517,0.0944356962445548,0.09339840996007898,0.10990053423228115,0.10838870930917217,0.11110448295403705,0.10979651729551682,0.11079936852293071,0.0991363330541405,0.11781417112299464,0.11957056359288344,0.12890085515394167,0.14152020086738187,0.15092743191829336,0.14958736466577102,0.1515627965743975,0.16579496120056061,0.16064936163016824,0.14065377008933647,0.13610646550190372,0.14435244690004695,0.1218582896482861,0.13623704576493587,0.11355212615405351,0.11086474501108648,0.10053573619422823,0.07396944709599473,0.03969485482509003,0.040905893507049575,0.03417787958807517,0.03665486039186603,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.013764940696047166,0.03207551492656998,0.02779514974636926,0.036787529027659624,0.085067249109093,0.07379546752999429,0.128202027043371,0.13409728148238448,0.16587793335610088,0.13502896985171364,0.21074299157028037,0.23622245118488178,0.20626432391138275,0.18156710310965632,0.17665615141955834,0.18948485384401606,0.15850179228949743,0.1855243441238732,0.16793577031907797,0.19780369688288654,0.17904301508437404,0.1386001386001386,0.1688290663521358,0.1737156622041043,0.16929499072356216,0.12166030534351145,0.12752599568373554,0.11319201481786376,0.10592644901950134,0.10052496369931867,0.11654680349071889,0.09513102136123844,0.07214590788410481,0.05492123139181962,0.03525057282180835,0.040623730508421614,0.022927516294913367,0.02339885011365156,F
Connecticut,0.0,0.0,0.0,0.025932769295601153,0.0,0.0,0.03947048821957736,0.06776065757299002,0.0910591315235331,0.10633832377221213,0.1388480948439294,0.1882697487121826,0.16753440899015412,0.1663723156466764,0.14917421417155033,0.15757609266580044,0.17585160393680688,0.16344638374875955,0.15599688006239876,0.16757053196027055,0.0999580820946055,0.15390534821085033,0.1538209785632466,0.1587826662256037,0.15549996619565953,0.17280707817792215,0.12350337918968061,0.16778523489932887,0.12922281705741184,0.1362655664483894,0.2037599477144285,0.11039332733665877,0.15097269550964068,0.12176422837557499,0.0831331978570109,0.07993605115907274,0.09505703422053231,0.04214864421861097,0.043260911363199386,0.02937720329024677,0.040807998367680065,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128077415682368,0.06738544474393532,0.15461925009663702,0.18170805572380377,0.22453320727960294,0.21945866861741037,0.3101175862514537,0.2962962962962963,0.3008341309995898,0.2159516268355888,0.3537214443625645,0.19307886529036092,0.2221235006663705,0.2050380785002929,0.23048112935753384,0.27368100957883534,0.192193968066233,0.33150763908907466,0.16269782576541933,0.20879940343027592,0.27343156615524833,0.1837109614206981,0.07923930269413629,0.15067805123053743,0.17403411068569438,0.1564945226917058,0.09087604507451835,0.13295346628679963,0.0,0.0,0.0,0.12222448563862294,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.004461656523834169,0.011077594287369838,0.03254705083035664,0.045453095595036845,0.04532987084828323,0.08282939343961884,0.09542848784157479,0.112073148230406,0.12770757802578275,0.15294863110975157,0.1887540762067041,0.1698898335528679,0.18321980294368082,0.17431815377020857,0.14882673637618463,0.17034593327989148,0.15455710457846297,0.16901279777085823,0.16241725913214022,0.15984432552644381,0.16324803119851264,0.1667373811810068,0.16283921808096888,0.17432713975934352,0.14766623151496994,0.11444662796563589,0.12559476366446876,0.10716139510741256,0.11820632531401212,0.09811600065410668,0.07923187677313273,0.06987061309358453,0.044151949350216595,0.02951369857238024,0.027877478482071293,0.02351387770974831,0.019722754423532066,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01174639532493466,0.01839848283280025,0.023610783183566894,0.038967495733731074,0.0593871248713279,0.08628237175013641,0.10422945549527828,0.12245163811632906,0.12438963066866042,0.18723060344827586,0.16788746124372114,0.18250642152223873,0.19121496087552042,0.2339907990058696,0.25460907714002196,0.2220868549963197,0.20571286944668196,0.2077708797292758,0.21629596289211458,0.226802090523617,0.19769640708268868,0.22275258552108193,0.18688714618596453,0.1741682274207594,0.18505088899447347,0.16130098499371984,0.1503210126297748,0.13983191339070766,0.11324029001279468,0.1234159116221667,0.11893611643845799,0.07376296497011847,0.050338209847412295,0.04535735113069397,0.05002846447116463,0.032243040877010715,F
