state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026083657403016217,0.025050670674773977,0.03664933458551893,0.08490766291657822,0.038801988601915846,0.06859886811867605,0.07822751589785001,0.0695195427158968,0.11148272017837235,0.12230346873454943,0.11696210427821385,0.1419073397629622,0.21080368906455862,0.21013631210772252,0.2813424051904803,0.28499870455134296,0.3070983592173379,0.23892077736662687,0.29460452849246654,0.2562514079747691,0.2508578184020069,0.33634000917290935,0.3200313500097969,0.3195103084115293,0.27969094150963186,0.27389563873867545,0.26386140332604247,0.18995356690586745,0.2114771138750493,0.18662983837855995,0.19805117642398795,0.2142193120730771,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10692328254477412,0.0,0.0,0.0,0.10030090270812438,0.13691596782474755,0.0,0.0,0.09204712812960235,0.24213075060532688,0.3799392097264438,0.2515479876160991,0.27932960893854747,0.32945736434108525,0.36370597243491576,0.32654629273914715,0.26580596164799697,0.20719532868713506,0.1927153594141453,0.15683199372672024,0.21816739389131298,0.10418837257762034,0.0,0.14279885760913913,0.10453690152623876,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016341871961433184,0.020167389331451045,0.009941741395422822,0.016220600162206,0.03805937262128921,0.03666062445263651,0.035920973857513465,0.06513372150399685,0.050051977053093596,0.07147548584012672,0.04771720873415789,0.0906987505784359,0.0715000715000715,0.1107681133103323,0.11724370703284599,0.11989574283231973,0.11117952928297757,0.10757387299559619,0.14295017392271162,0.11792643329079366,0.1397624039133473,0.16279635485862914,0.15456571050043158,0.1426120744889734,0.12418246543588045,0.14052308144046646,0.09804330593683507,0.1030662200463798,0.0908748365361172,0.12060444108118334,0.08882747729964469,0.09592201799185959,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019879134860050888,0.036117019142020146,0.06259046277823417,0.05889050292489498,0.13452914798206278,0.0719272265707637,0.10269136964614264,0.10586211459573905,0.1498457470251212,0.09506935741757054,0.18311025853424598,0.2318764492278077,0.14651038891848694,0.21669411458784782,0.28130023218431865,0.30109653064893044,0.24256580720510285,0.28223277484096404,0.1984216459977452,0.27910685805422647,0.26531162874359204,0.30078014851019835,0.33953351048125185,0.2889869693148382,0.2704135737009544,0.21449785502144977,0.2243409983174425,0.16634322151372333,0.13655761024182075,0.17824252866734003,0.1635734507706826,0.10504201680672269,0.13108872636953223,M
California,0.0020424669733090416,0.003934622315603925,0.0026545719313148474,0.0036997846725320585,0.001745852726847374,0.004592543022286955,0.002819363387747047,0.0036697247706422016,0.004220477758082215,0.003529152268215573,0.003935126626753239,0.0038681085501776568,0.007187924287197507,0.005819749700156375,0.008617532369605963,0.006729384530490841,0.009294501962046696,0.011799846833360711,0.010093848760499406,0.015161909306926754,0.014878967297056017,0.021419448330208563,0.022518502244984827,0.031472816399286986,0.02713658180831397,0.03738682811824282,0.04936087651221182,0.05202422842638143,0.056730302448716935,0.055525809586134414,0.06324137695279117,0.06820551844649249,0.07870928144393172,0.07561470305661318,0.0942388245046158,0.08244320943859788,0.09573414026725223,0.09097648089493901,0.09709272699728691,0.0886077674932181,0.08277533365504172,0.07108987636857034,0.0795179985931431,0.0838171808945653,0.07544081731814288,M
Colorado,0.0,0.0,0.0,0.017203314505261347,0.0,0.0,0.016922928150082197,0.01147078391337264,0.011455541045203564,0.0,0.016094543949601085,0.020692033567076676,0.028565987430965528,0.01935124936503713,0.02194319151529928,0.0463482460847929,0.04664637140331926,0.0563614977455401,0.05779911039630086,0.06111535523300229,0.05626022913256956,0.07318611987381704,0.08589980040928728,0.06583920602794509,0.09751920652665129,0.08511813016172444,0.14778437123434054,0.1544246005102726,0.14083562470659244,0.11101089294387012,0.13434011210450733,0.15769944341372913,0.18129770992366412,0.09809691975671965,0.13634492693969952,0.14123526535933512,0.11169440411035406,0.13644503823303675,0.09801377958430628,0.12697679787602448,0.09828009828009827,0.09693907525997297,0.06562294928283491,0.07860862729684583,0.04679770022730312,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01523368472366096,0.0,0.0,0.0,0.03638769434336751,0.040565208572780745,0.051842123453376646,0.05832104017290473,0.06425817506782808,0.05168912682296474,0.07191793784776108,0.05382338241513206,0.10221604383023959,0.0776431005478152,0.0676467935419861,0.050803620912617774,0.11285089575398505,0.0855513307984791,0.0936636538191355,0.13458950201884254,0.09302781041911477,0.1326259946949602,0.10561334952738026,0.14889158486820336,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10643150372510264,0.07392075694855116,0.0,0.14790711433219939,0.0,0.0,0.15309246785058175,0.17432646592709986,0.10045203415369162,0.22624434389140274,0.1564945226917058,0.1817520901490367,0.13295346628679963,0.0,0.0,0.1148105625717566,0.1425952332450601,0.15381234893430015,0.0,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00406838135379458,0.0,0.006914726061602526,0.012461059190031152,0.01671739932991091,0.01776769423164973,0.021284596337630458,0.03204637985156699,0.03378477628602486,0.03966590827445815,0.03269067023476463,0.05013575219054671,0.052436363075546916,0.063976074489733,0.06058017164381965,0.09592618251859521,0.11491787202745771,0.1312731175821036,0.13226113638768383,0.11686503948847354,0.13085294310077858,0.1374775004606205,0.14695286807769956,0.16790525023905795,0.17229025271920714,0.15823049746328885,0.187089147979012,0.17471533449810223,0.15420397522512927,0.15910296234563226,0.13828723758747083,0.14672524433126174,0.14722793323343905,0.12932632740361572,0.13430256583643263,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007484245662879638,0.0,0.0,0.0,0.013437067494390026,0.01319713886029509,0.02410830975371458,0.043952180028129395,0.03517227903341366,0.043668700128359515,0.04714439655172414,0.05551117670155296,0.0567797755846965,0.09221714425202404,0.07667495108666914,0.08486969238000731,0.09391101296987232,0.12516264948261974,0.16049367356333277,0.1687858669967368,0.17010156789271275,0.1645423512365235,0.17501988862370724,0.21645789716475639,0.21353501855010915,0.22881292355397734,0.23930719904805978,0.27254463972127396,0.24218310772823595,0.21324470197214584,0.22124559766412813,0.22151851686662805,0.2303210947026148,0.18876828692779613,0.18142940452277587,0.19321338002656682,0.21853616594418374,M
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06165861679169664,0.06391137622496805,0.08129137150156776,0.10876132930513595,0.09272751357795735,0.08137800081378001,0.10106843777071904,0.1853700270925424,0.24487297214569942,0.2562942861450324,0.17472335468841002,0.35901271503365745,0.32025620496397117,0.40884312537855844,0.35455278001611606,0.2540892488486581,0.2739256976545112,0.5016722408026756,0.15493200206576002,0.2579979360165119,0.3738317757009346,0.2622836160167862,0.3055355859094177,0.2054538662682107,0.2268041237113402,0.2434705621956618,0.18744142455482662,M
Idaho,0.0,0.0,0.0,0.0,0.03481651695564376,0.0,0.0,0.035278346151132435,0.0,0.0,0.0563879490897374,0.0,0.07220868309414208,0.0,0.0,0.10533707865168539,0.1138353765323993,0.14599793885262796,0.11261261261261261,0.17711654268508678,0.16392028297817274,0.18728185919809315,0.18830779765471198,0.16753224995811694,0.21742766348887776,0.15013762615731086,0.2830031629765274,0.26363486571099026,0.18459069020866772,0.2457976530288614,0.17995462013926922,0.2369487120690973,0.2500757805395575,0.19969278033794163,0.2353138919236911,0.22163120567375888,0.21749408983451538,0.17146123071061153,0.1257496614432192,0.11426394972386211,0.0983767830791933,0.1206030150753769,0.11475067807218862,0.11127183709803048,0.08865248226950355,M
Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004398343290693839,0.0058725078544792555,0.010237585099926144,0.009065361254645998,0.009627276295424082,0.021921491830590712,0.017669717637912145,0.022287692318407545,0.03278454849975056,0.027248357734114947,0.039587690469076786,0.04714900606853336,0.05148888698189308,0.06489292667099286,0.05248611988157819,0.07009788964118127,0.0685911216321341,0.0934205258241025,0.1083955761055502,0.07952112552977673,0.1084608185293063,0.10148272548473718,0.12004247656863197,0.11903986905614404,0.12119720110213704,0.12494298236915694,0.11807231411378444,0.14190125855500857,0.10649024028276557,0.11377092572383848,0.1111584125632657,0.13220018885741266,0.11695342360047746,0.0981267848381537,0.09603841536614646,0.0779666302822392,0.07072987208427389,M
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010110639281277985,0.013579371425984883,0.01368488276617097,0.016673487638882573,0.009346231132295902,0.018975632125745188,0.013641530882910194,0.04640301769302158,0.057478040440959735,0.07329404373709875,0.09033564364146095,0.11050944855785169,0.12957773854451804,0.1211396821294741,0.1195173463874654,0.12476710141070002,0.16102792257379062,0.17248528070320923,0.20607339510039896,0.20150024552550924,0.2383706663862306,0.20335801439149026,0.22308097663797646,0.21618724316598176,0.21121970429241402,0.22200385777195472,0.18880392712168412,0.2005002580696391,0.15660235529942368,0.1888914829042596,0.16770849214819333,0.1424691687814434,0.149493507073051,0.0862793179392866,0.13143380195742485,0.05667956332092955,0.09016435674171776,0.05638340716874748,M
