state,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012334367070764027,0.0,0.0,0.009969692135906844,0.01579311025565097,0.013329778725673154,0.0,0.025865413631072982,0.0,0.0,0.011988395233414054,0.012181454952979584,0.011503508570113886,0.0,0.0,0.0,0.011488178664154585,0.016371205388465315,0.014190100040205284,0.011900794973104202,0.0,0.012045870675532427,0.014376422666826405,0.011856207910461918,0.011386668488533626,0.0,0.01650982334489021,0.0,0.022049636181003012,0.0,0.0,0.015555728396982188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12027904738994466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08528057308545113,0.0,0.11531808571977706,0.22371364653243847,0.10552975939214859,0.1043187982474442,0.191131498470948,0.15663069961712495,0.10704727921498662,0.21308331557639038,0.15981735159817353,0.0,0.10214504596527069,0.0,0.0,0.13961605584642234,0.11464133639043562,0.10917030567685589,0.0731957253696384,0.08999742864489586,0.10853835021707671,0.12582932967284374,0.09113693324219639,0.12118274357731458,0.14077297158945482,0.12048192771084339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04071898086207899,0.0,0.027458948871437204,0.0,0.0468427955780401,0.0,0.0,0.029007127465605836,0.0,0.0,0.0,0.017538321231891682,0.030005000833472247,0.03997867803837953,0.026526078450877018,0.04415160983562016,0.06277901785714286,0.0823045267489712,0.09476053223832273,0.1143172500788395,0.12970678405785707,0.11516885239811273,0.15216068167985392,0.13056141408054636,0.07583853286910959,0.07129277566539924,0.07505792513787814,0.06342424141269151,0.04601327811739959,0.05368534074401566,0.042997542997543,0.047810557696093596,0.05760519494121651,0.03023888720895071,0.04232962326635293,0.03690672440518663,0.0380119737717381,0.046639719273308754,0.03492229788720098,0.05024073686414068,0.03676921191322466,0.05243521226177271,0.035790269023522156,0.0446066504460665,0.022034373622851648,0.024440416301757674,0.009978048293753742,0.013816243955393269,0.009625380202518,0.009658849437854963,0.0,0.012956964368347987,0.010725010725010725,0.009079353550027237,0.0,0.0,0.0,0.010085050593337143,0.0,0.0,0.0,0.0,0.0,0.0,0.01034853878632337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019316206297083253,0.02254367837685516,0.0219482752313714,0.0,0.0,0.0,0.03482837351495685,0.0,0.0,0.0,0.028035885933995513,0.01895950250265433,0.0,0.0,0.0,0.0,0.0,0.031082446188515037,0.02387489554733198,0.019879134860050888,0.0,0.027383327465477447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.005810305157226857,0.00951263595142214,0.009454208540931996,0.014498946918592229,0.012907871763690838,0.01185013528904455,0.018310623950296128,0.03975194784544443,0.057602607571698855,0.07784871715757244,0.07760944325680826,0.08747093893147342,0.08953287197231834,0.08711532390516419,0.03565292259143647,0.022046179397110482,0.0334794911117351,0.025826621809902472,0.01988356704673616,0.028402523200898314,0.028808276067443732,0.031628623591195344,0.03436830437313451,0.0390354191779453,0.06207382730375001,0.08018251066713758,0.1286151981414767,0.15043569583605346,0.1303888087106869,0.13619059534235314,0.1367785879337798,0.13241355020708667,0.12641654250756243,0.10350490425796358,0.094751128904216,0.08256213725031115,0.07802223838040538,0.07515128622803498,0.08608397548692434,0.08509504746823734,0.07192913234611181,0.06396756352471117,0.060459681537242224,0.055351681957186545,0.05607206164309228,0.06499522093963679,0.05649717514124294,0.05111429155591903,0.0556398583712696,0.056932334023268874,0.05457770500750444,0.04598412762502075,0.04307208226314322,0.03979556186937338,0.027878248957569785,0.033057933406905875,0.02898833283736776,0.028559264440278086,0.017850032267366023,0.02618092691622103,0.015546999994346545,0.01869341405912141,0.0185459940652819,0.015435760082552732,0.012418573670365895,0.014731337237137702,0.011679713761551521,0.011837321383275557,0.012502557341274352,0.010971545149390931,0.008825040421836933,0.010839147057664263,0.00836836890448009,0.006065098726329267,0.00723030945724477,0.004089589268917758,0.004226825548342556,0.005052072432284186,0.0049698749120714435,0.004882554226867882,0.005967070296350284,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048836641434401924,0.03106876553438277,0.03468970062788358,0.04365639062395057,0.0791966293914531,0.10306465791627513,0.11328404483663247,0.066349343718448,0.050577425609036504,0.043242074538525986,0.04051535531966616,0.05426377621618689,0.048106475666141055,0.041906757464641176,0.05402207187508039,0.06595957996939476,0.11910240099612918,0.08535821999658566,0.15150080484802575,0.19845941673113793,0.19054502447517987,0.1992544028795475,0.12367818935130791,0.14972696846926192,0.16793380354798326,0.14089468122578372,0.14368733635608916,0.11098779134295228,0.06584929917531591,0.0925383262901385,0.05270709496061609,0.07741491527367607,0.05599402730375427,0.06826283720577453,0.05802146794313896,0.050471449218839615,0.05727770522601783,0.07180413684478724,0.052882072977260705,0.05058052649729854,0.06189297276709198,0.04354031107133354,0.04632451542118737,0.03903010196614139,0.03191593832858686,0.03675749852970006,0.01759103359887417,0.017825311942959002,0.017900981996726677,0.03028391167192429,0.025264647179202144,0.012192445560730571,0.01427110339414409,0.0,0.0,0.0,0.0,0.011563634681653138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.017225935368290497,0.0,0.022561904224716565,0.025460841226194113,0.016614055490945343,0.03150327920497179,0.022746659084446973,0.042340363597872396,0.04165747751721434,0.03566757817144216,0.018149643813240166,0.02627602969191355,0.010737447923377571,0.01607587814484366,0.030716933221387174,0.024381819290082696,0.030361299463617045,0.024431956999755682,0.0356088058482227,0.043345442536327605,0.07232899359371771,0.1235236753711128,0.15221045935753555,0.1215675057208238,0.17537449762513702,0.17606483044715643,0.17759431698185657,0.1432742214532872,0.12165070650987243,0.10042177144004821,0.08186935016203309,0.06618133686300463,0.07098743522396536,0.10441319782820548,0.07561436672967864,0.07559821193794374,0.07455671172485331,0.07894903050590539,0.04960471244768253,0.042506679621083315,0.05303007983973131,0.05122076148198737,0.05596753882748006,0.048062802061360176,0.07321601338807102,0.04381669158204031,0.04351275947682305,0.03729355354288758,0.03593840709921765,0.03970842669540801,0.01751211254450995,0.020999580008399833,0.027420632502589724,0.01612227130558153,0.019238168526356292,0.0,0.0,0.0,0.0,0.01715324710967786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06888001102080177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08294821661334281,0.1122754491017964,0.06402868485081316,0.0,0.13994910941475827,0.09797917942437231,0.10471204188481677,0.19613759806879905,0.1665001665001665,0.11614401858304298,0.08431703204047217,0.0,0.0,0.09604610212902193,0.09419152276295133,0.10396554284865588,0.0,0.08840430234271401,0.075007500750075,0.07336757153338225,0.0,0.07115411982353778,0.1078167115902965,0.06442468754026544,0.06056935190793458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009655119144170238,0.011402075177682339,0.016319425556220422,0.01830343771839329,0.023413354977679268,0.011527709732268942,0.009514747859181731,0.006462620204735808,0.005949547834364588,0.0,0.0,0.013713658804168954,0.005167851827352406,0.006210151527697276,0.023203813863224065,0.02996863995890015,0.03585865171469553,0.04409426890541779,0.04694609625153477,0.05953783753612583,0.05375293197810789,0.0545325861208767,0.05675430841600908,0.07245899479612675,0.06605487272641487,0.06073931899075548,0.045379636485227734,0.05057081810940997,0.04108094229411387,0.056203799865599605,0.05380007890678239,0.03911794619605915,0.03158463152961314,0.04264144360669083,0.034126230158364156,0.050862884371709535,0.05709221671182916,0.04882057624553495,0.05023763197346177,0.0491713853269513,0.04324720542422576,0.050152197989732736,0.04168574415887052,0.0432786792198486,0.028404745777525293,0.03892593789476777,0.0276912944557538,0.023567692494830313,0.023910897198568433,0.01773582868731734,0.010020349016464205,0.012426701875655316,0.013703740359799318,0.010725668055896054,0.010810727330290886,0.004534667533292017,0.013398539559188048,0.0050887255650302774,0.004960528367135791,0.005706907498163089,0.005270568393154285,0.0,0.004185991996383303,0.006803241744691345,0.004303333362022222,0.0,0.006734516924682846,0.004998333888703766,0.0,0.0,0.0,0.004695893910364777,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005714155105026171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01561636595151719,0.012858759386894352,0.010847898897582274,0.02257623005178423,0.023924118325874637,0.02598361664592536,0.02213656961300068,0.009478544637174851,0.02510596192754715,0.0186312259346665,0.02394712474855519,0.01702823280999898,0.017302834204242654,0.011453629164212317,0.016524828554903743,0.011075248401999874,0.013546056592414209,0.01817575959528642,0.010538676944385896,0.014968491325759276,0.020556191818635657,0.02264428656344646,0.031944000777766976,0.024186721489902044,0.017156280518383613,0.022839451345624342,0.012557765722322683,0.011724093011137889,0.00926305760298535,0.013469827586206896,0.012185380251560405,0.0,0.01491747921723918,0.0,0.01175118817569332,0.0,0.0061961707664663235,0.0,0.0,0.0,0.0,0.006119576525304448,0.01064547035236507,0.0,0.0075020630673435194,0.0,0.0,0.0,0.00882391870229569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
