state,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03556862373138576,0.05921067614037484,0.08475158622901253,0.08962475530083257,0.21341093731053717,0.21069652350736212,0.27001110326032096,0.31670013903908545,0.33444816053511706,0.38512581644070887,0.3950719966730779,0.4493732425827136,0.4057971014492754,0.3870932065142257,0.3645967903999081,0.3713619483547802,0.3217220906086397,0.3408991579499432,0.3030218007351084,0.29004280243298036,0.2450909720019607,0.19568873260969272,0.2155313173535367,0.1547102545992668,0.1713107016746495,0.11236744153381559,0.1180432593827032,0.11256507668495849,0.10753073586866913,0.08584972565413759,0.08318149409807495,0.036376864314296105,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12048192771084339,0.10395010395010396,0.10465724751439037,0.18711574445335472,0.2893359052080463,0.2219591595146493,0.1740506329113924,0.31761952524239384,0.20537395173712134,0.3904863329783458,0.32,0.42341678939617083,0.3725088470851183,0.4179331306990881,0.2708978328173375,0.4588986432561852,0.0,0.38284839203675347,0.36496350364963503,0.2278336814125688,0.18835938971557734,0.26980150317980345,0.2352479905900804,0.17850059500198334,0.1250260470931444,0.2411575562700965,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01746114894360049,0.031400460540087924,0.06536748784573274,0.0927699909246748,0.07555723460521345,0.105433901054339,0.19830936260566484,0.17922971954622294,0.19157852724007185,0.2092174084673838,0.20020790821237439,0.19897229841981226,0.26339899221255153,0.24248033317908374,0.21986271986271988,0.2651171236607954,0.20784111701277244,0.23979148566463945,0.21038587848932677,0.1983393283356305,0.1858352260995251,0.13569616981406393,0.13805798435342845,0.14969779757115326,0.1124114258184957,0.1033420829630242,0.1117642188922924,0.08599173640386752,0.07926905586382411,0.07729966503478485,0.028813972560232284,0.0378366873980183,0.027141729174891435,0.020739895782023697,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019879134860050888,0.04013002126891128,0.04303094316003599,0.0863727376231793,0.08968609865470852,0.21155066638459913,0.29095888066407083,0.26906620793083674,0.37020713970912295,0.37163476081413943,0.30518376422374327,0.48562803517521985,0.42177233173503814,0.48972869896853605,0.45990355420610823,0.3819881358978968,0.399784385949151,0.3718304811396828,0.31116121758737314,0.2658160552897395,0.2608148214767515,0.21618573174170508,0.21159334711150476,0.15762925598991173,0.1378579003181336,0.12099879001209989,0.09534492428491306,0.08317161075686166,0.09103840682788052,0.08317984671142534,0.06920415224913494,0.05908613445378151,0.0,F
California,0.0,0.0,0.0,0.0016401939365310555,0.0,0.0033639143730886853,0.010852657092211409,0.0126461289611058,0.021924276920482336,0.0254189990440246,0.037536937944253654,0.060727822958153474,0.07085526615009348,0.08299574254272038,0.0723157591681194,0.15733129111147617,0.13314267174563502,0.12552072459013133,0.13288456999784512,0.14147413403285902,0.13318870230265414,0.1601492869875223,0.16536354539441325,0.19586233835079447,0.19173704633645286,0.210383692977015,0.19305237251205165,0.2096382606823442,0.18260235417450063,0.17784166173444943,0.16082835125366554,0.16279400775717895,0.14718906703563742,0.1231721256552757,0.12050451222451329,0.11759552530493968,0.10776604095798156,0.09780934334828306,0.07819627264433729,0.05304676053898395,0.04511117227880233,0.036619156701509115,0.033245105936808725,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04138597015611707,0.03448672261179446,0.052370976956770135,0.08708062214266708,0.0804583688894307,0.13660535688149486,0.13748404203083572,0.26465398941384044,0.23119644158520344,0.20881079704609118,0.2608428805237316,0.23470031545741324,0.2652787953816225,0.2682338023360725,0.27828651618580974,0.299063700568221,0.2773798967783007,0.26856452262656105,0.2570809022421926,0.24977450912370777,0.22698846528002967,0.1461038961038961,0.2075381679389313,0.14224053364724348,0.12862728956575425,0.11950676299636047,0.10890204400759522,0.09380596378521276,0.11819308714578107,0.12697679787602448,0.08960832490244255,0.03525057282180835,0.031249023468016626,0.016376797353509547,0.02005615724027276,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.015180957007529755,0.038299502106472615,0.08252233794320188,0.12033020847908213,0.1548690288643828,0.16212117250215724,0.1855765761121707,0.23804039007909086,0.19179541822056473,0.2626268211096674,0.2836316192529143,0.2247387776545444,0.28499430011399773,0.24983242946803974,0.24828297810595557,0.32384250352699756,0.31746031746031744,0.29771749917300694,0.3211412345345142,0.3179650238473768,0.3121890973961371,0.29273168642010566,0.3175189219124977,0.21953896816684962,0.2652723847602937,0.1799002371412217,0.22430229047146616,0.18941102191756112,0.12931830777757253,0.13165937837964922,0.09980988593155894,0.08898047112817871,0.052874447221688145,0.063650607128868,0.0612119975515201,0.04752600728732112,0.027572515716333956,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08086253369272238,0.11596443757247778,0.2059357964869776,0.2363507445048452,0.32918800292611555,0.3101175862514537,0.26936026936026936,0.45125119649938467,0.4031097034264325,0.2505526897568165,0.35645328976682017,0.37020583444395083,0.3222026947861746,0.4465571881302218,0.27368100957883534,0.2808988764044944,0.3459210147016431,0.3401863629640586,0.32811334824757643,0.31900349384778975,0.3061849357011635,0.28526148969889065,0.15067805123053743,0.10442046641141664,0.10432968179447052,0.14540167211922936,0.11396011396011395,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.007138650438134671,0.008521226374899875,0.01952823049821398,0.017543300054224747,0.03380532741227902,0.07623236210371999,0.08846290478744523,0.12164036820129431,0.1532490936309393,0.22359633214616062,0.2614647903874967,0.27616453119386897,0.32234521347767914,0.2715043810934222,0.27529090614662133,0.319880372448665,0.2881441497417576,0.30072096900670725,0.3010848247119392,0.3050169496760643,0.3000438351194885,0.27094824441913606,0.28642255323170424,0.23243618634579133,0.21258230430657507,0.1972698455723461,0.16987496880258274,0.13060295028715904,0.1352144296757405,0.10155866734372446,0.1064944580284042,0.09428323694555985,0.06831056314561812,0.044692172123890074,0.04442973133080113,0.036175196476535866,0.033810436154626394,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008491607461292423,0.0,0.01746818774270703,0.05674769709926887,0.06598063722069254,0.1117641149286719,0.11203022210642873,0.22363667641493207,0.2249461206896552,0.21798291338902503,0.2784912802487495,0.28614437407613336,0.268362328803342,0.30683658014310333,0.3007690550521587,0.30856930417002293,0.31974321012229867,0.32881987422327247,0.3254116950991026,0.2775117267123456,0.22887216204638638,0.24248015802609324,0.2529018096794589,0.2588211758233514,0.2155086930653798,0.16858431322965398,0.16578010350444722,0.14559465858787887,0.11589055115740043,0.11150260916105437,0.10085956434689669,0.05977662419380211,0.042117540335644396,0.046578225542118795,0.057320961559130156,F
