state,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0914324899638556,0.26572707920428684,0.44713347598317715,0.4170995768773245,0.5244621975575917,0.5403288958496476,0.8958092414938841,0.8313944975025624,0.8757400620242458,1.018471541048913,0.9939001812406213,1.076726750677939,1.014707333925575,1.0359142323951707,0.9323414528824072,0.7910505668836488,0.6495416996718344,0.589074508721064,0.4387752655429544,0.4019880134483263,0.3082940296790521,0.1746787585843842,0.21900807592279964,0.17471944089778912,0.1631321370309951,0.1262921558538753,0.12298086701511245,0.08806588280097111,0.0710042365861163,0.07227522405319456,0.07188211333413203,0.021341174238831452,0.027328004372480702,0.027487000939139198,0.018868369537017385,0.019400994300957923,0.017149717029669012,0.012617341273846774,0.01802358514856584,0.023333592595473282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18000327278677794,0.19692087361260296,0.37030179596371043,0.278503046127067,0.31424581005586594,0.415296764146046,0.23878560463926318,0.3214285714285714,0.44205266192581205,0.4270896888346553,0.5065428450823132,0.5007302315877321,0.6307339449541285,0.4524886877828055,0.6779661016949152,0.4900916258256978,0.5251141552511416,0.37420206911732334,0.3268641470888662,0.21572857423024122,0.2565042139978014,0.17452006980802792,0.21290533901080905,0.09357454772301933,0.1463914507392768,0.07714065312419646,0.0,0.057195149851292613,0.07974481658692185,0.06059137178865729,0.06398771435884311,0.0,0.0,0.0,0.10692328254477412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021331968087375742,0.0,0.0,0.11033873993158998,0.2575916990167979,0.31919744642042863,0.3500583430571762,0.43310234541577824,0.3945754169567956,0.4788751528324956,0.4743303571428571,0.3890759446315002,0.517234571800845,0.46515294859665723,0.5856457825642638,0.5126871493851469,0.4666260904848854,0.44524789930032477,0.4412423730566376,0.37343834872351983,0.3067584766504585,0.27372567346530025,0.18076644974692696,0.17684582833322807,0.12285012285012285,0.1124954298731614,0.07069728470058391,0.09827638342908981,0.05726949030153631,0.06151120734197771,0.04038772213247173,0.04219784124727935,0.013095861707700367,0.03349382457609378,0.01838460595661233,0.034284561863466775,0.03976696558169129,0.01824817518248175,0.010015624374023476,0.01018350679239903,0.0,0.011842494818908516,0.011550456243021598,0.013522389212996947,0.011452130096197893,0.0,0.0,0.0,0.008882099017639849,0.013900955690703735,0.0,0.0,0.00953001159484744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12923804548079304,0.3563791874554526,0.5163114021171652,0.5731242545020802,0.5443800762714331,0.8155946321147616,1.017535628408891,0.9834506937635559,0.9701189832341806,0.9781818181818182,0.9767917313444138,1.3096387869422446,1.0219800864174338,0.863298825767275,0.8259651420878361,0.8279170535437944,0.5721501006195004,0.49146704848883555,0.5294375223916246,0.3736590461649725,0.3130555770271315,0.20826658122396666,0.18959502502654332,0.15791406536907823,0.12826991098845572,0.08831547824751372,0.06185248183083346,0.06989205560301312,0.06605019815059446,0.05172894035255263,0.0357824427480916,0.048156025522693525,0.0,0.02748223469828432,0.036689767631471665,0.03807911994922784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.004755531702412413,0.0032917042469568195,0.006314008258722803,0.004770233741453331,0.0056197665923608635,0.006170934896636841,0.004647272051305883,0.004143360265175057,0.0038927335640138406,0.005194950508106121,0.010620019495321502,0.0051441085259924454,0.0093598577301625,0.012573486933768308,0.1199533225114575,0.2463753756729086,0.3204516101884191,0.3266203406496707,0.35173327718811537,0.38192254123701685,0.48005839306769477,0.4066398755261978,0.4100872024510959,0.41476256705742104,0.4100995956160782,0.3928437382709872,0.3402194674615483,0.34542665271413914,0.32281367104609693,0.28932473237462253,0.23218294650402477,0.17498244014245048,0.16012941070742887,0.12905561195180876,0.10428675444451185,0.08472506900098414,0.07926171379887079,0.0593750205024242,0.0526281165712782,0.04801223241590214,0.028940418912563763,0.03529152268215572,0.028670208280630743,0.023484944768935773,0.03194633016532226,0.022266868417989607,0.020346951428236303,0.021085404862204636,0.017455528075063304,0.018972302751678008,0.01778440019707038,0.015161909306926754,0.012570162026823185,0.011899693516782535,0.012357714646638016,0.015040106951871659,0.01413363635849686,0.013113290459383675,0.013980826295366353,0.012863133402127275,0.012418573670365895,0.010198618087249176,0.008546132020647456,0.0067641836475860325,0.008240321884021731,0.004151395461931703,0.0050428802410496755,0.003941508020968822,0.0036820823179712393,0.0030325493631646336,0.0017215022517249451,0.004430388374660905,0.003170119161256917,0.005412934748875914,0.0042052787717527604,0.0,0.002983535148175142,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02683043167183401,0.0,0.0,0.01891840761060512,0.22418496610215272,0.488373985945682,0.46770184675414916,0.5893137768465165,0.542793198363903,0.6094665189172076,0.7254418969764231,0.4808513059807659,0.5681280181800966,0.6021056880487067,0.555208778212162,0.5720529631057977,0.572011625749799,0.5313839469203218,0.5557082226496901,0.5219507509046079,0.39913148987802544,0.36150309180275886,0.2696685585274842,0.19433048520929086,0.1903311762466692,0.13762651604209078,0.11198805460750853,0.09354536950420954,0.09670244657189828,0.055059762784188664,0.03207551492656998,0.04400898709841799,0.02529142620651599,0.02529026324864927,0.011902494762902303,0.012094530853148206,0.0,0.01463628823730302,0.012275360895610331,0.0,0.02010403839871334,0.012732365673542143,0.0,0.0,0.0176852530254415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07636042118800739,0.0962463907603465,0.13410000609545483,0.15990284384171644,0.20156364524798434,0.2052742925368132,0.3116743725231176,0.30791485844182687,0.3250623036081916,0.34076968512881095,0.44813119755911524,0.4725368408232859,0.46066277555351887,0.4895843333013344,0.5649870242214533,0.4210985994572507,0.3213496686081542,0.32065495480129624,0.29607440175554706,0.2874991126570597,0.18794375609076988,0.15122873345935728,0.1018932421772285,0.14263023112580636,0.06315922440472431,0.08060765772748411,0.06983240223463687,0.04124561765312436,0.054066359342097775,0.02798376941374003,0.032041868040906786,0.023533718589022826,0.0180421671220166,0.017917018608103612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13023442195952714,0.13407590759075907,0.18537590113285274,0.17810371922472498,0.22594228201704836,0.3892312682452157,0.415202810603641,0.5013623978201636,0.43844057352766913,0.561377245508982,0.627481111537969,0.4645760743321719,0.7633587786259541,0.6491120636864667,0.693717277486911,0.49788774894387444,0.5827505827505828,0.5309440849510536,0.32040472175379425,0.25911210917256866,0.36148537627341437,0.2241075716343845,0.10989010989010989,0.1485222040695084,0.16398330351818724,0.08840430234271401,0.09000900090009001,0.0,0.0,0.0,0.06738544474393532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10552075615724837,0.2525225038912412,0.36710409721929194,0.3762196130312552,0.5019872484888631,0.5526726574695187,0.6657319305155676,0.7041335245794758,0.7136309309692617,0.706598935888485,0.767790029892956,0.8319487881157155,0.7541740633738266,0.7541774445281207,0.6960454954658235,0.6157257779140815,0.47984062002696826,0.4346891494900762,0.35399572676586977,0.28499903716541497,0.23458977335206796,0.16976913788362447,0.1777072412906687,0.12022537162885003,0.1046653615800593,0.0839320795786794,0.07317116699088037,0.06390919781174907,0.04393851862098146,0.039871136486874424,0.027658904246410106,0.02272310793476269,0.017413957635323864,0.019817812796840084,0.01489921743634132,0.011653229036933452,0.011751226534269514,0.013471440546042391,0.00836272959493979,0.009255831173639394,0.013109090768886729,0.013103533329222422,0.006990019805056115,0.009897145815410617,0.008427310615346899,0.005405363665145443,0.010580890911014709,0.009676723014969146,0.008723529540051905,0.007086469095908273,0.0035668171863519303,0.0067764450769126515,0.006440757110998398,0.005023190395659963,0.0,0.0,0.005963689649590636,0.0,0.0,0.0,0.0,0.005426279471480379,0.0,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08261189384937474,0.24819967838914914,0.4065711322711417,0.437611020268919,0.5336242573729085,0.5946135012242042,0.9722339641783113,0.9381832160103789,0.8988272811439152,1.011566572199547,1.0540277405426761,1.1779110022798278,1.0776363114204834,1.0534402833480911,0.8855668846731933,0.7974834965220858,0.5729101974909949,0.5060825696861331,0.41889452712597486,0.37720178565248985,0.25688853982590487,0.22308518549120052,0.2041010062654262,0.15502709211318483,0.13177425706582654,0.11441992111047544,0.10328259014773901,0.06607347370275747,0.06793285969033938,0.058332523159400566,0.038967495733731074,0.04223084435294428,0.03172146020225603,0.0238597548724131,0.023448186022275778,0.02646587886567243,0.010775862068965518,0.01083144911249814,0.010815195349466,0.006780672371472354,0.009253873407011792,0.006528437875385177,0.008883474199852788,0.008674639073052853,0.011197233039302288,0.008751859770201167,0.006163100285967854,0.006139639971512071,0.007343491830365339,0.0070969802349100455,0.007157598387154496,0.0,0.006610696106299992,0.0070243463845689165,0.0,0.007353265585246408,0.0,0.0,0.0,0.011011483404121442,0.009719432385148706,0.0,0.0,F
