state,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01357926898268643,0.0,0.0,0.012181454952979584,0.0,0.0167500179464478,0.015969338869370808,0.013439956992137625,0.01608345012981642,0.0140324617615417,0.011825083366837736,0.019041271956966723,0.018934463089631013,0.028910089621277828,0.05750569066730562,0.08773593853741819,0.07515201202432192,0.11911033740293651,0.12736149437486732,0.12610646295622652,0.16659725114535612,0.1741193095790855,0.19568463875585768,0.22815068315573875,0.25501574331884774,0.3378905234703956,0.4414895014847713,0.38998682476943347,0.4036829153648353,0.43923865300146414,0.5009068140599361,0.4825831359129596,0.43996387051659336,0.42928088437473694,0.5237666141022753,0.4786482512038292,0.42806910258370284,0.36575011429691073,0.4069552349241583,0.30066776212285423,0.27038415619074374,0.2395583793354859,0.18291824961305755,0.17921789311444855,0.12690829009742077,0.10298661174047373,0.08892122387939048,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09805844283192783,0.0,0.0,0.0,0.12476606363069245,0.0,0.0,0.0,0.057195149851292613,0.09113693324219639,0.07270964614638875,0.16636805733299206,0.2677376171352075,0.2858627858627859,0.3401360544217687,0.4410585404971933,0.48222650868007716,0.31074282332050907,0.2689873417721519,0.38448679371447675,0.3422899195618689,0.5679801206957756,0.8177777777777778,0.312960235640648,0.5773887129819333,0.5129179331306991,0.42569659442724456,0.5586592178770949,0.562015503875969,0.36370597243491576,0.5378409527468306,0.6075564837668501,0.6215859860614052,0.3854307188282906,0.4900999803960008,0.3768345894486315,0.27088976870181286,0.18086816720257234,0.2651978784169727,0.0,0.1763668430335097,0.17228648781688408,0.23407022106631986,0.13758943313153552,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020683236237029886,0.0,0.019580328296837778,0.023366825783623195,0.023006639058699794,0.041053495863070805,0.052211302211302206,0.036561014708777456,0.04189468722997565,0.05795786715048887,0.04730957894474739,0.049208965873582165,0.07364819918274257,0.13547727979389684,0.1396891915488039,0.2595771404647268,0.31458103525758874,0.40939800342845617,0.4573201041894498,0.4683698296836983,0.3906093505869156,0.472514715167315,0.4889243663939334,0.3947498272969505,0.5332460632194972,0.5486226480701618,0.6604061688807452,0.6293382693197594,0.5630630630630631,0.5157072816415471,0.5595722381113105,0.5855777584708949,0.48576902025177887,0.43029549198238476,0.4542638860210614,0.410319370628241,0.3749723031821513,0.3592747141707678,0.31314611478009513,0.26662257404460243,0.2628528851726136,0.1950544264770654,0.16062413951353832,0.14386326548140513,0.13077110623490035,0.1395227847801925,0.1307737860244769,0.10110699193736553,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020025632809996797,0.0,0.0,0.0,0.023038820412394884,0.019328900572135457,0.0,0.034967751962079414,0.0875412836735506,0.09939567430025445,0.12039006380673382,0.12909282948010797,0.20415374347296927,0.15491235222176927,0.2073196530569071,0.2524496170467674,0.22054607207445637,0.31732040546496254,0.26360140011235467,0.34442167676679597,0.3850024062650391,0.38181495293908724,0.3770477593828552,0.45543847115556346,0.4134459823836059,0.38630850777108977,0.4479885314935938,0.3878241262683202,0.43416622363990787,0.49015199208561927,0.3853745652786916,0.40842436768034646,0.4361076082387558,0.28632025450689286,0.3244967550324497,0.15703869882220978,0.1275298031605212,0.15362731152204837,0.16635969342285067,0.13840830449826988,0.09191176470588235,0.10349109976542016,F
California,0.0,0.0031315468902173606,0.002167370546053528,0.0018737001205413743,0.004055074145471106,0.0022272919629760437,0.003366890003703579,0.004612415202520507,0.0021433776774359486,0.007149112616396489,0.012434417084889075,0.01354614324369173,0.018811985492196787,0.012632488314948308,0.02219395812170825,0.017251789873199343,0.0196076829437668,0.028722742903908652,0.024270371943450036,0.02663844964223082,0.03945627162675066,0.041988964775195016,0.034458885850241684,0.03302752293577982,0.03798429982273994,0.0514668039114771,0.07870253253506479,0.11466178916598053,0.18076298485211512,0.2502492371067241,0.3308174926332067,0.3734808414422417,0.32984147206775466,0.314199843131448,0.35809130126533606,0.3544406995356976,0.3519645367510492,0.4104072075121443,0.47783163300333653,0.546457219251337,0.5902206543308288,0.5594073908737078,0.5874800273910066,0.535678044346367,0.5438770786998882,0.5138970336186113,0.4629154844517372,0.3948592204278346,0.4438407856152395,0.4041680010437794,0.3813678182293817,0.3504657548644778,0.3129769970275554,0.28472269020823504,0.22758259767803773,0.23719617759723,0.207818922793509,0.17068787574788716,0.15712450683548948,0.13996655450354595,0.1376688361229387,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023486583289295992,0.015266709413453025,0.0,0.022351363433169423,0.022197558268590455,0.03135680913110282,0.027761497887041547,0.03806623524933384,0.04587550534736359,0.07732508532423209,0.08596060981467904,0.04835122328594914,0.07111886026291037,0.06644213806218068,0.08338544923910778,0.08966960200492033,0.12875043108403264,0.20710340887450007,0.28059311579303836,0.331586005120078,0.5049519441869541,0.42472748698811746,0.3381689864732405,0.42469781117281935,0.4329004329004329,0.4270662847790508,0.42397476340694007,0.5128723377378035,0.5145212026628301,0.518516756653902,0.47160045089604086,0.4547211422595093,0.4990824045476926,0.46721659624885437,0.35847267513124725,0.319636818455552,0.3409090909090909,0.3864503816793893,0.3016480282519129,0.30870549495781024,0.2933347819001575,0.21221936780967274,0.2188805821654965,0.13260687826112022,0.13852014313748123,0.09828009828009827,0.09400152752482227,0.07812255867004156,0.06550718941403819,0.043455007353924324,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.013002492144327662,0.011358989504293699,0.0,0.02435756911460236,0.02653031691669481,0.014399539214745129,0.032439446366782004,0.021834742194079666,0.04351610095735422,0.040934675081016544,0.03483228255947612,0.042592461134379214,0.03828483920367535,0.03780718336483932,0.05259006047856955,0.09400628869655418,0.07894903050590539,0.07130677414354364,0.05465144522710712,0.1178446218660696,0.14512549086563087,0.15111235483419616,0.2616752556674054,0.3582354940773475,0.43301201092839836,0.5221531137218767,0.5514118273841236,0.5307826279269068,0.4963553336926001,0.5574689160002335,0.5909881802363953,0.5301322283834013,0.5836262212620514,0.6508913684750545,0.5923744068073965,0.588819053919947,0.5003042390642958,0.4665791110803899,0.45284572369549553,0.44266742824503785,0.40982093409636333,0.37094515310950454,0.4421206412671562,0.32709134025676667,0.3105724021912608,0.2299990980427528,0.2632551265472012,0.21159542953872196,0.16159695817490494,0.14049548072870321,0.11055566237262064,0.1517822169996083,0.09691899612324016,0.12145535195648731,0.11580456600860263,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12955232474449402,0.0,0.18867924528301888,0.21904393763690247,0.2180496668685645,0.3545261167572678,0.25603511338697876,0.4264116810957488,0.6060606060606061,0.34185696704498836,0.48949035416066805,0.501105379513633,0.5940888162780336,0.429438767954983,0.4100761570005858,0.47536732929991354,0.5929755207541432,0.517445298639858,0.5044681464398962,0.5472563230291377,0.4921700223713647,0.5164818471821357,0.6276791181873852,0.4754358161648178,0.45203415369161226,0.41768186564566656,0.33037732568249,0.21810250817884408,0.13295346628679963,0.2547307132459971,0.24440684339161498,0.21048603138155378,0.12222448563862294,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108287724784988,0.0,0.009822861072001572,0.010978635575170719,0.009436410389487839,0.012147863798151096,0.014330411521650864,0.01643551588555824,0.008986456126837409,0.018327326043130306,0.023911146180792178,0.03241201256244901,0.0254714770400106,0.025197216676680945,0.027669916344619586,0.032123926971606015,0.03238066022461953,0.045565871162499286,0.08133711843322382,0.12216016042164463,0.16932380428807037,0.2026984668751698,0.2815496162861419,0.278828212022959,0.28404745777525287,0.3128764064749258,0.34052808046940486,0.33983092081255317,0.34400839195359745,0.49428983428567025,0.511808595917864,0.54366820705992,0.5382524685765621,0.5232593772983575,0.5521192886541417,0.5502063273727648,0.5232874061171777,0.49287941901293264,0.4414870246750854,0.4793802298456995,0.46079826523006034,0.37839448027115585,0.38176247007015723,0.33420925070796237,0.32361066882407113,0.21895260570639904,0.22308087313011926,0.17660779740086638,0.14588199580062233,0.1271909955744503,0.11847376846065495,0.12021488410533829,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007036505389963128,0.006837793854190884,0.013021511537059221,0.0,0.0,0.010868215128555458,0.007982374916185064,0.01702823280999898,0.0,0.008181163688723084,0.013219862843922995,0.026897031833428266,0.019566526189042744,0.016661112962345886,0.016560778055463552,0.016465340458335205,0.013214694740551494,0.028305358204308073,0.03611060957486702,0.06449792397307211,0.08710111647794759,0.13323013284947532,0.1393911995177818,0.14589982413860483,0.16408844896716906,0.18588362068965517,0.2057975331374646,0.15952413140462351,0.24546033984729926,0.32652953307598753,0.35122995769572257,0.41625421965024495,0.35318173368858047,0.3807059233362778,0.3463235937636748,0.38457745784439407,0.39293695817677254,0.3475919466372927,0.34420354139313725,0.4270700371002183,0.4238665633049089,0.3186355523236597,0.33576375718239415,0.298404186308005,0.25001102989837787,0.20468980464164233,0.19475789066797497,0.14752592994023694,0.13843007708038382,0.10691375623663579,0.10178204840685218,0.11464192311826031,F
