state,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02070631542620499,0.019142877653083198,0.013688004745174977,0.024639921152252314,0.05284562185511109,0.11693718134618084,0.16791618380909587,0.37606512115009283,0.8307495680575607,1.1636311072564325,1.2651251946807236,1.3871763255240444,1.9061283049805287,1.8072703117484021,1.379749522394396,1.2756153752879835,1.2519293431658378,1.0649036035126678,0.8805808744013596,0.824453605040056,0.6583569699966171,0.4938399958413474,0.4283499329882007,0.2924901185770751,0.2543755357093483,0.111962793902334,0.09212079339033306,0.09066713462607119,0.08158270446665307,0.05611514828427934,0.03942329353457986,0.04325134800034601,0.02140345512918514,0.029390634184573182,0.04035919685198265,0.04195364122644478,0.04564927312311258,0.03819046627087456,0.031658927817644573,0.0250905050360228,0.022395580605427196,0.023766141170878555,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1610305958132045,0.15428130624839292,0.241196333815726,0.38892701898878973,0.6037821827295511,0.5937954435288415,0.7166624008190428,0.642570281124498,0.6886694386694387,0.9811616954474097,0.7350975674953221,0.7026729126481124,0.5474992601361349,0.7436708860759493,0.5683717820127048,0.49632038336470996,0.3372381966631168,0.5155555555555555,0.33136966126656847,0.2607561929595828,0.11398176291793312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.016738642830839277,0.0,0.020369364475828353,0.0,0.0,0.0,0.015789806101181077,0.02457002457002457,0.0,0.034039433374355214,0.0554379598830763,0.11702895844226988,0.16238958738282117,0.2660838164021667,0.48194376582419046,0.6744368779465689,0.6740632195938874,0.7823671201536135,1.1071896742966623,0.9603722187978445,0.7684509326845094,0.584912463442971,0.6069370048269822,0.45300339253641986,0.3986973255699201,0.37538982789820197,0.26658424448479695,0.31493357764544205,0.21101341971309578,0.15730015730015728,0.10895224260032686,0.056845433712895035,0.043440486533449174,0.041050903119868636,0.04874441120112953,0.031766705316158134,0.04361662601166341,0.023861873838864175,0.018712224696394157,0.04014693779231989,0.03513630820742823,0.01862736981538207,0.029363031942784036,0.016688222287120864,0.021472129176329124,0.01551521599397123,0.021283136661385295,0.012337149624950652,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.02708873495607755,0.0,0.024107035236449838,0.03091906933601299,0.04806151874399231,0.04929470650690126,0.07344840249724569,0.12438294398880553,0.20350958030948815,0.3092624091541673,0.4310010095519142,0.8703084932784211,1.0703911503720505,1.0615458015267176,1.2199526465749027,1.7877400931033134,1.727454752463586,1.3330615572768039,1.197376771736831,0.9755680116383553,1.045388381632923,0.8373732921992068,0.7043775117756363,0.7237214980163056,0.47687798048737806,0.43065174924524946,0.27303458438068823,0.19199857117342384,0.1258313859428366,0.09882310663911598,0.10303736224352657,0.08117249154453213,0.057593478646110224,0.053961687202086515,0.0,0.029524653085326247,0.0,0.03711558854718982,0.07149928500714993,0.0,0.02772387025228722,0.03413940256045519,0.0,0.0,0.0,0.0,F
California,0.0017872781540991224,0.0024178033220617645,0.0016932679054614663,0.006396075067346909,0.004482495853691335,0.007255717078250774,0.0078043811331139894,0.011437815050530634,0.01416464033617413,0.014789757903039862,0.018498923362660295,0.016411015632365317,0.03969269326405154,0.039784350027097216,0.08868501529051988,0.12239385498438422,0.2052790236012058,0.4022261573488489,0.4898683185332132,0.5201927428586641,0.6146161748556449,0.724590846744368,0.615738684539912,0.5238925374217052,0.4236376382722248,0.3833259231665846,0.3313250017398912,0.31066257580577306,0.25835556813103416,0.22655810185503028,0.20471256684491979,0.17158234539215186,0.09876818771535789,0.0636270257931979,0.041162026886807285,0.04177156598213983,0.039377997614656546,0.03304504381317016,0.034102759223246244,0.03580277784092201,0.03024588122264527,0.0330939015818885,0.03810124420269862,0.036486088423533194,0.04616214030595054,0.037873049537948796,0.03816949984323241,0.03874590085980676,0.02886898532733821,0.02446707649019788,0.01586830123732062,0.0161963336615222,F
Colorado,0.0,0.0,0.014679114555809992,0.0,0.03202151846040539,0.0,0.0,0.0,0.015423054381689751,0.02928171942256449,0.04874272443157382,0.05066126279863481,0.10365838242358354,0.0894497630790059,0.20188579687535846,0.3001351753843334,0.5211590577444236,0.7334513599889637,0.8943556730658697,0.8688821176918682,0.8949952831329673,1.0703401194684872,1.0977216177977265,0.886281056663066,0.7964124681435012,0.6910763199557711,0.5780494015788133,0.4577536824877251,0.4113564668769716,0.35623152522675017,0.3267575410275793,0.3210998263682421,0.1633347903103361,0.07957619989541413,0.07161720603374962,0.05141618044843851,0.04625453872661255,0.05558901190531339,0.02782931354359926,0.033396946564885496,0.012262114969589956,0.030870549495781024,0.024444565158346462,0.027923601027588514,0.03126865459507092,0.02017930756147482,0.02597252683827773,0.03179650238473768,0.017625286410904176,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032868787799105965,0.01620798080975072,0.04421145708330702,0.055805301503642844,0.07894097643915472,0.17382081725245263,0.33578054749302827,0.4617321953267105,0.5233505113348108,0.7112412729126899,0.9536574050208774,0.8830530599708208,0.780500799147576,0.6164819063942719,0.5644269223132995,0.49033915124627864,0.46799064018719627,0.40521601364938153,0.35791442298390996,0.2725407207900475,0.22582228767795776,0.10916308303010255,0.09127171928875667,0.03110527407202599,0.054890390750969166,0.0,0.02584456341148237,0.022710927741398237,0.0,0.0,0.0,0.0,0.04156659892850545,0.03761696525132835,0.04277566539923955,0.04683182690956775,0.0,0.02448100274187231,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19501950195019502,0.19075568598679382,0.30228875773715275,0.6973103742706703,0.8221024258760108,1.1725293132328307,1.4173228346456692,1.5717324509572206,1.1338697878566204,1.0983331179738984,1.1043771043771042,0.6837139340899767,0.6766484307515116,0.6632277081798084,0.5940888162780336,0.429438767954983,0.3661394258933802,0.23048112935753384,0.12163600425726016,0.08870490833826139,0.10089362928797925,0.08874426859931962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10917030567685589,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.007685044902619502,0.00825685909080186,0.006073931899075548,0.008359406720963003,0.01643551588555824,0.019256691700365876,0.019549147779338995,0.022715588871752568,0.02905904574564394,0.04381094050881822,0.07656077374837672,0.11898064028186423,0.20255920618207127,0.3152853758712954,0.6419905776287845,0.899492839143887,0.9642201341456855,1.1456844420010996,1.5366076217409779,1.4350829956332474,1.164267419668386,1.0225708479909106,0.8820764417286054,0.7888276853071488,0.7176742488748328,0.6263112427495989,0.5274481227010897,0.45708207436640563,0.3642576987301464,0.23981545629648804,0.12257906349595489,0.07721948093064919,0.05970645585501157,0.06029342801634621,0.05815686360034604,0.04110152075626798,0.03495480842624892,0.02409402694013387,0.02737321772174319,0.03097634077323644,0.026362561760678964,0.03098400020656,0.04089387188290721,0.03198895539224352,0.03582139286904365,0.027827201511101365,0.027877478482071293,0.01899197815018133,0.026297005898042753,F
Georgia,0.0,0.0,0.0,0.0,0.01624503418841286,0.015526021612222085,0.025543599731792203,0.02554234921499847,0.03460566840848531,0.042542051181360035,0.04957448566471123,0.0648693120688564,0.09181216134858519,0.10299597103995638,0.19421276083225436,0.2799107877916985,0.5036266995565736,0.9553058393953975,1.2235941167483786,1.3625186439311483,1.5414258188824663,2.030173452944386,1.839712678320273,1.465511626392236,1.4106313435403406,1.1745689655172413,1.0601280818857552,0.8341219413275652,0.7635037090277872,0.646449156575538,0.5209693424557371,0.4365593035356228,0.30609083586343644,0.20652674272490884,0.13252816223447483,0.09121388423232422,0.09086667157837865,0.06976317238847071,0.06978697230994878,0.05845372016176172,0.05501512916051914,0.04363059430157996,0.042146078307413494,0.05333794634490911,0.041178287277379884,0.04515216278859757,0.04608774511990247,0.03161269927290792,0.0408997955010225,0.021058770167822198,0.020701433574275018,0.028660480779565078,F
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04613823013749192,0.053514092044238314,0.1095890410958904,0.20813623462630085,0.20891364902506965,0.41865446402492457,0.42315829967301405,1.0680907877169559,0.9940720474236207,0.7326355851569933,0.763813113778395,0.6885212208406125,0.4047720494247976,0.44129601672279645,0.229607250755287,0.3311696913498477,0.20344500203445,0.12994513427663876,0.11407386282617994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05821145310339809,0.06266973052015876,0.10293007616825638,0.14117314886708546,0.16933606152543568,0.22304832713754646,0.24621066399938446,0.43499275012083133,0.6628787878787878,0.4422781839516202,0.5702722590139809,0.9790590155017678,0.7022471910112359,0.6479859894921192,0.6097560975609756,0.5803880803880804,0.549061282323769,0.45725131567595545,0.4171277773048438,0.27390225113412653,0.32668788741832805,0.2592406756982773,0.09175077154057887,0.083236224404861,0.1235788433020267,0.0,0.0,0.0,0.06114805472750898,0.0,0.0,0.050424405412219514,0.0,0.0,0.04762811964183654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Illinois,0.0,0.0,0.0,0.0032396848434584286,0.008646592161864206,0.010725339380381822,0.014572004877786897,0.020049970696196677,0.016956076055708418,0.018667722015217925,0.028089034648203823,0.03983111606787222,0.06208190626329704,0.0718948200138095,0.11678141814195747,0.12388666935454314,0.26573098041518634,0.511147998917741,0.7365606019399873,0.7590737079084372,0.8870897027445708,1.0750256210905749,1.060754856279209,0.9030004988953032,0.7754735322708929,0.7006274275470571,0.6174998859298241,0.5109881965627268,0.4526481922112465,0.3838047516340405,0.33811923238687436,0.25094312792244183,0.15681302549045775,0.08722456514743492,0.05942237951675624,0.057729145346243675,0.045801938050633595,0.05448081628884067,0.042779952942051766,0.03787412534441783,0.03073994010669734,0.022785885179853135,0.04693657013742591,0.0362519966920053,0.03598876221876524,0.02838087129274869,0.03186968838526912,0.03978827813212119,0.01509642843663903,0.028011204481792715,0.008505450576244276,0.013544018058690745,F
Indiana,0.0,0.0,0.0,0.006251953735542357,0.0,0.01009241771075131,0.010217933933758595,0.01776461880088823,0.016651528913109295,0.01870611258201911,0.023411664862017498,0.05345637678305151,0.06629284865895091,0.10534518586931424,0.15888147442008263,0.26102569518837604,0.5428336830581151,0.8867263880678459,1.0779319905914606,1.122724900773257,1.1928760894278136,1.5941681884860643,1.4752697046513,1.1173602177880155,1.0279573241959348,0.942487725557678,0.8535933526620126,0.6412327174053495,0.5566561338594279,0.5057226510513707,0.3984196022444304,0.34662907372087237,0.22915361535164364,0.1371556293072794,0.08763627440670242,0.06430979942294991,0.04918320744774284,0.055386814364838305,0.0429599398560842,0.03275466754012447,0.04342490323798735,0.03970302139992853,0.029232439655892426,0.01273425727444447,0.04573867967678,0.02893904990873069,0.024543710116471062,0.020434575301409987,0.023470321778111577,0.0,0.012880622391673967,0.01610954490535642,F
