,Name,Year,Gender,Count
0,Mary,1/1/1880,F,7065
1,Anna,1/1/1880,F,2604
2,Emma,1/1/1880,F,2003
3,Elizabeth,1/1/1880,F,1939
4,Minnie,1/1/1880,F,1746
5,Margaret,1/1/1880,F,1578
6,Ida,1/1/1880,F,1472
7,Alice,1/1/1880,F,1414
8,Bertha,1/1/1880,F,1320
9,Sarah,1/1/1880,F,1288
10,Annie,1/1/1880,F,1258
11,Clara,1/1/1880,F,1226
12,Ella,1/1/1880,F,1156
13,Florence,1/1/1880,F,1063
14,Cora,1/1/1880,F,1045
15,Martha,1/1/1880,F,1040
16,Laura,1/1/1880,F,1012
17,Nellie,1/1/1880,F,995
18,Grace,1/1/1880,F,982
19,Carrie,1/1/1880,F,949
20,Mary,1/1/1881,F,6919
21,Anna,1/1/1881,F,2698
22,Emma,1/1/1881,F,2034
23,Elizabeth,1/1/1881,F,1852
24,Margaret,1/1/1881,F,1658
25,Minnie,1/1/1881,F,1653
26,Ida,1/1/1881,F,1439
27,Annie,1/1/1881,F,1326
28,Bertha,1/1/1881,F,1324
29,Alice,1/1/1881,F,1308
30,Clara,1/1/1881,F,1242
31,Sarah,1/1/1881,F,1226
32,Ella,1/1/1881,F,1148
33,Nellie,1/1/1881,F,1096
34,Grace,1/1/1881,F,1089
35,Florence,1/1/1881,F,1046
36,Martha,1/1/1881,F,1044
37,Cora,1/1/1881,F,969
38,Laura,1/1/1881,F,962
39,Carrie,1/1/1881,F,958
40,Mary,1/1/1882,F,8148
41,Anna,1/1/1882,F,3143
42,Emma,1/1/1882,F,2303
43,Elizabeth,1/1/1882,F,2187
44,Minnie,1/1/1882,F,2004
45,Margaret,1/1/1882,F,1821
46,Ida,1/1/1882,F,1673
47,Alice,1/1/1882,F,1542
48,Bertha,1/1/1882,F,1508
49,Annie,1/1/1882,F,1492
50,Clara,1/1/1882,F,1490
51,Sarah,1/1/1882,F,1410
52,Florence,1/1/1882,F,1322
53,Martha,1/1/1882,F,1229
54,Ella,1/1/1882,F,1206
55,Grace,1/1/1882,F,1195
56,Laura,1/1/1882,F,1151
57,Bessie,1/1/1882,F,1144
58,Nellie,1/1/1882,F,1138
59,Maude,1/1/1882,F,1089
60,Mary,1/1/1883,F,8012
61,Anna,1/1/1883,F,3306
62,Emma,1/1/1883,F,2367
63,Elizabeth,1/1/1883,F,2255
64,Minnie,1/1/1883,F,2035
65,Margaret,1/1/1883,F,1881
66,Bertha,1/1/1883,F,1681
67,Ida,1/1/1883,F,1634
68,Annie,1/1/1883,F,1589
69,Clara,1/1/1883,F,1548
70,Alice,1/1/1883,F,1488
71,Sarah,1/1/1883,F,1359
72,Grace,1/1/1883,F,1307
73,Florence,1/1/1883,F,1298
74,Martha,1/1/1883,F,1255
75,Ella,1/1/1883,F,1251
76,Nellie,1/1/1883,F,1246
77,Bessie,1/1/1883,F,1241
78,Laura,1/1/1883,F,1183
79,Ethel,1/1/1883,F,1132
80,Mary,1/1/1884,F,9217
81,Anna,1/1/1884,F,3860
82,Emma,1/1/1884,F,2587
83,Elizabeth,1/1/1884,F,2549
84,Minnie,1/1/1884,F,2243
85,Margaret,1/1/1884,F,2143
86,Ida,1/1/1884,F,1882
87,Clara,1/1/1884,F,1852
88,Bertha,1/1/1884,F,1789
89,Annie,1/1/1884,F,1739
90,Alice,1/1/1884,F,1732
91,Florence,1/1/1884,F,1570
92,Grace,1/1/1884,F,1525
93,Sarah,1/1/1884,F,1518
94,Bessie,1/1/1884,F,1451
95,Martha,1/1/1884,F,1443
96,Nellie,1/1/1884,F,1417
97,Ethel,1/1/1884,F,1386
98,Ella,1/1/1884,F,1374
99,Mabel,1/1/1884,F,1270
100,Mary,1/1/1885,F,9128
101,Anna,1/1/1885,F,3994
102,Emma,1/1/1885,F,2728
103,Elizabeth,1/1/1885,F,2582
104,Margaret,1/1/1885,F,2204
105,Minnie,1/1/1885,F,2178
106,Clara,1/1/1885,F,1910
107,Bertha,1/1/1885,F,1860
108,Ida,1/1/1885,F,1854
109,Annie,1/1/1885,F,1703
110,Alice,1/1/1885,F,1681
111,Florence,1/1/1885,F,1667
112,Bessie,1/1/1885,F,1588
113,Grace,1/1/1885,F,1575
114,Ethel,1/1/1885,F,1495
115,Nellie,1/1/1885,F,1432
116,Martha,1/1/1885,F,1425
117,Sarah,1/1/1885,F,1424
118,Ella,1/1/1885,F,1395
119,Mabel,1/1/1885,F,1349
120,Mary,1/1/1886,F,9890
121,Anna,1/1/1886,F,4283
122,Emma,1/1/1886,F,2764
123,Elizabeth,1/1/1886,F,2680
124,Minnie,1/1/1886,F,2372
125,Margaret,1/1/1886,F,2275
126,Ida,1/1/1886,F,2049
127,Bertha,1/1/1886,F,2001
128,Clara,1/1/1886,F,1916
129,Florence,1/1/1886,F,1860
130,Alice,1/1/1886,F,1811
131,Bessie,1/1/1886,F,1791
132,Annie,1/1/1886,F,1765
133,Grace,1/1/1886,F,1723
134,Ethel,1/1/1886,F,1699
135,Sarah,1/1/1886,F,1569
136,Nellie,1/1/1886,F,1492
137,Martha,1/1/1886,F,1491
138,Ella,1/1/1886,F,1464
139,Mabel,1/1/1886,F,1422
140,Mary,1/1/1887,F,9888
141,Anna,1/1/1887,F,4227
142,Elizabeth,1/1/1887,F,2681
143,Emma,1/1/1887,F,2647
144,Margaret,1/1/1887,F,2419
145,Minnie,1/1/1887,F,2215
146,Bertha,1/1/1887,F,2037
147,Clara,1/1/1887,F,1984
148,Florence,1/1/1887,F,1964
149,Ida,1/1/1887,F,1929
150,Ethel,1/1/1887,F,1907
151,Annie,1/1/1887,F,1844
152,Bessie,1/1/1887,F,1838
153,Alice,1/1/1887,F,1819
154,Grace,1/1/1887,F,1692
155,Ella,1/1/1887,F,1521
156,Martha,1/1/1887,F,1504
157,Mabel,1/1/1887,F,1494
158,Nellie,1/1/1887,F,1457
159,Sarah,1/1/1887,F,1436
160,Mary,1/1/1888,F,11754
161,Anna,1/1/1888,F,4982
162,Elizabeth,1/1/1888,F,3224
163,Emma,1/1/1888,F,3087
164,Margaret,1/1/1888,F,2904
165,Minnie,1/1/1888,F,2654
166,Bertha,1/1/1888,F,2450
167,Florence,1/1/1888,F,2444
168,Ethel,1/1/1888,F,2374
169,Bessie,1/1/1888,F,2279
170,Clara,1/1/1888,F,2230
171,Ida,1/1/1888,F,2229
172,Alice,1/1/1888,F,2202
173,Annie,1/1/1888,F,2188
174,Grace,1/1/1888,F,2090
175,Helen,1/1/1888,F,1847
176,Mabel,1/1/1888,F,1830
177,Ella,1/1/1888,F,1774
178,Martha,1/1/1888,F,1769
179,Sarah,1/1/1888,F,1755
180,Mary,1/1/1889,F,11648
181,Anna,1/1/1889,F,5062
182,Elizabeth,1/1/1889,F,3058
183,Margaret,1/1/1889,F,2917
184,Emma,1/1/1889,F,2884
185,Minnie,1/1/1889,F,2624
186,Florence,1/1/1889,F,2465
187,Ethel,1/1/1889,F,2463
188,Bessie,1/1/1889,F,2342
189,Clara,1/1/1889,F,2319
190,Bertha,1/1/1889,F,2293
191,Alice,1/1/1889,F,2145
192,Annie,1/1/1889,F,2123
193,Ida,1/1/1889,F,2122
194,Grace,1/1/1889,F,2049
195,Mabel,1/1/1889,F,1947
196,Helen,1/1/1889,F,1909
197,Edna,1/1/1889,F,1815
198,Nellie,1/1/1889,F,1752
199,Sarah,1/1/1889,F,1730
200,Mary,1/1/1890,F,12078
201,Anna,1/1/1890,F,5233
202,Elizabeth,1/1/1890,F,3112
203,Margaret,1/1/1890,F,3100
204,Emma,1/1/1890,F,2980
205,Florence,1/1/1890,F,2745
206,Ethel,1/1/1890,F,2718
207,Minnie,1/1/1890,F,2650
208,Clara,1/1/1890,F,2496
209,Bertha,1/1/1890,F,2388
210,Bessie,1/1/1890,F,2370
211,Helen,1/1/1890,F,2312
212,Grace,1/1/1890,F,2278
213,Alice,1/1/1890,F,2271
214,Annie,1/1/1890,F,2220
215,Ida,1/1/1890,F,2178
216,Mabel,1/1/1890,F,2058
217,Edna,1/1/1890,F,1973
218,Lillian,1/1/1890,F,1862
219,Nellie,1/1/1890,F,1821
220,Mary,1/1/1891,F,11703
221,Anna,1/1/1891,F,5099
222,Margaret,1/1/1891,F,3065
223,Elizabeth,1/1/1891,F,3059
224,Emma,1/1/1891,F,2884
225,Florence,1/1/1891,F,2715
226,Ethel,1/1/1891,F,2689
227,Minnie,1/1/1891,F,2428
228,Helen,1/1/1891,F,2417
229,Bertha,1/1/1891,F,2372
230,Clara,1/1/1891,F,2360
231,Bessie,1/1/1891,F,2323
232,Annie,1/1/1891,F,2096
233,Grace,1/1/1891,F,2088
234,Mabel,1/1/1891,F,2029
235,Alice,1/1/1891,F,2015
236,Ida,1/1/1891,F,2002
237,Edna,1/1/1891,F,1963
238,Ruth,1/1/1891,F,1857
239,Lillian,1/1/1891,F,1812
240,Mary,1/1/1892,F,13173
241,Anna,1/1/1892,F,5542
242,Elizabeth,1/1/1892,F,3461
243,Margaret,1/1/1892,F,3435
244,Ruth,1/1/1892,F,3291
245,Florence,1/1/1892,F,3154
246,Emma,1/1/1892,F,3128
247,Ethel,1/1/1892,F,3035
248,Helen,1/1/1892,F,2936
249,Clara,1/1/1892,F,2661
250,Bertha,1/1/1892,F,2617
251,Minnie,1/1/1892,F,2609
252,Bessie,1/1/1892,F,2541
253,Alice,1/1/1892,F,2373
254,Annie,1/1/1892,F,2348
255,Grace,1/1/1892,F,2299
256,Ida,1/1/1892,F,2259
257,Edna,1/1/1892,F,2218
258,Mabel,1/1/1892,F,2170
259,Lillian,1/1/1892,F,2154
260,Mary,1/1/1893,F,12784
261,Anna,1/1/1893,F,5695
262,Ruth,1/1/1893,F,3658
263,Margaret,1/1/1893,F,3565
264,Elizabeth,1/1/1893,F,3360
265,Helen,1/1/1893,F,3249
266,Florence,1/1/1893,F,3231
267,Ethel,1/1/1893,F,3119
268,Emma,1/1/1893,F,2968
269,Bertha,1/1/1893,F,2623
270,Clara,1/1/1893,F,2532
271,Minnie,1/1/1893,F,2510
272,Alice,1/1/1893,F,2434
273,Edna,1/1/1893,F,2378
274,Bessie,1/1/1893,F,2352
275,Grace,1/1/1893,F,2308
276,Annie,1/1/1893,F,2251
277,Ida,1/1/1893,F,2247
278,Marie,1/1/1893,F,2212
279,Lillian,1/1/1893,F,2193
280,Mary,1/1/1894,F,13151
281,Anna,1/1/1894,F,5565
282,Margaret,1/1/1894,F,3701
283,Helen,1/1/1894,F,3676
284,Elizabeth,1/1/1894,F,3425
285,Ruth,1/1/1894,F,3372
286,Ethel,1/1/1894,F,3287
287,Florence,1/1/1894,F,3233
288,Emma,1/1/1894,F,2937
289,Marie,1/1/1894,F,2649
290,Clara,1/1/1894,F,2603
291,Minnie,1/1/1894,F,2592
292,Bessie,1/1/1894,F,2520
293,Bertha,1/1/1894,F,2496
294,Edna,1/1/1894,F,2458
295,Lillian,1/1/1894,F,2441
296,Alice,1/1/1894,F,2414
297,Annie,1/1/1894,F,2393
298,Grace,1/1/1894,F,2361
299,Mabel,1/1/1894,F,2221
300,Mary,1/1/1895,F,13446
301,Anna,1/1/1895,F,5950
302,Helen,1/1/1895,F,4023
303,Margaret,1/1/1895,F,3931
304,Elizabeth,1/1/1895,F,3603
305,Ruth,1/1/1895,F,3551
306,Florence,1/1/1895,F,3471
307,Ethel,1/1/1895,F,3391
308,Marie,1/1/1895,F,3011
309,Emma,1/1/1895,F,2952
310,Bertha,1/1/1895,F,2626
311,Clara,1/1/1895,F,2613
312,Minnie,1/1/1895,F,2567
313,Edna,1/1/1895,F,2560
314,Bessie,1/1/1895,F,2542
315,Lillian,1/1/1895,F,2495
316,Alice,1/1/1895,F,2457
317,Grace,1/1/1895,F,2448
318,Annie,1/1/1895,F,2390
319,Mabel,1/1/1895,F,2359
320,Mary,1/1/1896,F,13811
321,Anna,1/1/1896,F,5860
322,Helen,1/1/1896,F,4392
323,Margaret,1/1/1896,F,4051
324,Ruth,1/1/1896,F,3905
325,Ethel,1/1/1896,F,3502
326,Elizabeth,1/1/1896,F,3471
327,Florence,1/1/1896,F,3323
328,Marie,1/1/1896,F,3087
329,Emma,1/1/1896,F,2872
330,Lillian,1/1/1896,F,2702
331,Alice,1/1/1896,F,2652
332,Edna,1/1/1896,F,2604
333,Clara,1/1/1896,F,2582
334,Bertha,1/1/1896,F,2565
335,Minnie,1/1/1896,F,2530
336,Grace,1/1/1896,F,2485
337,Bessie,1/1/1896,F,2435
338,Annie,1/1/1896,F,2358
339,Rose,1/1/1896,F,2341
340,Mary,1/1/1897,F,13413
341,Anna,1/1/1897,F,5429
342,Helen,1/1/1897,F,4519
343,Margaret,1/1/1897,F,4146
344,Ruth,1/1/1897,F,3878
345,Elizabeth,1/1/1897,F,3442
346,Florence,1/1/1897,F,3369
347,Ethel,1/1/1897,F,3182
348,Marie,1/1/1897,F,3078
349,Emma,1/1/1897,F,2698
350,Lillian,1/1/1897,F,2683
351,Edna,1/1/1897,F,2567
352,Bertha,1/1/1897,F,2502
353,Grace,1/1/1897,F,2458
354,Clara,1/1/1897,F,2454
355,Alice,1/1/1897,F,2431
356,Bessie,1/1/1897,F,2407
357,Hazel,1/1/1897,F,2339
358,Rose,1/1/1897,F,2316
359,Annie,1/1/1897,F,2307
360,Mary,1/1/1898,F,14406
361,Anna,1/1/1898,F,5773
362,Helen,1/1/1898,F,5230
363,Margaret,1/1/1898,F,4696
364,Ruth,1/1/1898,F,4249
365,Florence,1/1/1898,F,3790
366,Elizabeth,1/1/1898,F,3659
367,Ethel,1/1/1898,F,3531
368,Marie,1/1/1898,F,3435
369,Lillian,1/1/1898,F,3061
370,Alice,1/1/1898,F,2846
371,Edna,1/1/1898,F,2813
372,Emma,1/1/1898,F,2788
373,Clara,1/1/1898,F,2731
374,Grace,1/1/1898,F,2726
375,Bessie,1/1/1898,F,2647
376,Bertha,1/1/1898,F,2642
377,Annie,1/1/1898,F,2470
378,Hazel,1/1/1898,F,2439
379,Rose,1/1/1898,F,2436
380,Mary,1/1/1899,F,13172
381,Anna,1/1/1899,F,5115
382,Helen,1/1/1899,F,5048
383,Margaret,1/1/1899,F,4249
384,Ruth,1/1/1899,F,3912
385,Florence,1/1/1899,F,3314
386,Elizabeth,1/1/1899,F,3287
387,Marie,1/1/1899,F,3156
388,Ethel,1/1/1899,F,2999
389,Lillian,1/1/1899,F,2703
390,Edna,1/1/1899,F,2534
391,Alice,1/1/1899,F,2523
392,Emma,1/1/1899,F,2445
393,Clara,1/1/1899,F,2441
394,Grace,1/1/1899,F,2353
395,Bertha,1/1/1899,F,2294
396,Mildred,1/1/1899,F,2291
397,Annie,1/1/1899,F,2289
398,Bessie,1/1/1899,F,2280
399,Gladys,1/1/1899,F,2228
400,Mary,1/1/1900,F,16707
401,Helen,1/1/1900,F,6343
402,Anna,1/1/1900,F,6114
403,Margaret,1/1/1900,F,5306
404,Ruth,1/1/1900,F,4765
405,Elizabeth,1/1/1900,F,4096
406,Florence,1/1/1900,F,3920
407,Ethel,1/1/1900,F,3896
408,Marie,1/1/1900,F,3856
409,Lillian,1/1/1900,F,3414
410,Annie,1/1/1900,F,3324
411,Edna,1/1/1900,F,3102
412,Emma,1/1/1900,F,3095
413,Alice,1/1/1900,F,3059
414,Bessie,1/1/1900,F,3044
415,Bertha,1/1/1900,F,3019
416,Grace,1/1/1900,F,2942
417,Rose,1/1/1900,F,2845
418,Clara,1/1/1900,F,2826
419,Mildred,1/1/1900,F,2800
420,Mary,1/1/1901,F,13136
421,Helen,1/1/1901,F,5247
422,Anna,1/1/1901,F,4923
423,Margaret,1/1/1901,F,4424
424,Ruth,1/1/1901,F,3974
425,Elizabeth,1/1/1901,F,3216
426,Marie,1/1/1901,F,3157
427,Florence,1/1/1901,F,3131
428,Ethel,1/1/1901,F,3067
429,Lillian,1/1/1901,F,2681
430,Gladys,1/1/1901,F,2676
431,Alice,1/1/1901,F,2562
432,Edna,1/1/1901,F,2488
433,Mildred,1/1/1901,F,2424
434,Grace,1/1/1901,F,2398
435,Annie,1/1/1901,F,2396
436,Emma,1/1/1901,F,2374
437,Clara,1/1/1901,F,2319
438,Bertha,1/1/1901,F,2257
439,Rose,1/1/1901,F,2212
440,Mary,1/1/1902,F,14486
441,Helen,1/1/1902,F,5967
442,Anna,1/1/1902,F,5288
443,Margaret,1/1/1902,F,5011
444,Ruth,1/1/1902,F,4384
445,Elizabeth,1/1/1902,F,3694
446,Florence,1/1/1902,F,3509
447,Marie,1/1/1902,F,3423
448,Ethel,1/1/1902,F,3295
449,Alice,1/1/1902,F,3135
450,Lillian,1/1/1902,F,3063
451,Gladys,1/1/1902,F,2809
452,Edna,1/1/1902,F,2754
453,Mildred,1/1/1902,F,2750
454,Dorothy,1/1/1902,F,2707
455,Annie,1/1/1902,F,2664
456,Grace,1/1/1902,F,2642
457,Emma,1/1/1902,F,2514
458,Bessie,1/1/1902,F,2448
459,Rose,1/1/1902,F,2444
460,Mary,1/1/1903,F,14275
461,Helen,1/1/1903,F,6129
462,Anna,1/1/1903,F,5098
463,Margaret,1/1/1903,F,5046
464,Ruth,1/1/1903,F,4518
465,Elizabeth,1/1/1903,F,3723
466,Marie,1/1/1903,F,3469
467,Florence,1/1/1903,F,3468
468,Ethel,1/1/1903,F,3257
469,Mildred,1/1/1903,F,3088
470,Dorothy,1/1/1903,F,3078
471,Alice,1/1/1903,F,2996
472,Lillian,1/1/1903,F,2972
473,Gladys,1/1/1903,F,2674
474,Edna,1/1/1903,F,2667
475,Grace,1/1/1903,F,2615
476,Annie,1/1/1903,F,2551
477,Rose,1/1/1903,F,2478
478,Frances,1/1/1903,F,2365
479,Clara,1/1/1903,F,2342
480,Mary,1/1/1904,F,14962
481,Helen,1/1/1904,F,6488
482,Anna,1/1/1904,F,5330
483,Margaret,1/1/1904,F,5302
484,Ruth,1/1/1904,F,4900
485,Elizabeth,1/1/1904,F,3833
486,Marie,1/1/1904,F,3595
487,Florence,1/1/1904,F,3572
488,Mildred,1/1/1904,F,3525
489,Dorothy,1/1/1904,F,3477
